CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhi6+JAL04LXlRFg7cS3XaRcLGIzN2Gol0qGoJF7kq/oJ/bLOkJJFJ231pHM4nBnOjfzWtR+sIZHEGiUp9a0FFXnCmeW0nNOTARdiTnNpPXFhPSRszV9z34rvrEHsOfbEdeyOd+1Y1qLb6rQc17NbHgCvddVy247teqgjfqV0Z40EfS4oW+19a8CZFDy1FjyVZENPT8A69duXjnPp2m7Xsqx5klHf8Xzn2nc99CLLKJOnJ+HbbkpERnIf/ub7HQ2i4TKM4kU8mv1yc3Z51peSsoKkMZWBDTjKwxn9g65kMBcFVUR0TGg04WuqNswFYcuReF7eBo5tHzFjYFADSyRgWq2PEkZSRdgt20GNhG3o8jbZbJVGDSfJ2kBj/mqgfiF5yALHEGZqWXnlKBuppAJ86tZgYoKxCbRzGI1hvAzvlAb8Rd4tfVaCpWF9Kkk3Ag6CnNpxYDAZx8yUioSvNZfjhiFNyV7JlVGtiY4OImXz12RV+hUnjPazXQTeGOhXCKzy5QvJaVT/HfgoH4NoMCJpjjagEkiWqyrw8EyCxinf0a/Kr8GWrv4sNevEQhVPecJkruCQrouVfEiEoY/LG1JGflAIARV3wOWa+3HRPSoaR9XEcdm4JWdQnqYMpo2MgTs6ThXsmkXgBJ0auCbwTNA2QccEXRP0FMAcQtGp6nNUNE3G/cR4n5i2KkCT6XxiusHVB6anmAlhMAZK4+4xoW0bhPeR0Ac1CG3YILofiV7VLfSOQIne+N8H4+8/uZfD6w5MoEtnu7Sdbku+yVJqSuT2/6XKCRWoKoWMVX0Qk2yXUmwcUY0HTaGMzvldkT3iKvyGjDymtP+W6KquCvNAhNFLjk0F3P1qtyBpAaUPk7bndBzH63rXV56rPIgl34Uv6FClA+1hnHBuYlvqHnhRPRTgIFaBgei/l148kETGdMXZutTxDnr/hayp8A0soBT2B2ZZq6x3o5maVxF6P7tn6T5iqwqW1YEqtJhdy4QfhGq320p/NKuNCZyd4JGtgA4VxrvyY1akBxe0xybzW0L4I39OdCgMliFbYagouGpgr3bCA0p31YDsgp5WDFcdjIlczbDKOZj+Wq6OAf16++OYGyabRMJFlnEut8ZhFD+ejga8gPRiwHEoqutHB2HDuFC4MgelEku4YQ8EDGdJJuQNFnDOQA7D8v57P7sRoHedsM2BganLX+MdpevSwTqhOjyD32tThdwV8rBVQ31/qFof0DTVJdcXlMBUg1zCz2HDkLI8kfug17pCBGFNIeabwEWoWgClZqHOJ/7PKcx3F8MQg28scLuHCq7Te0Olkqvc1OvqTAduxiFGcG7Nevqe/I9XRpTn2MQgXfW51jglRV63bcnxlIhKbLBfpTRX03xIn0iRyrDsRAXg0rsAkxF74n55yTSz/rl90UdrslhThL6Lt8cFvkMSkhoPK7xVLtRzxCBx6lzoi8/v2PAaK8QTWVEL4+5b9QcPtTL6Jqs+yMbpyQOFB438tGa5sIbWmrc/zhvoZ7N/3viSkLy5OG9g6pswHc4b335u3m+z1ir7+y8EJroZNkIhGqqJ4InH1lY5TfN/AGlx6l2bCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.24724054336548	1.01178E+01	5.08776E-04	1.00633E-03	1.12763E-03	63.1799	2
7.90604E+02	20	3.24738335609436	1.72456E+01	4.54314E-04	8.47933E-04	9.61973E-04	61.818	2
6.25055E+02	20	3.24742364883423	2.45511E+01	4.09858E-04	6.95656E-04	8.07416E-04	59.4948	2
4.94171E+02	20	3.24725890159607	3.20609E+01	3.67224E-04	5.74462E-04	6.81806E-04	57.4113	2
3.90694E+02	20	3.24714016914368	3.97890E+01	3.39055E-04	4.73369E-04	5.82269E-04	54.3875	2
3.08884E+02	20	3.24734473228455	4.78322E+01	3.08163E-04	4.00887E-04	5.05643E-04	52.4504	2
2.44205E+02	20	3.24735617637634	5.84530E+01	2.90469E-04	3.37889E-04	4.45579E-04	49.3157	2
1.93070E+02	20	3.24714589118958	6.69331E+01	2.70151E-04	2.82119E-04	3.90605E-04	46.2414	2
1.52642E+02	20	3.24721193313599	7.56694E+01	2.50479E-04	2.27215E-04	3.38181E-04	42.2119	2
1.20679E+02	20	3.24737477302551	8.45304E+01	2.38413E-04	1.89432E-04	3.04508E-04	38.469	2
9.54095E+01	20	3.24733424186707	9.03203E+01	2.28001E-04	1.53483E-04	2.74848E-04	33.9472	2
7.54312E+01	20	3.2473087310791	9.63613E+01	2.19064E-04	1.24922E-04	2.52180E-04	29.6941	2
5.96362E+01	20	3.24740815162659	1.02149E+02	2.14172E-04	1.00337E-04	2.36510E-04	25.1026	2
4.71487E+01	20	3.24739646911621	1.08282E+02	2.09613E-04	7.04337E-05	2.21130E-04	18.5732	2
3.72759E+01	20	3.24740290641785	1.14657E+02	2.08485E-04	5.68903E-05	2.16107E-04	15.263	2
2.94705E+01	20	3.24736309051514	1.21299E+02	2.08494E-04	3.84767E-05	2.12014E-04	10.4561	2
2.32995E+01	20	3.24743843078613	1.27890E+02	2.10068E-04	2.90982E-05	2.12074E-04	7.88629	2
1.84207E+01	20	3.24741268157959	1.33882E+02	2.11357E-04	2.00191E-05	2.12303E-04	5.41073	2
1.45635E+01	20	3.24741435050964	1.40226E+02	2.12615E-04	1.11854E-05	2.12909E-04	3.01148	2
1.15140E+01	20	3.24743223190308	1.46969E+02	2.14640E-04	4.47428E-06	2.14686E-04	1.19419	2
9.10298E+00	20	3.24750852584839	1.53021E+02	2.17151E-04	1.31872E-06	2.17155E-04	0.347943	2
7.19686E+00	20	3.24747562408447	1.59383E+02	2.19058E-04	-3.62279E-06	2.19088E-04	-0.947475	2
5.68987E+00	20	3.24742102622986	1.66150E+02	2.21184E-04	-6.48655E-06	2.21279E-04	-1.6798	2
4.49843E+00	20	3.24749231338501	1.72216E+02	2.22360E-04	-1.09201E-05	2.22628E-04	-2.81154	2
3.55648E+00	20	3.24756932258606	1.78517E+02	2.26088E-04	-1.14215E-05	2.26376E-04	-2.89201	2
2.81177E+00	20	3.24754977226257	1.85058E+02	2.26546E-04	-1.41577E-05	2.26988E-04	-3.57599	2
2.22300E+00	20	3.24759650230408	1.92007E+02	2.29771E-04	-1.64363E-05	2.30358E-04	-4.09159	2
1.75751E+00	20	3.24754881858826	1.99431E+02	2.32936E-04	-1.91417E-05	2.33721E-04	-4.69776	2
