CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhi6+JAL04LXlRFg7cS3XaRcLGIzN2Gol0qGoJF7kq/oJ/bLOkJJFJ231pHM4nBnOjfzWtR+sIZHEGiUp9a0FFXnCmeW0nNOTARdiTnNpPXFhPSRszV9z34rvrEHsOfbEdeyOd+1Y1qLb6rQc17NbHgCvddVy247teqgjfqV0Z40EfS4oW+19a8CZFDy1FjyVZENPT8A69duXjnPp2m7Xsqx5klHfcfz2te910Ysso0yenoRvuykRGcl9+JvvdzSIhsswihfxaPbLzdnlWV9KygqSxlQGNuAoD2f0D7qSwVwUVBHRMaHRhK+p2jAXhC1H4nl5Gzi2fcSMgUENLJGAabU+ShhJFWG3bAc1Erahy9tks1UaNZwkawON+auB+oXkIQscQ5ipZeWVo2ykkgrwqVuDiQnGJtDOYTSG8TK8UxrwF3m39FkJlob1qSTdCDgIcmrHgcFkHDNTKhK+1lyOG4Y0JXslV0a1Jjo6iJTNX5NV6VecMNrPdhF4Y6BfIbDKly8kp1H9d+CjfAyiwYikOdqASiBZrqrAwzMJGqd8R78qvwZbuvqz1KwTC1U85QmTuYJDui5W8iERhj4ub0gZ+UEhBFTcAZdr7sdF96hoHFUTx2XjlpxBeZoymDYyBu7oOFWwaxaBE3Rq4JrAM0HbBB0TdE3QUwBzCEWnqs9R0TQZ9xPjfWLaqgBNpvOJ6QZXH5ieYiaEwRgojbvHhLZtEN5HQh/UILRhg+h+JHpVt9A7AiV6438fjL//5F4OrzswgS6d7dJ2Oi35JkupKZHb/5cqJ1SgqhQyVvVBTLJdSrFxRDUeNIUyOud3RfaIq/AbMvKY0v5boqu6KswDEUYvOTYVcPer3YKkBZR+y+16bcfpdW3Ps13lQCz5LnxBfyoVaA7DhGMTu1K3wItqoQDnsIoLBP+9dOKBJDKmK87WpY530PsvZE2Fb2ABpbA9MMlaZb0bzdS8CtD72T1L9xFbVbAsDlShxexaJvwgVLvdVvqjWW1M4OgEj2wFdKQw3JUfsyI9uKA9NpnfEsIf+XOiQ2GwDNkKQ0HBTQN7tRMeULqpBmQX9LRiuOlgSuRqhFXOwfDXcnUM6NfbH8fcMNkkEu6xjHO5NQ6j+PF0NOAFpBcDjjNR3T46CBvGhcKVOaiUWMIFeyBgNksyIW+wgGMGchiW19/72Y0AveuEbQ4MDF3+Gu8oXZcO1gnV4Rn8Xpsq5K6Qh60a6utDlfqApqkuub6gBIYa5BJ+DhuGlOWJ3Ae91hUiCGsKMd8ELkLVASg1C3U+8X9OYby7GIYYfGOB2z1UcJ3eGyqVXOWmXldnOnAzDjGCc2vW09fkfzwyojzHHgbpqs21xikp8rprS46nRFRig/0qpbka5kP6RIpUhmUnKgB33gWYjNgT98s7ppn1z+2LPlqTxZoi9F28PC7wGZKQ1HhX4aVyoV4jBolD50Lfe37HhsdYIZ7IiloYd9+qP3inldE3WfVBNk5PHii8Z+SnNcuFNbTWvP1x3kA/m/3zxpeE5M3FeQNT34TpcN749nPzfpu1VtnffyEw0c2wEQrRUE0ELzy2tsphmv8DWbbi7ZoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.26348519325256	1.01101E+01	5.16984E-04	1.02112E-03	1.14454E-03	63.1474	2
7.90604E+02	20	3.26339268684387	1.72558E+01	4.63997E-04	8.45197E-04	9.64184E-04	61.234	2
6.25055E+02	20	3.26347827911377	2.45530E+01	4.14271E-04	6.97007E-04	8.10827E-04	59.2746	2
4.94171E+02	20	3.26335716247559	3.20632E+01	3.72201E-04	5.79022E-04	6.88331E-04	57.2667	2
3.90694E+02	20	3.26334595680237	3.97960E+01	3.44685E-04	4.69058E-04	5.82085E-04	53.6898	2
3.08884E+02	20	3.26344108581543	4.78245E+01	3.12084E-04	4.05242E-04	5.11486E-04	52.3995	2
2.44205E+02	20	3.2635772228241	5.84604E+01	2.94706E-04	3.41829E-04	4.51329E-04	49.2339	2
1.93070E+02	20	3.26353025436401	6.69385E+01	2.74759E-04	2.85502E-04	3.96237E-04	46.0985	2
1.52642E+02	20	3.26364541053772	7.59831E+01	2.53222E-04	2.29210E-04	3.41553E-04	42.1506	2
1.20679E+02	20	3.26356983184814	8.45345E+01	2.40759E-04	1.92841E-04	3.08468E-04	38.6937	2
9.54095E+01	20	3.26371622085571	9.03330E+01	2.31155E-04	1.55916E-04	2.78823E-04	34	2
7.54312E+01	20	3.26369786262512	9.63768E+01	2.21735E-04	1.26465E-04	2.55264E-04	29.698	2
5.96362E+01	20	3.26366233825684	1.02167E+02	2.16137E-04	1.02988E-04	2.39420E-04	25.4775	2
4.71487E+01	20	3.2636194229126	1.08305E+02	2.11754E-04	7.20620E-05	2.23680E-04	18.794	2
3.72759E+01	20	3.26363611221313	1.14679E+02	2.10656E-04	5.82442E-05	2.18560E-04	15.4556	2
2.94705E+01	20	3.26368427276611	1.21334E+02	2.10447E-04	3.99876E-05	2.14212E-04	10.7587	2
2.32995E+01	20	3.26364326477051	1.27926E+02	2.11334E-04	3.03457E-05	2.13502E-04	8.17132	2
1.84207E+01	20	3.26366138458252	1.33919E+02	2.11921E-04	2.16801E-05	2.13027E-04	5.84117	2
1.45635E+01	20	3.26366400718689	1.40259E+02	2.13854E-04	1.12434E-05	2.14150E-04	3.00955	2
1.15140E+01	20	3.26364803314209	1.47014E+02	2.15918E-04	4.31678E-06	2.15961E-04	1.14535	2
9.10298E+00	20	3.26371765136719	1.53064E+02	2.17935E-04	2.24553E-06	2.17946E-04	0.590336	2
7.19686E+00	20	3.26368308067322	1.59432E+02	2.20371E-04	-2.42498E-06	2.20385E-04	-0.630461	2
5.68987E+00	20	3.26365685462952	1.66194E+02	2.22476E-04	-5.99001E-06	2.22556E-04	-1.54228	2
4.49843E+00	20	3.26374483108521	1.72269E+02	2.23849E-04	-9.35857E-06	2.24045E-04	-2.394	2
3.55648E+00	20	3.26370167732239	1.78570E+02	2.27306E-04	-1.29853E-05	2.27677E-04	-3.26958	2
2.81177E+00	20	3.26373624801636	1.85114E+02	2.28623E-04	-1.39936E-05	2.29051E-04	-3.50261	2
2.22300E+00	20	3.26380681991577	1.92062E+02	2.31871E-04	-1.72105E-05	2.32509E-04	-4.24496	2
1.75751E+00	20	3.26373505592346	1.99484E+02	2.33385E-04	-1.94549E-05	2.34194E-04	-4.76516	2
1.38950E+00	20	3.26385045051575	2.07471E+02	2.36224E-04	-2.17584E-05	2.37224E-04	-5.26262	2
1.09854E+00	20	3.26387786865234	2.16255E+02	2.39698E-04	-2.42928E-05	2.40926E-04	-5.78703	2
8.68511E-01	20	3.2637996673584	2.23744E+02	2.42711E-04	-2.65316E-05	2.44157E-04	-6.23843	2
6.86649E-01	20	3.26390194892883	2.31836E+02	2.45168E-04	-3.05671E-05	2.47066E-04	-7.10687	2
5.42867E-01	20	3.26408791542053	2.40726E+02	2.48308E-04	-3.52282E-05	2.50794E-04	-8.07484	2
4.29193E-01	20	3.26428985595703	2.48249E+02	2.53237E-04	-4.21242E-05	2.56716E-04	-9.44429	2
3.39322E-01	20	3.26452302932739	2.56407E+02	2.58861E-04	-4.78720E-05	2.63250E-04	-10.4775	2
2.68270E-01	20	3.26467204093933	2.65450E+02	2.65479E-04	-5.46970E-05	2.71055E-04	-11.6418	2
2.12095E-01	20	3.26466679573059	2.75559E+02	2.73565E-04	-6.14307E-05	2.80377E-04	-12.6562	2
1.67683E-01	20	3.26456737518311	2.86916E+02	2.82594E-04	-6.87941E-05	2.90847E-04	-13.6818	2
1.32571E-01	20	3.26451301574707	2.99862E+02	2.91795E-04	-7.66980E-05	3.01706E-04	-14.727	2
1.04811E-01	20	3.26428842544556	3.14814E+02	3.01856E-04	-8.57975E-05	3.13812E-04	-15.8669	2
8.28642E-02	20	3.26410746574402	3.32480E+02	3.13054E-04	-9.60475E-05	3.27457E-04	-17.0565	2
6.55128E-02	20	3.26386284828186	3.53340E+02	3.25883E-04	-1.08160E-04	3.43363E-04	-18.3609	2
5.17947E-02	20	3.26353859901428	3.78249E+02	3.39509E-04	-1.22176E-04	3.60823E-04	-19.7918	2
4.09491E-02	20	3.26322960853577	4.08281E+02	3.56057E-04	-1.38740E-04	3.82132E-04	-21.2887	2
3.23746E-02	20	3.26289439201355	4.44789E+02	3.74324E-04	-1.57200E-04	4.05992E-04	-22.7803	2
2.55955E-02	20	3.26251840591431	4.89455E+02	3.96354E-04	-1.78411E-04	4.34657E-04	-24.234	2
