CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulRqUS5cSqT84ECg6EDLEpbuHh0JueBCdhObOk5bjvpU+wj7ZDtjJ8S0u5tf+T6PZ8Zzs7+17QdrQCSxhnFCfWtJRRZzZjkN5/ysz4VY0ExaT1xYDzHb8NfMt6I7qx95jj11HbvldR3LWrYbrYbjenbDA+A1bhpu07FdD3VEr5TuraGgzzll64Nv9TmTgifWkieSbOn5GVinfvPaca5d221blrWIU+o7tu90/WYXvUhTyuT5Wfi2nxGRksyHv8VhT4PxYBWOo2U0nP8yuri+6ElJWU6SiMrABjzOwjn9g65lsBA5VcT4lNBoyjdUbVgIwlZD8by6DRzbPmEmwKAGFkvAtFwfxowkirAbtoMaCdvS1W283SmNGk7jjYEm/NVAvVzykAWOIczUsvLKUTYSSQX41K7A1AQTE2jnMBqDaBXeKQ34i7xb+KwEC8P6VJJuBRwEObXjyGAyTpkZFTHfaC7DDQOakIOSK6JaES0dRMoWr/G68CuKGe2l+zF4Y6BfIbDKly8ko+Pq78iPswmIBkOSZGgDKoGkmaoCD88kaJTwPf2q/Orv6PrPQrNOLFTxjMdMZgoO6CZfy4dYGPq4HJEi8v1cCKi4Iy7W3I+L7knROKomTsvGLTiD8jRlME1kDNzScSph2ywCJ2hVwDWBZ4KmCVomaJugowDmEIpOVZ+jomky7ifG+8Q0VQGaTOsT0w5uPjAdxUwJgzFQGHdPCW3bILyPhD6oQWjDBtH+SHTKbqF3BEp05H/vT77/5F4Pui2YQNfObmU7zYZ8k4XUjMjd/0sVEypQVQoZK/sgIuk+odg4ohwPmkIZnfO7PH3EVfgNGXlMaO8t1lVdFuaRCMcvGTYVcPfr/ZIkOZR+w+102x1VY52221UeRJLvwxd0qNSB9jBOODexLXUPvKgeCnAQq8BA9N8LLx5ILCO65mxT6HgHvf9CVlT4BhZQCvsDs6xVVrvRTMWrCL1f3LPkMGbrEhbVgSq0mF3JhB+EKrebSv94XhkTODvBI1sBHSqMd+nHPE+OLmiPTea3mPBH/hzrUBgsQ7bEUFFw1cBe7YQHlO6qPtkHHa0YrjoYE5maYaVzMP21XBUD+vX2xyk3iLexhIss5VzujMMofjIb9nkO6cWA41BU148OwpZxoXBpDkolknDDHgkYzpJMyRss4JyBHIbF/fd+MRKgdxOz7ZGBqctfoz2lm8LBKqE6PP3fK1O53OfyuFVDfX+oWu/TJNEl1xOUwFSDXMLPccOAsiyWh6DTuEEEYU0g5tvARahaAKXmoc4n/i8ozHcXwxCBbyxw28cKrtI7olLJlW7qdXWmIzfnECM4t2Y9fU/+xytjnGXYxCBd9rnWOCN5VrVtwfGEiFKsf1gnNFPTfECfSJ7IsOhEBeDSuwKTY/bE/eKSqae9S/uqh9ZkvqEIfRd7/QrfITFJjIcV3ipX6jlikDh1rvTF57dseI3l4omsqYVx963qg4daEX2TVR9k4/zsgcKDRn5as1xYQ2v12x+XNfSz3rusfYlJVl9e1jD1dZgOl7VvP9fvd2ljnf79FwITjQa1UIiaaiJ44rGNVUzT7B+wpIxEmwoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.27968525886536	1.01142E+01	5.26568E-04	1.01533E-03	1.14375E-03	62.588	2
7.90604E+02	20	3.27977180480957	1.72441E+01	4.67113E-04	8.41452E-04	9.62412E-04	60.9642	2
6.25055E+02	20	3.2798867225647	2.45549E+01	4.15836E-04	6.99815E-04	8.14040E-04	59.2809	2
4.94171E+02	20	3.27979040145874	3.20584E+01	3.76455E-04	5.82500E-04	6.93560E-04	57.1264	2
3.90694E+02	20	3.27964925765991	3.97920E+01	3.45439E-04	4.79180E-04	5.90713E-04	54.2123	2
3.08884E+02	20	3.2798638343811	4.78197E+01	3.13869E-04	3.94746E-04	5.04320E-04	51.5112	2
2.44205E+02	20	3.2797646522522	5.84496E+01	2.95023E-04	3.40172E-04	4.50284E-04	49.0657	2
1.93070E+02	20	3.27963280677795	6.69325E+01	2.74734E-04	2.84789E-04	3.95707E-04	46.0295	2
1.52642E+02	20	3.27959251403809	7.59761E+01	2.54155E-04	2.29066E-04	3.42149E-04	42.0279	2
1.20679E+02	20	3.27966952323914	8.45289E+01	2.41694E-04	1.92481E-04	3.08973E-04	38.5332	2
9.54095E+01	20	3.27989172935486	9.03225E+01	2.31938E-04	1.55878E-04	2.79451E-04	33.9037	2
7.54312E+01	20	3.27978873252869	9.63598E+01	2.22520E-04	1.27109E-04	2.56265E-04	29.7361	2
5.96362E+01	20	3.27982306480408	1.02145E+02	2.16545E-04	1.01774E-04	2.39269E-04	25.173	2
4.71487E+01	20	3.27982878684998	1.08282E+02	2.12362E-04	7.22731E-05	2.24323E-04	18.795	2
3.72759E+01	20	3.27986073493958	1.14653E+02	2.11062E-04	5.78604E-05	2.18850E-04	15.3304	2
2.94705E+01	20	3.27989673614502	1.21301E+02	2.11684E-04	3.95068E-05	2.15339E-04	10.5716	2
2.32995E+01	20	3.2799026966095	1.27899E+02	2.12039E-04	3.03725E-05	2.14203E-04	8.15163	2
1.84207E+01	20	3.27992534637451	1.33899E+02	2.12766E-04	2.07470E-05	2.13775E-04	5.56937	2
1.45635E+01	20	3.2798764705658	1.40252E+02	2.15836E-04	1.19524E-05	2.16166E-04	3.16964	2
1.15140E+01	20	3.27990317344666	1.46995E+02	2.16984E-04	4.87535E-06	2.17039E-04	1.28715	2
9.10298E+00	20	3.2798810005188	1.53049E+02	2.18635E-04	9.38957E-07	2.18637E-04	0.246063	2
7.19686E+00	20	3.27994871139526	1.59410E+02	2.20132E-04	-2.76737E-06	2.20149E-04	-0.72025	2
5.68987E+00	20	3.2799551486969	1.66173E+02	2.23313E-04	-6.11740E-06	2.23396E-04	-1.56916	2
4.49843E+00	20	3.27994108200073	1.72238E+02	2.26273E-04	-1.06356E-05	2.26523E-04	-2.69111	2
3.55648E+00	20	3.27996945381165	1.78545E+02	2.27022E-04	-1.27440E-05	2.27380E-04	-3.21295	2
2.81177E+00	20	3.28000736236572	1.85090E+02	2.29317E-04	-1.42072E-05	2.29757E-04	-3.5452	2
2.22300E+00	20	3.28001499176025	1.92032E+02	2.31885E-04	-1.60796E-05	2.32442E-04	-3.9667	2
1.75751E+00	20	3.27997279167175	1.99454E+02	2.34721E-04	-1.84388E-05	2.35444E-04	-4.49171	2
