CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhi6+JAL04LXlRFg7cS3XaRcLGIzN2Gol0qGoJF7kq/oJ/bLOkJJFJ231pHM4nBnOjfzWtR+sIZHEGiUp9a0FFXnCmeW0nNOTARdiTnNpPXFhPSRszV9z34rvrEHsOfbEdeyOd+1Y1qLb6rQc17NbHgCvddVy247teqgjfqV0Z40EfS4oW+19a8CZFDy1FjyVZENPT8A69duXjnPp2m7Xsqx5klHfvvI7tm+76EWWUSZPT8K33ZSIjOQ+/M33OxpEw2UYxYt4NPvl5uzyrC8lZQVJYyoDG3CUhzP6B13JYC4KqojomNBowtdUbZgLwpYj8by8DRzbPmLGwKAGlkjAtFofJYykirBbtoMaCdvQ5W2y2SqNGk6StYHG/NVA/ULykAWOIczUsvLKUTZSSQX41K3BxARjE2jnMBrDeBneKQ34i7xb+qwES8P6VJJuBBwEObXjwGAyjpkpFQlfay7HDUOakr2SK6NaEx0dRMrmr8mq9CtOGO1nuwi8MdCvEFjlyxeS06j+O/BRPgbRYETSHG1AJZAsV1Xg4ZkEjVO+o1+VX4MtXf1ZataJhSqe8oTJXMEhXRcr+ZAIQx+XN6SM/KAQAirugMs19+Oie1Q0jqqJ47JxS86gPE0ZTBsZA3d0nCrYNYvACTo1cE3gmaBtgo4JuiboKYA5hKJT1eeoaJqM+4nxPjFtVYAm0/nEdIOrD0xPMRPCYAyUxt1jQts2CO8joQ9qENqwQXQ/Er2qW+gdgRK98b8Pxt9/ci+H1x2YQJfOdmk7Xku+yVJqSuT2/6XKCRWoKoWMVX0Qk2yXUmwcUY0HTaGMzvldkT3iKvyGjDymtP+W6KquCvNAhNFLjk0F3P1qtyBpAaXfcq/c63bXsa97PafnKQ9iyXfhCzpU6UB7GCecm9iWugdeVA8FOIhVYCD676UXDySRMV1xti51vIPefyFrKnwDCyiF/YFZ1irr3Wim5lWE3s/uWbqP2KqCZXWgCi1m1zLhB6Ha7bbSH81qYwJnJ3hkK6BDhfGu/JgV6cEF7bHJ/JYQ/sifEx0Kg2XIVhgqCq4a2Kud8IDSXTUgu6CnFcNVB2MiVzOscg6mv5arY0C/3v445obJJpFwkWWcy61xGMWPp6MBLyC9GHAciur60UHYMC4UrsxBqcQSbtgDAcNZkgl5gwWcM5DDsLz/3s9uBOhdJ2xzYGDq8td4R+m6dLBOqA7P4PfaVCF3hTxs1VDfH6rWBzRNdcn1BSUw1SCX8HPYMKQsT+Q+6LWuEEFYU4j5JnARqhZAqVmo84n/cwrz3cUwxOAbC9zuoYLr9N5QqeQqN/W6OtOBm3GIEZxbs56+J//jlRHlOTYxSFd9rjVOSZHXbVtyPCWiEhvsVynN1TQf0idSpDIsO1EBuPQuwGTEnrhfXjLNrH9uX/TRmizWFKHv4u1xge+QhKTGwwpvlQv1HDFInDoX+uKD5xS8xgrxRFbUwrj7Vv3BQ62MvsmqD7JxevJA4UEjP61ZLqyhtebtj/MG+tnsnze+JCRvLs4bmPomTIfzxrefm/fbrLXK/v4LgYluho1QiIZqInjisbVVTtP8H69uSlSbCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28302955627441	1.01129E+01	5.08067E-04	1.00957E-03	1.13021E-03	63.2862	2
7.90604E+02	20	3.28298592567444	1.72407E+01	4.71281E-04	8.39372E-04	9.62627E-04	60.6872	2
6.25055E+02	20	3.28311920166016	2.45350E+01	4.18025E-04	6.89678E-04	8.06474E-04	58.7793	2
4.94171E+02	20	3.28296518325806	3.20456E+01	3.73290E-04	5.75459E-04	6.85929E-04	57.0292	2
3.90694E+02	20	3.28287196159363	3.97817E+01	3.47020E-04	4.84322E-04	5.95811E-04	54.3782	2
3.08884E+02	20	3.28307771682739	4.78046E+01	3.23093E-04	3.96346E-04	5.11350E-04	50.8138	2
2.44205E+02	20	3.28315758705139	5.84286E+01	2.99637E-04	3.42887E-04	4.55361E-04	48.8509	2
1.93070E+02	20	3.28298735618591	6.69060E+01	2.78719E-04	2.86929E-04	4.00015E-04	45.8315	2
1.52642E+02	20	3.28330636024475	7.59583E+01	2.57281E-04	2.31629E-04	3.46187E-04	41.9965	2
1.20679E+02	20	3.28313422203064	8.45163E+01	2.44465E-04	1.93967E-04	3.12068E-04	38.4297	2
9.54095E+01	20	3.28323793411255	9.03150E+01	2.33973E-04	1.57036E-04	2.81786E-04	33.8683	2
7.54312E+01	20	3.2831563949585	9.63631E+01	2.23466E-04	1.29037E-04	2.58046E-04	30.0037	2
5.96362E+01	20	3.28321981430054	1.02152E+02	2.19234E-04	1.03374E-04	2.42383E-04	25.2451	2
4.71487E+01	20	3.28319025039673	1.08280E+02	2.13721E-04	7.28670E-05	2.25802E-04	18.8265	2
3.72759E+01	20	3.28321480751038	1.14665E+02	2.12969E-04	5.89207E-05	2.20969E-04	15.4648	2
2.94705E+01	20	3.28320932388306	1.21318E+02	2.12843E-04	3.98700E-05	2.16545E-04	10.6098	2
2.32995E+01	20	3.28323006629944	1.27901E+02	2.13735E-04	3.09261E-05	2.15961E-04	8.23319	2
1.84207E+01	20	3.28325748443604	1.33892E+02	2.14601E-04	2.18369E-05	2.15710E-04	5.81016	2
1.45635E+01	20	3.28321361541748	1.40238E+02	2.17805E-04	1.23248E-05	2.18154E-04	3.23872	2
1.15140E+01	20	3.28322458267212	1.46996E+02	2.19061E-04	4.71061E-06	2.19112E-04	1.23188	2
9.10298E+00	20	3.28329586982727	1.53044E+02	2.18910E-04	2.35141E-06	2.18923E-04	0.615416	2
7.19686E+00	20	3.28322386741638	1.59412E+02	2.22140E-04	-2.37219E-06	2.22153E-04	-0.611825	2
5.68987E+00	20	3.28325414657593	1.66178E+02	2.24467E-04	-6.41819E-06	2.24559E-04	-1.63781	2
4.49843E+00	20	3.28329539299011	1.72246E+02	2.25980E-04	-9.62836E-06	2.26185E-04	-2.43973	2
3.55648E+00	20	3.28327798843384	1.78560E+02	2.28967E-04	-1.19357E-05	2.29278E-04	-2.98403	2
2.81177E+00	20	3.28329181671143	1.85104E+02	2.30161E-04	-1.38719E-05	2.30578E-04	-3.44908	2
2.22300E+00	20	3.28332233428955	1.92047E+02	2.33281E-04	-1.58885E-05	2.33822E-04	-3.89634	2
1.75751E+00	20	3.28333687782288	1.99476E+02	2.35733E-04	-1.90463E-05	2.36501E-04	-4.61924	2
