CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhi6+JAL04LXlRFg7cS3XaRcLGIzN2Gol0qGoJF7kq/oJ/bLOkJJFJ231pHM4nBnOjfzWtR+sIZHEGiUp9a0FFXnCmeW0nNOTARdiTnNpPXFhPSRszV9z34rvrEHsOfbEdeyOd+1Y1qLb6rQc17NbHgCvddVy247teqgjfqV0Z40EfS4oW+19a8CZFDy1FjyVZENPT8A69duXjnPp2m7Xsqx5klHf7vmu7Tsd9CLLKJOnJ+HbbkpERnIf/ub7HQ2i4TKM4kU8mv1yc3Z51peSsoKkMZWBDTjKwxn9g65kMBcFVUR0TGg04WuqNswFYcuReF7eBo5tHzFjYFADSyRgWq2PEkZSRdgt20GNhG3o8jbZbJVGDSfJ2kBj/mqgfiF5yALHEGZqWXnlKBuppAJ86tZgYoKxCbRzGI1hvAzvlAb8Rd4tfVaCpWF9Kkk3Ag6CnNpxYDAZx8yUioSvNZfjhiFNyV7JlVGtiY4OImXz12RV+hUnjPazXQTeGOhXCKzy5QvJaVT/HfgoH4NoMCJpjjagEkiWqyrw8EyCxinf0a/Kr8GWrv4sNevEQhVPecJkruCQrouVfEiEoY/LG1JGflAIARV3wOWa+3HRPSoaR9XEcdm4JWdQnqYMpo2MgTs6ThXsmkXgBJ0auCbwTNA2QccEXRP0FMAcQtGp6nNUNE3G/cR4n5i2KkCT6XxiusHVB6anmAlhMAZK4+4xoW0bhPeR0Ac1CG3YILofiV7VLfSOQIne+N8H4+8/uZfD6w5MoEtnu7QdtyXfZCk1JXL7/1LlhApUlULGqj6ISbZLKTaOqMaDplBG5/yuyB5xFX5DRh5T2n9LdFVXhXkgwuglx6YC7n61W5C0gNJvuVdez7tyvK577XSUA7Hku/AF/alUoDlcw7GJXalb4EW1UIBzWMUFgv9eOvFAEhnTFWfrUsc76P0XsqbCN7CAUtgemGStst6NZmpeBej97J6l+4itKlgWB6rQYnYtE34Qqt1uK/3RrDYmcHSCR7YCOlIY7sqPWZEeXNAem8xvCeGP/DnRoTBYhmyFoaDgpoG92gkPKN1UA7ILelox3HQwJXI1wirnYPhruToG9Ovtj2NumGwSCfdYxrncGodR/Hg6GvAC0osBx5mobh8dhA3jQuHKHFRKLOGCPRAwmyWZkDdYwDEDOQzL6+/97EaA3nXCNgcGhi5/jXeUrksH64Tq8Ax+r00VclfIw1YN9fWhSn1A01SXXF9QAkMNcgk/hw1DyvJE7oNe6woRhDWFmG8CF6HqAJSahTqf+D+nMN5dDEMMvrHA7R4quE7vDZVKrnJTr6szHbgZhxjBuTXr6WvyPx4ZUZ5jD4N01eZa45QUed21JcdTIiqxwX6V0lwN8yF9IkUqw7ITFYA77wJMRuyJ++Ud08z65/ZFH63JYk0RwqMIvgt8hiQkNd5VeKlcqNeIQeLQudD3nt+x4TFWiCeyohbG3bfqD95pZfRNVn2QjdOTBwrvGflpzXJhDa01b3+cN9DPZv+88SUheXNx3sDUN2E6nDe+/dy832atVfb3XwhMdDNshEI0VBPBC4+trXKY5v8A7OX03JoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28386282920837	1.01119E+01	5.17566E-04	1.01613E-03	1.14035E-03	63.008	2
7.90604E+02	20	3.28375577926636	1.72390E+01	4.63888E-04	8.50704E-04	9.68964E-04	61.3964	2
6.25055E+02	20	3.28375124931335	2.45490E+01	4.20477E-04	6.94508E-04	8.11876E-04	58.8079	2
4.94171E+02	20	3.28369331359863	3.20548E+01	3.79372E-04	5.78017E-04	6.91395E-04	56.7217	2
3.90694E+02	20	3.28365445137024	3.97839E+01	3.47630E-04	4.76936E-04	5.90182E-04	53.9124	2
3.08884E+02	20	3.2835910320282	4.78255E+01	3.15604E-04	3.96037E-04	5.06411E-04	51.4485	2
2.44205E+02	20	3.2838306427002	5.84514E+01	2.96618E-04	3.41014E-04	4.51965E-04	48.9829	2
1.93070E+02	20	3.28375864028931	6.69310E+01	2.76599E-04	2.85594E-04	3.97581E-04	45.9166	2
1.52642E+02	20	3.28368306159973	7.59819E+01	2.54872E-04	2.31464E-04	3.44290E-04	42.2443	2
1.20679E+02	20	3.28383660316467	8.45262E+01	2.42900E-04	1.93207E-04	3.10369E-04	38.4994	2
9.54095E+01	20	3.28396391868591	9.03252E+01	2.30914E-04	1.57047E-04	2.79258E-04	34.22	2
7.54312E+01	20	3.28392601013184	9.63665E+01	2.22571E-04	1.27406E-04	2.56457E-04	29.788	2
5.96362E+01	20	3.28388071060181	1.02152E+02	2.17785E-04	1.03345E-04	2.41062E-04	25.3856	2
4.71487E+01	20	3.28387808799744	1.08285E+02	2.12910E-04	7.25113E-05	2.24919E-04	18.8074	2
3.72759E+01	20	3.2838819026947	1.14659E+02	2.11290E-04	5.93929E-05	2.19479E-04	15.7005	2
2.94705E+01	20	3.2839367389679	1.21309E+02	2.10982E-04	3.93799E-05	2.14626E-04	10.5726	2
2.32995E+01	20	3.283935546875	1.27892E+02	2.12501E-04	3.05820E-05	2.14691E-04	8.18946	2
1.84207E+01	20	3.28393340110779	1.33890E+02	2.14796E-04	2.04281E-05	2.15765E-04	5.43277	2
1.45635E+01	20	3.28391146659851	1.40235E+02	2.15543E-04	1.16348E-05	2.15857E-04	3.08976	2
1.15140E+01	20	3.28397226333618	1.46974E+02	2.17415E-04	5.39391E-06	2.17482E-04	1.42117	2
9.10298E+00	20	3.28400015830994	1.53030E+02	2.18531E-04	1.58607E-06	2.18537E-04	0.415838	2
7.19686E+00	20	3.28395175933838	1.59390E+02	2.21525E-04	-2.13147E-06	2.21535E-04	-0.551272	2
5.68987E+00	20	3.28395318984985	1.66156E+02	2.23184E-04	-6.12683E-06	2.23268E-04	-1.57248	2
4.49843E+00	20	3.28398203849792	1.72219E+02	2.25837E-04	-8.38181E-06	2.25993E-04	-2.12552	2
3.55648E+00	20	3.2839937210083	1.78525E+02	2.28295E-04	-1.18846E-05	2.28604E-04	-2.98002	2
2.81177E+00	20	3.28401970863342	1.85059E+02	2.29481E-04	-1.33552E-05	2.29869E-04	-3.3307	2
2.22300E+00	20	3.28410744667053	1.92005E+02	2.32561E-04	-1.57377E-05	2.33093E-04	-3.87139	2
1.75751E+00	20	3.28405332565308	1.99430E+02	2.34462E-04	-1.83031E-05	2.35175E-04	-4.4637	2
1.38950E+00	20	3.28414797782898	2.07413E+02	2.37599E-04	-2.03359E-05	2.38468E-04	-4.89197	2
1.09854E+00	20	3.28418040275574	2.16199E+02	2.40448E-04	-2.27770E-05	2.41524E-04	-5.41133	2
8.68511E-01	20	3.2840895652771	2.23685E+02	2.43291E-04	-2.48712E-05	2.44559E-04	-5.83696	2
6.86649E-01	20	3.28411936759949	2.31770E+02	2.45701E-04	-2.80540E-05	2.47298E-04	-6.51379	2
5.42867E-01	20	3.28430509567261	2.40655E+02	2.48349E-04	-3.27277E-05	2.50496E-04	-7.50726	2
4.29193E-01	20	3.28451776504517	2.48174E+02	2.52621E-04	-3.89611E-05	2.55608E-04	-8.76748	2
3.39322E-01	20	3.28475427627563	2.56321E+02	2.57301E-04	-4.47197E-05	2.61158E-04	-9.8597	2
2.68270E-01	20	3.28482389450073	2.65348E+02	2.64818E-04	-5.06707E-05	2.69622E-04	-10.8321	2
2.12095E-01	20	3.2847888469696	2.75469E+02	2.72540E-04	-5.68965E-05	2.78415E-04	-11.7919	2
1.67683E-01	20	3.28476142883301	2.86833E+02	2.80842E-04	-6.32739E-05	2.87882E-04	-12.6968	2
1.32571E-01	20	3.28467273712158	2.99783E+02	2.89836E-04	-7.02392E-05	2.98226E-04	-13.6225	2
1.04811E-01	20	3.28447031974792	3.14730E+02	2.99370E-04	-7.81416E-05	3.09400E-04	-14.6289	2
8.28642E-02	20	3.28425288200378	3.32399E+02	3.09780E-04	-8.70385E-05	3.21776E-04	-15.6937	2
6.55128E-02	20	3.28409266471863	3.53258E+02	3.21231E-04	-9.73552E-05	3.35660E-04	-16.8604	2
5.17947E-02	20	3.28373432159424	3.78169E+02	3.34548E-04	-1.09594E-04	3.52042E-04	-18.1381	2
4.09491E-02	20	3.28354620933533	4.08196E+02	3.49746E-04	-1.23041E-04	3.70758E-04	-19.3819	2
3.23746E-02	20	3.2831871509552	4.44708E+02	3.66940E-04	-1.38938E-04	3.92363E-04	-20.7387	2
2.55955E-02	20	3.28286170959473	4.89370E+02	3.86435E-04	-1.56351E-04	4.16867E-04	-22.0281	2
2.02359E-02	20	3.28248023986816	5.44409E+02	4.09787E-04	-1.75607E-04	4.45828E-04	-23.1967	2
1.59986E-02	20	3.28211617469788	6.12526E+02	4.35979E-04	-1.96972E-04	4.78409E-04	-24.3131	2
1.26485E-02	20	3.28162670135498	6.97201E+02	4.66021E-04	-2.19972E-04	5.15328E-04	-25.2683	2
1.00000E-02	20	3.28119301795959	8.03511E+02	5.00992E-04	-2.43410E-04	5.56993E-04	-25.9131	2
