CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSq1KD9AaaRccCC00YGWJSzdPToScsGF7CY2dZy2HPWp9hH2yXbGTohpdzdX+T6PZ8bzZ3/r2g/WkEhijZKU+taCijzhzHJazunJgAsxp7m0nriwHhK25q+5b8V31iD2HHviOnbHu3Ysa9FtdVqO69ktD4DX6rXctmO7HuqIXyndWSNBnwvKVnvfGnAmBU+tBU8l2dDTE7BO/fal41y6ttu1LGueZNS3O37H9t0eepFllMnTk/BtNyUiI7kPf/P9jgbRcBlG8SIezX65Obs860tJWUHSmMrABhzl4Yz+QVcymIuCKiI6JjSa8DVVG+aCsOVIPC9vA8e2j5gxMKiBJRIwrdZHCSOpIuyW7aBGwjZ0eZtstkqjhpNkbaAxfzVQv5A8ZIFjCDO1rLxylI1UUgE+dWswMcHYBNo5jMYwXoZ3SgP+Iu+WPivB0rA+laQbAQdBTu04MJiMY2ZKRcLXmstxw5CmZK/kyqjWREcHkbL5a7Iq/YoTRvvZLgJvDPQrBFb58oXkNKr/DnyUj0E0GJE0RxtQCSTLVRV4eCZB45Tv6Ffl12BLV3+WmnVioYqnPGEyV3BI18VKPiTC0MflDSkjPyiEgIo74HLN/bjoHhWNo2riuGzckjMoT1MG00bGwB0dpwp2zSJwgk4NXBN4JmiboGOCrgmuFMAcQtGp6nNUNE3G/cR4n5i2KkCT6XxiukHvA3OlmAlhMAZK4+4xoW0bhPeR0Ac1CG3YILofiauqW+gdgRK98b8Pxt9/ci+H1x2YQJfOdmk7Tku+yVJqSuT2/6XKCRWoKoWMVX0Qk2yXUmwcUY0HTaGMzvldkT3iKvyGjDymtP+W6KquCvNAhNFLjk0F3P1qtyBpAaXfcnvtdrfXhul7fe1eKw9iyXfhCzpU6UB7GCecm9iWugdeVA8FOIhVYCD676UXDySRMV1xti51vIPefyFrKnwDCyiF/YFZ1irr3Wim5lWE3s/uWbqP2KqCZXWgCi1m1zLhB6Ha7bbSH81qYwJnJ3hkK6BDhfGu/JgV6cEF7bHJ/JYQ/sifEx0Kg2XIVhgqCq4a2Kud8IDSXTUgu+BKK4arDsZErmZY5RxMfy1Xx4B+vf1xzA2TTSLhIss4l1vjMIofT0cDXkB6MeA4FNX1o4OwYVwoXJmDUokl3LAHAoazJBPyBgs4ZyCHYXn/vZ/dCNC7TtjmwMDU5a/xjtJ16WCdUB2ewe+1qULuCnnYqqG+P1StD2ia6pLrC0pgqkEu4eewYUhZnsh9cNXqIYKwphDzTeAiVC2AUrNQ5xP/5xTmu4thiME3FrjdQwXX6b2hUslVbup1daYDN+MQIzi3Zj19T/7HKyPKc2xikK76XGuckiKv27bkeEpEJTbYr1Kaq2k+pE+kSGVYdqICcOldgMmIPXG/vGSaWf/cvuijNVmsKULfxdvjAt8hCUmNhxXeKhfqOWKQOHUu9MUHzyl4jRXiiayohXH3rfqDh1oZfZNVH2Tj9OSBwoNGflqz8H2G1pq3P84b6Gezf974kpC8uThvYOqbMB3OG99+bt5vs9Yq+/svBCa6GTZCIRqqieCJx9ZWOU3zfwB3sQNMmwoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28453350067139	1.01145E+01	5.10242E-04	1.01126E-03	1.13269E-03	63.2262	2
7.90604E+02	20	3.28451633453369	1.72491E+01	4.53548E-04	8.31018E-04	9.46730E-04	61.3754	2
6.25055E+02	20	3.28451752662659	2.45524E+01	4.10604E-04	6.95711E-04	8.07842E-04	59.4512	2
4.94171E+02	20	3.28448367118835	3.20618E+01	3.76096E-04	5.68895E-04	6.81975E-04	56.5313	2
3.90694E+02	20	3.28443503379822	3.97848E+01	3.47020E-04	4.71806E-04	5.85683E-04	53.665	2
3.08884E+02	20	3.28441214561462	4.78157E+01	3.12173E-04	3.98391E-04	5.06130E-04	51.9184	2
2.44205E+02	20	3.28461337089539	5.84552E+01	2.92554E-04	3.37914E-04	4.46961E-04	49.1152	2
1.93070E+02	20	3.28460454940796	6.69285E+01	2.72691E-04	2.83219E-04	3.93158E-04	46.0849	2
1.52642E+02	20	3.28444314002991	7.59748E+01	2.52948E-04	2.26799E-04	3.39736E-04	41.8802	2
1.20679E+02	20	3.28466725349426	8.45224E+01	2.39935E-04	1.90735E-04	3.06510E-04	38.4828	2
9.54095E+01	20	3.28471064567566	9.03206E+01	2.29327E-04	1.54977E-04	2.76783E-04	34.0505	2
7.54312E+01	20	3.28470945358276	9.63619E+01	2.20790E-04	1.24732E-04	2.53587E-04	29.4636	2
5.96362E+01	20	3.28463435173035	1.02151E+02	2.15259E-04	1.00791E-04	2.37687E-04	25.0904	2
4.71487E+01	20	3.28468632698059	1.08297E+02	2.12278E-04	7.04056E-05	2.23649E-04	18.349	2
3.72759E+01	20	3.28463196754456	1.14668E+02	2.10845E-04	5.76728E-05	2.18591E-04	15.298	2
2.94705E+01	20	3.28465676307678	1.21326E+02	2.09772E-04	3.95818E-05	2.13474E-04	10.6855	2
2.32995E+01	20	3.28467583656311	1.27913E+02	2.11614E-04	2.97662E-05	2.13698E-04	8.00682	2
1.84207E+01	20	3.28468632698059	1.33912E+02	2.11492E-04	2.18726E-05	2.12620E-04	5.90457	2
1.45635E+01	20	3.28466248512268	1.40252E+02	2.14381E-04	1.13104E-05	2.14679E-04	3.02003	2
1.15140E+01	20	3.28467702865601	1.47007E+02	2.17060E-04	4.81233E-06	2.17113E-04	1.27007	2
9.10298E+00	20	3.28470325469971	1.53056E+02	2.18845E-04	1.27692E-06	2.18849E-04	0.334307	2
7.19686E+00	20	3.28469610214233	1.59417E+02	2.20993E-04	-2.72714E-06	2.21009E-04	-0.707019	2
5.68987E+00	20	3.28472447395325	1.66177E+02	2.23139E-04	-5.95794E-06	2.23218E-04	-1.52947	2
4.49843E+00	20	3.28474545478821	1.72254E+02	2.24072E-04	-8.25211E-06	2.24223E-04	-2.10914	2
3.55648E+00	20	3.28475284576416	1.78568E+02	2.27689E-04	-1.20669E-05	2.28008E-04	-3.03368	2
2.81177E+00	20	3.28474998474121	1.85105E+02	2.29381E-04	-1.34749E-05	2.29776E-04	-3.36196	2
2.22300E+00	20	3.2847695350647	1.92052E+02	2.31649E-04	-1.58979E-05	2.32193E-04	-3.92601	2
1.75751E+00	20	3.28474187850952	1.99480E+02	2.33470E-04	-1.81108E-05	2.34172E-04	-4.43567	2
