CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSq1KD9A20i54ECg0YGWJSzdPToScsGF7CY2dZy2HPWp9hH2yXbGTohpdzdX+T6PZ8bzZ3/r2g/WgEhiDZOU+taCijzhzHJazulJnwsxp7m0nriwHhK25q+5b8V3Vj/2HHviOnbHu3Esa9FtdVqO69ktD4DXum65bcd2PdQRv1K6s4aCPheUrfa+1edMCp5aC55KsqGnJ2Cd+u1Lx7l0bbdrWdY8yahvt33X9ts2epFllMnTk/BtNyUiI7kPf/P9jgbRYBlG8SIezn4ZnV2e9aSkrCBpTGVgA47ycEb/oCsZzEVBFREdExpN+JqqDXNB2HIonpe3gWPbR8wYGNTAEgmYVuvDhJFUEXbLdlAjYRu6vE02W6VRw0myNtCYvxqoV0gessAxhJlaVl45ykYqqQCfujWYmGBsAu0cRmMQL8M7pQF/kXdLn5VgaVifStKNgIMgp3YcGEzGMTOlIuFrzeW4YUBTsldyZVRroqODSNn8NVmVfsUJo71sF4E3BvoVAqt8+UJyGtV/Bz7KxyAaDEmaow2oBJLlqgo8PJOgccp39Kvyq7+lqz9LzTqxUMVTnjCZKzig62IlHxJh6ONyRMrI9wshoOIOuFxzPy66R0XjqJo4Lhu35AzK05TBtJExcEfHqYJdswicoFMD1wSeCdom6Jiga4IrBTCHUHSq+hwVTZNxPzHeJ6atCtBkOp+YbnD9gblSzIQwGAOlcfeY0LYNwvtI6IMahDZsEN2PxFXVLfSOQImO/O/98fef3MvBTQcm0KWzXdqO3ZJvspSaErn9f6lyQgWqSiFjVR/EJNulFBtHVONBUyijc35XZI+4Cr8hI48p7b0luqqrwjwQYfSSY1MBd7/aLUhaQOm33OtO+8Zpd7sdFz7lQSz5LnxBhyodaA/jhHMT21L3wIvqoQAHsQoMRP+99OKBJDKmK87WpY530PsvZE2Fb2ABpbA/MMtaZb0bzdS8itD72T1L9xFbVbCsDlShxexaJvwgVLvdVvqjWW1M4OwEj2wFdKgw3pUfsyI9uKA9NpnfEsIf+XOiQ2GwDNkKQ0XBVQN7tRMeULqr+mQXXGnFcNXBmMjVDKucg+mv5eoY0K+3P465QbJJJFxkGedyaxxG8ePpsM8LSC8GHIeiun50EDaMC4Urc1AqsYQb9kDAcJZkQt5gAecM5DAs77/3s5EAveuEbQ4MTF3+Gu8oXZcO1gnV4en/Xpsq5K6Qh60a6vtD1XqfpqkuuZ6gBKYa5BJ+DhsGlOWJ3AdXrWtEENYUYr4JXISqBVBqFup84v+cwnx3MQwx+MYCt3uo4Dq9IyqVXOWmXldnOnAzDjGCc2vW0/fkf7wyojzHJgbpqs+1xikp8rptS46nRFRi/f0qpbma5gP6RIpUhmUnKgCX3gWYjNgT98tLppn1zu2LHlqTxZoihFcRfBf4DklIajys8Fa5UM8Rg8Spc6EvPr8Db6m4EE9kRS2Mu2/VHzzUyuibrPogG6cnDxQeNPLTmuXCGlpr3v44b6Cfzd5540tC8ubivIGpb8J0OG98+7l5v81aq+zvvxCYaDRohEI0VBPBE4+trXKa5v8AykXbQJsKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28554940223694	1.01301E+01	4.98739E-04	1.02175E-03	1.13698E-03	63.982	2
7.90604E+02	20	3.28554558753967	1.72590E+01	4.54941E-04	8.33531E-04	9.49602E-04	61.3743	2
6.25055E+02	20	3.28554892539978	2.45563E+01	4.09759E-04	6.87256E-04	8.00139E-04	59.1956	2
4.94171E+02	20	3.28550839424133	3.20497E+01	3.71195E-04	5.74976E-04	6.84385E-04	57.1544	2
3.90694E+02	20	3.28561186790466	3.97860E+01	3.37525E-04	4.75212E-04	5.82881E-04	54.6152	2
3.08884E+02	20	3.28573679924011	4.78236E+01	3.09562E-04	3.90707E-04	4.98478E-04	51.6097	2
2.44205E+02	20	3.28574013710022	5.84496E+01	2.91983E-04	3.37287E-04	4.46113E-04	49.1179	2
1.93070E+02	20	3.28533363342285	6.69164E+01	2.71718E-04	2.81694E-04	3.91385E-04	46.0327	2
1.52642E+02	20	3.28572773933411	7.59663E+01	2.52286E-04	2.25277E-04	3.38228E-04	41.763	2
1.20679E+02	20	3.28560972213745	8.45126E+01	2.38863E-04	1.89687E-04	3.05019E-04	38.454	2
9.54095E+01	20	3.28571248054504	9.03078E+01	2.28312E-04	1.54246E-04	2.75533E-04	34.0426	2
7.54312E+01	20	3.28572010993958	9.63478E+01	2.22129E-04	1.22396E-04	2.53618E-04	28.8552	2
5.96362E+01	20	3.28564810752869	1.02131E+02	2.15592E-04	9.96096E-05	2.37491E-04	24.7983	2
4.71487E+01	20	3.28569006919861	1.08262E+02	2.09877E-04	7.04663E-05	2.21391E-04	18.5595	2
3.72759E+01	20	3.28566002845764	1.14638E+02	2.09775E-04	5.75510E-05	2.17526E-04	15.3414	2
2.94705E+01	20	3.28566098213196	1.21287E+02	2.10693E-04	3.85228E-05	2.14186E-04	10.3614	2
2.32995E+01	20	3.28566384315491	1.27872E+02	2.10643E-04	3.04013E-05	2.12825E-04	8.2126	2
1.84207E+01	20	3.2856764793396	1.33866E+02	2.12828E-04	2.09428E-05	2.13856E-04	5.61993	2
1.45635E+01	20	3.28567695617676	1.40210E+02	2.14312E-04	1.15875E-05	2.14625E-04	3.09487	2
1.15140E+01	20	3.28569459915161	1.46954E+02	2.17390E-04	4.19313E-06	2.17430E-04	1.10501	2
9.10298E+00	20	3.28571724891663	1.53007E+02	2.18924E-04	2.60273E-06	2.18940E-04	0.681142	2
7.19686E+00	20	3.2856867313385	1.59365E+02	2.20239E-04	-2.24437E-06	2.20250E-04	-0.583858	2
5.68987E+00	20	3.28575158119202	1.66136E+02	2.22759E-04	-5.45211E-06	2.22826E-04	-1.40206	2
4.49843E+00	20	3.28568911552429	1.72194E+02	2.25374E-04	-8.26959E-06	2.25525E-04	-2.1014	2
3.55648E+00	20	3.28575897216797	1.78499E+02	2.27643E-04	-1.11132E-05	2.27914E-04	-2.79488	2
2.81177E+00	20	3.28574895858765	1.85047E+02	2.28059E-04	-1.24136E-05	2.28397E-04	-3.11561	2
2.22300E+00	20	3.28578424453735	1.91985E+02	2.30655E-04	-1.52757E-05	2.31160E-04	-3.78902	2
1.75751E+00	20	3.28577971458435	1.99410E+02	2.33166E-04	-1.79057E-05	2.33853E-04	-4.39134	2
1.38950E+00	20	3.28584599494934	2.07419E+02	2.36049E-04	-1.98350E-05	2.36880E-04	-4.80324	2
1.09854E+00	20	3.2858452796936	2.16214E+02	2.38004E-04	-2.14802E-05	2.38971E-04	-5.15706	2
8.68511E-01	20	3.28581976890564	2.23700E+02	2.40922E-04	-2.41924E-05	2.42133E-04	-5.73418	2
6.86649E-01	20	3.28585457801819	2.31785E+02	2.43455E-04	-2.73217E-05	2.44984E-04	-6.40321	2
5.42867E-01	20	3.28605079650879	2.40674E+02	2.46430E-04	-3.16290E-05	2.48452E-04	-7.31385	2
4.29193E-01	20	3.28621029853821	2.48194E+02	2.50522E-04	-3.64611E-05	2.53162E-04	-8.28072	2
3.39322E-01	20	3.28639435768127	2.56339E+02	2.55000E-04	-4.25003E-05	2.58517E-04	-9.46239	2
2.68270E-01	20	3.28647685050964	2.65362E+02	2.62209E-04	-4.82672E-05	2.66614E-04	-10.4302	2
2.12095E-01	20	3.28647303581238	2.75489E+02	2.69034E-04	-5.40543E-05	2.74410E-04	-11.3606	2
1.67683E-01	20	3.2864408493042	2.86856E+02	2.77894E-04	-6.02785E-05	2.84356E-04	-12.2385	2
1.32571E-01	20	3.28627681732178	2.99803E+02	2.86155E-04	-6.66582E-05	2.93816E-04	-13.1129	2
1.04811E-01	20	3.28613901138306	3.14746E+02	2.95391E-04	-7.39289E-05	3.04502E-04	-14.051	2
8.28642E-02	20	3.28593850135803	3.32412E+02	3.05682E-04	-8.24023E-05	3.16594E-04	-15.0865	2
6.55128E-02	20	3.28571677207947	3.53278E+02	3.16802E-04	-9.19613E-05	3.29879E-04	-16.1869	2
5.17947E-02	20	3.28549075126648	3.78191E+02	3.29464E-04	-1.03350E-04	3.45294E-04	-17.4162	2
4.09491E-02	20	3.28523802757263	4.08214E+02	3.44113E-04	-1.15823E-04	3.63083E-04	-18.6025	2
3.23746E-02	20	3.28494954109192	4.44722E+02	3.60306E-04	-1.30231E-04	3.83119E-04	-19.8722	2
2.55955E-02	20	3.28463983535767	4.89393E+02	3.79214E-04	-1.46023E-04	4.06357E-04	-21.06	2
2.02359E-02	20	3.28427743911743	5.44427E+02	4.00779E-04	-1.63752E-04	4.32942E-04	-22.2242	2
1.59986E-02	20	3.28394341468811	6.12545E+02	4.25870E-04	-1.83080E-04	4.63555E-04	-23.2627	2
1.26485E-02	20	3.28355264663696	6.97219E+02	4.54195E-04	-2.03431E-04	4.97672E-04	-24.1273	2
1.00000E-02	20	3.28312492370605	8.03525E+02	4.87395E-04	-2.25270E-04	5.36936E-04	-24.806	2
