CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSq1KD8EaKRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G8t+8HqE0msQZLSwFpQkSWcWU7DOT/rcSHmNJPWExfWQ8LW/DULrPjO6sWeY09cx/a9G8eyFq2G33Bcz254ALxGp+E2Hdv1UEf8SuneGgj6nFO2OgRWjzMpeGoteCrJhp6fgXUaNK8d59q13ZZlWfNkRwPbDXw78D30YrejTJ6fRW/7KRE7kgXwNz/saTjqL6NRvIgHs1+GF9cXXSkpy0kaUxnagEdZNKN/0JUM5yKnihidEhpN+JqqDXNB2HIgnpe3oWPbJ8wYGNTAEgmYluuDhJFUEXbDdlAjYRu6vE02W6VRw0myNtCYvxqom0sesdAxhJlaVl45ykYqqQCfWhWYmGBsAu0cRqMfL6M7pQF/kXcLn5VgYVifStKNgIMgp3YcGUzGKTOlIuFrzWW4oU9TclByRVQrwtdBpGz+mqwKv+KE0e5uPwJvDPQrBFb58oVkdFT9HflRNgbRcEDSDG1AJZBdpqrAwzMJGqd8T78qv3pbuvqz0KwTC1U85QmTmYJ9us5X8iERhj4uh6SIfC8XAiruiIs19+Oie1I0jqqJ07JxC86gPE0ZTBMZA/s6TiVsmUXghH4FXBN4JmiawDdBywRtBTCHUHSq+hwVTZNxPzHeJ6apCtBk/E9MK+x8YNqKmRAGY6Aw7p4S2rZBeB8JfVCD0IYNovWRaJfdQu8IlOgw+N4bf//Jve7f+DCBrp3t0rZvGvJNFlJTIrf/L1VMqFBVKWSs7IOY7PYpxcYR5XjQFMronN/lu0dchd+IkceUdt8SXdVlYR6JaPSSYVMBd7/aL0iaQ+k33E6747V9mMRN2+8oD2LJ99ELOlTqQHsYJ5yb2Ja6B15UD4U4iFVgIPrvhRcPJJExXXG2LnS8g95/ISsqegMLKIX9gVnWKqvdaKbiVYTeL+5ZehixVQmL6kAVWsyuZKIPQpXbTaV/NKuMCZyd4JGtgA4Vxrv0Y5anRxe0xybzW0L4I39OdCgMliFbYqgouGpgr3bCA0p3VY/sw7ZWDFcdjIlMzbDSOZj+Wq6KAf16++OU6yebRMJFtuNcbo3DKH48HfR4DunFgONQVNePDsKGcaFwaQ5KJZZwwx4JGM6STMgbLOCcgRxGxf33fjEUoHedsM2RganLX+M9pevCwSqhOjy93ytTudzn8rhVQ31/qFrv0TTVJdcVlMBUg1zCz3FDn7IskYew3egggrCmEPNN6CJULYBSs0jnE//nFOa7i2GIwTcWuq1jBVfpHVKp5Eo39bo605GbcYgRnFuznr4n/+OVMcoybGKQLvtca5ySPKvatuB4SkQp1jusUpqpad6nTyRPZVR0ogJw6V2ByRF74kFxydR33Uv7qovWZL6mCAMXb48rfIckJDUeVnirXKnniEHi1LnSFx88p+A1losnsqIWxj2wqg8eakX0TVZ9kI3zswcKDxr5ac1yYQ2t1W9/XNbQz3r3svYlIVl9cVnD1NdhOlzWvv1cv9/uGqvd338hMNGwX4uEqKkmgiceW1vFNM3+AQ11cUebCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28789401054382	1.01151E+01	5.15709E-04	1.01213E-03	1.13594E-03	62.9998	2
7.90604E+02	20	3.28778076171875	1.72445E+01	4.66001E-04	8.41840E-04	9.62212E-04	61.0332	2
6.25055E+02	20	3.28795075416565	2.45437E+01	4.23034E-04	7.01089E-04	8.18831E-04	58.8934	2
4.94171E+02	20	3.28796458244324	3.20544E+01	3.66611E-04	5.74904E-04	6.81849E-04	57.4747	2
3.90694E+02	20	3.28780388832092	3.97821E+01	3.42729E-04	4.84991E-04	5.93868E-04	54.7523	2
3.08884E+02	20	3.28779149055481	4.78106E+01	3.14804E-04	4.02722E-04	5.11162E-04	51.9856	2
2.44205E+02	20	3.28777408599854	5.84353E+01	2.97006E-04	3.42041E-04	4.52995E-04	49.0311	2
1.93070E+02	20	3.28776454925537	6.69151E+01	2.76336E-04	2.86314E-04	3.97916E-04	46.016	2
1.52642E+02	20	3.28789615631104	7.59595E+01	2.54953E-04	2.30150E-04	3.43468E-04	42.073	2
1.20679E+02	20	3.28786492347717	8.45151E+01	2.42887E-04	1.93451E-04	3.10511E-04	38.5361	2
9.54095E+01	20	3.28795504570007	9.03198E+01	2.31922E-04	1.58825E-04	2.81092E-04	34.4042	2
7.54312E+01	20	3.28790807723999	9.63528E+01	2.21163E-04	1.28109E-04	2.55588E-04	30.0817	2
5.96362E+01	20	3.28795909881592	1.02136E+02	2.16761E-04	1.02790E-04	2.39899E-04	25.3708	2
4.71487E+01	20	3.28798532485962	1.08283E+02	2.11716E-04	7.30885E-05	2.23977E-04	19.0457	2
3.72759E+01	20	3.28796243667603	1.14666E+02	2.10407E-04	5.91680E-05	2.18568E-04	15.7064	2
2.94705E+01	20	3.28798747062683	1.21311E+02	2.09685E-04	4.00627E-05	2.13478E-04	10.8167	2
2.32995E+01	20	3.28797793388367	1.27901E+02	2.11898E-04	3.06903E-05	2.14109E-04	8.24115	2
1.84207E+01	20	3.28803467750549	1.33893E+02	2.12149E-04	2.19210E-05	2.13278E-04	5.89936	2
1.45635E+01	20	3.28800201416016	1.40238E+02	2.14404E-04	1.30281E-05	2.14799E-04	3.47726	2
1.15140E+01	20	3.28805875778198	1.46997E+02	2.16520E-04	5.93616E-06	2.16601E-04	1.57044	2
9.10298E+00	20	3.28802156448364	1.53043E+02	2.17781E-04	2.83133E-06	2.17799E-04	0.744851	2
7.19686E+00	20	3.28803467750549	1.59410E+02	2.20505E-04	-2.21152E-06	2.20516E-04	-0.574619	2
5.68987E+00	20	3.28799915313721	1.66174E+02	2.21752E-04	-4.76032E-06	2.21803E-04	-1.22977	2
4.49843E+00	20	3.28806114196777	1.72248E+02	2.24864E-04	-8.15348E-06	2.25012E-04	-2.07661	2
3.55648E+00	20	3.28804969787598	1.78561E+02	2.25931E-04	-9.51629E-06	2.26131E-04	-2.41189	2
2.81177E+00	20	3.28809380531311	1.85108E+02	2.28683E-04	-1.24960E-05	2.29024E-04	-3.12771	2
2.22300E+00	20	3.28813624382019	1.92049E+02	2.30269E-04	-1.49442E-05	2.30754E-04	-3.71321	2
1.75751E+00	20	3.28804636001587	1.99478E+02	2.32485E-04	-1.67215E-05	2.33085E-04	-4.11393	2
