CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSq1KD8QaKRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G++/WD1iSTWIElpYC2oyBLOLKfhnJ/1uBBzmknriQvrIWFr/poFVnxn9WLPsSeuY7e8G8eyFn6j1XBcz254ALxGp+E2Hdv1UEf8SuneGgj6nFO2OgRWjzMpeGoteCrJhp6fgXUaNK8d59q1Xd+yrHmyo4HtBK4T2D56sdtRJs/Porf9lIgdyQL4mx/2NBz1l9EoXsSD2S/Di+uLrpSU5SSNqQxtwKMsmtE/6EqGc5FTRYxOCY0mfE3VhrkgbDkQz8vb0LHtE2YMDGpgiQRMy/VBwkiqCLthO6iRsA1d3iabrdKo4SRZG2jMXw3UzSWPWOgYwkwtK68cZSOVVIBPfgUmJhibQDuH0ejHy+hOacBf5N3CZyVYGNanknQj4CDIqR1HBpNxykypSPhacxlu6NOUHJRcEdWKaOkgUjZ/TVaFX3HCaHe3H4E3BvoVAqt8+UIyOqr+jvwoG4NoOCBphjagEsguU1Xg4ZkEjVO+p1+VX70tXf1ZaNaJhSqe8oTJTME+Xecr+ZAIQx+XQ1JEvpcLARV3xMWa+3HRPSkaR9XEadm4BWdQnqYMpomMgVs6TiX0zSJwwlYFXBN4JmiaoGUC3wRtBTCHUHSq+hwVTZNxPzHeJ6apCtBkWp8YP+x8YNqKmRAGY6Aw7p4S2rZBeB8JfVCD0IYNwv9ItMtuoXcESnQYfO+Nv//kXvdvWjCBrp3t0rY7DfkmC6kpkdv/lyomVKiqFDJW9kFMdvuUYuOIcjxoCmV0zu/y3SOuwm/EyGNKu2+JruqyMI9ENHrJsKmAu1/tFyTNofQbnt1s+u0bx292On5LeRBLvo9e0KFSB9rDNZyb2Ja6B15UD4U4iFVgIPrvhRcPJJExXXG2LnS8g95/ISsqegMLKIX9gVnWKqvdaKbiVYTeL+5ZehixVQmL6kAVWsyuZKIPQpXbTaV/NKuMCZyd4JGtgA4Vxrv0Y5anRxe0xybzW0L4I39OdCgMliFbYqgouGpgr3bCA0p3VY/sw7ZWDFcdjIlMzbDSOZj+Wq6KAf16++OU6yebRMJFtuNcbo3DKH48HfR4DunFgONQVNePDsKGcaFwaQ5KJZZwwx4JGM6STMgbLOCcgRxGxf33fjEUoHedsM2RganLX+M9pevCwSqhOjy93ytTudzn8rhVQ31/qFrv0TTVJdcVlMBUg1zCz3FDn7IskYew3egggrCmEPNN6CJULYBSs0jnE//nFOa7i2GIwTcWuv6xgqv0DqlUcqWbel2d6cjNOMQIzq1ZT9+T//HKGGUZNjFIl32uNU5JnlVtW3A8JaIU6x1WKc3UNO/TJ5KnMio6UQG49K7A5Ig98aC4ZOq77qV91UVrMl9ThIGLt8cVvkMSkhoPK7xVrtRzxCBx6lzpiy9o2fAay8UTWVEL4x5Y1QcPtSL6Jqs+yMb52QOFB438tGa5sIbW6rc/LmvoZ717WfuSkKy+uKxh6uswHS5r336u3293jdXu778QmGjYr0VC1FQTwROPra1immb/AMQcSHibCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.30451083183289	1.01169E+01	5.18042E-04	1.01328E-03	1.13803E-03	62.9215	2
7.90604E+02	20	3.30455708503723	1.72441E+01	4.66327E-04	8.39915E-04	9.60687E-04	60.9606	2
6.25055E+02	20	3.30452752113342	2.45517E+01	4.16825E-04	6.94952E-04	8.10371E-04	59.0451	2
4.94171E+02	20	3.30462455749512	3.20632E+01	3.80041E-04	5.80277E-04	6.93651E-04	56.778	2
3.90694E+02	20	3.30449390411377	3.97980E+01	3.43127E-04	4.78970E-04	5.89193E-04	54.3827	2
3.08884E+02	20	3.30457592010498	4.78366E+01	3.13913E-04	3.94171E-04	5.03897E-04	51.4666	2
2.44205E+02	20	3.30448818206787	5.84538E+01	2.94650E-04	3.40905E-04	4.50594E-04	49.1625	2
1.93070E+02	20	3.30434703826904	6.69397E+01	2.74243E-04	2.85101E-04	3.95590E-04	46.1121	2
1.52642E+02	20	3.30445170402527	7.59881E+01	2.54672E-04	2.30034E-04	3.43181E-04	42.09	2
1.20679E+02	20	3.30462026596069	8.45405E+01	2.40607E-04	1.93428E-04	3.08716E-04	38.7964	2
9.54095E+01	20	3.30473041534424	9.03329E+01	2.30071E-04	1.57285E-04	2.78695E-04	34.3579	2
7.54312E+01	20	3.30465888977051	9.63691E+01	2.22016E-04	1.27593E-04	2.56068E-04	29.886	2
5.96362E+01	20	3.3046886920929	1.02155E+02	2.15657E-04	1.02933E-04	2.38962E-04	25.5151	2
4.71487E+01	20	3.30467677116394	1.08288E+02	2.10557E-04	7.33717E-05	2.22974E-04	19.2117	2
3.72759E+01	20	3.30470895767212	1.14663E+02	2.09873E-04	5.99216E-05	2.18259E-04	15.9348	2
2.94705E+01	20	3.30471563339233	1.21306E+02	2.09280E-04	4.06219E-05	2.13186E-04	10.9847	2
2.32995E+01	20	3.30472254753113	1.27899E+02	2.09926E-04	3.19922E-05	2.12350E-04	8.66505	2
1.84207E+01	20	3.304692029953	1.33894E+02	2.11126E-04	2.10256E-05	2.12171E-04	5.68721	2
1.45635E+01	20	3.30471515655518	1.40235E+02	2.11643E-04	1.28149E-05	2.12030E-04	3.465	2
1.15140E+01	20	3.3047411441803	1.46983E+02	2.14024E-04	7.36953E-06	2.14151E-04	1.97209	2
9.10298E+00	20	3.30474996566772	1.53041E+02	2.15525E-04	3.06984E-06	2.15546E-04	0.816042	2
7.19686E+00	20	3.30480265617371	1.59403E+02	2.17090E-04	-5.62521E-07	2.17090E-04	-0.148464	2
5.68987E+00	20	3.30475258827209	1.66163E+02	2.20337E-04	-5.15830E-06	2.20397E-04	-1.3411	2
4.49843E+00	20	3.30479216575623	1.72226E+02	2.23878E-04	-9.04063E-06	2.24060E-04	-2.31246	2
3.55648E+00	20	3.30475401878357	1.78532E+02	2.23517E-04	-1.05236E-05	2.23765E-04	-2.69559	2
2.81177E+00	20	3.3048312664032	1.85075E+02	2.26477E-04	-1.24212E-05	2.26817E-04	-3.13926	2
2.22300E+00	20	3.30482029914856	1.92016E+02	2.28662E-04	-1.46277E-05	2.29130E-04	-3.66027	2
1.75751E+00	20	3.30482149124146	1.99438E+02	2.30226E-04	-1.69135E-05	2.30847E-04	-4.20168	2
1.38950E+00	20	3.30491662025452	2.07430E+02	2.33015E-04	-1.86032E-05	2.33756E-04	-4.56463	2
1.09854E+00	20	3.30491638183594	2.16211E+02	2.36135E-04	-2.12016E-05	2.37085E-04	-5.13059	2
8.68511E-01	20	3.30492949485779	2.23692E+02	2.37942E-04	-2.32248E-05	2.39073E-04	-5.57481	2
6.86649E-01	20	3.30493402481079	2.31778E+02	2.40177E-04	-2.71101E-05	2.41703E-04	-6.44003	2
5.42867E-01	20	3.30515265464783	2.40668E+02	2.43373E-04	-3.12643E-05	2.45373E-04	-7.32026	2
4.29193E-01	20	3.30526924133301	2.48187E+02	2.47553E-04	-3.70097E-05	2.50305E-04	-8.50285	2
3.39322E-01	20	3.30548548698425	2.56335E+02	2.52156E-04	-4.28581E-05	2.55773E-04	-9.64618	2
2.68270E-01	20	3.30555367469788	2.65355E+02	2.59183E-04	-4.84370E-05	2.63670E-04	-10.5855	2
2.12095E-01	20	3.30560493469238	2.75482E+02	2.66414E-04	-5.43150E-05	2.71895E-04	-11.5232	2
1.67683E-01	20	3.3055419921875	2.86846E+02	2.74461E-04	-6.06617E-05	2.81085E-04	-12.4632	2
1.32571E-01	20	3.30543327331543	2.99790E+02	2.82916E-04	-6.71656E-05	2.90779E-04	-13.3551	2
1.04811E-01	20	3.30524659156799	3.14742E+02	2.92405E-04	-7.47713E-05	3.01814E-04	-14.3438	2
8.28642E-02	20	3.30506038665771	3.32401E+02	3.02441E-04	-8.32875E-05	3.13699E-04	-15.3967	2
6.55128E-02	20	3.30484318733215	3.53273E+02	3.13681E-04	-9.34544E-05	3.27306E-04	-16.5903	2
5.17947E-02	20	3.30460476875305	3.78179E+02	3.26050E-04	-1.05291E-04	3.42629E-04	-17.8969	2
4.09491E-02	20	3.30437755584717	4.08210E+02	3.40670E-04	-1.18557E-04	3.60711E-04	-19.1884	2
3.23746E-02	20	3.30408716201782	4.44713E+02	3.57359E-04	-1.33779E-04	3.81579E-04	-20.5236	2
2.55955E-02	20	3.30374836921692	4.89385E+02	3.76266E-04	-1.50472E-04	4.05238E-04	-21.7968	2
2.02359E-02	20	3.30337285995483	5.44419E+02	3.97904E-04	-1.69412E-04	4.32468E-04	-23.0624	2
1.59986E-02	20	3.30300807952881	6.12532E+02	4.22467E-04	-1.90600E-04	4.63473E-04	-24.2829	2
1.26485E-02	20	3.30261421203613	6.97221E+02	4.51285E-04	-2.13640E-04	4.99300E-04	-25.333	2
1.00000E-02	20	3.30222129821777	8.03529E+02	4.85231E-04	-2.37571E-04	5.40268E-04	-26.0865	2
