CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhi6+JAL04LXlRFg7cS3XaRcLGIzN2Gol0qGoJF7kq/oJ/bLOkJJFJ231pHM4nBnOjfzWtR+sIZHEGiUp9a0FFXnCmeW0nNOTARdiTnNpPXFhPSRszV9z34rvrEHsOfbEdeyOd+1Y1qLb6rQc17NbHgCvddVy247teqgjfqV0Z40EfS4oW+19a8CZFDy1FjyVZENPT8A69duXjn3p2m7Xsqx5klHf9fyO4zvX6EWWUSZPT8K33ZSIjOQ+/M33OxpEw2UYxYt4NPvl5uzyrC8lZQVJYyoDG3CUhzP6B13JYC4KqojomNBowtdUbZgLwpYj8by8DRzbPmLGwKAGlkjAtFofJYykirBbtoMaCdvQ5W2y2SqNGk6StYHG/NVA/ULykAWOIczUsvLKUTZSSQX41K3BxARjE2jnMBrDeBneKQ34i7xb+qwES8P6VJJuBBwEObXjwGAyjpkpFQlfay7HDUOakr2SK6NaEx0dRMrmr8mq9CtOGO1nuwi8MdCvEFjlyxeS06j+O/BRPgbRYETSHG1AJZAsV1Xg4ZkEjVO+o1+VX4MtXf1ZataJhSqe8oTJXMEhXRcr+ZAIQx+XN6SM/KAQAirugMs19+Oie1Q0jqqJ47JxS86gPE0ZTBsZA3d0nCrYNYvACTo1cE3gmaBtgo4JuiboKYA5hKJT1eeoaJqM+4nxPjFtVYAm0/nEdIOrD0xPMRPCYAyUxt1jQts2CO8joQ9qENqwQXQ/Er2qW+gdgRK98b8Pxt9/ci+H1x2YQJfOdmnbvZZ8k6XUlMjt/0uVEypQVQoZq/ogJtkupdg4ohoPmkIZnfO7InvEVfgNGXlMaf8t0VVdFeaBCKOXHJsKuPvVbkHSAkq/5bntdu/aazsdu3vdVR7Eku/CF3So0oH2ME44N7EtdQ+8qB4KcBCrwED030svHkgiY7ribF3qeAe9/0LWVPgGFlAK+wOzrFXWu9FMzasIvZ/ds3QfsVUFy+pAFVrMrmXCD0K1222lP5rVxgTOTvDIVkCHCuNd+TEr0oML2mOT+S0h/JE/JzoUBsuQrTBUFFw1sFc74QGlu2pAdkFPK4arDsZErmZY5RxMfy1Xx4B+vf1xzA2TTSLhIss4l1vjMIofT0cDXkB6MeA4FNX1o4OwYVwoXJmDUokl3LAHAoazJBPyBgs4ZyCHYXn/vZ/dCNC7TtjmwMDU5a/xjtJ16WCdUB2ewe+1qULuCnnYqqG+P1StD2ia6pLrC0pgqkEu4eewYUhZnsh90GtdIYKwphDzTeAiVC2AUrNQ5xP/5xTmu4thiME3FrjdQwXX6b2hUslVbup1daYDN+MQIzi3Zj19T/7HKyPKc2xikK76XGuckiKv27bkeEpEJTbYr1Kaq2k+pE+kSGVYdqICcOldgMmIPXG/vGSaWf/cvuijNVmsKULfxdvjAt8hCUmNhxXeKhfqOWKQOHUu9MXnd2x4jRXiiayohXH3rfqDh1oZfZNVH2Tj9OSBwoNGflqzXFhDa83bH+cN9LPZP298SUjeXJw3MPVNmA7njW8/N++3WWuV/f0XAhPdDBuhEA3VRPDEY2urnKb5PwpZQw+bCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.3245153427124	1.01077E+01	5.07072E-04	1.01576E-03	1.13530E-03	63.4715	2
7.90604E+02	20	3.32457542419434	1.72488E+01	4.62596E-04	8.44182E-04	9.62621E-04	61.2781	2
6.25055E+02	20	3.32460689544678	2.45465E+01	4.06631E-04	6.91458E-04	8.02161E-04	59.5411	2
4.94171E+02	20	3.32452273368835	3.20357E+01	3.75346E-04	5.72410E-04	6.84499E-04	56.746	2
3.90694E+02	20	3.32463836669922	3.97792E+01	3.39185E-04	4.69921E-04	5.79545E-04	54.1786	2
3.08884E+02	20	3.3245153427124	4.78022E+01	3.11497E-04	3.92455E-04	5.01050E-04	51.5605	2
2.44205E+02	20	3.32463979721069	5.84397E+01	2.92071E-04	3.37928E-04	4.46655E-04	49.1632	2
1.93070E+02	20	3.32453155517578	6.69058E+01	2.71825E-04	2.83155E-04	3.92511E-04	46.1695	2
1.52642E+02	20	3.32438802719116	7.59517E+01	2.52614E-04	2.26522E-04	3.39302E-04	41.883	2
1.20679E+02	20	3.32449150085449	8.45014E+01	2.39109E-04	1.91352E-04	3.06249E-04	38.6693	2
9.54095E+01	20	3.32460594177246	9.03029E+01	2.28010E-04	1.56451E-04	2.76524E-04	34.4564	2
7.54312E+01	20	3.3245837688446	9.63455E+01	2.19898E-04	1.26332E-04	2.53604E-04	29.8776	2
5.96362E+01	20	3.32462668418884	1.02140E+02	2.14550E-04	1.02275E-04	2.37681E-04	25.4869	2
4.71487E+01	20	3.32461953163147	1.08277E+02	2.09754E-04	7.28325E-05	2.22039E-04	19.1485	2
3.72759E+01	20	3.32460808753967	1.14652E+02	2.08166E-04	5.93957E-05	2.16474E-04	15.9249	2
2.94705E+01	20	3.32462096214294	1.21311E+02	2.07652E-04	4.04956E-05	2.11564E-04	11.0351	2
2.32995E+01	20	3.32464528083801	1.27892E+02	2.09303E-04	3.15011E-05	2.11661E-04	8.55905	2
1.84207E+01	20	3.32466650009155	1.33885E+02	2.09672E-04	2.18619E-05	2.10809E-04	5.95256	2
1.45635E+01	20	3.32466745376587	1.40235E+02	2.10589E-04	1.27390E-05	2.10974E-04	3.46173	2
1.15140E+01	20	3.32466864585876	1.46976E+02	2.13099E-04	5.51763E-06	2.13170E-04	1.48319	2
9.10298E+00	20	3.32468008995056	1.53031E+02	2.15310E-04	3.84537E-06	2.15344E-04	1.02318	2
7.19686E+00	20	3.32474112510681	1.59390E+02	2.16387E-04	-1.66798E-06	2.16394E-04	-0.441645	2
5.68987E+00	20	3.32470798492432	1.66158E+02	2.18605E-04	-5.46850E-06	2.18674E-04	-1.43298	2
4.49843E+00	20	3.32471537590027	1.72219E+02	2.21110E-04	-8.22330E-06	2.21263E-04	-2.1299	2
3.55648E+00	20	3.32473230361938	1.78520E+02	2.22319E-04	-1.05736E-05	2.22570E-04	-2.72298	2
2.81177E+00	20	3.32475972175598	1.85063E+02	2.23860E-04	-1.21652E-05	2.24190E-04	-3.11055	2
2.22300E+00	20	3.32479238510132	1.92008E+02	2.26562E-04	-1.39930E-05	2.26994E-04	-3.53423	2
1.75751E+00	20	3.3247766494751	1.99448E+02	2.28530E-04	-1.64307E-05	2.29120E-04	-4.11234	2
