CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhi6+JAL04LXlRFg7cS3XaRcLGIzN2Gol0qGoJF7kq/oJ/bLOkJJFJ231pHM4nBnOjfzWtR+sIZHEGiUp9a0FFXnCmeW0nNOTARdiTnNpPXFhPSRszV9z34rvrEHsOfbEdeyOd+1Y1qLb6rQc17NbHgCvddVy247teqgjfqV0Z40EfS4oW+19a8CZFDy1FjyVZENPT8A69duXjn3p2m7Xsqx5klHfdX3X8T0XvcgyyuTpSfi2mxKRkdyHv/l+R4NouAyjeBGPZr/cnF2e9aWkrCBpTGVgA47ycEb/oCsZzEVBFREdExpN+JqqDXNB2HIknpe3gWPbR8wYGNTAEgmYVuujhJFUEXbLdlAjYRu6vE02W6VRw0myNtCYvxqoX0gessAxhJlaVl45ykYqqQCfujWYmGBsAu0cRmMYL8M7pQF/kXdLn5VgaVifStKNgIMgp3YcGEzGMTOlIuFrzeW4YUhTsldyZVRroqODSNn8NVmVfsUJo/1sF4E3BvoVAqt8+UJyGtV/Bz7KxyAajEiaow2oBJLlqgo8PJOgccp39Kvya7Clqz9LzTqxUMVTnjCZKzik62IlHxJh6OPyhpSRHxRCQMUdcLnmflx0j4rGUTVxXDZuyRmUpymDaSNj4I6OUwW7ZhE4QacGrgk8E7RN0DFB1wQ9BTCHUHSq+hwVTZNxPzHeJ6atCtBkOp+YbnD1gekpZkIYjIHSuHtMaNsG4X0k9EENQhs2iO5Hold1C70jUKI3/vfB+PtP7uXwugMT6NLZLm2725JvspSaErn9f6lyQgWqSiFjVR/EJNulFBtHVONBUyijc35XZI+4Cr8hI48p7b8luqqrwjwQYfSSY1MBd7/aLUhaQOm3PLdjO95Vr3PddTzlQCz5LnxBfyoVaA7DhGMTu1K3wItqoQDnsIoLBP+9dOKBJDKmK87WpY530PsvZE2Fb2ABpbA9MMlaZb0bzdS8CtD72T1L9xFbVbAsDlShxexaJvwgVLvdVvqjWW1M4OgEj2wFdKQw3JUfsyI9uKA9NpnfEsIf+XOiQ2GwDNkKQ0HBTQN7tRMeULqpBmQX9LRiuOlgSuRqhFXOwfDXcnUM6NfbH8fcMNkkEu6xjHO5NQ6j+PF0NOAFpBcDjjNR3T46CBvGhcKVOaiUWMIFeyBgNksyIW+wgGMGchiW19/72Y0AveuEbQ4MDF3+Gu8oXZcO1gnV4Rn8Xpsq5K6Qh60a6utDlfqApqkuub6gBIYa5BJ+DhuGlOWJ3Ae91hUiCGsKMd8ELkLVASg1C3U+8X9OYby7GIYYfGOB2z1UcJ3eGyqVXOWmXldnOnAzDjGCc2vW09fkfzwyojzHHgbpqs21xikp8rprS46nRFRig/0qpbka5kP6RIpUhmUnKgB33gWYjNgT98s7ppn1z+2LPlqTxZoi9F28PC7wGZKQ1HhX4aVyoV4jBolD50Lfe37HhsdYIZ7IiloYd9+qP3inldE3WfVBNk5PHii8Z+SnNcuFNbTWvP1x3kA/m/3zxpeE5M3FeQNT34TpcN749nPzfpu1VtnffyEw0c2wEQrRUE0ELzy2tsphmv8Dzi1y05oKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32506632804871	1.01301E+01	4.98518E-04	9.92074E-04	1.11028E-03	63.3204	2
7.90604E+02	20	3.32511830329895	1.72625E+01	4.52804E-04	8.34722E-04	9.49628E-04	61.5219	2
6.25055E+02	20	3.32508826255798	2.45566E+01	4.13144E-04	6.91169E-04	8.05234E-04	59.1312	2
4.94171E+02	20	3.32497692108154	3.20676E+01	3.54632E-04	5.74566E-04	6.75196E-04	58.3164	2
3.90694E+02	20	3.32493495941162	3.97947E+01	3.38721E-04	4.71386E-04	5.80462E-04	54.3004	2
3.08884E+02	20	3.3248929977417	4.78237E+01	3.15910E-04	3.96882E-04	5.07262E-04	51.4809	2
2.44205E+02	20	3.32516169548035	5.84532E+01	2.92385E-04	3.37423E-04	4.46479E-04	49.0903	2
1.93070E+02	20	3.32478332519531	6.69232E+01	2.72219E-04	2.82373E-04	3.92222E-04	46.0489	2
1.52642E+02	20	3.32499694824219	7.59811E+01	2.52373E-04	2.27137E-04	3.39534E-04	41.9874	2
1.20679E+02	20	3.32491397857666	8.45286E+01	2.39516E-04	1.91233E-04	3.06493E-04	38.6043	2
9.54095E+01	20	3.32516193389893	9.03182E+01	2.29175E-04	1.55005E-04	2.76673E-04	34.0728	2
7.54312E+01	20	3.3251211643219	9.63608E+01	2.20064E-04	1.25735E-04	2.53451E-04	29.7417	2
5.96362E+01	20	3.3250904083252	1.02144E+02	2.14503E-04	1.01975E-04	2.37509E-04	25.4265	2
4.71487E+01	20	3.32511067390442	1.08286E+02	2.10047E-04	7.28827E-05	2.22332E-04	19.1359	2
3.72759E+01	20	3.32511019706726	1.14651E+02	2.08025E-04	5.87553E-05	2.16163E-04	15.772	2
2.94705E+01	20	3.32515406608582	1.21301E+02	2.08727E-04	4.09165E-05	2.12699E-04	11.091	2
2.32995E+01	20	3.32518625259399	1.27888E+02	2.08628E-04	3.15519E-05	2.11000E-04	8.59997	2
1.84207E+01	20	3.32515144348145	1.33878E+02	2.10030E-04	2.18104E-05	2.11159E-04	5.9286	2
1.45635E+01	20	3.32518482208252	1.40225E+02	2.11661E-04	1.34954E-05	2.12091E-04	3.6482	2
1.15140E+01	20	3.32519602775574	1.46976E+02	2.12890E-04	6.60672E-06	2.12993E-04	1.77752	2
9.10298E+00	20	3.32526206970215	1.53040E+02	2.15843E-04	3.83519E-06	2.15878E-04	1.01795	2
7.19686E+00	20	3.32519221305847	1.59415E+02	2.15996E-04	-4.69160E-07	2.15996E-04	-0.124451	2
5.68987E+00	20	3.32522511482239	1.66180E+02	2.17865E-04	-4.41769E-06	2.17910E-04	-1.16164	2
4.49843E+00	20	3.32527613639832	1.72242E+02	2.19870E-04	-6.90601E-06	2.19979E-04	-1.79904	2
3.55648E+00	20	3.32525563240051	1.78546E+02	2.21583E-04	-1.03422E-05	2.21824E-04	-2.6723	2
2.81177E+00	20	3.32525992393494	1.85090E+02	2.24059E-04	-1.21372E-05	2.24387E-04	-3.10066	2
2.22300E+00	20	3.32530355453491	1.92047E+02	2.27023E-04	-1.30315E-05	2.27396E-04	-3.28528	2
1.75751E+00	20	3.32528257369995	1.99467E+02	2.28143E-04	-1.63465E-05	2.28728E-04	-4.09826	2
1.38950E+00	20	3.32537412643433	2.07478E+02	2.29995E-04	-1.86287E-05	2.30749E-04	-4.63061	2
1.09854E+00	20	3.32539892196655	2.16276E+02	2.33661E-04	-2.03868E-05	2.34549E-04	-4.98639	2
8.68511E-01	20	3.32528352737427	2.23767E+02	2.36295E-04	-2.17096E-05	2.37290E-04	-5.24932	2
6.86649E-01	20	3.32536172866821	2.31844E+02	2.38335E-04	-2.55247E-05	2.39698E-04	-6.11284	2
5.42867E-01	20	3.32557463645935	2.40733E+02	2.40598E-04	-2.95033E-05	2.42400E-04	-6.991	2
4.29193E-01	20	3.32568049430847	2.48253E+02	2.44618E-04	-3.51360E-05	2.47128E-04	-8.17386	2
3.39322E-01	20	3.32587838172913	2.56400E+02	2.49106E-04	-4.04684E-05	2.52372E-04	-9.22736	2
2.68270E-01	20	3.32593774795532	2.65426E+02	2.55758E-04	-4.59958E-05	2.59861E-04	-10.1951	2
2.12095E-01	20	3.32593250274658	2.75530E+02	2.62664E-04	-5.13067E-05	2.67628E-04	-11.0525	2
1.67683E-01	20	3.32588052749634	2.86893E+02	2.70243E-04	-5.72355E-05	2.76238E-04	-11.9581	2
1.32571E-01	20	3.32577800750732	2.99850E+02	2.78401E-04	-6.34649E-05	2.85544E-04	-12.8418	2
1.04811E-01	20	3.32563996315002	3.14799E+02	2.87088E-04	-7.06601E-05	2.95656E-04	-13.8272	2
8.28642E-02	20	3.32543468475342	3.32463E+02	2.96631E-04	-7.84172E-05	3.06821E-04	-14.8079	2
6.55128E-02	20	3.32526636123657	3.53330E+02	3.07524E-04	-8.79659E-05	3.19858E-04	-15.9629	2
5.17947E-02	20	3.32505178451538	3.78237E+02	3.19560E-04	-9.86377E-05	3.34437E-04	-17.1537	2
