CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSq1KD8EWqRccCC00YGWJSzdPToScsGF7CY2dZy2HPWp9hH2yXbGTohpdzdX+T6PZ8bzZ3/r2A/WkEhijZKU9qwFFXnCmeW0nNOTARdiTnNpPXFhPSRszV/znhXfWYPYc+yJ69i+d+1Y1qLT8luO69ktD4DXumq5bcd2PdQRv1K6s0aCPheUrfY9a8CZFDy1FjyVZENPT8A67bUvHfvStd2OZVnzJKM91+75Tq/toxdZRpk8PQnfdlMiMpL34G++39EgGi7DKF7Eo9kvN2eXZ30pKStIGlMZ2ICjPJzRP+hKBnNRUEVEx4RGE76masNcELYcieflbeDY9hEzBgY1sEQCptX6KGEkVYTdsh3USNiGLm+TzVZp1HCSrA005q8G6heShyxwDGGmlpVXjrKRSirAp04NJiYYm0A7h9EYxsvwTmnAX+Td0mclWBrWp5J0I+AgyKkdBwaTccxMqUj4WnM5bhjSlOyVXBnVmvB1ECmbvyar0q84YbSf7SLwxkC/QmCVL19ITqP678BH+RhEgxFJc7QBlUCyXFWBh2cSNE75jn5Vfg22dPVnqVknFqp4yhMmcwWHdF2s5EMiDH1c3pAy8oNCCKi4Ay7X3I+L7lHROKomjsvGLTmD8jRlMG1kDOzrOFWwYxaBE/g1cE3gmaBtAt8EHRN0FcAcQtGp6nNUNE3G/cR4n5i2KkCT8T8xneDqA9NVzIQwGAOlcfeY0LYNwvtI6IMahDZsEJ2PRLfqFnpHoERvet8H4+8/uZfDax8m0KWzXdq235JvspSaErn9f6lyQgWqSiFjVR/EJNulFBtHVONBUyijc35XZI+4Cr8hI48p7b8luqqrwjwQYfSSY1MBd7/aLUhaQOm3PNd32l3v2vY6fkc5EEu+C1/Qn0oFmsMw4djErtQt8KJaKMA5rOICwX8vnXggiYzpirN1qeMd9P4LWVPhG1hAKWwPTLJWWe9GMzWvAvR+ds/SfcRWFSyLA1VoMbuWCT8I1W63lf5oVhsTODrBI1sBHSkMd+XHrEgPLmiPTea3hPBH/pzoUBgsQ7bCUFBw08Be7YQHlG6qAdkFXa0YbjqYErkaYZVzMPy1XB0D+vX2xzE3TDaJhHss41xujcMofjwdDXgB6cWA40xUt48OwoZxoXBlDiollnDBHgiYzZJMyBss4JiBHIbl9fd+diNA7zphmwMDQ5e/xjtK16WDdUJ1eAa/16YKuSvkYauG+vpQpT6gaapLri8ogaEGuYSfw4YhZXki90G3dYUIwppCzDeBi1B1AErNQp1P/J9TGO8uhiEG31jgdg4VXKf3hkolV7mp19WZDtyMQ4zg3Jr19DX5H4+MKM+xh0G6anOtcUqKvO7akuMpEZXYYL9Kaa6G+ZA+kSKVYdmJCsCddwEmI/bEe+Ud08z65/ZFH63JYk0RwrsIvgt8hiQkNd5VeKlcqNeIQeLQudD3Xs+34TFWiCeyohbGvWfVH7zTyuibrPogG6cnDxTeM/LTmuXCGlpr3v44b6Cfzf5540tC8ubivIGpb8J0OG98+7l5v81aq+zvvxCY6GbYCIVoqCaCFx5bW+Uwzf8BbodJ3JoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32521080970764	1.01167E+01	4.76336E-04	1.01149E-03	1.11804E-03	64.783	2
7.90604E+02	20	3.32522177696228	1.72449E+01	4.61614E-04	8.40568E-04	9.58980E-04	61.2258	2
6.25055E+02	20	3.32520198822021	2.45419E+01	4.11674E-04	6.94400E-04	8.07259E-04	59.3385	2
4.94171E+02	20	3.32524132728577	3.20435E+01	3.68787E-04	5.81565E-04	6.88638E-04	57.6201	2
3.90694E+02	20	3.32528567314148	3.97728E+01	3.39931E-04	4.78926E-04	5.87302E-04	54.6338	2
3.08884E+02	20	3.3251633644104	4.77981E+01	3.14156E-04	3.97011E-04	5.06272E-04	51.6453	2
2.44205E+02	20	3.32532525062561	5.84340E+01	2.93670E-04	3.39206E-04	4.48668E-04	49.1154	2
1.93070E+02	20	3.32532143592834	6.69029E+01	2.73443E-04	2.84220E-04	3.94401E-04	46.1071	2
1.52642E+02	20	3.3252158164978	7.59359E+01	2.53837E-04	2.28327E-04	3.41418E-04	41.9714	2
1.20679E+02	20	3.3254132270813	8.45088E+01	2.40728E-04	1.91662E-04	3.07708E-04	38.5259	2
9.54095E+01	20	3.32551717758179	9.03042E+01	2.29589E-04	1.56144E-04	2.77654E-04	34.2197	2
7.54312E+01	20	3.32537174224854	9.63431E+01	2.20332E-04	1.27864E-04	2.54745E-04	30.1276	2
5.96362E+01	20	3.32542753219604	1.02132E+02	2.16052E-04	1.03783E-04	2.39686E-04	25.6578	2
4.71487E+01	20	3.32537198066711	1.08265E+02	2.10380E-04	7.30036E-05	2.22687E-04	19.1372	2
3.72759E+01	20	3.32541251182556	1.14637E+02	2.08159E-04	6.01442E-05	2.16674E-04	16.1158	2
2.94705E+01	20	3.3253481388092	1.21281E+02	2.08216E-04	4.15693E-05	2.12325E-04	11.2904	2
2.32995E+01	20	3.32542061805725	1.27867E+02	2.08309E-04	3.26349E-05	2.10849E-04	8.90394	2
1.84207E+01	20	3.32536768913269	1.33874E+02	2.08422E-04	2.29514E-05	2.09682E-04	6.28409	2
1.45635E+01	20	3.32544183731079	1.40232E+02	2.10555E-04	1.33561E-05	2.10978E-04	3.62956	2
1.15140E+01	20	3.32541012763977	1.46975E+02	2.12579E-04	7.69383E-06	2.12718E-04	2.07279	2
9.10298E+00	20	3.32541656494141	1.53028E+02	2.13621E-04	4.14854E-06	2.13661E-04	1.11255	2
7.19686E+00	20	3.32543063163757	1.59389E+02	2.14761E-04	-3.08372E-07	2.14761E-04	-0.08227	2
5.68987E+00	20	3.32543206214905	1.66153E+02	2.17841E-04	-4.03292E-06	2.17878E-04	-1.06061	2
4.49843E+00	20	3.32543325424194	1.72215E+02	2.19904E-04	-6.88729E-06	2.20012E-04	-1.79389	2
3.55648E+00	20	3.32545161247253	1.78519E+02	2.20866E-04	-8.95987E-06	2.21047E-04	-2.32305	2
2.81177E+00	20	3.32545161247253	1.85064E+02	2.21296E-04	-1.12121E-05	2.21580E-04	-2.90045	2
2.22300E+00	20	3.32546758651733	1.92005E+02	2.25154E-04	-1.27225E-05	2.25514E-04	-3.23411	2
1.75751E+00	20	3.32544684410095	1.99444E+02	2.28635E-04	-1.47864E-05	2.29112E-04	-3.7003	2
