CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhi6+JAL04LXlRFg7cS3XaRcLGIzN2Gol0qGoJF7kq/oJ/bLOkJJFJ231pHM4nBnOjfzWtR+sIZHEGiUp9a0FFXnCmeW0nNOTARdiTnNpPXFhPSRszV9z34rvrEHsOfbEdeyOd+1Y1qLb6rQc17NbHgCvddVy247teqgjfqV0Z40EfS4oW+19a8CZFDy1FjyVZENPT8A69duXjn3p2m7Xsqx5klHfufZdx+9coRdZRpk8PQnfdlMiMpL78Dff72gQDZdhFC/i0eyXm7PLs76UlBUkjakMbMBRHs7oH3Qlg7koqCKiY0KjCV9TtWEuCFuOxPPyNnBs+4gZA4MaWCIB02p9lDCSKsJu2Q5qJGxDl7fJZqs0ajhJ1gYa81cD9QvJQxY4hjBTy8orR9lIJRXgU7cGExOMTaCdw2gM42V4pzTgL/Ju6bMSLA3rU0m6EXAQ5NSOA4PJOGamVCR8rbkcNwxpSvZKroxqTXR0ECmbvyar0q84YbSf7SLwxkC/QmCVL19ITqP678BH+RhEgxFJc7QBlUCyXFWBh2cSNE75jn5Vfg22dPVnqVknFqp4yhMmcwWHdF2s5EMiDH1c3pAy8oNCCKi4Ay7X3I+L7lHROKomjsvGLTmD8jRlMG1kDNzRcapg1ywCJ+jUwDWBZ4K2CTom6JqgpwDmEIpOVZ+jomky7ifG+8S0VQGaTOcT0w2uPjA9xUwIgzFQGnePCW3bILyPhD6oQWjDBtH9SPSqbqF3BEr0xv8+GH//yb0cXndgAl0626Vtt1vyTZZSUyK3/y9VTqhAVSlkrOqDmGS7lGLjiGo8aApldM7viuwRV+E3ZOQxpf23RFd1VZgHIoxecmwq4O5XuwVJCyj9lud2vJ7jdjttx/GulAex5LvwBR2qdKA9jBPOTWxL3QMvqocCHMQqMBD999KLB5LImK44W5c63kHvv5A1Fb6BBZTC/sAsa5X1bjRT8ypC72f3LN1HbFXBsjpQhRaza5nwg1Dtdlvpj2a1MYGzEzyyFdChwnhXfsyK9OCC9thkfksIf+TPiQ6FwTJkKwwVBVcN7NVOeEDprhqQXdDTiuGqgzGRqxlWOQfTX8vVMaBfb38cc8Nkk0i4yDLO5dY4jOLH09GAF5BeDDgORXX96CBsGBcKV+agVGIJN+yBgOEsyYS8wQLOGchhWN5/72c3AvSuE7Y5MDB1+Wu8o3RdOlgnVIdn8HttqpC7Qh62aqjvD1XrA5qmuuT6ghKYapBL+DlsGFKWJ3If9FpXiCCsKcR8E7gIVQug1CzU+cT/OYX57mIYYvCNBW73UMF1em+oVHKVm3pdnenAzTjECM6tWU/fk//xyojyHJsYpKs+1xqnpMjrti05nhJRiQ32q5TmapoP6RMpUhmWnagAXHoXYDJiT9wvL5lm1j+3L/poTRZritB38fa4wHdIQlLjYYW3yoV6jhgkTp0LffH5HRteY4V4IitqYdx9q/7goVZG32TVB9k4PXmg8KCRn9YsF9bQWvP2x3kD/Wz2zxtfEpI3F+cNTH0TpsN549vPzftt1lplf/+FwEQ3w0YoREM1ETzx2Noqp2n+D7KuafmbCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32543182373047	1.01149E+01	5.13834E-04	1.01195E-03	1.13493E-03	63.0801	2
7.90604E+02	20	3.32546019554138	1.72369E+01	4.64159E-04	8.40949E-04	9.60541E-04	61.1036	2
6.25055E+02	20	3.32538199424744	2.45365E+01	4.18452E-04	6.96016E-04	8.12121E-04	58.9853	2
4.94171E+02	20	3.32537317276001	3.20477E+01	3.72852E-04	5.76821E-04	6.86834E-04	57.1217	2
3.90694E+02	20	3.32532429695129	3.97803E+01	3.48453E-04	4.80888E-04	5.93862E-04	54.0727	2
3.08884E+02	20	3.32530951499939	4.78071E+01	3.24896E-04	4.05801E-04	5.19838E-04	51.3182	2
2.44205E+02	20	3.32551693916321	5.84482E+01	2.98361E-04	3.41714E-04	4.53638E-04	48.8748	2
1.93070E+02	20	3.32546854019165	6.69130E+01	2.77250E-04	2.86050E-04	3.98362E-04	45.8951	2
1.52642E+02	20	3.32538485527039	7.59710E+01	2.56403E-04	2.30083E-04	3.44500E-04	41.9032	2
1.20679E+02	20	3.32552528381348	8.45199E+01	2.43499E-04	1.94914E-04	3.11903E-04	38.6763	2
9.54095E+01	20	3.3256402015686	9.03113E+01	2.32522E-04	1.57872E-04	2.81051E-04	34.1747	2
7.54312E+01	20	3.32550573348999	9.63519E+01	2.22022E-04	1.28998E-04	2.56777E-04	30.1572	2
5.96362E+01	20	3.32555365562439	1.02147E+02	2.16514E-04	1.05724E-04	2.40948E-04	26.0263	2
4.71487E+01	20	3.32550668716431	1.08279E+02	2.12703E-04	7.44449E-05	2.25354E-04	19.2898	2
3.72759E+01	20	3.32551169395447	1.14650E+02	2.10514E-04	6.14407E-05	2.19297E-04	16.2704	2
2.94705E+01	20	3.32554221153259	1.21298E+02	2.09340E-04	4.25285E-05	2.13617E-04	11.4836	2
2.32995E+01	20	3.32552528381348	1.27884E+02	2.09127E-04	3.40005E-05	2.11873E-04	9.23454	2
1.84207E+01	20	3.32552886009216	1.33880E+02	2.10930E-04	2.36641E-05	2.12254E-04	6.40119	2
1.45635E+01	20	3.32553863525391	1.40228E+02	2.11608E-04	1.52956E-05	2.12160E-04	4.1343	2
1.15140E+01	20	3.32555913925171	1.46968E+02	2.12791E-04	7.04688E-06	2.12908E-04	1.89674	2
9.10298E+00	20	3.32555532455444	1.53035E+02	2.14280E-04	4.22333E-06	2.14322E-04	1.12912	2
7.19686E+00	20	3.32555747032166	1.59400E+02	2.15695E-04	1.37803E-06	2.15699E-04	0.366045	2
5.68987E+00	20	3.32556080818176	1.66175E+02	2.17950E-04	-2.84028E-06	2.17968E-04	-0.746625	2
4.49843E+00	20	3.32558107376099	1.72238E+02	2.18605E-04	-5.84733E-06	2.18683E-04	-1.5322	2
3.55648E+00	20	3.32558107376099	1.78539E+02	2.22077E-04	-9.81437E-06	2.22294E-04	-2.53046	2
2.81177E+00	20	3.32562327384949	1.85079E+02	2.22334E-04	-1.04774E-05	2.22580E-04	-2.69805	2
2.22300E+00	20	3.32563757896423	1.92026E+02	2.25604E-04	-1.27966E-05	2.25967E-04	-3.24642	2
1.75751E+00	20	3.32556366920471	1.99452E+02	2.26988E-04	-1.43900E-05	2.27444E-04	-3.62743	2
