CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7iOBS+plLfIdJKXSq1KD8EOpFywUCgaKBlCUt3RyMhD7iQ3cSmjtOWUZ9qH2GfbM+xE2La3c1Vvs/H5xyfP/trx36wBkQSa5ikNLCWVOQJZ5bTcs7P+lyIBc2l9ciF9ZCwDX/JAyu+s/qx59hT17F975NjWctOy285rme3PABe66blth3b9VBH/ELp3hoK+lRQtj4EVp8zKXhqLXkqyZaen4F1GrSvHfvatd2OZVmLJKOB0w18N3CUF1lGmTw/i173MyIykgfwtzjsaTgerKJxvIyH819GF9cXPSkpK0gaUxnagMd5NKd/0LUMF6KgihifEhpN+YaqDQtB2Goonla3oWPbJ8wEGNTAEgmYVuvDhJFUEXbLdlAjYVu6uk22O6VRw2myMdCEvxioV0gesdAxhJlaVl45ykYqqQCfOjWYmmBiAu0cRmMQr6I7pQF/kXdLn5VgaVifStKtgIMgp3YcGUzGKTOjIuEbzeW4YUBTclByZVRrwtdBpGzxkqxLv+KE0V62H4M3BvoVAqt8+UxyOq7/jvw4n4BoOCRpjjagEkiWqyrw8EyCxinf0y/Kr/6Orv8sNevEQhXPeMJkruCAboq1fEiEoY/LESkj3y+EgIo74nLNfb/onhSNo2ritGzckjMoT1MG00bGwL6OUwU7ZhE4oV8D1wSeCdom8E3QMUFXAcwhFJ2qPkdF02TcD4z3gWmrAjQZ/wPTCW/eMV3FTAmDMVAad08JbdsgvPeEPqhBaMMG0XlPdKtuoXcESnQUfOtPvv3kXg8++TCBrp3dyra9lnyVpdSMyN3/S5UTKlRVChmr+iAm2T6l2DiiGg+aQhmd87si+46r8Bsx8j2lvddEV3VVmEciGj/n2FTA3a/3S5IWUPotz/V9z+m6juP4ju7JWPJ99IwOVTrQHsYJ5ya2pe6BZ9VDIQ5iFRiI/lvpxQNJZEzXnG1KHW+g91/ImopewQJKYX9glrXKejeaqXkVobeLe5YexmxdwbI6UIUWs2uZ6J1Q7XZb6R/Pa2MCZyd4ZCugQ4XxrvyYF+nRBe2xyfyWEP6dPyU6FAbLkK0wVBRcNbBXO+EBpbuqT/ZhVyuGqw7GRK5mWOUcTH8tV8eAfrn9ccoNkm0i4SLLOJc74zCKn8yGfV5AejHgOBTV9aODsGVcKFyZg1KJJdywRwKGsyRT8goLOGcgh1F5/71djATo3SRse2Rg6vKXeE/ppnSwTqgOT//32lQh94U8btVQ3x+q1vs0TXXJ9QQlMNUgl/Bz3DCgLE/kIey2bhBBWFOI+TZ0EaoWQKl5pPOJ/wsK893FMMTgGwvdzrGC6/SOqFRylZt6XZ3pyM05xAjOrVlP35P/8coY5zk2MUhXfa41zkiR121bcjwlohLrH9YpzdU0H9BHUqQyKjtRAbj0rsDkmD3yoLxkmlnv0r7qoTVZbCjCwMXb4wrfIQlJjYcV3ipX6jlikDh1rvTFF/g2vMYK8UjW1MK4B1b9wTOrjL7Jqg+ycX72QOFBIz+sWS6sobXm7Y/LBvrZ7F02Pickby4vG5j6JkyHy8bXn5v3u6y1zv7+C4GJRoNGJERDNRE88djGKqdp/g+YQV58mwoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.3256311416626	1.01180E+01	5.14539E-04	1.01420E-03	1.13726E-03	63.0998	2
7.90604E+02	20	3.32568335533142	1.72410E+01	4.54489E-04	8.45871E-04	9.60239E-04	61.7508	2
6.25055E+02	20	3.32564234733582	2.45431E+01	4.11868E-04	6.98667E-04	8.11030E-04	59.4804	2
4.94171E+02	20	3.32568001747131	3.20396E+01	3.75408E-04	5.77149E-04	6.88500E-04	56.9579	2
3.90694E+02	20	3.32562065124512	3.97708E+01	3.49444E-04	4.77302E-04	5.91547E-04	53.7913	2
3.08884E+02	20	3.32574224472046	4.77931E+01	3.16051E-04	3.95583E-04	5.06334E-04	51.3769	2
2.44205E+02	20	3.32575964927673	5.84282E+01	2.96771E-04	3.40437E-04	4.51631E-04	48.9201	2
1.93070E+02	20	3.32577848434448	6.68925E+01	2.76346E-04	2.85557E-04	3.97379E-04	45.9391	2
1.52642E+02	20	3.32570195198059	7.59335E+01	2.56788E-04	2.29086E-04	3.44123E-04	41.7369	2
1.20679E+02	20	3.32560729980469	8.44892E+01	2.43743E-04	1.94287E-04	3.11702E-04	38.5583	2
9.54095E+01	20	3.32568669319153	9.02868E+01	2.32911E-04	1.59558E-04	2.82323E-04	34.4136	2
7.54312E+01	20	3.32568120956421	9.63292E+01	2.21626E-04	1.28987E-04	2.56429E-04	30.1995	2
5.96362E+01	20	3.32567381858826	1.02115E+02	2.15576E-04	1.05342E-04	2.39937E-04	26.0425	2
4.71487E+01	20	3.32567358016968	1.08246E+02	2.12261E-04	7.53672E-05	2.25244E-04	19.5484	2
3.72759E+01	20	3.32568287849426	1.14621E+02	2.09413E-04	6.20524E-05	2.18413E-04	16.5054	2
2.94705E+01	20	3.32567381858826	1.21268E+02	2.08269E-04	4.34950E-05	2.12762E-04	11.7962	2
2.32995E+01	20	3.32569408416748	1.27854E+02	2.09286E-04	3.42162E-05	2.12064E-04	9.28516	2
1.84207E+01	20	3.32572960853577	1.33859E+02	2.09733E-04	2.42137E-05	2.11126E-04	6.58564	2
1.45635E+01	20	3.32572150230408	1.40213E+02	2.11876E-04	1.50316E-05	2.12409E-04	4.05807	2
1.15140E+01	20	3.32569599151611	1.46955E+02	2.12640E-04	7.55731E-06	2.12774E-04	2.03546	2
9.10298E+00	20	3.32572245597839	1.53013E+02	2.13426E-04	5.27067E-06	2.13491E-04	1.41466	2
7.19686E+00	20	3.32569336891174	1.59379E+02	2.15890E-04	5.85387E-07	2.15891E-04	0.155357	2
5.68987E+00	20	3.32571983337402	1.66134E+02	2.16155E-04	-2.13382E-06	2.16165E-04	-0.565589	2
4.49843E+00	20	3.32574248313904	1.72202E+02	2.19609E-04	-4.74278E-06	2.19660E-04	-1.23719	2
3.55648E+00	20	3.32575798034668	1.78501E+02	2.21536E-04	-6.73398E-06	2.21638E-04	-1.74107	2
2.81177E+00	20	3.32572317123413	1.85044E+02	2.21580E-04	-8.82932E-06	2.21756E-04	-2.28187	2
2.22300E+00	20	3.32576465606689	1.91990E+02	2.24345E-04	-1.15610E-05	2.24643E-04	-2.94996	2
1.75751E+00	20	3.32576322555542	1.99417E+02	2.25675E-04	-1.34291E-05	2.26074E-04	-3.40545	2
1.38950E+00	20	3.32582831382751	2.07401E+02	2.27535E-04	-1.57411E-05	2.28079E-04	-3.95746	2
1.09854E+00	20	3.32588195800781	2.16185E+02	2.31418E-04	-1.73957E-05	2.32071E-04	-4.29885	2
8.68511E-01	20	3.32578349113464	2.23686E+02	2.31865E-04	-2.01694E-05	2.32741E-04	-4.97151	2
6.86649E-01	20	3.32583737373352	2.31771E+02	2.34358E-04	-2.25562E-05	2.35441E-04	-5.4976	2
5.42867E-01	20	3.32599854469299	2.40655E+02	2.37181E-04	-2.59680E-05	2.38599E-04	-6.24818	2
4.29193E-01	20	3.32615661621094	2.48185E+02	2.39780E-04	-3.08448E-05	2.41755E-04	-7.33016	2
3.39322E-01	20	3.32628178596497	2.56350E+02	2.44546E-04	-3.51759E-05	2.47063E-04	-8.18539	2
2.68270E-01	20	3.3263521194458	2.65370E+02	2.50028E-04	-4.01677E-05	2.53234E-04	-9.12672	2
2.12095E-01	20	3.32637238502502	2.75475E+02	2.55970E-04	-4.53096E-05	2.59949E-04	-10.038	2
1.67683E-01	20	3.32627582550049	2.86843E+02	2.62643E-04	-5.05715E-05	2.67467E-04	-10.8988	2
1.32571E-01	20	3.32618689537048	2.99791E+02	2.69685E-04	-5.62269E-05	2.75484E-04	-11.777	2
1.04811E-01	20	3.32606935501099	3.14743E+02	2.77614E-04	-6.25961E-05	2.84583E-04	-12.7065	2
8.28642E-02	20	3.32591032981873	3.32412E+02	2.85913E-04	-6.98297E-05	2.94317E-04	-13.7249	2
6.55128E-02	20	3.32568264007568	3.53278E+02	2.95576E-04	-7.82052E-05	3.05747E-04	-14.8201	2
5.17947E-02	20	3.32552433013916	3.78185E+02	3.06599E-04	-8.78510E-05	3.18936E-04	-15.9888	2
4.09491E-02	20	3.32532405853271	4.08210E+02	3.18846E-04	-9.88792E-05	3.33826E-04	-17.2295	2
3.23746E-02	20	3.32506418228149	4.44721E+02	3.32989E-04	-1.10929E-04	3.50980E-04	-18.4246	2
2.55955E-02	20	3.32477593421936	4.89391E+02	3.49269E-04	-1.24305E-04	3.70729E-04	-19.5907	2
