CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhkTZciJAD15bToy1kzRyk3axgMHYjK1WIh2KymWRr+on9Ms6Q0oWnbTVk87hcGY4N/Jb4N47I6qoM04zFjp3TBap4I7X8Q4PhkLKOSuU8yikc5/ylXgpQie5coaJ77kz4rk9/9xznLug0+t4xHc7PgC/c9YhXc8lPupIXhjbOmPJnkrGl2+hMxRcSZE5dyJTdM0OD8A6C7unnntKXBI4jjNPcxZ6QUhISLroRZ4zrg4P4tftDZU5LUL4m79tWTQZLeJJcpeMb3+5ODo9GijFeEmzhKnIBTwp4lv2B1uqaC5LponJPmHQTKyY3jCXlC/G8mlxGXmuu8dMgUENPFWAWb0+TjnNNOF2XA81Ur5mi8t0vdEaDZylKwtNxYuFBqUSMY88S5jrZe2Vp21kiknwKWjAzAZTGxjnMBqjZBFfaQ34izypfNaClWFzKsXWEg6CnN6xYzAZ+8wNk6lYGa7ADSOW0TctV0W1IXomiIzPX9Jl5VeScjbItxPwxkK/QmC1L19owSbN346fFFMQjcY0K9AGVALNC10FPp5JsiQTW/ZV+zXcsOWflWaTWKjiG5FyVWg4Yqtyqe5TaekT6oJWkR+WUkLF7XC1Rj4ukr2i8XRN7JcNqTiL8g1lMV1kLNwzcaphYBeBF/UaQGzg26Brg54NAhv0NcAcQtHp6vN0NG2GfGL8T0xXF6DN9D4xQXT2gelrZkY5jIHKONknjG2L8D8S5qAWYQxbRPCR6Nfdwq4olOhF+H04/f4TOR2d92ACnXqbheuSjnpVldQNVZv/l6omVKSrFDJW90FC823GsHFkPR4MhTIm51dl/oCr8Btz+pCxwWtqqrouzB0RT54LbCrgrpfbO5qVUPodn/QCEgSe13fPe+fag0SJbfyMDtU60B7GCecmtqXpgWfdQxEOYh0YiP575cU9TVXCloKvKh3voPdfyIaKX8ECSmF/YJaNymY3mml4HaH3o2uevU34soZVdaAKI+Y2MvEHocbtrtY/uW2MSZyd4JGrgQkVxrv247bMdi4Yj23mt5SKB/GUmlBYLEe2xlBRcNXAXuOED5TpqiHdRn2jGK46GBOFnmG1czD9jVwTA/b18sc+N0rXqYKLLBdCbazDaH56Mx6KEtKLAcehqK8fE4Q1F1Lj2hyUSqLght0RMJwVndFXWMA5AzmMq/vv/ehCgt5Vytc7BqaueEm2jK0qB5uEmvAMf29MlWpbqt1WA839oWt9yLLMlNxAMgpTDXIJP7sNI8aLVL1F/c4ZIghrBjFfRwShbgGUuo1NPvF/zmC+EwxDAr7xiAS7Cm7Se8GUlqvdNOv6TDvuVkCM4NyG9c09+R+vjElRYBODdN3nRuMNLYumbStOZFTWYsO3ZcYKPc1H7JGWmYqrTtQALr0TMDnhjyKsLpl2Pjh2TwZoTZUrhjAkeHuc4DskpZn1sMJb5UQ/RywSp86JufjCnguvsVI+0iVzMO6h03zwUKuib7P6g2wcHtwzeNCoT2sOgTW01r78cdxCP9uD49aXlBbtu+MWpr4N0+G49e3n9vUm7yzzv/9CYKOLUSuWsqWbCJ54fOVU07T4B+s8AyibCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32568979263306	1.01167E+01	5.10320E-04	1.01417E-03	1.13533E-03	63.2889	2
7.90604E+02	20	3.32570457458496	1.72429E+01	4.62308E-04	8.40619E-04	9.59359E-04	61.1909	2
6.25055E+02	20	3.32578563690186	2.45367E+01	4.19230E-04	7.00732E-04	8.16566E-04	59.109	2
4.94171E+02	20	3.32574248313904	3.20462E+01	3.74860E-04	5.76972E-04	6.88053E-04	56.9881	2
3.90694E+02	20	3.32565665245056	3.97753E+01	3.53075E-04	4.71625E-04	5.89145E-04	53.1802	2
3.08884E+02	20	3.32572841644287	4.78017E+01	3.12809E-04	4.01382E-04	5.08878E-04	52.0697	2
2.44205E+02	20	3.32580900192261	5.84498E+01	2.98903E-04	3.40558E-04	4.53125E-04	48.727	2
1.93070E+02	20	3.32606816291809	6.69178E+01	2.78627E-04	2.85205E-04	3.98717E-04	45.6684	2
1.52642E+02	20	3.32585787773132	7.59732E+01	2.59435E-04	2.29665E-04	3.46486E-04	41.5169	2
1.20679E+02	20	3.32580280303955	8.45184E+01	2.44872E-04	1.94823E-04	3.12919E-04	38.5062	2
9.54095E+01	20	3.32592225074768	9.03170E+01	2.34344E-04	1.59067E-04	2.83230E-04	34.1677	2
7.54312E+01	20	3.32584500312805	9.63550E+01	2.24876E-04	1.30296E-04	2.59897E-04	30.0886	2
5.96362E+01	20	3.32583713531494	1.02148E+02	2.17567E-04	1.05710E-04	2.41888E-04	25.9139	2
4.71487E+01	20	3.32583260536194	1.08275E+02	2.12464E-04	7.61549E-05	2.25700E-04	19.7195	2
3.72759E+01	20	3.32586240768433	1.14650E+02	2.11607E-04	6.25411E-05	2.20656E-04	16.4652	2
2.94705E+01	20	3.32579731941223	1.21298E+02	2.09295E-04	4.37612E-05	2.13821E-04	11.8098	2
2.32995E+01	20	3.32581520080566	1.27879E+02	2.10348E-04	3.41267E-05	2.13099E-04	9.21533	2
1.84207E+01	20	3.32579040527344	1.33878E+02	2.10904E-04	2.52217E-05	2.12407E-04	6.81953	2
1.45635E+01	20	3.32578682899475	1.40225E+02	2.12735E-04	1.60567E-05	2.13340E-04	4.31637	2
1.15140E+01	20	3.32587003707886	1.46965E+02	2.12816E-04	9.08804E-06	2.13010E-04	2.44525	2
9.10298E+00	20	3.32584595680237	1.53032E+02	2.14089E-04	6.48454E-06	2.14187E-04	1.7349	2
7.19686E+00	20	3.32580256462097	1.59395E+02	2.14403E-04	1.71427E-06	2.14410E-04	0.458101	2
5.68987E+00	20	3.32578182220459	1.66167E+02	2.16814E-04	-1.72634E-06	2.16821E-04	-0.456196	2
4.49843E+00	20	3.32586669921875	1.72228E+02	2.19233E-04	-4.61579E-06	2.19282E-04	-1.20614	2
3.55648E+00	20	3.32587122917175	1.78531E+02	2.19777E-04	-7.65817E-06	2.19910E-04	-1.99568	2
2.81177E+00	20	3.32583045959473	1.85076E+02	2.22038E-04	-8.94564E-06	2.22219E-04	-2.30712	2
2.22300E+00	20	3.32589292526245	1.92021E+02	2.23201E-04	-9.47943E-06	2.23402E-04	-2.43191	2
1.75751E+00	20	3.32586050033569	1.99451E+02	2.25334E-04	-1.23796E-05	2.25674E-04	-3.14459	2
