CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSq1KD8E2ki54EBo0YGWJSzdPToScsGF7CY2dZy2HPWp9hH2yXbGTohpdzdX+T6PZ8bzZ3/r2A/WgEhiDZOUBtaCijzhzHJazulJnwsxp7m0nriwHhK25q95YMV3Vj/2HHviOrbvXTuWtei0/JbjenbLA+C1rlpu27FdD3XEr5TurKGgzwVlq31g9TmTgqfWgqeSbOjpCVinQfvSsS9d2+1YljVPMho47cB3A6+DXmQZZfL0JHrbTYnISB7A33y/o+FosIxG8SIezn65Obs860lJWUHSmMrQBjzKoxn9g65kOBcFVcTomNBowtdUbZgLwpZD8by8DR3bPmLGwKAGlkjAtFofJoykirBbtoMaCdvQ5W2y2SqNGk6StYHG/NVAvULyiIWOIczUsvLKUTZSSQX41KnBxARjE2jnMBqDeBndKQ34i7xb+qwES8P6VJJuBBwEObXjwGAyjpkpFQlfay7HDQOakr2SK6NaE74OImXz12RV+hUnjPay3Qi8MdCvEFjlyxeS01H9d+BH+RhEwyFJc7QBlUCyXFWBh2cSNE75jn5VfvW3dPVnqVknFqp4yhMmcwUHdF2s5EMiDH1c3pAy8v1CCKi4Ay7X3I+L7lHROKomjsvGLTmD8jRlMG1kDOzrOFWwYxaBE/o1cE3gmaBtAt8EHRN0FcAcQtGp6nNUNE3G/cR4n5i2KkCT8T8xnfDqA9NVzIQwGAOlcfeY0LYNwvtI6IMahDZsEJ2PRLfqFnpHoERvgu/98fef3MvBtQ8T6NLZLm3back3WUpNidz+v1Q5oUJVpZCxqg9iku1Sio0jqvGgKZTROb8rskdchd+IkceU9t4SXdVVYR6IaPSSY1MBd7/aLUhaQOm3PNf3r32ve3XV9bue8iCWfBe9oEOVDrSHccK5iW2pe+BF9VCIg1gFBqL/XnrxQBIZ0xVn61LHO+j9F7KmojewgFLYH5hlrbLejWZqXkXo/eyepfsRW1WwrA5UocXsWib6IFS73Vb6R7PamMDZCR7ZCuhQYbwrP2ZFenBBe2wyvyWEP/LnRIfCYBmyFYaKgqsG9monPKB0V/XJLuxqxXDVwZjI1QyrnIPpr+XqGNCvtz+OuUGySSRcZBnncmscRvHj6bDPC0gvBhyHorp+dBA2jAuFK3NQKrGEG/ZAwHCWZELeYAHnDOQwKu+/97MbAXrXCdscGJi6/DXeUbouHawTqsPT/702VchdIQ9bNdT3h6r1Pk1TXXI9QQlMNcgl/Bw2DCjLE7kPu60rRBDWFGK+CV2EqgVQahbpfOL/nMJ8dzEMMfjGQrdzqOA6vTdUKrnKTb2uznTgZhxiBOfWrKfvyf94ZYzyHJsYpKs+1xqnpMjrti05nhJRifX3q5TmapoP6BMpUhmVnagAXHoXYHLEnnhQXjLNrHduX/TQmizWFGHg4u1xge+QhKTGwwpvlQv1HDFInDoX+uILfBteY4V4IitqYdwDq/7goVZG32TVB9k4PXmg8KCRn9YsF9bQWvP2x3kD/Wz2zhtfEpI3F+cNTH0TpsN549vPzftt1lplf/+FwEQ3g0YkREM1ETzx2Noqp2n+D2phAZubCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32562375068665	1.01189E+01	5.15000E-04	1.01565E-03	1.13876E-03	63.1121	2
7.90604E+02	20	3.32559394836426	1.72592E+01	4.64664E-04	8.37663E-04	9.57911E-04	60.9822	2
6.25055E+02	20	3.32556700706482	2.45685E+01	4.14205E-04	6.91834E-04	8.06349E-04	59.0908	2
4.94171E+02	20	3.32558107376099	3.20522E+01	3.79361E-04	5.72546E-04	6.86822E-04	56.4721	2
3.90694E+02	20	3.32565069198608	3.97807E+01	3.45601E-04	4.81246E-04	5.92484E-04	54.3164	2
3.08884E+02	20	3.32555913925171	4.78190E+01	3.20331E-04	4.01165E-04	5.13366E-04	51.3926	2
2.44205E+02	20	3.32564115524292	5.84657E+01	3.01846E-04	3.39606E-04	4.54360E-04	48.3689	2
1.93070E+02	20	3.32564949989319	6.69399E+01	2.81755E-04	2.85149E-04	4.00869E-04	45.343	2
1.52642E+02	20	3.32548928260803	7.59776E+01	2.61006E-04	2.31436E-04	3.48836E-04	41.5637	2
1.20679E+02	20	3.32575035095215	8.45229E+01	2.48026E-04	1.95645E-04	3.15901E-04	38.2667	2
9.54095E+01	20	3.32569980621338	9.03184E+01	2.35480E-04	1.62671E-04	2.86204E-04	34.637	2
7.54312E+01	20	3.32565522193909	9.63550E+01	2.26331E-04	1.32466E-04	2.62246E-04	30.3393	2
5.96362E+01	20	3.32570004463196	1.02147E+02	2.20689E-04	1.07817E-04	2.45618E-04	26.0377	2
4.71487E+01	20	3.32567381858826	1.08281E+02	2.13339E-04	7.76087E-05	2.27016E-04	19.9905	2
3.72759E+01	20	3.32562017440796	1.14649E+02	2.11083E-04	6.54197E-05	2.20988E-04	17.2195	2
2.94705E+01	20	3.32564115524292	1.21294E+02	2.09138E-04	4.70622E-05	2.14368E-04	12.682	2
2.32995E+01	20	3.32562661170959	1.27887E+02	2.08810E-04	3.72612E-05	2.12108E-04	10.1177	2
1.84207E+01	20	3.32564330101013	1.33891E+02	2.09080E-04	2.76523E-05	2.10900E-04	7.53407	2
1.45635E+01	20	3.32559180259705	1.40240E+02	2.10250E-04	1.80460E-05	2.11023E-04	4.90573	2
1.15140E+01	20	3.32564067840576	1.46988E+02	2.10622E-04	1.07785E-05	2.10898E-04	2.92952	2
9.10298E+00	20	3.32565379142761	1.53041E+02	2.12482E-04	8.23767E-06	2.12642E-04	2.22018	2
7.19686E+00	20	3.32560920715332	1.59405E+02	2.13398E-04	3.64802E-06	2.13429E-04	0.979371	2
5.68987E+00	20	3.32562565803528	1.66166E+02	2.14061E-04	-1.00349E-06	2.14063E-04	-0.268593	2
4.49843E+00	20	3.32567524909973	1.72227E+02	2.16331E-04	-3.13737E-06	2.16354E-04	-0.830881	2
3.55648E+00	20	3.3256824016571	1.78534E+02	2.16732E-04	-5.28136E-06	2.16797E-04	-1.39592	2
2.81177E+00	20	3.32567071914673	1.85077E+02	2.19763E-04	-6.49355E-06	2.19859E-04	-1.69248	2
2.22300E+00	20	3.32568669319153	1.92020E+02	2.20256E-04	-9.47127E-06	2.20459E-04	-2.46227	2
1.75751E+00	20	3.32570290565491	1.99445E+02	2.21418E-04	-1.06614E-05	2.21674E-04	-2.75669	2
