CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8IbaRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G++/WD1iSTWIElpYC2oyBLOLKfpnJ/1uBBzmknriQvrIWFr/poFVnxn9WLPsSeuY7e9G8eyFn6z3XRcz256ALzmddNtObbroY74ldK9NRD0OadsdQisHmdS8NRa8FSSDT0/A+s0aDVuGq7t+pZlzZMdDVwnaHcCr4NO7HaUyfOz6G0/JWJHsgD+5oc9DUf9ZTSKF/Fg9svwonHRlZKynKQxlaENeJRFM/oHXclwLnKqiNEpodGEr6naMBeELQfieXkbOrZ9woyBQQ0skYBpuT5IGEkVYTdtBzUStqHL22SzVRo1nCRrA435q4G6ueQRCx1DmKll5ZWjbKSSCvDJr8DEBGMTaOcwGv14Gd0pDfiLvFv4rAQLw/pUkm4EHAQ5tePIYDJOmSkVCV9rLsMNfZqSg5IroloRbR1EyuavyarwK04Y7e72I/DGQL9CYJUvX0hGR9XfkR9lYxANByTN0AZUAtllqgo8PJOgccr39Kvyq7elqz8LzTqxUMRTnjCZKdin63wlHxJh6ONySIrI93IhoOKOuFhzPy66J0XjqJo4LRu34AzK05TBtJAxcFvHqYS+WQRO2K6AawLPBC0TtE3gm6CjAOYQik5Vn6OiaTLuJ8b7xLRUAZpM+xPjh9cfmI5iJoTBFCiMu6eEtm0Q3kdCH9QgtGGD8D8SnbJb6B2BEh0G33vj7z+5jf5Nu+G2G852aTt+U77JQmpK5Pb/pYoJFaoqhYyVfRCT3T6l2DiiHA+aQhmd87t894ir8Bsx8pjS7luiq7oszCMRjV4ybCrg7lf7BUlzKH0YtNctv+3e3Pi277nKg1jyffSCDpU60B7GCecmtqXugRfVQyHOYRUYiP574cUDSWRMV5ytCx3voPdfyIqK3sACSmF/YJa1ymo3mql4FaH3i3uWHkZsVcKiOlCFFrMrmeiDUOV2S+kfzSpjAmcneGQroEOF8S79mOXp0QXtscn8lhD+yJ8THQqDZciWGCoKrhrYq53wgNJd1SP7sKMVw00HYyJTM6x0Dqa/lqtiQL/e/jjl+skmkXCR7TiXW+Mwih9PBz2eQ3ox4DgU1fWjg7BhXChcmoNSiSVcsEcChrMkE/IGCzhnIIdRcf+9XwwF6F0nbHNkYOry13hP6bpwsEqoDk/v98pULve5PG7VUN8fqtZ7NE11yXUFJTDVIJfwc9zQpyxL5CHsNK8RQVhTiPkmdBGqFkCpWaTzif9zCvPdxTDE4BsLXf9YwVV6h1QqudJNva7OdORmHGIE59asp+/J/3hljLIMmxikyz7XGqckz6q2LTieElGK9Q6rlGZqmvfpE8lTGRWdqABceldgcsSeeFBcMvVd99K+6qI1ma8pwsDF2+MK3yEJSY13Fd4qV+o5YpA4da70xRe0bXiM5eKJrKiFcQ+s6oN3WhF9k1UfZOP87IHCg0Z+WrNcWENr9dsflzX0s969rH1JSFZfXNYw9XWYDpe1bz/X77e75mr3918ITDTs1yIhaqqJ4InH1lYxTbN/AKk1e46aCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.24852657318115	1.01053E+01	5.05752E-04	1.01686E-03	1.13569E-03	63.5559	2
7.90604E+02	20	3.24854183197021	1.72392E+01	4.47096E-04	8.42990E-04	9.54215E-04	62.0599	2
6.25055E+02	20	3.24857187271118	2.45332E+01	4.09807E-04	7.06753E-04	8.16971E-04	59.8929	2
4.94171E+02	20	3.24851560592651	3.20180E+01	3.71388E-04	5.79910E-04	6.88640E-04	57.3636	2
3.90694E+02	20	3.24861145019531	3.97502E+01	3.32269E-04	4.71691E-04	5.76970E-04	54.8383	2
3.08884E+02	20	3.2484712600708	4.77764E+01	3.05024E-04	3.97363E-04	5.00936E-04	52.4894	2
2.44205E+02	20	3.24860596656799	5.84095E+01	2.85054E-04	3.41831E-04	4.45089E-04	50.1751	2
1.93070E+02	20	3.24856352806091	6.68799E+01	2.64773E-04	2.86595E-04	3.90181E-04	47.2665	2
1.52642E+02	20	3.24850368499756	7.59261E+01	2.43629E-04	2.31897E-04	3.36350E-04	43.5868	2
1.20679E+02	20	3.24848031997681	8.44810E+01	2.30652E-04	1.95582E-04	3.02412E-04	40.2964	2
9.54095E+01	20	3.24854397773743	9.02815E+01	2.19642E-04	1.59894E-04	2.71677E-04	36.0537	2
7.54312E+01	20	3.24850225448608	9.63167E+01	2.09357E-04	1.31778E-04	2.47378E-04	32.188	2
5.96362E+01	20	3.24859619140625	1.02105E+02	2.04025E-04	1.06837E-04	2.30305E-04	27.6387	2
4.71487E+01	20	3.24857974052429	1.08231E+02	1.96721E-04	7.85582E-05	2.11826E-04	21.7688	2
3.72759E+01	20	3.24860692024231	1.14608E+02	1.95618E-04	6.51635E-05	2.06186E-04	18.4238	2
2.94705E+01	20	3.2485888004303	1.21255E+02	1.93756E-04	4.58113E-05	1.99098E-04	13.3026	2
2.32995E+01	20	3.24862122535706	1.27848E+02	1.92948E-04	3.75249E-05	1.96563E-04	11.0056	2
1.84207E+01	20	3.24865293502808	1.33854E+02	1.94089E-04	2.83429E-05	1.96148E-04	8.30822	2
1.45635E+01	20	3.24867987632751	1.40213E+02	1.94806E-04	1.72380E-05	1.95567E-04	5.05683	2
1.15140E+01	20	3.2486298084259	1.46959E+02	1.94491E-04	1.14943E-05	1.94830E-04	3.38221	2
9.10298E+00	20	3.24866938591003	1.53014E+02	1.96686E-04	7.50061E-06	1.96829E-04	2.18391	2
7.19686E+00	20	3.24866938591003	1.59376E+02	1.97714E-04	2.21215E-06	1.97727E-04	0.641033	2
5.68987E+00	20	3.24867916107178	1.66144E+02	1.98621E-04	-1.52911E-06	1.98627E-04	-0.44109	2
4.49843E+00	20	3.24870657920837	1.72213E+02	2.01002E-04	-5.74163E-06	2.01084E-04	-1.63621	2
3.55648E+00	20	3.2486834526062	1.78513E+02	2.02363E-04	-7.69616E-06	2.02510E-04	-2.17799	2
2.81177E+00	20	3.24871420860291	1.85058E+02	2.02950E-04	-1.00742E-05	2.03200E-04	-2.84175	2
2.22300E+00	20	3.24880146980286	1.91999E+02	2.06069E-04	-1.15984E-05	2.06396E-04	-3.22143	2
1.75751E+00	20	3.24872803688049	1.99427E+02	2.07730E-04	-1.41744E-05	2.08213E-04	-3.9035	2
1.38950E+00	20	3.24887657165527	2.07410E+02	2.09631E-04	-1.68764E-05	2.10310E-04	-4.60268	2
1.09854E+00	20	3.24886894226074	2.16203E+02	2.12606E-04	-1.88469E-05	2.13440E-04	-5.06585	2
8.68511E-01	20	3.24878215789795	2.23687E+02	2.14979E-04	-2.16471E-05	2.16066E-04	-5.74995	2
6.86649E-01	20	3.24888181686401	2.31794E+02	2.16635E-04	-2.43385E-05	2.17998E-04	-6.41018	2
5.42867E-01	20	3.24907326698303	2.40675E+02	2.18924E-04	-2.84717E-05	2.20767E-04	-7.40989	2
4.29193E-01	20	3.24921417236328	2.48200E+02	2.22610E-04	-3.44803E-05	2.25265E-04	-8.80463	2
3.39322E-01	20	3.24946784973145	2.56346E+02	2.26425E-04	-4.01891E-05	2.29964E-04	-10.0648	2
2.68270E-01	20	3.24957418441772	2.65367E+02	2.33436E-04	-4.64872E-05	2.38020E-04	-11.2627	2
2.12095E-01	20	3.24953889846802	2.75470E+02	2.40064E-04	-5.24049E-05	2.45717E-04	-12.3142	2
1.67683E-01	20	3.24955868721008	2.86859E+02	2.47218E-04	-5.93187E-05	2.54235E-04	-13.4927	2
1.32571E-01	20	3.24945402145386	2.99806E+02	2.55336E-04	-6.66585E-05	2.63894E-04	-14.6312	2
1.04811E-01	20	3.24929189682007	3.14754E+02	2.64247E-04	-7.49490E-05	2.74671E-04	-15.835	2
8.28642E-02	20	3.249098777771	3.32419E+02	2.73298E-04	-8.45636E-05	2.86082E-04	-17.1931	2
6.55128E-02	20	3.24887156486511	3.53282E+02	2.84027E-04	-9.57360E-05	2.99728E-04	-18.6272	2
5.17947E-02	20	3.24859523773193	3.78244E+02	2.96431E-04	-1.09047E-04	3.15852E-04	-20.1968	2
4.09491E-02	20	3.24834012985229	4.08267E+02	3.10671E-04	-1.24252E-04	3.34597E-04	-21.7988	2
3.23746E-02	20	3.24798512458801	4.44778E+02	3.27259E-04	-1.41946E-04	3.56717E-04	-23.4484	2
2.55955E-02	20	3.24763584136963	4.89448E+02	3.46493E-04	-1.61846E-04	3.82428E-04	-25.0371	2
2.02359E-02	20	3.24722766876221	5.44479E+02	3.68821E-04	-1.84545E-04	4.12415E-04	-26.5817	2
1.59986E-02	20	3.24677848815918	6.12596E+02	3.95068E-04	-2.09546E-04	4.47200E-04	-27.9417	2
1.26485E-02	20	3.2463436126709	6.97271E+02	4.25810E-04	-2.36895E-04	4.87271E-04	-29.0889	2
1.00000E-02	20	3.24583673477173	8.03595E+02	4.62240E-04	-2.66350E-04	5.33486E-04	-29.9512	2
