CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8SWqRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G+B/WD1iSTWIElpx1pQkSWcWU7TOT/rcSHmNJPWExfWQ8LW/DXrWPGd1Ys9x564ju17N45lLYKm33Rcz256ALzmddNtObbroY74ldK9NRD0OadsdehYPc6k4Km14KkkG3p+BtZpp9W4abi2G1iWNU92tOPaHbfd8W10YrejTJ6fRW/7KRE7knXgb37Y03DUX0ajeBEPZr8MLxoXXSkpy0kaUxnagEdZNKN/0JUM5yKnihidEhpN+JqqDXNB2HIgnpe3oWPbJ8wYGNTAEgmYluuDhJFUEXbTdlAjYRu6vE02W6VRw0myNtCYvxqom0sesdAxhJlaVl45ykYqqQCfggpMTDA2gXYOo9GPl9Gd0oC/yLuFz0qwMKxPJelGwEGQUzuODCbjlJlSkfC15jLc0KcpOSi5IqoV4esgUjZ/TVaFX3HCaHe3H4E3BvoVAqt8+UIyOqr+jvwoG4NoOCBphjagEsguU1Xg4ZkEjVO+p1+VX70tXf1ZaNaJhSKe8oTJTME+Xecr+ZAIQx+XQ1JEvpcLARV3xMWa+3HRPSkaR9XEadm4BWdQnqYMpoWMgX0dpxIGZhE4oV8B1wSeCVom8E0QmKCtAOYQik5Vn6OiaTLuJ8b7xLRUAZqM/4kJwusPTFsxE8JgChTG3VNC2zYI7yOhD2oQ2rBBBB+Jdtkt9I5AiQ4733vj7z+5jf6N33D9hrNd2o7flG+ykJoSuf1/qWJChapKIWNlH8Rkt08pNo4ox4OmUEbn/C7fPeIq/EaMPKa0+5boqi4L80hEo5cMmwq4+9V+QdIcSr/pBi07sF3/+jrwvUB5EEu+j17QoVIH2sM44dzEttQ98KJ6KMQ5rAID0X8vvHggiYzpirN1oeMd9P4LWVHRG1hAKewPzLJWWe1GMxWvIvR+cc/Sw4itSlhUB6rQYnYlE30QqtxuKf2jWWVM4OwEj2wFdKgw3qUfszw9uqA9NpnfEsIf+XOiQ2GwDNkSQ0XBVQN7tRMeULqremQftrViuOlgTGRqhpXOwfTXclUM6NfbH6dcP9kkEi6yHedyaxxG8ePpoMdzSC8GHIeiun50EDaMC4VLc1AqsYQL9kjAcJZkQt5gAecM5DAq7r/3i6EAveuEbY4MTF3+Gu8pXRcOVgnV4en9XpnK5T6Xx60a6vtD1XqPpqkuua6gBKYa5BJ+jhv6lGWJPITt5jUiCGsKMd+ELkLVAig1i3Q+8X9OYb67GIYYfGOhGxwruErvkEolV7qp19WZjtyMQ4zg3Jr19D35H6+MUZZhE4N02eda45TkWdW2BcdTIkqx3mGV0kxN8z59Inkqo6ITFYBL7wpMjtgT7xSXTH3XvbSvumhN5muKEB5G8F3hOyQhqfGuwlvlSj1HDBKnzpW++NRbKs7FE1lRC+PesaoP3mlF9E1WfZCN87MHCg8a+WnNcmENrdVvf1zW0M9697L2JSFZfXFZw9TXYTpc1r79XL/f7pqr3d9/ITDRsF+LhKipJoInHltbxTTN/gExOHnVmgoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.26409125328064	1.01393E+01	5.02822E-04	9.95182E-04	1.11500E-03	63.1945	2
7.90604E+02	20	3.26421928405762	1.72674E+01	4.44080E-04	8.36404E-04	9.46984E-04	62.0344	2
6.25055E+02	20	3.26413154602051	2.45657E+01	4.09007E-04	6.80217E-04	7.93714E-04	58.982	2
4.94171E+02	20	3.26404547691345	3.20695E+01	3.61903E-04	5.72681E-04	6.77449E-04	57.7094	2
3.90694E+02	20	3.26398658752441	3.97979E+01	3.35222E-04	4.70920E-04	5.78048E-04	54.555	2
3.08884E+02	20	3.26420044898987	4.78265E+01	2.97816E-04	3.99470E-04	4.98268E-04	53.2944	2
2.44205E+02	20	3.26427006721497	5.84559E+01	2.84580E-04	3.39040E-04	4.42645E-04	49.9909	2
1.93070E+02	20	3.26439237594604	6.69342E+01	2.64600E-04	2.84066E-04	3.88210E-04	47.0319	2
1.52642E+02	20	3.26432061195374	7.59876E+01	2.43643E-04	2.29441E-04	3.34671E-04	43.2805	2
1.20679E+02	20	3.26437020301819	8.45421E+01	2.30922E-04	1.94744E-04	3.02077E-04	40.142	2
9.54095E+01	20	3.26439881324768	9.03409E+01	2.19805E-04	1.58821E-04	2.71179E-04	35.8501	2
7.54312E+01	20	3.26434993743896	9.63921E+01	2.10682E-04	1.30759E-04	2.47962E-04	31.8257	2
5.96362E+01	20	3.26435923576355	1.02192E+02	2.03381E-04	1.06183E-04	2.29431E-04	27.5687	2
4.71487E+01	20	3.26432061195374	1.08319E+02	1.98163E-04	7.74404E-05	2.12757E-04	21.3451	2
3.72759E+01	20	3.26430106163025	1.14707E+02	1.95029E-04	6.33300E-05	2.05053E-04	17.9897	2
2.94705E+01	20	3.26430988311768	1.21352E+02	1.94386E-04	4.54745E-05	1.99635E-04	13.1669	2
2.32995E+01	20	3.26433658599854	1.27939E+02	1.93899E-04	3.59987E-05	1.97213E-04	10.5176	2
1.84207E+01	20	3.26434898376465	1.33937E+02	1.95090E-04	2.70271E-05	1.96954E-04	7.88733	2
1.45635E+01	20	3.26436328887939	1.40277E+02	1.95732E-04	1.66433E-05	1.96438E-04	4.86023	2
1.15140E+01	20	3.26434469223022	1.47020E+02	1.96205E-04	1.04488E-05	1.96483E-04	3.04837	2
9.10298E+00	20	3.2643609046936	1.53077E+02	1.97650E-04	7.45714E-06	1.97791E-04	2.16068	2
7.19686E+00	20	3.26433777809143	1.59435E+02	1.97974E-04	2.67280E-06	1.97992E-04	0.773492	2
5.68987E+00	20	3.26438879966736	1.66198E+02	1.99890E-04	-2.11833E-06	1.99902E-04	-0.607168	2
4.49843E+00	20	3.2643826007843	1.72259E+02	2.03073E-04	-5.85755E-06	2.03157E-04	-1.65222	2
3.55648E+00	20	3.26437830924988	1.78567E+02	2.03904E-04	-7.37368E-06	2.04037E-04	-2.07106	2
2.81177E+00	20	3.26439690589905	1.85113E+02	2.05039E-04	-9.68298E-06	2.05267E-04	-2.70379	2
2.22300E+00	20	3.26444149017334	1.92053E+02	2.07055E-04	-1.15099E-05	2.07374E-04	-3.18172	2
1.75751E+00	20	3.26438212394714	1.99479E+02	2.08304E-04	-1.37455E-05	2.08757E-04	-3.77534	2
1.38950E+00	20	3.26450109481812	2.07465E+02	2.11007E-04	-1.58174E-05	2.11599E-04	-4.28695	2
1.09854E+00	20	3.26452779769897	2.16245E+02	2.12974E-04	-1.89936E-05	2.13819E-04	-5.09631	2
8.68511E-01	20	3.26446223258972	2.23733E+02	2.15419E-04	-2.10231E-05	2.16442E-04	-5.57396	2
6.86649E-01	20	3.26451992988586	2.31815E+02	2.17141E-04	-2.43740E-05	2.18504E-04	-6.40464	2
5.42867E-01	20	3.26474332809448	2.40696E+02	2.20049E-04	-2.82882E-05	2.21860E-04	-7.32545	2
4.29193E-01	20	3.26487421989441	2.48242E+02	2.23307E-04	-3.34108E-05	2.25793E-04	-8.50936	2
3.39322E-01	20	3.26512145996094	2.56389E+02	2.27686E-04	-3.92181E-05	2.31039E-04	-9.77306	2
2.68270E-01	20	3.26518559455872	2.65425E+02	2.33553E-04	-4.51696E-05	2.37881E-04	-10.946	2
2.12095E-01	20	3.26514625549316	2.75532E+02	2.40168E-04	-5.12047E-05	2.45566E-04	-12.0355	2
1.67683E-01	20	3.26514673233032	2.86898E+02	2.47303E-04	-5.74996E-05	2.53899E-04	-13.0891	2
1.32571E-01	20	3.26503872871399	2.99839E+02	2.54758E-04	-6.42056E-05	2.62725E-04	-14.1454	2
1.04811E-01	20	3.26488423347473	3.14788E+02	2.63499E-04	-7.23004E-05	2.73238E-04	-15.3435	2
8.28642E-02	20	3.26466512680054	3.32456E+02	2.72795E-04	-8.13466E-05	2.84665E-04	-16.6044	2
6.55128E-02	20	3.26448035240173	3.53319E+02	2.83392E-04	-9.20974E-05	2.97982E-04	-18.0032	2
5.17947E-02	20	3.26423621177673	3.78222E+02	2.95465E-04	-1.04672E-04	3.13458E-04	-19.5072	2
4.09491E-02	20	3.26393055915833	4.08308E+02	3.09212E-04	-1.19353E-04	3.31447E-04	-21.1061	2
3.23746E-02	20	3.26363706588745	4.44868E+02	3.25018E-04	-1.35400E-04	3.52094E-04	-22.6163	2
