CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBdujZQfHAgtOtCyhKW7R0dCLriQ3cSmjtOWoz7VPsI+2c7YCTHt7uZXvs/jmfHc7G8d+8EaEkmsUZxQ31pSkcWcWU7TOT8bcCEWNJPWExfWQ8w2/DXzrejOGkSeY09dx257145lLTvNdtNxPbvpAfCavabbcmzXQx3RK6V7ayToc07Z+uBbA86k4Im15IkkW3p+Btap32pcN1zb7ViWtYhT6js9v93zbQ+dSFPK5PlZ+LafEZGSzIe/xWFPg/FwFY6jZTSa/3Jz0bjoS0lZTpKIysAGPM7COf2DrmWwEDlVxPiU0GjKN1RtWAjCViPxvLoNHNs+YSbAoAYWS8C0XB/FjCSKsJu2gxoJ29LVbbzdKY0aTuONgSb81UD9XPKQBY4hzNSy8spRNhJJBfjUqcDUBBMTaOcwGsNoFd4pDfiLvFv4rAQLw/pUkm4FHAQ5tePIYDJOmRkVMd9oLsMNQ5qQg5IroloRbR1Eyhav8brwK4oZ7af7MXhjoF8hsMqXLySj4+rvyI+zCYgGI5JkaAMqgaSZqgIPzyRolPA9/ar8Guzo+s9Cs04sFPGMx0xmCg7pJl/Lh1gY+ri8IUXkB7kQUHFHXKy5Hxfdk6JxVE2clo1bcAblacpgWsgYuK3jVMKOWQRO0K6AawLPBC0TtE3QMUFXAcwhFJ2qPkdF02TcT4z3iWmpAjSZ9iemE/Q+MF3FTAmDKVAYd08JbdsgvI+EPqhBaMMG0flIdMtuoXcESvTG/z6YfP/JbQyv2w233XB2K9tpNeWbLKRmRO7+X6qYUIGqUshY2QcRSfcJxcYR5XjQFMronN/l6SOuwm/IyGNC+2+xruqyMI9EOH7JsKmAu1/vlyTJofSbbs/xPLd17fbcntdVHkSS78MXdKjUgfYwTjg3sS11D7yoHgpwDqvAQPTfCy8eSCwjuuZsU+h4B73/QlZU+AYWUAr7A7OsVVa70UzFqwi9X9yz5DBm6xIW1YEqtJhdyYQfhCq3W0r/eF4ZEzg7wSNbAR0qjHfpxzxPji5oj03mt5jwR/4c61AYLEO2xFBRcNXAXu2EB5TuqgHZB12tGG46GBOZmmGlczD9tVwVA/r19scpN4y3sYSLLOVc7ozDKH4yGw14DunFgONQVNePDsKWcaFwaQ5KJZJwwR4JGM6STMkbLOCcgRyGxf33fnEjQO8mZtsjA1OXv0Z7SjeFg1VCdXgGv1emcrnP5XGrhvr+ULU+oEmiS64vKIGpBrmEn+OGIWVZLA9Bt9lDBGFNIObbwEWoWgCl5qHOJ/4vKMx3F8MQgW8scDvHCq7Se0Olkivd1OvqTEduziFGcG7Nevqe/I9XxjjLsIlBuuxzrXFG8qxq24LjCRGl2OCwTmimpvmQPpE8kWHRiQrApXcFJsfsifvFJVNP+5f2VR+tyXxDEfou3h5X+A6JSWK8q/BWuVLPEYPEqXOlLz6/bcNjLBdPZE0tjLtvVR+804rom6z6IBvnZw8UHjTy05rlwhpaq9/+uKyhn/X+Ze1LTLL68rKGqa/DdLisffu5fr9Lm+v0778QmOhmWAuFqKkmgice21jFNM3+AXYR6AiaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28138422966003	1.01174E+01	5.04425E-04	1.01054E-03	1.12944E-03	63.4733	2
7.90604E+02	20	3.28138971328735	1.72437E+01	4.52431E-04	8.45641E-04	9.59063E-04	61.8525	2
6.25055E+02	20	3.28142142295837	2.45554E+01	4.09298E-04	6.97572E-04	8.08784E-04	59.5979	2
4.94171E+02	20	3.28132915496826	3.20718E+01	3.73164E-04	5.76017E-04	6.86329E-04	57.0634	2
3.90694E+02	20	3.28135657310486	3.98061E+01	3.34415E-04	4.81100E-04	5.85910E-04	55.1966	2
3.08884E+02	20	3.2812807559967	4.78522E+01	3.10002E-04	4.00165E-04	5.06195E-04	52.2355	2
2.44205E+02	20	3.28129458427429	5.84793E+01	2.88898E-04	3.43959E-04	4.49188E-04	49.9725	2
1.93070E+02	20	3.28127503395081	6.69534E+01	2.68595E-04	2.88281E-04	3.94017E-04	47.0247	2
1.52642E+02	20	3.28120446205139	7.60040E+01	2.46365E-04	2.34267E-04	3.39966E-04	43.5581	2
1.20679E+02	20	3.28125429153442	8.45468E+01	2.33587E-04	1.97327E-04	3.05779E-04	40.19	2
9.54095E+01	20	3.28144931793213	9.03427E+01	2.22825E-04	1.61483E-04	2.75187E-04	35.9312	2
7.54312E+01	20	3.28146052360535	9.63773E+01	2.12990E-04	1.32426E-04	2.50802E-04	31.871	2
5.96362E+01	20	3.28142881393433	1.02173E+02	2.05688E-04	1.08983E-04	2.32777E-04	27.9166	2
4.71487E+01	20	3.28143334388733	1.08305E+02	1.98518E-04	7.94268E-05	2.13817E-04	21.8063	2
3.72759E+01	20	3.28145813941956	1.14675E+02	1.97299E-04	6.51778E-05	2.07786E-04	18.281	2
2.94705E+01	20	3.28146505355835	1.21325E+02	1.95080E-04	4.61446E-05	2.00464E-04	13.3082	2
2.32995E+01	20	3.28148460388184	1.27913E+02	1.94707E-04	3.72620E-05	1.98240E-04	10.834	2
1.84207E+01	20	3.28146576881409	1.33905E+02	1.96464E-04	2.76829E-05	1.98405E-04	8.02049	2
1.45635E+01	20	3.28148627281189	1.40251E+02	1.97257E-04	1.78151E-05	1.98059E-04	5.16062	2
1.15140E+01	20	3.28153157234192	1.46991E+02	1.97596E-04	1.06717E-05	1.97884E-04	3.09142	2
9.10298E+00	20	3.28151607513428	1.53043E+02	1.97016E-04	7.42338E-06	1.97155E-04	2.15784	2
7.19686E+00	20	3.2814929485321	1.59411E+02	1.98522E-04	3.09071E-06	1.98546E-04	0.891941	2
5.68987E+00	20	3.2815158367157	1.66170E+02	2.00189E-04	-1.14852E-06	2.00192E-04	-0.328713	2
4.49843E+00	20	3.2815887928009	1.72236E+02	2.01112E-04	-4.29604E-06	2.01158E-04	-1.22373	2
3.55648E+00	20	3.28158235549927	1.78542E+02	2.04286E-04	-7.02439E-06	2.04407E-04	-1.96934	2
2.81177E+00	20	3.28160071372986	1.85078E+02	2.05893E-04	-9.98152E-06	2.06135E-04	-2.77547	2
2.22300E+00	20	3.28161072731018	1.92026E+02	2.07395E-04	-1.13061E-05	2.07702E-04	-3.12038	2
1.75751E+00	20	3.28157353401184	1.99444E+02	2.09372E-04	-1.34945E-05	2.09807E-04	-3.68774	2
