CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8IbaRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G++/WD1iSTWIElpYC2oyBLOLKfpnJ/1uBBzmknriQvrIWFr/poFVnxn9WLPsSeuY7e9G8eyFn6z3XRcz256ALzmddNtObbroY74ldK9NRD0OadsdQisHmdS8NRa8FSSDT0/A+s0aDVuGq7t+pZlzZMdDZxO4F4Hjo9O7HaUyfOz6G0/JWJHsgD+5oc9DUf9ZTSKF/Fg9svwonHRlZKynKQxlaENeJRFM/oHXclwLnKqiNEpodGEr6naMBeELQfieXkbOrZ9woyBQQ0skYBpuT5IGEkVYTdtBzUStqHL22SzVRo1nCRrA435q4G6ueQRCx1DmKll5ZWjbKSSCvDJr8DEBGMTaOcwGv14Gd0pDfiLvFv4rAQLw/pUkm4EHAQ5tePIYDJOmSkVCV9rLsMNfZqSg5IroloRbR1EyuavyarwK04Y7e72I/DGQL9CYJUvX0hGR9XfkR9lYxANByTN0AZUAtllqgo8PJOgccr39Kvyq7elqz8LzTqxUMRTnjCZKdin63wlHxJh6ONySIrI93IhoOKOuFhzPy66J0XjqJo4LRu34AzK05TBtJAxcFvHqYS+WQRO2K6AawLPBC0TtE3gm6CjAOYQik5Vn6OiaTLuJ8b7xLRUAZpM+xPjh9cfmI5iJoTBFCiMu6eEtm0Q3kdCH9QgtGGD8D8SnbJb6B2BEh0G33vj7z+5jf5Nu+G2G852aTteU77JQmpK5Pb/pYoJFaoqhYyVfRCT3T6l2DiiHA+aQhmd87t894ir8Bsx8pjS7luiq7oszCMRjV4ybCrg7lf7BUlzKP2me912nBu77Xdsx/eVB7Hk++gFHSp1oD2ME85NbEvdAy+qh0KcwyowEP33wosHksiYrjhbFzreQe+/kBUVvYEFlML+wCxrldVuNFPxKkLvF/csPYzYqoRFdaAKLWZXMtEHocrtltI/mlXGBM5O8MhWQIcK4136McvTowvaY5P5LSH8kT8nOhQGy5AtMVQUXDWwVzvhAaW7qkf2YUcrhpsOxkSmZljpHEx/LVfFgH69/XHK9ZNNIuEi23Eut8ZhFD+eDno8h/RiwHEoqutHB2HDuFC4NAelEku4YI8EDGdJJuQNFnDOQA6j4v57vxgK0LtO2ObIwNTlr/Ge0nXhYJVQHZ7e75WpXO5zedyqob4/VK33aJrqkusKSmCqQS7h57ihT1mWyEPYaV4jgrCmEPNN6CJULYBSs0jnE//nFOa7i2GIwTcWuv6xgqv0DqlUcqWbel2d6cjNOMQIzq1ZT9+T//HKGGUZNjFIl32uNU5JnlVtW3A8JaIU6x1WKc3UNO/TJ5KnMio6UQG49K7A5Ig98aC4ZOq77qV91UVrMl9ThIGLt8cVvkMSkhrvKrxVrtRzxCBx6lzpiy9o2/AYy8UTWVEL4x5Y1QfvtCL6Jqs+yMb52QOFB438tGa5sIbW6rc/LmvoZ717WfuSkKy+uKxh6uswHS5r336u3293zdXu778QmGjYr0VC1FQTwROPra1immb/ADkOBRuaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.2851619720459	1.01199E+01	5.33351E-04	1.03029E-03	1.16016E-03	62.6308	2
7.90604E+02	20	3.28531885147095	1.72480E+01	4.69102E-04	8.47821E-04	9.68946E-04	61.0441	2
6.25055E+02	20	3.28530430793762	2.45427E+01	4.23773E-04	7.00498E-04	8.18707E-04	58.8278	2
4.94171E+02	20	3.28513407707214	3.20505E+01	3.83212E-04	5.76978E-04	6.92643E-04	56.4091	2
3.90694E+02	20	3.28511953353882	3.97821E+01	3.43916E-04	4.86426E-04	5.95725E-04	54.7386	2
3.08884E+02	20	3.28503704071045	4.78103E+01	3.13705E-04	4.10043E-04	5.16281E-04	52.5821	2
2.44205E+02	20	3.28527641296387	5.84396E+01	2.95233E-04	3.48966E-04	4.57099E-04	49.7681	2
1.93070E+02	20	3.28515625	6.69149E+01	2.73508E-04	2.93341E-04	4.01068E-04	47.0038	2
1.52642E+02	20	3.2850546836853	7.59709E+01	2.51527E-04	2.38340E-04	3.46514E-04	43.458	2
1.20679E+02	20	3.28534626960754	8.45283E+01	2.36801E-04	2.02164E-04	3.11360E-04	40.4883	2
9.54095E+01	20	3.28533029556274	9.03219E+01	2.25638E-04	1.65406E-04	2.79771E-04	36.2436	2
7.54312E+01	20	3.28529477119446	9.63702E+01	2.14336E-04	1.37220E-04	2.54498E-04	32.6277	2
5.96362E+01	20	3.28534507751465	1.02167E+02	2.07687E-04	1.12647E-04	2.36269E-04	28.4748	2
4.71487E+01	20	3.28530883789063	1.08300E+02	2.00697E-04	8.14587E-05	2.16598E-04	22.0912	2
3.72759E+01	20	3.28531336784363	1.14688E+02	1.99265E-04	6.81846E-05	2.10608E-04	18.8899	2
2.94705E+01	20	3.28529000282288	1.21333E+02	1.96174E-04	4.89483E-05	2.02188E-04	14.0101	2
2.32995E+01	20	3.2852840423584	1.27922E+02	1.94689E-04	3.90910E-05	1.98574E-04	11.3533	2
1.84207E+01	20	3.28528714179993	1.33915E+02	1.95625E-04	2.93681E-05	1.97817E-04	8.53774	2
1.45635E+01	20	3.28530097007751	1.40255E+02	1.95664E-04	1.90590E-05	1.96590E-04	5.56343	2
1.15140E+01	20	3.28534817695618	1.47022E+02	1.96452E-04	1.14821E-05	1.96787E-04	3.345	2
9.10298E+00	20	3.2853467464447	1.53073E+02	1.97324E-04	8.93529E-06	1.97526E-04	2.59271	2
7.19686E+00	20	3.2853000164032	1.59440E+02	1.98416E-04	3.28764E-06	1.98444E-04	0.94927	2
5.68987E+00	20	3.28535676002502	1.66199E+02	2.00206E-04	-1.14781E-06	2.00209E-04	-0.328482	2
4.49843E+00	20	3.28535056114197	1.72266E+02	2.02137E-04	-4.15085E-06	2.02180E-04	-1.17639	2
3.55648E+00	20	3.28540658950806	1.78579E+02	2.02836E-04	-7.38519E-06	2.02971E-04	-2.0852	2
2.81177E+00	20	3.28538632392883	1.85123E+02	2.04203E-04	-7.75594E-06	2.04351E-04	-2.17513	2
2.22300E+00	20	3.28539824485779	1.92062E+02	2.07262E-04	-1.08299E-05	2.07545E-04	-2.9911	2
1.75751E+00	20	3.28540182113647	1.99491E+02	2.08553E-04	-1.35272E-05	2.08992E-04	-3.71113	2
