CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQMkhi6WHAvQg9eWHWFza+Q67WKBgLEZW61EOhSVyyJf1U/ol3WGlCw6aasnncPhzHBu5LfAvrMmRBJrmuU0tBZUlBlnltNzDg/GXIg5LaX1yIV1l7EVfylDK72yxqnn2JeuY/ve0LGsRdDze47r2T0PgNc767l9x3Y91JG+ULq1poI+VZQt30JrzJkUPLcWPJdkTQ8PwDoN+6fDU9d2A8uy5llBQ8cP/bPQHaITRUGZPDyIX7c3RBSkDOFv/ralUTK5j5N0kU5vf5kdnR6NpKSsInlKZWQDTsr4lv5BlzKai4oqItknNLrkK6o2zAVh91PxdH8eOba9x1wAgxpYJgHTZn2aMZIrwu7ZDmokbE3vz7P1RmnU8DJbGeiCvxhoVEkes8gxhJlaVl45ykYuqQCfghZcmuDCBNo5jMYkvY+vlAb8Rd6tfVaCtWF9KknXAg6CnNqxYzAZ+8wNFRlfaa7EDROakzclV0e1JXwdRMrmL9my9ivNGB0V2wS8MdCvEFjlyxdS0qT92/FJeQGi0ZTkJdqASiBFqarAwzMJmuZ8S78qv8Ybuvyz1qwTC0V8wzMmSwUndFUt5V0mDH1czkgd+XElBFTcDtdr7sdFd69oHFUT+2Xj1pxBeZoymD4yBvZ1nBoYmEXgRH4LXBN4JuibwDdBYIKBAphDKDpVfY6Kpsm4nxjvE9NXBWgy/icmiM4+MAPFXBIGU6A27u4T2rZBeB8JfVCD0IYNIvhIDJpuoVcESnQWfh9ffP/JPZ0M/VPXP3U297bj9uSrrKVuiNz8v1Q9oSJVpZCxpg9SUmxzio0jmvGgKZTROb+qigdchd+YkYecjl4zXdVNYe6IOHkusamAu15uFySvoPR77pk/7A/7wVnguMFAeZBKvo2f0aFGB9rDOOHcxLbUPfCseijCOawCA9F/r724I5lM6ZKzVa3jHfT+C9lS8StYQCnsD8yyVtnuRjMtryL0fnTN8reELRtYVweq0GJ2KxN/EGrd7iv9yW1rTODsBI9sBXSoMN6NH7dVvnNBe2wyv2WEP/CnTIfCYBmyDYaKgqsG9monPKB0V43JNhpoxXDTwZgo1QxrnIPpr+XaGNCv5z/2uUm2ziRcZAXncmMcRvEXN9MxryC9GHAciur60UFYMy4UbsxBqaQSLtgdAcNZkkvyCgs4ZyCHcX3/vR/NBOhdZWy9Y2Dq8pd0S+mqdrBNqA7P+PfWVCW3ldxt1VDfH6rWxzTPdcmNBCUw1SCX8LPbMKGszORbNOidIYKw5hDzdeQiVC2AUrexzif+zynMdxfDkIJvLHKDXQW36Z1RqeQaN/W6OtOOu+UQIzi3Zj19T/7HKyMpS2xikG76XGu8IVXZtm3N8ZyIRmz8tsxpqab5hD6SKpdx3YkKwKV3AiYT9sjD+pLpFqNj+2SE1mS1oghDF2+PE3yHZCQ33lV4q5yo54hB4tQ50Rdf6NvwGKvEI1lSC+MeWu0H77Q6+iarPsjG4cEdhQeN/LRmubCG1rrnP4476Gd3dNz5kpGyuzjuYOq7MB2OO99+7l5vit6y+PsvBCaaTTqxEB3VRPDEYyurnqblP4H5BRKaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28598785400391	1.00993E+01	5.08003E-04	1.02083E-03	1.14024E-03	63.5433	2
7.90604E+02	20	3.28604602813721	1.72265E+01	4.48426E-04	8.37849E-04	9.50304E-04	61.8438	2
6.25055E+02	20	3.28609991073608	2.45373E+01	4.08198E-04	6.93609E-04	8.04810E-04	59.5226	2
4.94171E+02	20	3.28604865074158	3.20559E+01	3.74250E-04	5.82130E-04	6.92054E-04	57.2631	2
3.90694E+02	20	3.28609585762024	3.97909E+01	3.39833E-04	4.83413E-04	5.90910E-04	54.8932	2
3.08884E+02	20	3.28614735603333	4.78260E+01	3.07285E-04	4.06145E-04	5.09291E-04	52.8893	2
2.44205E+02	20	3.28600430488586	5.84567E+01	2.90144E-04	3.43059E-04	4.49302E-04	49.777	2
1.93070E+02	20	3.28594279289246	6.69335E+01	2.68734E-04	2.87887E-04	3.93824E-04	46.9707	2
1.52642E+02	20	3.28603291511536	7.59921E+01	2.47544E-04	2.32529E-04	3.39629E-04	43.2085	2
1.20679E+02	20	3.28610467910767	8.45346E+01	2.34090E-04	1.97384E-04	3.06201E-04	40.1375	2
9.54095E+01	20	3.28612756729126	9.03300E+01	2.22652E-04	1.62081E-04	2.75398E-04	36.053	2
7.54312E+01	20	3.28613710403442	9.63706E+01	2.12328E-04	1.32669E-04	2.50368E-04	31.9984	2
5.96362E+01	20	3.28614449501038	1.02155E+02	2.05267E-04	1.09762E-04	2.32771E-04	28.1346	2
4.71487E+01	20	3.28614926338196	1.08285E+02	1.99869E-04	7.89862E-05	2.14910E-04	21.5635	2
3.72759E+01	20	3.28613305091858	1.14660E+02	1.97437E-04	6.64173E-05	2.08309E-04	18.5928	2
2.94705E+01	20	3.28613305091858	1.21306E+02	1.95313E-04	4.68493E-05	2.00853E-04	13.4886	2
2.32995E+01	20	3.28611946105957	1.27893E+02	1.94852E-04	3.88315E-05	1.98684E-04	11.2706	2
1.84207E+01	20	3.28616762161255	1.33885E+02	1.94146E-04	2.80840E-05	1.96167E-04	8.23095	2
1.45635E+01	20	3.28612494468689	1.40229E+02	1.95867E-04	1.85528E-05	1.96744E-04	5.41098	2
1.15140E+01	20	3.2861590385437	1.46975E+02	1.96356E-04	1.17908E-05	1.96710E-04	3.43637	2
9.10298E+00	20	3.28614711761475	1.53031E+02	1.97100E-04	8.59269E-06	1.97287E-04	2.49626	2
7.19686E+00	20	3.28618693351746	1.59392E+02	1.98138E-04	3.18765E-06	1.98163E-04	0.921698	2
5.68987E+00	20	3.2861635684967	1.66152E+02	1.99617E-04	-3.29662E-07	1.99617E-04	-0.0946224	2
4.49843E+00	20	3.2861762046814	1.72215E+02	2.01682E-04	-3.58337E-06	2.01714E-04	-1.01789	2
3.55648E+00	20	3.28618001937866	1.78518E+02	2.03903E-04	-6.42055E-06	2.04004E-04	-1.80355	2
2.81177E+00	20	3.28622555732727	1.85060E+02	2.04636E-04	-8.13415E-06	2.04798E-04	-2.27627	2
2.22300E+00	20	3.28623175621033	1.92004E+02	2.05767E-04	-1.09553E-05	2.06058E-04	-3.04764	2
1.75751E+00	20	3.28626227378845	1.99430E+02	2.07608E-04	-1.29146E-05	2.08009E-04	-3.55959	2
