CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9ToD8g4ACqQPEhkTZciJAD15bToS1kzRynXaxgMHYjKNWJh2KymWRr+on9Ms6Q0oWnbTVk87hcGY4N/Jb4N45I6qoM85yFjpzJotMcMfreEeHQyHljBXKeRDSucv4SrwUoZNeOcPU99wp8dyef+45zjzo9Doe8d2OD8DvnHVI13OJjzrSF8a2zliyp5Lx5VvoDAVXUuTOXOSKrtnRIVhnYbd93iYuCRzHmWUbFnrdkJyFXYJObDaMq6PD+HV7Q+WGFiH8zd62LEpGizhJ5+n49peL4/bxQCnGS5qnTEUu4KSIb9kfbKmimSyZJpJ9wqCpWDG9YSYpX4zl0+Iy8lx3j5kAgxp4pgCzen2ccZprwu24HmqkfM0Wl9n6UWs0cJqtLDQRLxYalErEPPIsYa6XtVeetpErJsGnoAFTG0xsYJzDaIzSRXylNeAv8qTyWQtWhs2pFFtLOAhyeseOwWTsMzdMZmJluAI3jFhO37RcFdWG6JkgMj57yZaVX2nG2WCzTcAbC/0KgdW+fKEFS5q/HZ8UExCNxjQv0AZUAt0Uugp8PJNkaS627Kv2a/jIln9Wmk1ioYhvRMZVoeGIrcqlusukpU+oC1pFflhKCRW3w9Ua+bhI9orG0zWxXzak4izKN5TFdJGxcM/EqYaBXQRe1GsAsYFvg64NejYIbNDXAHMIRaerz9PRtBnyifE/MV1dgDbT+8QE0dkHpq+ZKeUwBSrjZJ8wti3C/0iYg1qEMWwRwUeiX3cLu6JQohfh9+Hk+0+kPTrvtUmv7T0uXM/rqFdVSd1Q9fj/UtWEinSVQsbqPkjpZpszbBxZjwdDoYzJ+VW5ucdV+I05vc/Z4DUzVV0X5o6Ik+cCmwq46+V2TvMSSr9DzoLgnHhd0j0Len3tQarENn5Gh2odaA/jhHMT29L0wLPuoQjnsA4MRP+98uKOZiplS8FXlY530PsvZEPFr2ABpbA/MMtGZbMbzTS8jtD78TXP3xK+rGFVHajCiLmNTPxBqHG7q/Unt40xibMTPHI1MKHCeNd+3Jb5zgXjsc38llFxL54yEwqL5cjWGCoKrhrYa5zwgTJdNaTbqG8Uw00HY6LQM6x2Dqa/kWtiwL5e/tjnRtk6U3CRbYRQj9ZhND+5GQ9FCenFgONQ1NePCcKaC6lxbQ5KJVVwwe4IGM6KTukrLOCcgRzG1f33fnwhQe8q4+sdA1NXvKRbxlaVg01CTXiGvzemSrUt1W6rgeb+0LU+ZHluSm4gGYWpBrmEn92GEeNFpt6ifucMEYQ1h5ivI4JQtwBK3cYmn/g/YzDfCYYhBd94RIJdBTfpvWBKy9VumnV9ph13KyBGcG7D+uae/I9XRlIU2MQgXfe50XhDy6Jp24oTOZW12PBtmbNCT/MRe6BlruKqEzWAS+8UTCb8QYTVJdPaDE7c0wFaU+WKIQwJ3h6n+A7JaG69q/BWOdXPEYvEqXNqLr6w58JjrJQPdMkcjHvoNB+806ro26z+IBtHh3cMHjTq05pDYA2ttS5/nBygn63BycGXjBat+ckBpr4F0+Hk4NvPrevHTWe5+fsvBDa6GB3EUh7oJoInHl851TQt/gHSzUgHmgoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28679585456848	1.01472E+01	5.03812E-04	1.01454E-03	1.13275E-03	63.5914	2
7.90604E+02	20	3.28683257102966	1.72730E+01	4.57054E-04	8.43364E-04	9.59250E-04	61.5449	2
6.25055E+02	20	3.28678703308105	2.45673E+01	4.08116E-04	7.03434E-04	8.13252E-04	59.8787	2
4.94171E+02	20	3.28670716285706	3.20586E+01	3.74948E-04	5.86706E-04	6.96283E-04	57.4185	2
3.90694E+02	20	3.28685760498047	3.97861E+01	3.32675E-04	4.81617E-04	5.85344E-04	55.3654	2
3.08884E+02	20	3.28684687614441	4.78166E+01	3.14587E-04	4.04312E-04	5.12283E-04	52.1142	2
2.44205E+02	20	3.28690910339355	5.84469E+01	2.91001E-04	3.44921E-04	4.51279E-04	49.8466	2
1.93070E+02	20	3.28691124916077	6.69117E+01	2.69383E-04	2.89476E-04	3.95428E-04	47.0592	2
1.52642E+02	20	3.28683257102966	7.59699E+01	2.48850E-04	2.34767E-04	3.42114E-04	43.332	2
1.20679E+02	20	3.2867648601532	8.45244E+01	2.34513E-04	1.99033E-04	3.07588E-04	40.3215	2
9.54095E+01	20	3.28675222396851	9.03182E+01	2.22718E-04	1.65616E-04	2.77546E-04	36.6348	2
7.54312E+01	20	3.28680968284607	9.63624E+01	2.12630E-04	1.35024E-04	2.51879E-04	32.4163	2
5.96362E+01	20	3.28679037094116	1.02160E+02	2.06196E-04	1.10499E-04	2.33938E-04	28.1865	2
4.71487E+01	20	3.28678870201111	1.08292E+02	1.99077E-04	8.05961E-05	2.14773E-04	22.0405	2
3.72759E+01	20	3.28682827949524	1.14672E+02	1.96937E-04	6.69671E-05	2.08011E-04	18.7803	2
2.94705E+01	20	3.28685903549194	1.21320E+02	1.94463E-04	4.78254E-05	2.00258E-04	13.8169	2
2.32995E+01	20	3.28688955307007	1.27911E+02	1.93986E-04	3.82615E-05	1.97724E-04	11.1577	2
1.84207E+01	20	3.28688907623291	1.33900E+02	1.94141E-04	2.87659E-05	1.96261E-04	8.42821	2
1.45635E+01	20	3.28690123558044	1.40255E+02	1.94964E-04	1.83052E-05	1.95821E-04	5.36379	2
1.15140E+01	20	3.28691077232361	1.47009E+02	1.95765E-04	1.13700E-05	1.96095E-04	3.32401	2
9.10298E+00	20	3.28693699836731	1.53066E+02	1.97333E-04	9.18709E-06	1.97547E-04	2.66555	2
7.19686E+00	20	3.28690028190613	1.59428E+02	1.98830E-04	3.98828E-06	1.98870E-04	1.14913	2
5.68987E+00	20	3.28691411018372	1.66190E+02	1.98579E-04	5.48269E-07	1.98580E-04	0.158191	2
4.49843E+00	20	3.28690981864929	1.72259E+02	2.01058E-04	-3.20218E-06	2.01083E-04	-0.912453	2
3.55648E+00	20	3.28694820404053	1.78566E+02	2.02320E-04	-5.98206E-06	2.02408E-04	-1.69359	2
2.81177E+00	20	3.28699159622192	1.85103E+02	2.03938E-04	-8.74385E-06	2.04125E-04	-2.45506	2
2.22300E+00	20	3.28698253631592	1.92056E+02	2.06595E-04	-1.06123E-05	2.06867E-04	-2.94058	2
1.75751E+00	20	3.2870192527771	1.99496E+02	2.07080E-04	-1.23568E-05	2.07448E-04	-3.41487	2
