CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8CNFIuOBBadKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G9t+8EaEEmsYZLSwFpQkSWcWU7TOT/rcyHmNJPWExfWQ8LW/DULrPjO6seeY09cx/a9a8eyFu2m33Rcz256ALxmt+m2HNv1UEf8SuneGgr6nFO2OgRWnzMpeGoteCrJhp6fgXUatBrXDdd225ZlzZMdDRw38LuB76MTux1l8vwsettPidiRLIC/+WFPw9FgGY3iRTyc/XJz0bjoSUlZTtKYytAGPMqiGf2DrmQ4FzlVxOiU0GjC11RtmAvClkPxvLwNHds+YcbAoAaWSMC0XB8mjKSKsJu2gxoJ29DlbbLZKo0aTpK1gcb81UC9XPKIhY4hzNSy8spRNlJJBfjUrsDEBGMTaOcwGoN4Gd0pDfiLvFv4rAQLw/pUkm4EHAQ5tePIYDJOmSkVCV9rLsMNA5qSg5IroloRvg4iZfPXZFX4FSeM9nb7EXhjoF8hsMqXLySjo+rvyI+yMYiGQ5JmaAMqgewyVQUenknQOOV7+lX51d/S1Z+FZp1YKOIpT5jMFBzQdb6SD4kw9HF5Q4rI93MhoOKOuFhzPy66J0XjqJo4LRu34AzK05TBtJAxsK/jVMK2WQRO6FfANYFngpYJfBO0TdBRAHMIRaeqz1HRNBn3E+N9YlqqAE3G/8S0w+4HpqOYCWEwBQrj7imhbRuE95HQBzUIbdgg2h+JTtkt9I5Aid4E3/vj7z+5jcG133D9hrNd2o7dlG+ykJoSuf1/qWJChapKIWNlH8Rkt08pNo4ox4OmUEbn/C7fPeIq/EaMPKa095boqi4L80hEo5cMmwq4+9V+QdIcSr/pdjsdx3O7127b7raVB7Hk++gFHSp1oD2ME85NbEvdAy+qh0KcwyowEP33wosHksiYrjhbFzreQe+/kBUVvYEFlML+wCxrldVuNFPxKkLvF/csPYzYqoRFdaAKLWZXMtEHocrtltI/mlXGBM5O8MhWQIcK4136McvTowvaY5P5LSH8kT8nOhQGy5AtMVQUXDWwVzvhAaW7qk/2YUcrhpsOxkSmZljpHEx/LVfFgH69/XHKDZJNIuEi23Eut8ZhFD+eDvs8h/RiwHEoqutHB2HDuFC4NAelEku4YI8EDGdJJuQNFnDOQA6j4v57v7gRoHedsM2RganLX+M9pevCwSqhOjz93ytTudzn8rhVQ31/qFrv0zTVJdcTlMBUg1zCz3HDgLIskYew0+wigrCmEPNN6CJULYBSs0jnE//nFOa7i2GIwTcWuu1jBVfpvaFSyZVu6nV1piM34xAjOLdmPX1P/scrY5Rl2MQgXfa51jgleVa1bcHxlIhSrH9YpTRT03xAn0ieyqjoRAXg0rsCkyP2xIPikqnvepf2VQ+tyXxNEQYu3h5X+A5JSGq8q/BWuVLPEYPEqXOlL77At+ExlosnsqIWxj2wqg/eaUX0TVZ9kI3zswcKDxr5ac1yYQ2t1W9/XNbQz3rvsvYlIVl9cVnD1NdhOlzWvv1cv9/umqvd338hMNHNoBYJUVNNBE88traKaZr9A0iWvTGaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.2877516746521	1.01381E+01	5.24516E-04	1.00933E-03	1.13748E-03	62.5405	2
7.90604E+02	20	3.2878475189209	1.72595E+01	4.55441E-04	8.38876E-04	9.54536E-04	61.5017	2
6.25055E+02	20	3.28781056404114	2.45701E+01	4.11173E-04	7.01503E-04	8.13124E-04	59.6241	2
4.94171E+02	20	3.28776407241821	3.20934E+01	3.67967E-04	5.88984E-04	6.94480E-04	58.005	2
3.90694E+02	20	3.28773260116577	3.98227E+01	3.34410E-04	4.80736E-04	5.85609E-04	55.1767	2
3.08884E+02	20	3.2876181602478	4.78479E+01	3.04463E-04	3.99887E-04	5.02600E-04	52.7154	2
2.44205E+02	20	3.28786039352417	5.84744E+01	2.89922E-04	3.44079E-04	4.49939E-04	49.8824	2
1.93070E+02	20	3.28762197494507	6.69440E+01	2.69018E-04	2.89065E-04	3.94878E-04	47.0572	2
1.52642E+02	20	3.28772759437561	7.59901E+01	2.47500E-04	2.34509E-04	3.40955E-04	43.4561	2
1.20679E+02	20	3.28788471221924	8.45382E+01	2.33776E-04	1.97995E-04	3.06355E-04	40.2626	2
9.54095E+01	20	3.28789305686951	9.03329E+01	2.22238E-04	1.61890E-04	2.74951E-04	36.0717	2
7.54312E+01	20	3.28789114952087	9.63709E+01	2.11699E-04	1.34416E-04	2.50767E-04	32.4131	2
5.96362E+01	20	3.28787350654602	1.02159E+02	2.05409E-04	1.09900E-04	2.32961E-04	28.1481	2
4.71487E+01	20	3.28787136077881	1.08290E+02	1.97831E-04	7.99311E-05	2.13368E-04	22.0006	2
3.72759E+01	20	3.28787088394165	1.14667E+02	1.96226E-04	6.67686E-05	2.07274E-04	18.7916	2
2.94705E+01	20	3.28785395622253	1.21324E+02	1.93815E-04	4.83567E-05	1.99756E-04	14.0093	2
2.32995E+01	20	3.28787899017334	1.27908E+02	1.93495E-04	3.87451E-05	1.97336E-04	11.323	2
1.84207E+01	20	3.28790140151978	1.33901E+02	1.93027E-04	2.90256E-05	1.95197E-04	8.55154	2
1.45635E+01	20	3.28788733482361	1.40243E+02	1.94031E-04	1.93391E-05	1.94992E-04	5.69188	2
1.15140E+01	20	3.28791666030884	1.46992E+02	1.94586E-04	1.21244E-05	1.94963E-04	3.56541	2
9.10298E+00	20	3.28791260719299	1.53050E+02	1.95490E-04	9.33985E-06	1.95713E-04	2.73532	2
7.19686E+00	20	3.28790950775146	1.59418E+02	1.96980E-04	3.94668E-06	1.97020E-04	1.14782	2
5.68987E+00	20	3.28789925575256	1.66180E+02	1.97499E-04	-6.95115E-07	1.97500E-04	-0.201657	2
4.49843E+00	20	3.28796315193176	1.72247E+02	1.99431E-04	-3.33792E-06	1.99459E-04	-0.95888	2
3.55648E+00	20	3.28792691230774	1.78548E+02	2.01736E-04	-6.04898E-06	2.01826E-04	-1.71748	2
2.81177E+00	20	3.28795552253723	1.85091E+02	2.02314E-04	-7.45592E-06	2.02451E-04	-2.11058	2
2.22300E+00	20	3.28799557685852	1.92055E+02	2.04248E-04	-1.03034E-05	2.04508E-04	-2.88787	2
1.75751E+00	20	3.2879855632782	1.99491E+02	2.05556E-04	-1.17071E-05	2.05889E-04	-3.25967	2
