CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBeukfKDA4GiAy1LWLp7dCTkggvZDTZ1nLYc9an2EfbJdsZOiGl3N7/yfR7PjOdmf2vZD9aASGIN44T61pKKNObMcurO5UWfC7GgqbSeuLAeYrbhr6lvRXdWP/Ice+o6dtPrOpa1bNWbdcf17LoHwKt36m7DsV0PdUSvlB6soaDPGWXro2/1OZOCJ9aSJ5Js6eUFWKd+o9atubbbsixrEe+p7zi+2/XtDjqx31MmLy/Ct8OMiD1JffhbHA80GA9W4ThaRsP5L6Or2lVPSsoykkRUBjbgcRrO6R90LYOFyKgixueERlO+oWrDQhC2Gorn1W3g2PYZMwEGNbBYAqbF+jBmJFGEXbcd1EjYlq5u4+1OadRwGm8MNOGvBuplkocscAxhppaVV46ykUgqwKdWCaYmmJhAO4fRGESr8E5pwF/k3dxnJZgb1qeSdCvgIMipHScGk3HOzKiI+UZzKW4Y0IQclVwe1ZJo6iBStniN17lfUcxob38YgzcG+hUCq3z5QlI6Lv9O/DidgGgwJEmKNqASyD5VVeDhmQSNEn6gX5Vf/R1d/5lr1omFIp7xmMlUwQHdZGv5EAtDH5cjkke+nwkBFXfC+Zr7cdE9KxpH1cR52bg5Z1CepgymgYyBmzpOBWyZReAEzRK4JvBM0DBB0wQtE7QVwBxC0anqc1Q0Tcb9xHifmIYqQJNpfmJaQecD01bMlDCYArlx95zQtg3C+0jogxqENmwQrY9Eu+gWekegREf+9/7k+09ubdBt1txmzdmtbLtbl28yl5oRuft/qXxCBapKIWNFH0Rkf0goNo4oxoOmUEbn/C7bP+Iq/IaMPCa09xbrqi4K80SE45cUmwq4+/VhSZIMSr/udrodp90Bbc1Os6s8iCQ/hC/oUKED7WGccG5iW+oeeFE9FOAcVoGB6L/nXjyQWEZ0zdkm1/EOev+FLKnwDSygFPYHZlmrLHejmZJXEXq/umfJcczWBcyrA1VoMbuUCT8IlW43lP7xvDQmcHaCR7YCOlQY78KPeZacXNAem8xvMeGP/DnWoTBYhmyBoaLgqoG92gkPKN1VfXII2lox3HQwJlI1wwrnYPpruTIG9Ovtj3NuEG9jCRfZnnO5Mw6j+Mls2OcZpBcDjkNRXT86CFvGhcKFOSiVSMIFeyJgOEsyJW+wgHMGchjm99/71UiA3k3MticGpi5/jQ6UbnIHy4Tq8PR/L01l8pDJ01YN9f2har1Pk0SXXE9QAlMNcgk/pw0DytJYHoN2vYMIwppAzLeBi1C1AErNQ51P/F9QmO8uhiEC31jgtk4VXKZ3RKWSK9zU6+pMJ27OIUZwbs16+p78j1fGOE2xiUG66HOtcUaytGzbnOMJEYVY/7hOaKqm+YA+kSyRYd6JCsCldwMmx+yJ+/klU933ru2bHlqT2YYi9F28PW7wHRKTxHhX4a1yo54jBolT50ZffH7ThsdYJp7ImloYd98qP3in5dE3WfVBNi4vHig8aOSnNcuFNbRWvf1xXUE/q73rypeYpNXldQVTX4XpcF359nP1frevr/d//4XARKNBJRSiopoInnhsY+XTNP0Ht5JPypoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28983092308044	1.01153E+01	5.21861E-04	1.03001E-03	1.15466E-03	63.1306	2
7.90604E+02	20	3.28988862037659	1.72589E+01	4.69197E-04	8.48826E-04	9.69872E-04	61.0679	2
6.25055E+02	20	3.28983855247498	2.45542E+01	4.21682E-04	7.06684E-04	8.22933E-04	59.1753	2
4.94171E+02	20	3.28983330726624	3.20596E+01	3.76901E-04	5.85349E-04	6.96195E-04	57.2229	2
3.90694E+02	20	3.28974723815918	3.97885E+01	3.46507E-04	4.92160E-04	6.01904E-04	54.8524	2
3.08884E+02	20	3.2899169921875	4.78217E+01	3.14676E-04	4.01033E-04	5.09753E-04	51.88	2
2.44205E+02	20	3.28995084762573	5.84551E+01	2.94221E-04	3.49039E-04	4.56502E-04	49.8709	2
1.93070E+02	20	3.28995585441589	6.69211E+01	2.72247E-04	2.93166E-04	4.00081E-04	47.1188	2
1.52642E+02	20	3.28983855247498	7.59728E+01	2.50203E-04	2.38683E-04	3.45791E-04	43.6502	2
1.20679E+02	20	3.28988122940063	8.45156E+01	2.37637E-04	2.00546E-04	3.10950E-04	40.1616	2
9.54095E+01	20	3.2899923324585	9.03210E+01	2.24583E-04	1.66177E-04	2.79378E-04	36.4991	2
7.54312E+01	20	3.28997564315796	9.63676E+01	2.13065E-04	1.37742E-04	2.53712E-04	32.8818	2
5.96362E+01	20	3.28995203971863	1.02157E+02	2.05446E-04	1.13156E-04	2.34547E-04	28.8453	2
4.71487E+01	20	3.2899477481842	1.08299E+02	1.99561E-04	8.27280E-05	2.16029E-04	22.5164	2
3.72759E+01	20	3.28994393348694	1.14676E+02	1.96706E-04	6.84881E-05	2.08288E-04	19.1968	2
2.94705E+01	20	3.28989553451538	1.21329E+02	1.94276E-04	5.02836E-05	2.00678E-04	14.5111	2
2.32995E+01	20	3.28992772102356	1.27916E+02	1.94288E-04	3.98261E-05	1.98328E-04	11.5843	2
1.84207E+01	20	3.28995823860168	1.33909E+02	1.94719E-04	3.04862E-05	1.97092E-04	8.89827	2
1.45635E+01	20	3.28995966911316	1.40254E+02	1.93918E-04	1.94538E-05	1.94892E-04	5.72873	2
1.15140E+01	20	3.28993892669678	1.46998E+02	1.94316E-04	1.37864E-05	1.94804E-04	4.05826	2
9.10298E+00	20	3.28995656967163	1.53051E+02	1.95611E-04	9.63908E-06	1.95849E-04	2.82107	2
7.19686E+00	20	3.29000949859619	1.59416E+02	1.96799E-04	4.98130E-06	1.96862E-04	1.44994	2
5.68987E+00	20	3.28998255729675	1.66177E+02	1.98296E-04	4.78522E-07	1.98297E-04	0.138264	2
4.49843E+00	20	3.29003596305847	1.72253E+02	1.99817E-04	-1.64023E-06	1.99824E-04	-0.470312	2
3.55648E+00	20	3.29001927375793	1.78558E+02	2.00141E-04	-5.81952E-06	2.00226E-04	-1.66553	2
2.81177E+00	20	3.29003262519836	1.85097E+02	2.01367E-04	-7.78857E-06	2.01517E-04	-2.21501	2
2.22300E+00	20	3.29004430770874	1.92040E+02	2.04053E-04	-9.56815E-06	2.04278E-04	-2.68466	2
1.75751E+00	20	3.29002714157104	1.99464E+02	2.06013E-04	-1.12595E-05	2.06320E-04	-3.12834	2
