CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8CJVIuOBBadKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G9t+8EaEEmsYZLSwFpQkSWcWU7TOT/rcyHmNJPWExfWQ8LW/DULrPjO6seeY09cx/a9rmNZi3bTbzquZzc9AF7zuum2HNv1UEf8SuneGgr6nFO2OgRWnzMpeGoteCrJhp6fgXUatBrdhmu7bcuy5smOBnY38LuBq5zY7SiT52fR235KxI5kAfzND3sajgbLaBQv4uHsl5uLxkVPSspyksZUhjbgURbN6B90JcO5yKkiRqeERhO+pmrDXBC2HIrn5W3o2PYJMwYGNbBEAqbl+jBhJFWE3bQd1EjYhi5vk81WadRwkqwNNOavBurlkkcsdAxhppaVV46ykUoqwKd2BSYmGJtAO4fRGMTL6E5pwF/k3cJnJVgY1qeSdCPgIMipHUcGk3HKTKlI+FpzGW4Y0JQclFwR1YrwdRApm78mq8KvOGG0t9uPwBsD/QqBVb58IRkdVX9HfpSNQTQckjRDG1AJZJepKvDwTILGKd/Tr8qv/pau/iw068RCEU95wmSm4ICu85V8SIShj8sbUkS+nwsBFXfExZr7cdE9KRpH1cRp2bgFZ1CepgymhYyBfR2nErbNInBCvwKuCTwTtEzgm6Btgo4CmEMoOlV9joqmybifGO8T01IFaDL+J6YdXn9gOoqZEAZToDDunhLatkF4Hwl9UIPQhg2i/ZHolN1C7wiU6E3wvT/+/pPbGHT9hus3nO3Stq+b8k0WUlMit/8vVUyoUFUpZKzsg5js9inFxhHleNAUyuic3+W7R1yF34iRx5T23hJd1WVhHolo9JJhUwF3v9ovSJpD6Tc9u2N3W57n+37b9pQHseT76AUdKnWgPYwTzk1sS90DL6qHQpzDKjAQ/ffCiweSyJiuOFsXOt5B77+QFRW9gQWUwv7ALGuV1W40U/EqQu8X9yw9jNiqhEV1oAotZlcy0Qehyu2W0j+aVcYEzk7wyFZAhwrjXfoxy9OjC9pjk/ktIfyRPyc6FAbLkC0xVBRcNbBXO+EBpbuqT/ZhRyuGmw7GRKZmWOkcTH8tV8WAfr39ccoNkk0i4SLbcS63xmEUP54O+zyH9GLAcSiq60cHYcO4ULg0B6USS7hgjwQMZ0km5A0WcM5ADqPi/nu/uBGgd52wzZGBqctf4z2l68LBKqE6PP3fK1O53OfyuFVDfX+oWu/TNNUl1xOUwFSDXMLPccOAsiyRh7DTvEYEYU0h5pvQRahaAKVmkc4n/s8pzHcXwxCDbyx028cKrtJ7Q6WSK93U6+pMR27GIUZwbs16+p78j1fGKMuwiUG67HOtcUryrGrbguMpEaVY/7BKaaam+YA+kTyVUdGJCsCldwUmR+yJB8UlU9/1Lu2rHlqT+ZoiDFy8Pa7wHZKQ1HhX4a1ypZ4jBolT50pffIFvw2MsF09kRS2Me2BVHzyziuibrPogG+dnDxQeNPLTmuXCGlqr3/64rKGf9d5l7UtCsvrisoapr8N0uKx9+7l+v901V7u//0JgoptBLRKippoInnhsbRXTNPsHjApVuZoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.30715870857239	1.01203E+01	5.09028E-04	1.01246E-03	1.13322E-03	63.3083	2
7.90604E+02	20	3.30716371536255	1.72489E+01	4.63109E-04	8.32928E-04	9.53016E-04	60.9259	2
6.25055E+02	20	3.30716061592102	2.45430E+01	4.09297E-04	6.90392E-04	8.02598E-04	59.3385	2
4.94171E+02	20	3.30725312232971	3.20385E+01	3.71642E-04	5.74011E-04	6.83817E-04	57.0791	2
3.90694E+02	20	3.30727696418762	3.97646E+01	3.35954E-04	4.83793E-04	5.89000E-04	55.2232	2
3.08884E+02	20	3.30716514587402	4.77923E+01	3.08424E-04	3.96615E-04	5.02423E-04	52.1299	2
2.44205E+02	20	3.30732297897339	5.84323E+01	2.92049E-04	3.40514E-04	4.48601E-04	49.3812	2
1.93070E+02	20	3.3072566986084	6.68981E+01	2.67389E-04	2.88013E-04	3.92999E-04	47.1266	2
1.52642E+02	20	3.30722832679749	7.59573E+01	2.46663E-04	2.32858E-04	3.39213E-04	43.3509	2
1.20679E+02	20	3.30720400810242	8.45022E+01	2.33042E-04	1.97902E-04	3.05734E-04	40.3383	2
9.54095E+01	20	3.30735230445862	9.03014E+01	2.21163E-04	1.63047E-04	2.74768E-04	36.3987	2
7.54312E+01	20	3.30729222297668	9.63377E+01	2.11383E-04	1.33589E-04	2.50058E-04	32.2918	2
5.96362E+01	20	3.30731201171875	1.02133E+02	2.03729E-04	1.10499E-04	2.31766E-04	28.4747	2
4.71487E+01	20	3.30732035636902	1.08263E+02	1.97440E-04	7.92847E-05	2.12764E-04	21.8786	2
3.72759E+01	20	3.30732727050781	1.14636E+02	1.95640E-04	6.66207E-05	2.06672E-04	18.8051	2
2.94705E+01	20	3.30724215507507	1.21283E+02	1.94394E-04	4.77409E-05	2.00170E-04	13.7981	2
2.32995E+01	20	3.30730438232422	1.27871E+02	1.92698E-04	3.80923E-05	1.96427E-04	11.182	2
1.84207E+01	20	3.30733013153076	1.33863E+02	1.93122E-04	2.85734E-05	1.95225E-04	8.41614	2
1.45635E+01	20	3.30732083320618	1.40206E+02	1.94298E-04	1.91644E-05	1.95241E-04	5.63308	2
1.15140E+01	20	3.30735802650452	1.46951E+02	1.93969E-04	1.19700E-05	1.94338E-04	3.5313	2
9.10298E+00	20	3.30733299255371	1.53019E+02	1.94324E-04	8.78332E-06	1.94523E-04	2.58797	2
7.19686E+00	20	3.30736875534058	1.59377E+02	1.96002E-04	4.22385E-06	1.96047E-04	1.23454	2
5.68987E+00	20	3.30733466148376	1.66149E+02	1.97588E-04	4.92321E-07	1.97589E-04	0.14276	2
4.49843E+00	20	3.30737161636353	1.72220E+02	1.98447E-04	-3.54039E-06	1.98478E-04	-1.02208	2
3.55648E+00	20	3.3074049949646	1.78521E+02	2.00288E-04	-6.00636E-06	2.00378E-04	-1.7177	2
2.81177E+00	20	3.30741429328918	1.85064E+02	2.00789E-04	-7.01368E-06	2.00912E-04	-2.00056	2
2.22300E+00	20	3.30746173858643	1.92008E+02	2.03472E-04	-1.00408E-05	2.03720E-04	-2.8251	2
1.75751E+00	20	3.30736565589905	1.99431E+02	2.04403E-04	-1.20699E-05	2.04759E-04	-3.37935	2
