CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBcuJVJ+cCC06EDLEpbuHh0JueBCdhObOk5bjvpU+wj7ZDtjJ8S0u5tf+T6PZ8Zzs7917AdrSCSxRnFCfWtJRRZzZjlN5/xswIVY0ExaT1xYDzHb8NfMt6I7axB5jj11Hbvt9RzLWnaa7abjenbTA+A1r5tuy7FdD3VEr5TurZGgzzll64NvDTiTgifWkieSbOn5GVinfqvRa7i227EsaxGn1Levfbfney10Ik0pk+dn4dt+RkRKMh/+Foc9DcbDVTiOltFo/svNReOiLyVlOUkiKgMb8DgL5/QPupbBQuRUEeNTQqMp31C1YSEIW43E8+o2cGz7hJkAgxpYLAHTcn0UM5Iowm7aDmokbEtXt/F2pzRqOI03BprwVwP1c8lDFjiGMFPLyitH2UgkFeBTpwJTE0xMoJ3DaAyjVXinNOAv8m7hsxIsDOtTSboVcBDk1I4jg8k4ZWZUxHyjuQw3DGlCDkquiGpFtHUQKVu8xuvCryhmtJ/ux+CNgX6FwCpfvpCMjqu/Iz/OJiAajEiSoQ2oBJJmqgo8PJOgUcL39Kvya7Cj6z8LzTqxUMQzHjOZKTikm3wtH2Jh6OPyhhSRH+RCQMUdcbHmflx0T4rGUTVxWjZuwRmUpymDaSFj4LaOUwk7ZhE4QbsCrgk8E7RM0DZBxwRdBTCHUHSq+hwVTZNxPzHeJ6alCtBk2p+YTnD9gekqZkoYTIHCuHtKaNsG4X0k9EENQhs2iM5Holt2C70jUKI3/vfB5PtPbmPYazfcdsPZrWy725RvspCaEbn7f6liQgWqSiFjZR9EJN0nFBtHlONBUyijc36Xp4+4Cr8hI48J7b/FuqrLwjwS4fglw6YC7n69X5Ikh9Jvem671+54rVbHbrV6yoNI8n34gg6VOtAexgnnJral7oEX1UMBzmEVGIj+e+HFA4llRNecbQod76D3X8iKCt/AAkphf2CWtcpqN5qpeBWh94t7lhzGbF3CojpQhRazK5nwg1DldkvpH88rYwJnJ3hkK6BDhfEu/ZjnydEF7bHJ/BYT/sifYx0Kg2XIlhgqCq4a2Kud8IDSXTUg+6CrFcNNB2MiUzOsdA6mv5arYkC/3v445YbxNpZwkaWcy51xGMVPZqMBzyG9GHAciur60UHYMi4ULs1BqUQSLtgjAcNZkil5gwWcM5DDsLj/3i9uBOjdxGx7ZGDq8tdoT+mmcLBKqA7P4PfKVC73uTxu1VDfH6rWBzRJdMn1BSUw1SCX8HPcMKQsi+Uh6DavEUFYE4j5NnARqhZAqXmo84n/Cwrz3cUwROAbC9zOsYKr9N5QqeRKN/W6OtORm3OIEZxbs56+J//jlTHOMmxikC77XGuckTyr2rbgeEJEKTY4rBOaqWk+pE8kT2RYdKICcOldgckxe+J+ccnU0/6lfdVHazLfUIS+i7fHFb5DYpIY7yq8Va7Uc8Qgcepc6YvPb9vwGMvFE1lTC+PuW9UH77Qi+iarPsjG+dkDhQeN/LRmubCG1uq3Py5r6Ge9f1n7EpOsvrysYerrMB0ua99+rt/v0uY6/fsvBCa6GdZCIWqqieCJxzZWMU2zfwAmgiURmgoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32600212097168	1.01587E+01	5.09199E-04	1.01788E-03	1.13814E-03	63.4232	2
7.90604E+02	20	3.32590365409851	1.72893E+01	4.56821E-04	8.42905E-04	9.58736E-04	61.5441	2
6.25055E+02	20	3.32596492767334	2.45844E+01	4.18859E-04	7.07839E-04	8.22483E-04	59.3853	2
4.94171E+02	20	3.32590913772583	3.20684E+01	3.71666E-04	5.78353E-04	6.87479E-04	57.274	2
3.90694E+02	20	3.32601475715637	3.98047E+01	3.44016E-04	4.85011E-04	5.94628E-04	54.6521	2
3.08884E+02	20	3.32591938972473	4.78417E+01	3.12342E-04	4.03336E-04	5.10135E-04	52.2459	2
2.44205E+02	20	3.32608366012573	5.84841E+01	2.91856E-04	3.45678E-04	4.52408E-04	49.8257	2
1.93070E+02	20	3.32617402076721	6.69489E+01	2.71777E-04	2.91587E-04	3.98605E-04	47.014	2
1.52642E+02	20	3.32607483863831	7.59987E+01	2.49342E-04	2.37090E-04	3.44068E-04	43.5572	2
1.20679E+02	20	3.32616710662842	8.45590E+01	2.35547E-04	2.00821E-04	3.09534E-04	40.45	2
9.54095E+01	20	3.32597351074219	9.03652E+01	2.10277E-04	1.58164E-04	2.63120E-04	36.9495	2
7.54312E+01	20	3.32606101036072	9.64014E+01	2.12116E-04	1.36863E-04	2.52437E-04	32.8312	2
5.96362E+01	20	3.32608890533447	1.02205E+02	2.05416E-04	1.12800E-04	2.34349E-04	28.7726	2
4.71487E+01	20	3.32607626914978	1.08335E+02	1.98055E-04	8.26588E-05	2.14612E-04	22.6533	2
3.72759E+01	20	3.32612490653992	1.14710E+02	1.96368E-04	6.92823E-05	2.08231E-04	19.4338	2
2.94705E+01	20	3.3261137008667	1.21354E+02	1.93446E-04	4.98662E-05	1.99770E-04	14.4549	2
2.32995E+01	20	3.32610940933228	1.27941E+02	1.92322E-04	4.00212E-05	1.96442E-04	11.7552	2
1.84207E+01	20	3.32610964775085	1.33938E+02	1.92722E-04	3.02331E-05	1.95079E-04	8.91555	2
1.45635E+01	20	3.32615327835083	1.40283E+02	1.93255E-04	1.91465E-05	1.94201E-04	5.65804	2
1.15140E+01	20	3.32612943649292	1.47036E+02	1.92992E-04	1.27786E-05	1.93415E-04	3.78821	2
9.10298E+00	20	3.32616448402405	1.53089E+02	1.95148E-04	1.05365E-05	1.95432E-04	3.09052	2
7.19686E+00	20	3.32614016532898	1.59454E+02	1.94661E-04	4.03013E-06	1.94702E-04	1.18604	2
5.68987E+00	20	3.32613134384155	1.66217E+02	1.96550E-04	8.31725E-07	1.96552E-04	0.242452	2
4.49843E+00	20	3.32617926597595	1.72283E+02	1.97201E-04	-2.33144E-06	1.97215E-04	-0.677357	2
3.55648E+00	20	3.32615947723389	1.78578E+02	2.00020E-04	-5.74442E-06	2.00102E-04	-1.64504	2
2.81177E+00	20	3.32620024681091	1.85123E+02	2.00562E-04	-6.92093E-06	2.00681E-04	-1.97636	2
2.22300E+00	20	3.32626438140869	1.92069E+02	2.02615E-04	-9.63451E-06	2.02844E-04	-2.72241	2
1.75751E+00	20	3.32618737220764	1.99513E+02	2.03160E-04	-1.09181E-05	2.03453E-04	-3.07618	2
