CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+bqW+Q6SVulQqKD8ktJFywYHQogMtS1i6e3Qk5IIL2Q02dZy2HPWp9hH2yXbGTohpdzdX+T6PZ8bzZ38L7AerTySxBmlGQ2tORZ5yZjkt5+y0x4WY0VxaT1xYDylb8dc8tJI7q5d4jj12Hdv3rh3Lmgctv+W4nt3yAHitq5bbdmzXQx3JK6U7ayDoc0HZch9aPc6k4Jk155kka3p2CtZp2G5eN13bDSzLmqVbGtpB6F+H7Q46sd1SJs9O47fdhIgtyUP4m+13NBr2F/EwmSeD6S83583zrpSUFSRLqIxswMM8ntI/6FJGM1FQRQyPCY3GfEXVhpkgbDEQz4vbyLHtI2YEDGpgqQRMq/VBykimCLtlO6iRsDVd3KbrjdKo4ThdGWjEXw3ULSSPWeQYwkwtK68cZSOTVIBPQQ3GJhiZQDuH0egni/hOacBf5N3SZyVYGtanknQt4CDIqR0HBpNxzEyoSPlKczlu6NOM7JVcGdWa8HUQKZu9psvSryRltLvdDcEbA/0KgVW+fCE5HdZ/B36Yj0A0GpAsRxtQCWSbqyrw8EyCJhnf0a/Kr96GLv8sNevEQhFPeMpkrmCfroqlfEiFoY/LG1JGvlcIARV3wOWa+3HRPSoaR9XEcdm4JWdQnqYMpo2MgX0dpwoGZhE4kV8D1wSeCdom8E0QmKCjAOYQik5Vn6OiaTLuJ8b7xLRVAZqM/4kJoqsPTEcxY8JgCpTG3WNC2zYI7yOhD2oQ2rBBBB+JTtUt9I5Aid6E33uj7z+5zf6133T9prNZ2HbQkm+ylJoQufl/qXJCRapKIWNVHyRku8soNo6oxoOmUEbn/K7YPuIq/MaMPGa0+5bqqq4K80DEw5ccmwq4++VuTrICSr/luYHrtwM7cNvBta88SCTfxS/oUKUD7eEazk1sS90DL6qHIpzDKjAQ/ffSiweSyoQuOVuVOt5B77+QNRW/gQWUwv7ALGuV9W40U/MqQu/n9yzbD9mygmV1oAotZtcy8Qeh2u220j+c1sYEzk7wyFZAhwrjXfkxLbKDC9pjk/ktJfyRP6c6FAbLkK0wVBRcNbBXO+EBpbuqR3ZRRyuGmw7GRK5mWOUcTH8tV8eAfr39ccz103Uq4SLbci43xmEUP5oMeryA9GLAcSiq60cHYc24ULgyB6WSSLhgDwQMZ0nG5A0WcM5ADuPy/ns/vxGgd5Wy9YGBqctfkx2lq9LBOqE6PL3fa1OF3BXysFVDfX+oWu/RLNMl1xWUwFSDXMLPYUOfsjyV+6jTukIEYc0g5uvIRahaAKWmsc4n/s8ozHcXw5CAbyxyg0MF1+m9oVLJVW7qdXWmAzflECM4t2Y9fU/+xytjmOfYxCBd9bnWOCFFXrdtyfGMiEqst19mNFfTvE+fSJHJuOxEBeDSuwSTQ/bEw/KSaWy7F/ZlF63JYkURhi7eHpf4DklJZryr8Fa5VM8Rg8Spc6kvvtC34TFWiCeypBbGPbTqD95pZfRNVn2QjbPTBwoPGvlpzXJhDa01bn9cnKCfje7FyZeU5I35xQmmvgHT4eLk28+N+822tdz+/RcCE930T2IhTlQTwROPraxymub/APYnpIuaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32626819610596	1.01190E+01	5.05162E-04	1.01686E-03	1.13542E-03	63.5823	2
7.90604E+02	20	3.32623648643494	1.72445E+01	4.62145E-04	8.45186E-04	9.63285E-04	61.3303	2
6.25055E+02	20	3.32628107070923	2.45452E+01	4.18052E-04	7.04344E-04	8.19065E-04	59.3094	2
4.94171E+02	20	3.32622718811035	3.20767E+01	3.85901E-04	5.87705E-04	7.03076E-04	56.7101	2
3.90694E+02	20	3.32622647285461	3.98049E+01	3.54319E-04	4.91329E-04	6.05761E-04	54.203	2
3.08884E+02	20	3.3261559009552	4.78336E+01	3.19223E-04	4.08189E-04	5.18191E-04	51.9729	2
2.44205E+02	20	3.32618594169617	5.84618E+01	2.93684E-04	3.47003E-04	4.54600E-04	49.7573	2
1.93070E+02	20	3.32627582550049	6.69279E+01	2.72568E-04	2.92343E-04	3.99698E-04	47.0049	2
1.52642E+02	20	3.32633066177368	7.59720E+01	2.51196E-04	2.37905E-04	3.45974E-04	43.4434	2
1.20679E+02	20	3.32637119293213	8.45324E+01	2.36984E-04	2.01554E-04	3.11103E-04	40.381	2
9.54095E+01	20	3.32640528678894	9.03416E+01	2.24648E-04	1.67057E-04	2.79955E-04	36.6359	2
7.54312E+01	20	3.32644867897034	9.63708E+01	2.12923E-04	1.38000E-04	2.53732E-04	32.9482	2
5.96362E+01	20	3.32634496688843	1.02162E+02	2.05601E-04	1.13869E-04	2.35027E-04	28.9791	2
4.71487E+01	20	3.32637095451355	1.08298E+02	1.98327E-04	8.30366E-05	2.15008E-04	22.7183	2
3.72759E+01	20	3.32641291618347	1.14670E+02	1.96680E-04	6.95570E-05	2.08617E-04	19.4764	2
2.94705E+01	20	3.32645320892334	1.21315E+02	1.93444E-04	4.99530E-05	1.99789E-04	14.4792	2
2.32995E+01	20	3.32638645172119	1.27900E+02	1.93674E-04	4.18134E-05	1.98136E-04	12.1829	2
1.84207E+01	20	3.32639336585999	1.33895E+02	1.93196E-04	3.06174E-05	1.95607E-04	9.00528	2
1.45635E+01	20	3.32637596130371	1.40238E+02	1.94143E-04	2.09339E-05	1.95268E-04	6.15428	2
1.15140E+01	20	3.32645273208618	1.46986E+02	1.94322E-04	1.33293E-05	1.94778E-04	3.92399	2
9.10298E+00	20	3.32641291618347	1.53044E+02	1.94370E-04	1.09810E-05	1.94680E-04	3.23349	2
7.19686E+00	20	3.32641530036926	1.59422E+02	1.95881E-04	5.59461E-06	1.95961E-04	1.63599	2
5.68987E+00	20	3.32643461227417	1.66182E+02	1.97371E-04	1.03672E-06	1.97374E-04	0.300952	2
4.49843E+00	20	3.32645559310913	1.72242E+02	1.98295E-04	-1.39555E-06	1.98300E-04	-0.403228	2
3.55648E+00	20	3.32643532752991	1.78554E+02	1.99290E-04	-4.72267E-06	1.99346E-04	-1.35751	2
2.81177E+00	20	3.32649040222168	1.85110E+02	2.00961E-04	-7.06821E-06	2.01086E-04	-2.01438	2
2.22300E+00	20	3.32647562026978	1.92051E+02	2.02412E-04	-9.00853E-06	2.02613E-04	-2.54832	2
1.75751E+00	20	3.32646632194519	1.99481E+02	2.03742E-04	-1.15980E-05	2.04072E-04	-3.25803	2
