CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8CbaRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G9t+8HqE0msQZLSwFpQkSWcWU7TOT/rcSHmNJPWExfWQ8LW/DULrPjO6sWeY09cx/a9G8eyFu2m33Rcz256ALzmddNtObbroY74ldK9NRD0OadsdQisHmdS8NRa8FSSDT0/A+s0aDVuGq7tti3Lmic7Gth+4NmBbaMTux1l8vwsettPidiRLIC/+WFPw1F/GY3iRTyY/TK8aFx0paQsJ2lMZWgDHmXRjP5BVzKci5wqYnRKaDTha6o2zAVhy4F4Xt6Gjm2fMGNgUANLJGBarg8SRlJF2E3bQY2EbejyNtlslUYNJ8naQGP+aqBuLnnEQscQZmpZeeUoG6mkAnxqV2BigrEJtHMYjX68jO6UBvxF3i18VoKFYX0qSTcCDoKc2nFkMBmnzJSKhK81l+GGPk3JQckVUa0IXweRsvlrsir8ihNGu7v9CLwx0K8QWOXLF5LRUfV35EfZGETDAUkztAGVQHaZqgIPzyRonPI9/ar86m3p6s9Cs04sFPGUJ0xmCvbpOl/Jh0QY+rgckiLyvVwIqLgjLtbcj4vuSdE4qiZOy8YtOIPyNGUwLWQM7Os4lbBtFoET+hVwTeCZoGUC3wRtE3QUwBxC0anqc1Q0Tcb9xHifmJYqQJPxPzHt8PoD01HMhDCYAoVx95TQtg3C+0jogxqENmwQ7Y9Ep+wWekegRIfB9974+09uo3/jN1y/4WyXtu035ZsspKZEbv9fqphQoapSyFjZBzHZ7VOKjSPK8aAplNE5v8t3j7gKvxEjjyntviW6qsvCPBLR6CXDpgLufrVfkDSH0m96brvj2K2263ds50Z5EEu+j17QoVIH2sM44dzEttQ98KJ6KMQ5rAID0X8vvHggiYzpirN1oeMd9P4LWVHRG1hAKewPzLJWWe1GMxWvIvR+cc/Sw4itSlhUB6rQYnYlE30QqtxuKf2jWWVM4OwEj2wFdKgw3qUfszw9uqA9NpnfEsIf+XOiQ2GwDNkSQ0XBVQN7tRMeULqremQfdrRiuOlgTGRqhpXOwfTXclUM6NfbH6dcP9kkEi6yHedyaxxG8ePpoMdzSC8GHIeiun50EDaMC4VLc1AqsYQL9kjAcJZkQt5gAecM5DAq7r/3i6EAveuEbY4MTF3+Gu8pXRcOVgnV4en9XpnK5T6Xx60a6vtD1XqPpqkuua6gBKYa5BJ+jhv6lGWJPISd5jUiCGsKMd+ELkLVAig1i3Q+8X9OYb67GIYYfGOh2z5WcJXeIZVKrnRTr6szHbkZhxjBuTXr6XvyP14ZoyzDJgbpss+1xinJs6ptC46nRJRivcMqpZma5n36RPJURkUnKgCX3hWYHLEnHhSXTH3XvbSvumhN5muKMHDx9rjCd0hCUuNdhbfKlXqOGCROnSt98QU+vKXiXDyRFbUw7oFVffBOK6JvsuqDbJyfPVB40MhPa5YLa2itfvvjsoZ+1ruXtS8JyeqLyxqmvg7T4bL27ef6/XbXXO3+/guBiYb9WiRETTURPPHY2iqmafYPSqsh55oKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32678294181824	1.01151E+01	5.11207E-04	1.01832E-03	1.13943E-03	63.3429	2
7.90604E+02	20	3.32684016227722	1.72428E+01	4.53978E-04	8.46405E-04	9.60467E-04	61.7927	2
6.25055E+02	20	3.32677102088928	2.45379E+01	4.10664E-04	6.94558E-04	8.06880E-04	59.4059	2
4.94171E+02	20	3.32670950889587	3.20239E+01	3.85514E-04	5.82418E-04	6.98449E-04	56.4986	2
3.90694E+02	20	3.32685971260071	3.97545E+01	3.45078E-04	4.88427E-04	5.98030E-04	54.7585	2
3.08884E+02	20	3.32687902450562	4.77818E+01	3.17245E-04	4.09316E-04	5.17865E-04	52.2221	2
2.44205E+02	20	3.32688999176025	5.84112E+01	2.93332E-04	3.46218E-04	4.53773E-04	49.7272	2
1.93070E+02	20	3.32666563987732	6.68819E+01	2.72578E-04	2.90950E-04	3.98687E-04	46.8673	2
1.52642E+02	20	3.32658100128174	7.59257E+01	2.50836E-04	2.35856E-04	3.44306E-04	43.2371	2
1.20679E+02	20	3.32668161392212	8.44811E+01	2.37380E-04	2.00553E-04	3.10758E-04	40.1931	2
9.54095E+01	20	3.32678747177124	9.02760E+01	2.25308E-04	1.65764E-04	2.79717E-04	36.3428	2
7.54312E+01	20	3.326824426651	9.63166E+01	2.14792E-04	1.36291E-04	2.54383E-04	32.3962	2
5.96362E+01	20	3.32675647735596	1.02105E+02	2.08256E-04	1.12343E-04	2.36625E-04	28.3444	2
4.71487E+01	20	3.32677221298218	1.08233E+02	2.00298E-04	8.29301E-05	2.16787E-04	22.4912	2
3.72759E+01	20	3.32681155204773	1.14606E+02	1.97773E-04	6.88568E-05	2.09417E-04	19.1961	2
2.94705E+01	20	3.32679390907288	1.21258E+02	1.95775E-04	4.98699E-05	2.02027E-04	14.2911	2
2.32995E+01	20	3.32681274414063	1.27856E+02	1.95456E-04	4.04038E-05	1.99588E-04	11.6794	2
1.84207E+01	20	3.32683444023132	1.33861E+02	1.95449E-04	3.23316E-05	1.98105E-04	9.39294	2
1.45635E+01	20	3.32685995101929	1.40210E+02	1.95073E-04	2.08424E-05	1.96184E-04	6.09858	2
1.15140E+01	20	3.32681059837341	1.46962E+02	1.94655E-04	1.31642E-05	1.95100E-04	3.86893	2
9.10298E+00	20	3.32685017585754	1.53011E+02	1.95388E-04	1.01975E-05	1.95654E-04	2.98763	2
7.19686E+00	20	3.32682514190674	1.59371E+02	1.96398E-04	4.55385E-06	1.96451E-04	1.32827	2
5.68987E+00	20	3.32688546180725	1.66147E+02	1.98072E-04	8.04847E-07	1.98073E-04	0.232815	2
4.49843E+00	20	3.32690644264221	1.72208E+02	2.00024E-04	-1.59425E-06	2.00030E-04	-0.456657	2
3.55648E+00	20	3.32684803009033	1.78511E+02	2.00164E-04	-3.86069E-06	2.00201E-04	-1.10496	2
2.81177E+00	20	3.32692074775696	1.85058E+02	2.02398E-04	-6.75716E-06	2.02511E-04	-1.91213	2
2.22300E+00	20	3.32689547538757	1.92001E+02	2.04287E-04	-8.41080E-06	2.04461E-04	-2.35761	2
1.75751E+00	20	3.32689452171326	1.99427E+02	2.05343E-04	-1.05502E-05	2.05614E-04	-2.94117	2
