CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB9I20i54EBo0YGWJSzdPToScsGF7CY2dZy2HPWp9hH2yXbGTohpdzdX+T6PZ8bzZ3/z7QdrQCSxhklKA2tBRZ5wZjlt5/Skz4WY01xaT1xYDwlb89c8sOI7qx97jj1xHbvrXTuWtfDb3bbjenbbA+C1r9pux7FdD3XEr5TurKGgzwVlq31g9TmTgqfWgqeSbOjpCVinQad13XJt17csa55kNLA7gW0HjodOZBll8vQkettNichIHsDffL+j4WiwjEbxIh7Ofrk5a531pKSsIGlMZWgDHuXRjP5BVzKci4IqYnRMaDTha6o2zAVhy6F4Xt6Gjm0fMWNgUANLJGBarQ8TRlJF2G3bQY2EbejyNtlslUYNJ8naQGP+aqBeIXnEQscQZmpZeeUoG6mkAnzyazAxwdgE2jmMxiBeRndKA/4i75Y+K8HSsD6VpBsBB0FO7TgwmIxjZkpFwteay3HDgKZkr+TKqNZEVweRsvlrsir9ihNGe9luBN4Y6FcIrPLlC8npqP478KN8DKLhkKQ52oBKIFmuqsDDMwkap3xHvyq/+lu6+rPUrBMLRTzlCZO5ggO6LlbyIRGGPi5vSBn5fiEEVNwBl2vux0X3qGgcVRPHZeOWnEF5mjKYDjIG7uo4VdA3i8AJuzVwTeCZoGOCrgl8E1wqgDmEolPV56homoz7ifE+MR1VgCbT/cT44dUH5lIxE8JgCpTG3WNC2zYI7yOhD2oQ2rBB+B+Jy6pb6B2BEr0JvvfH339yW4Prbsvttpzt0rY7bfkmS6kpkdv/lyonVKiqFDJW9UFMsl1KsXFENR40hTI653dF9oir8Bsx8pjS3luiq7oqzAMRjV5ybCrg7le7BUkLKP225/pXfrfjdfyO7+uejCXfRS/oUKUD7WGccG5iW+oeeFE9FOIcVoGB6L+XXjyQRMZ0xdm61PEOev+FrKnoDSygFPYHZlmrrHejmZpXEXo/u2fpfsRWFSyrA1VoMbuWiT4I1W53lP7RrDYmcHaCR7YCOlQY78qPWZEeXNAem8xvCeGP/DnRoTBYhmyFoaLgqoG92gkPKN1VfbILL7ViuOlgTORqhlXOwfTXcnUM6NfbH8fcINkkEi6yjHO5NQ6j+PF02OcFpBcDjkNRXT86CBvGhcKVOSiVWMIFeyBgOEsyIW+wgHMGchiV99/72Y0AveuEbQ4MTF3+Gu8oXZcO1gnV4en/Xpsq5K6Qh60a6vtD1XqfpqkuuZ6gBKYa5BJ+DhsGlOWJ3IeX7StEENYUYr4JXYSqBVBqFul84v+cwnx3MQwx+MZC1z9UcJ3eGyqVXOWmXldnOnAzDjGCc2vW0/fkf7wyRnmOTQzSVZ9rjVNS5HXblhxPiajE+vtVSnM1zQf0iRSpjMpOVAAuvQswOWJPPCgvmWbWO7cvemhNFmuKMHDx9rjAd0hCUuNdhbfKhXqOGCROnQt98QVdGx5jhXgiK2ph3AOr/uCdVkbfZNUH2Tg9eaDwoJGf1iwX1tBa8/bHeQP9bPbOG18SkjcX5w1MfROmw3nj28/N+23WXmV//4XARDeDRiREQzURPPHY2iqnaf4Pejzgf5oKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32692193984985	1.01100E+01	5.12468E-04	1.02355E-03	1.14468E-03	63.4039	2
7.90604E+02	20	3.32698917388916	1.72553E+01	4.72748E-04	8.49369E-04	9.72069E-04	60.9002	2
6.25055E+02	20	3.32691502571106	2.45498E+01	4.21783E-04	7.05118E-04	8.21640E-04	59.1132	2
4.94171E+02	20	3.32694029808044	3.20387E+01	3.79822E-04	5.87217E-04	6.99349E-04	57.1045	2
3.90694E+02	20	3.32699298858643	3.97855E+01	3.44350E-04	4.86006E-04	5.95633E-04	54.6813	2
3.08884E+02	20	3.32702207565308	4.78088E+01	3.25808E-04	4.12748E-04	5.25844E-04	51.7137	2
2.44205E+02	20	3.32706093788147	5.84445E+01	2.97928E-04	3.50299E-04	4.59859E-04	49.619	2
1.93070E+02	20	3.32719540596008	6.69130E+01	2.76922E-04	2.95787E-04	4.05186E-04	46.8867	2
1.52642E+02	20	3.3271017074585	7.59657E+01	2.54899E-04	2.40943E-04	3.50752E-04	43.3878	2
1.20679E+02	20	3.32716226577759	8.45117E+01	2.39734E-04	2.04157E-04	3.14885E-04	40.4177	2
9.54095E+01	20	3.32713985443115	9.03084E+01	2.27385E-04	1.70188E-04	2.84021E-04	36.8133	2
7.54312E+01	20	3.32711052894592	9.63570E+01	2.15833E-04	1.41128E-04	2.57878E-04	33.1797	2
5.96362E+01	20	3.32709074020386	1.02145E+02	2.08702E-04	1.15651E-04	2.38603E-04	28.9928	2
4.71487E+01	20	3.32710719108582	1.08288E+02	2.00352E-04	8.51370E-05	2.17691E-04	23.0224	2
3.72759E+01	20	3.32708120346069	1.14662E+02	1.98225E-04	7.17756E-05	2.10820E-04	19.9049	2
2.94705E+01	20	3.3271210193634	1.21318E+02	1.93840E-04	5.22432E-05	2.00757E-04	15.0838	2
2.32995E+01	20	3.32708835601807	1.27905E+02	1.93171E-04	4.26762E-05	1.97829E-04	12.4579	2
1.84207E+01	20	3.32703876495361	1.33902E+02	1.92450E-04	3.28839E-05	1.95239E-04	9.69647	2
1.45635E+01	20	3.32709527015686	1.40245E+02	1.92630E-04	2.16497E-05	1.93843E-04	6.41257	2
1.15140E+01	20	3.32704734802246	1.46991E+02	1.92637E-04	1.46834E-05	1.93195E-04	4.35885	2
9.10298E+00	20	3.32710838317871	1.53038E+02	1.94339E-04	1.08693E-05	1.94643E-04	3.20121	2
7.19686E+00	20	3.32711315155029	1.59405E+02	1.95047E-04	6.38124E-06	1.95151E-04	1.87384	2
5.68987E+00	20	3.32712435722351	1.66162E+02	1.94888E-04	3.12572E-06	1.94913E-04	0.918862	2
4.49843E+00	20	3.32708334922791	1.72230E+02	1.96673E-04	-7.97123E-07	1.96675E-04	-0.23222	2
3.55648E+00	20	3.32710361480713	1.78531E+02	1.98440E-04	-3.56613E-06	1.98472E-04	-1.02954	2
2.81177E+00	20	3.32705998420715	1.85073E+02	1.99772E-04	-6.17150E-06	1.99867E-04	-1.76946	2
2.22300E+00	20	3.3271176815033	1.92021E+02	2.00633E-04	-8.40253E-06	2.00809E-04	-2.39815	2
1.75751E+00	20	3.32707285881042	1.99455E+02	2.02026E-04	-9.71875E-06	2.02260E-04	-2.75417	2
1.38950E+00	20	3.32718539237976	2.07446E+02	2.04077E-04	-1.17232E-05	2.04413E-04	-3.28774	2
1.09854E+00	20	3.32716083526611	2.16223E+02	2.05356E-04	-1.36857E-05	2.05811E-04	-3.81276	2
8.68511E-01	20	3.32712459564209	2.23705E+02	2.07097E-04	-1.58824E-05	2.07705E-04	-4.38548	2
6.86649E-01	20	3.32712435722351	2.31793E+02	2.08652E-04	-1.78672E-05	2.09416E-04	-4.89438	2
5.42867E-01	20	3.32729244232178	2.40677E+02	2.10439E-04	-2.14434E-05	2.11529E-04	-5.81826	2
4.29193E-01	20	3.32740712165833	2.48204E+02	2.13114E-04	-2.60499E-05	2.14701E-04	-6.96895	2
3.39322E-01	20	3.3275625705719	2.56347E+02	2.16242E-04	-3.10101E-05	2.18454E-04	-8.16086	2
2.68270E-01	20	3.32764577865601	2.65394E+02	2.21407E-04	-3.53564E-05	2.24213E-04	-9.07292	2
2.12095E-01	20	3.32757568359375	2.75502E+02	2.26726E-04	-4.01297E-05	2.30250E-04	-10.0372	2
1.67683E-01	20	3.32759404182434	2.86866E+02	2.32666E-04	-4.51513E-05	2.37007E-04	-10.9823	2
1.32571E-01	20	3.3274393081665	2.99816E+02	2.38913E-04	-5.05468E-05	2.44202E-04	-11.9459	2
1.04811E-01	20	3.32733058929443	3.14762E+02	2.45765E-04	-5.68102E-05	2.52245E-04	-13.0157	2
8.28642E-02	20	3.32719445228577	3.32431E+02	2.53480E-04	-6.34501E-05	2.61301E-04	-14.0533	2
6.55128E-02	20	3.32699990272522	3.53290E+02	2.62112E-04	-7.14628E-05	2.71679E-04	-15.2506	2
5.17947E-02	20	3.32683491706848	3.78200E+02	2.72091E-04	-8.07913E-05	2.83832E-04	-16.5376	2
4.09491E-02	20	3.32659387588501	4.08226E+02	2.83546E-04	-9.11455E-05	2.97836E-04	-17.8199	2
3.23746E-02	20	3.32638549804688	4.44740E+02	2.96309E-04	-1.02798E-04	3.13634E-04	-19.1331	2
2.55955E-02	20	3.32613182067871	4.89408E+02	3.11700E-04	-1.15660E-04	3.32467E-04	-20.358	2
2.02359E-02	20	3.32587361335754	5.44443E+02	3.29293E-04	-1.29917E-04	3.53994E-04	-21.5308	2
1.59986E-02	20	3.3256311416626	6.12556E+02	3.49681E-04	-1.45447E-04	3.78724E-04	-22.5845	2
1.26485E-02	20	3.32532167434692	6.97237E+02	3.73095E-04	-1.61364E-04	4.06495E-04	-23.3885	2
1.00000E-02	20	3.32495188713074	8.03545E+02	3.99877E-04	-1.78066E-04	4.37732E-04	-24.0035	2
