CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBcubaT84ECg6EDLEpbuHh0JueBCdhObOk5bjvpU+wj7ZDtjJ8S0u5tf+T6PZ8Zzs7917AdrQCSxhnFCfWtJRRZzZjlN5/ysz4VY0ExaT1xYDzHb8NfMt6I7qx95jj11Hbvt3TiWtew0203H9eymB8BrXjfdlmO7HuqIXindW0NBn3PK1gff6nMmBU+sJU8k2dLzM7BO/VbjpuHabseyrEWcUt92fc/23Q46kaaUyfOz8G0/IyIlmQ9/i8OeBuPBKhxHy2g4/2V00bjoSUlZTpKIysAGPM7COf2DrmWwEDlVxPiU0GjKN1RtWAjCVkPxvLoNHNs+YSbAoAYWS8C0XB/GjCSKsJu2gxoJ29LVbbzdKY0aTuONgSb81UC9XPKQBY4hzNSy8spRNhJJBfjUqcDUBBMTaOcwGoNoFd4pDfiLvFv4rAQLw/pUkm4FHAQ5tePIYDJOmRkVMd9oLsMNA5qQg5IroloRbR1Eyhav8brwK4oZ7aX7MXhjoF8hsMqXLySj4+rvyI+zCYgGQ5JkaAMqgaSZqgIPzyRolPA9/ar86u/o+s9Cs04sFPGMx0xmCg7oJl/Lh1gY+rgckSLy/VwIqLgjLtbcj4vuSdE4qiZOy8YtOIPyNGUwLWQM3NZxKmHHLAInaFfANYFngpYJ2ibomKCrAOYQik5Vn6OiaTLuJ8b7xLRUAZpM+xPTCa4/MF3FTAmDKVAYd08JbdsgvI+EPqhBaMMG0flIdMtuoXcESnTkf+9Pvv/kNgY37Ybbbji7lW17TfkmC6kZkbv/lyomVKCqFDJW9kFE0n1CsXFEOR40hTI653d5+oir8Bsy8pjQ3lusq7oszCMRjl8ybCrg7tf7JUlyKP2m53Zdr9uxO3brun2tPIgk34cv6FCpA+1hnHBuYlvqHnhRPRTgHFaBgei/F148kFhGdM3ZptDxDnr/hayo8A0soBT2B2ZZq6x2o5mKVxF6v7hnyWHM1iUsqgNVaDG7kgk/CFVut5T+8bwyJnB2gke2AjpUGO/Sj3meHF3QHpvMbzHhj/w51qEwWIZsiaGi4KqBvdoJDyjdVX2yD7paMdx0MCYyNcNK52D6a7kqBvTr7Y9TbhBvYwkXWcq53BmHUfxkNuzzHNKLAcehqK4fHYQt40Lh0hyUSiThgj0SMJwlmZI3WMA5AzkMi/vv/WIkQO8mZtsjA1OXv0Z7SjeFg1VCdXj6v1emcrnP5XGrhvr+ULXep0miS64nKIGpBrmEn+OGAWVZLA9Bt3mNCMKaQMy3gYtQtQBKzUOdT/xfUJjvLoYhAt9Y4HaOFVyld0Slkivd1OvqTEduziFGcG7Nevqe/I9XxjjLsIlBuuxzrXFG8qxq24LjCRGlWP+wTmimpvmAPpE8kWHRiQrApXcFJsfsifvFJVNPe5f2VQ+tyXxDEfou3h5X+A6JSWK8q/BWuVLPEYPEqXOlLz6/bcNjLBdPZE0tjLtvVR+804rom6z6IBvnZw8UHjTy05rlwhpaq9/+uKyhn/XeZe1LTLL68rKGqa/DdLisffu5fr9Lm+v0778QmGg0qIVC1FQTwROPbaximmb/AEg2V4iaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.3272762298584	1.01175E+01	5.07128E-04	1.02184E-03	1.14076E-03	63.6053	2
7.90604E+02	20	3.32730650901794	1.72440E+01	4.57883E-04	8.46262E-04	9.62193E-04	61.5837	2
6.25055E+02	20	3.32731771469116	2.45409E+01	4.11891E-04	6.89373E-04	8.03050E-04	59.1423	2
4.94171E+02	20	3.32722163200378	3.20287E+01	3.80733E-04	5.71690E-04	6.86867E-04	56.3373	2
3.90694E+02	20	3.32734489440918	3.97603E+01	3.37320E-04	4.84827E-04	5.90629E-04	55.1716	2
3.08884E+02	20	3.32724857330322	4.77876E+01	3.12870E-04	4.04577E-04	5.11439E-04	52.2843	2
2.44205E+02	20	3.32735204696655	5.84249E+01	2.92524E-04	3.44222E-04	4.51729E-04	49.6417	2
1.93070E+02	20	3.32726716995239	6.68858E+01	2.71547E-04	2.89776E-04	3.97125E-04	46.86	2
1.52642E+02	20	3.32739019393921	7.59427E+01	2.50297E-04	2.35340E-04	3.43560E-04	43.236	2
1.20679E+02	20	3.32741069793701	8.44959E+01	2.35426E-04	2.00314E-04	3.09113E-04	40.3929	2
9.54095E+01	20	3.32746529579163	9.02913E+01	2.23745E-04	1.65548E-04	2.78331E-04	36.4977	2
7.54312E+01	20	3.32741904258728	9.63318E+01	2.11663E-04	1.36439E-04	2.51827E-04	32.8061	2
5.96362E+01	20	3.32743954658508	1.02119E+02	2.04963E-04	1.12042E-04	2.33588E-04	28.663	2
4.71487E+01	20	3.32738947868347	1.08253E+02	1.97751E-04	8.34710E-05	2.14646E-04	22.8847	2
3.72759E+01	20	3.32746958732605	1.14625E+02	1.95809E-04	6.94082E-05	2.07747E-04	19.5178	2
2.94705E+01	20	3.32741069793701	1.21273E+02	1.92884E-04	5.11912E-05	1.99561E-04	14.8636	2
2.32995E+01	20	3.32737731933594	1.27863E+02	1.91792E-04	4.14831E-05	1.96227E-04	12.2046	2
1.84207E+01	20	3.32746863365173	1.33852E+02	1.92821E-04	3.07993E-05	1.95265E-04	9.07518	2
1.45635E+01	20	3.32737302780151	1.40196E+02	1.91678E-04	2.30098E-05	1.93054E-04	6.84526	2
1.15140E+01	20	3.32740092277527	1.46936E+02	1.91334E-04	1.35151E-05	1.91811E-04	4.04045	2
9.10298E+00	20	3.32741332054138	1.52993E+02	1.93357E-04	1.08120E-05	1.93659E-04	3.20049	2
7.19686E+00	20	3.32741093635559	1.59358E+02	1.93372E-04	6.02782E-06	1.93466E-04	1.78546	2
5.68987E+00	20	3.32742166519165	1.66131E+02	1.95350E-04	1.37047E-06	1.95354E-04	0.401952	2
4.49843E+00	20	3.32742595672607	1.72189E+02	1.95841E-04	-1.40722E-06	1.95846E-04	-0.411693	2
3.55648E+00	20	3.32741618156433	1.78493E+02	1.97138E-04	-3.16512E-06	1.97163E-04	-0.919824	2
2.81177E+00	20	3.32746315002441	1.85041E+02	1.98476E-04	-5.43729E-06	1.98550E-04	-1.56924	2
2.22300E+00	20	3.32744026184082	1.91978E+02	1.99426E-04	-8.20986E-06	1.99595E-04	-2.35739	2
1.75751E+00	20	3.32738041877747	1.99408E+02	2.01461E-04	-9.75820E-06	2.01697E-04	-2.77308	2
1.38950E+00	20	3.32751679420471	2.07391E+02	2.02988E-04	-1.16929E-05	2.03325E-04	-3.29681	2
1.09854E+00	20	3.32750773429871	2.16180E+02	2.05040E-04	-1.37185E-05	2.05498E-04	-3.82777	2
8.68511E-01	20	3.32747936248779	2.23663E+02	2.06027E-04	-1.56460E-05	2.06620E-04	-4.3428	2
6.86649E-01	20	3.32753109931946	2.31744E+02	2.07655E-04	-1.75525E-05	2.08395E-04	-4.83157	2
5.42867E-01	20	3.32760334014893	2.40629E+02	2.09406E-04	-2.10469E-05	2.10461E-04	-5.73938	2
4.29193E-01	20	3.32776212692261	2.48156E+02	2.11788E-04	-2.46868E-05	2.13222E-04	-6.64861	2
3.39322E-01	20	3.32790279388428	2.56298E+02	2.14808E-04	-2.98631E-05	2.16874E-04	-7.91465	2
2.68270E-01	20	3.32796621322632	2.65324E+02	2.19670E-04	-3.36750E-05	2.22236E-04	-8.7155	2
