CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBdujZQfHAgtOtCyhKW7R0dCLriQ3cSmjtOWoz7VPsI+2c7YCTHt7uZXvs/jmfHc7G8d+8EaEkmsUZxQ31pSkcWcWU7TOT8bcCEWNJPWExfWQ8w2/DXzrejOGkSeY09dx257145lLTvNdtNxPbvpAfCavabbcmzXQx3RK6V7ayToc07Z+uBbA86k4Im15IkkW3p+Btap32pcN1zb7ViWtYhT6tuOb9u+d41OpCll8vwsfNvPiEhJ5sPf4rCnwXi4CsfRMhrNf7m5aFz0paQsJ0lEZWADHmfhnP5B1zJYiJwqYnxKaDTlG6o2LARhq5F4Xt0Gjm2fMBNgUAOLJWBaro9iRhJF2E3bQY2EbenqNt7ulEYNp/HGQBP+aqB+LnnIAscQZmpZeeUoG4mkAnzqVGBqgokJtHMYjWG0Cu+UBvxF3i18VoKFYX0qSbcCDoKc2nFkMBmnzIyKmG80l+GGIU3IQckVUa2Itg4iZYvXeF34FcWM9tP9GLwx0K8QWOXLF5LRcfV35MfZBESDEUkytAGVQNJMVYGHZxI0SvieflV+DXZ0/WehWScWinjGYyYzBYd0k6/lQywMfVzekCLyg1wIqLgjLtbcj4vuSdE4qiZOy8YtOIPyNGUwLWQM3NZxKmHHLAInaFfANYFngpYJ2ibomKCrAOYQik5Vn6OiaTLuJ8b7xLRUAZpM+xPTCXofmK5ipoTBFCiMu6eEtm0Q3kdCH9QgtGGD6HwkumW30DsCJXrjfx9Mvv/kNobX7Ybbbji7lW27TfkmC6kZkbv/lyomVKCqFDJW9kFE0n1CsXFEOR40hTI653d5+oir8Bsy8pjQ/lusq7oszCMRjl8ybCrg7tf7JUlyKP2m53ZbXa/X7fU6dqurPIgk34cv6FCpA+1hnHBuYlvqHnhRPRTgHFaBgei/F148kFhGdM3ZptDxDnr/hayo8A0soBT2B2ZZq6x2o5mKVxF6v7hnyWHM1iUsqgNVaDG7kgk/CFVut5T+8bwyJnB2gke2AjpUGO/Sj3meHF3QHpvMbzHhj/w51qEwWIZsiaGi4KqBvdoJDyjdVQOyD7paMdx0MCYyNcNK52D6a7kqBvTr7Y9TbhhvYwkXWcq53BmHUfxkNhrwHNKLAcehqK4fHYQt40Lh0hyUSiThgj0SMJwlmZI3WMA5AzkMi/vv/eJGgN5NzLZHBqYuf432lG4KB6uE6vAMfq9M5XKfy+NWDfX9oWp9QJNEl1xfUAJTDXIJP8cNQ8qyWB6CbrOHCMKaQMy3gYtQtQBKzUOdT/xfUJjvLoYhAt9Y4HaOFVyl94ZKJVe6qdfVmY7cnEOM4Nya9fQ9+R+vjHGWYRODdNnnWuOM5FnVtgXHEyJKscFhndBMTfMhfSJ5IsOiExWAS+8KTI7ZE/eLS6ae9i/tqz5ak/mGIvRdvD2u8B0Sk8R4V+GtcqWeIwaJU+dKX3x+24bHWC6eyJpaGHffqj54pxXRN1n1QTbOzx4oPGjkpzXLhTW0Vr/9cVlDP+v9y9qXmGT15WUNU1+H6XBZ+/Zz/X6XNtfp338hMNHNsBYKUVNNBE88trGKaZr9A/PSmFyaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32747626304626	1.01147E+01	5.20839E-04	1.02249E-03	1.14750E-03	63.0065	2
7.90604E+02	20	3.32751822471619	1.72445E+01	4.61600E-04	8.50359E-04	9.67567E-04	61.5056	2
6.25055E+02	20	3.32749962806702	2.45417E+01	4.28544E-04	6.97816E-04	8.18900E-04	58.445	2
4.94171E+02	20	3.3274884223938	3.20313E+01	3.81493E-04	5.82943E-04	6.96677E-04	56.7982	2
3.90694E+02	20	3.32757496833801	3.97575E+01	3.53200E-04	4.80332E-04	5.96213E-04	53.672	2
3.08884E+02	20	3.32741665840149	4.77833E+01	3.16830E-04	4.06961E-04	5.15751E-04	52.0983	2
2.44205E+02	20	3.32754874229431	5.84137E+01	2.98290E-04	3.48781E-04	4.58939E-04	49.4617	2
1.93070E+02	20	3.32731771469116	6.68782E+01	2.76925E-04	2.94097E-04	4.03955E-04	46.7225	2
1.52642E+02	20	3.32740664482117	7.59277E+01	2.54960E-04	2.39759E-04	3.49984E-04	43.2401	2
1.20679E+02	20	3.32740378379822	8.44894E+01	2.39923E-04	2.03750E-04	3.14765E-04	40.3388	2
9.54095E+01	20	3.32732319831848	9.02820E+01	2.26919E-04	1.69548E-04	2.83265E-04	36.766	2
7.54312E+01	20	3.32745480537415	9.63229E+01	2.16404E-04	1.38037E-04	2.56680E-04	32.5325	2
5.96362E+01	20	3.32742118835449	1.02119E+02	2.08622E-04	1.16171E-04	2.38786E-04	29.1112	2
4.71487E+01	20	3.327392578125	1.08252E+02	2.01673E-04	8.62951E-05	2.19360E-04	23.1659	2
3.72759E+01	20	3.327472448349	1.14637E+02	1.98259E-04	7.09206E-05	2.10562E-04	19.683	2
2.94705E+01	20	3.32742881774902	1.21281E+02	1.94416E-04	5.23797E-05	2.01348E-04	15.0787	2
2.32995E+01	20	3.32745456695557	1.27869E+02	1.93554E-04	4.36070E-05	1.98405E-04	12.6966	2
1.84207E+01	20	3.32743072509766	1.33865E+02	1.91396E-04	3.25440E-05	1.94143E-04	9.64999	2
1.45635E+01	20	3.3274884223938	1.40208E+02	1.92762E-04	2.28821E-05	1.94115E-04	6.76973	2
1.15140E+01	20	3.327467918396	1.46959E+02	1.93325E-04	1.51247E-05	1.93916E-04	4.4734	2
9.10298E+00	20	3.32744383811951	1.53008E+02	1.93385E-04	1.30316E-05	1.93823E-04	3.85516	2
7.19686E+00	20	3.32747364044189	1.59381E+02	1.93620E-04	7.07818E-06	1.93749E-04	2.09364	2
5.68987E+00	20	3.32746243476868	1.66148E+02	1.94924E-04	3.34053E-06	1.94952E-04	0.981816	2
4.49843E+00	20	3.32749533653259	1.72215E+02	1.95294E-04	-6.73321E-07	1.95295E-04	-0.19754	2
3.55648E+00	20	3.32751488685608	1.78514E+02	1.97244E-04	-3.99067E-06	1.97285E-04	-1.15906	2
2.81177E+00	20	3.32757329940796	1.85060E+02	1.98045E-04	-4.27027E-06	1.98091E-04	-1.23523	2
2.22300E+00	20	3.32755827903748	1.92003E+02	1.98922E-04	-6.41247E-06	1.99025E-04	-1.84635	2
1.75751E+00	20	3.32750248908997	1.99449E+02	2.00529E-04	-9.31590E-06	2.00745E-04	-2.65986	2
1.38950E+00	20	3.32758975028992	2.07430E+02	2.01803E-04	-1.05452E-05	2.02078E-04	-2.99127	2
