CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8CbaRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G9t+8HqE0msQZLSwFpQkSWcWU7TOT/rcSHmNJPWExfWQ8LW/DULrPjO6sWeY09cx/a9G8eyFu2m33Rcz256ALzmddNtObbroY74ldK9NRD0OadsdQisHmdS8NRa8FSSDT0/A+s0aDWuG67tti3Lmic7Grhe4NmB76ITux1l8vwsettPidiRLIC/+WFPw1F/GY3iRTyY/TK8aFx0paQsJ2lMZWgDHmXRjP5BVzKci5wqYnRKaDTha6o2zAVhy4F4Xt6Gjm2fMGNgUANLJGBarg8SRlJF2E3bQY2EbejyNtlslUYNJ8naQGP+aqBuLnnEQscQZmpZeeUoG6mkAnxqV2BigrEJtHMYjX68jO6UBvxF3i18VoKFYX0qSTcCDoKc2nFkMBmnzJSKhK81l+GGPk3JQckVUa0IXweRsvlrsir8ihNGu7v9CLwx0K8QWOXLF5LRUfV35EfZGETDAUkztAGVQHaZqgIPzyRonPI9/ar86m3p6s9Cs04sFPGUJ0xmCvbpOl/Jh0QY+rgckiLyvVwIqLgjLtbcj4vuSdE4qiZOy8YtOIPyNGUwLWQM7Os4lbBtFoET+hVwTeCZoGUC3wRtE3QUwBxC0anqc1Q0Tcb9xHifmJYqQJPxPzHt8PoD01HMhDCYAoVx95TQtg3C+0jogxqENmwQ7Y9Ep+wWekegRIfB9974+09uo3/jN1y/4WyXtu005ZsspKZEbv9fqphQoapSyFjZBzHZ7VOKjSPK8aAplNE5v8t3j7gKvxEjjyntviW6qsvCPBLR6CXDpgLufrVfkDSH0m96bsf12zg5bzodX3kQS76PXtChUgfawzWcm9iWugdeVA+FOIdVYCD674UXDySRMV1xti50vIPefyErKnoDCyiF/YFZ1iqr3Wim4lWE3i/uWXoYsVUJi+pAFVrMrmSiD0KV2y2lfzSrjAmcneCRrYAOFca79GOWp0cXtMcm81tC+CN/TnQoDJYhW2KoKLhqYK92wgNKd1WP7MOOVgw3HYyJTM2w0jmY/lquigH9evvjlOsnm0TCRbbjXG6Nwyh+PB30eA7pxYDjUFTXjw7ChnGhcGkOSiWWcMEeCRjOkkzIGyzgnIEcRsX9934xFKB3nbDNkYGpy1/jPaXrwsEqoTo8vd8rU7nc5/K4VUN9f6ha79E01SXXFZTAVINcws9xQ5+yLJGHsNO8RgRhTSHmm9BFqFoApWaRzif+zynMdxfDEINvLHTbxwqu0jukUsmVbup1daYjN+MQIzi3Zj19T/7HK2OUZdjEIF32udY4JXlWtW3B8ZSIUqx3WKU0U9O8T59Insqo6EQF4NK7ApMj9sSD4pKp77qX9lUXrcl8TREGLt4eV/gOSUhqvKvwVrlSzxGDxKlzpS++wLfhMZaLJ7KiFsY9sKoP3mlF9E1WfZCN87MHCg8a+WnNcmENrdVvf1zW0M9697L2JSFZfXFZw9TXYTpc1r79XL/f7pqr3d9/ITDRsF+LhKipJoInHltbxTTN/gEOPCtHmgoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32728862762451	1.01145E+01	5.12124E-04	1.01934E-03	1.14076E-03	63.3248	2
7.90604E+02	20	3.32732105255127	1.72399E+01	4.65772E-04	8.44187E-04	9.64155E-04	61.1127	2
6.25055E+02	20	3.32728362083435	2.45451E+01	4.15112E-04	7.06458E-04	8.19390E-04	59.5616	2
4.94171E+02	20	3.32736825942993	3.20431E+01	3.83672E-04	5.68243E-04	6.85642E-04	55.9731	2
3.90694E+02	20	3.32723474502563	3.97801E+01	3.53585E-04	4.81909E-04	5.97711E-04	53.7319	2
3.08884E+02	20	3.32736206054688	4.78155E+01	3.16633E-04	4.11746E-04	5.19414E-04	52.4397	2
2.44205E+02	20	3.327397108078	5.84373E+01	3.00517E-04	3.46049E-04	4.58323E-04	49.0282	2
1.93070E+02	20	3.32738709449768	6.69256E+01	2.79370E-04	2.92930E-04	4.04791E-04	46.3573	2
1.52642E+02	20	3.32730174064636	7.59680E+01	2.58021E-04	2.39032E-04	3.51726E-04	42.8123	2
1.20679E+02	20	3.32709312438965	8.45191E+01	2.43967E-04	2.02851E-04	3.17283E-04	39.7425	2
9.54095E+01	20	3.32731986045837	9.03302E+01	2.30839E-04	1.69419E-04	2.86338E-04	36.2761	2
7.54312E+01	20	3.32734131813049	9.63716E+01	2.18381E-04	1.40554E-04	2.59703E-04	32.7662	2
5.96362E+01	20	3.32735419273376	1.02153E+02	2.11619E-04	1.17134E-04	2.41874E-04	28.9651	2
4.71487E+01	20	3.32734203338623	1.08288E+02	2.02586E-04	8.78253E-05	2.20804E-04	23.4377	2
3.72759E+01	20	3.3273503780365	1.14658E+02	1.99175E-04	7.30733E-05	2.12157E-04	20.1471	2
2.94705E+01	20	3.32737302780151	1.21307E+02	1.96376E-04	5.33418E-05	2.03492E-04	15.1966	2
2.32995E+01	20	3.32738947868347	1.27894E+02	1.94586E-04	4.43753E-05	1.99582E-04	12.8466	2
1.84207E+01	20	3.32737493515015	1.33883E+02	1.93885E-04	3.42291E-05	1.96883E-04	10.012	2
1.45635E+01	20	3.32735586166382	1.40235E+02	1.93298E-04	2.44377E-05	1.94836E-04	7.20542	2
1.15140E+01	20	3.32740020751953	1.46975E+02	1.93218E-04	1.65812E-05	1.93928E-04	4.90489	2
9.10298E+00	20	3.32738924026489	1.53037E+02	1.93583E-04	1.31801E-05	1.94032E-04	3.89497	2
7.19686E+00	20	3.32739686965942	1.59400E+02	1.94575E-04	8.87198E-06	1.94778E-04	2.61069	2
5.68987E+00	20	3.32739400863647	1.66159E+02	1.95523E-04	3.79883E-06	1.95560E-04	1.11306	2
4.49843E+00	20	3.32741069793701	1.72223E+02	1.96658E-04	7.96954E-07	1.96660E-04	0.232189	2
3.55648E+00	20	3.32744693756104	1.78529E+02	1.97968E-04	-2.14284E-06	1.97979E-04	-0.620157	2
2.81177E+00	20	3.32744598388672	1.85081E+02	1.98256E-04	-4.04183E-06	1.98297E-04	-1.16793	2
2.22300E+00	20	3.32745718955994	1.92026E+02	1.99962E-04	-5.18701E-06	2.00029E-04	-1.48592	2
1.75751E+00	20	3.32742881774902	1.99452E+02	2.00052E-04	-8.21769E-06	2.00220E-04	-2.35227	2
