CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8CbaRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G9t+8HqE0msQZLSwFpQkSWcWU7TOT/rcSHmNJPWExfWQ8LW/DULrPjO6sWeY09cx/a9G8eyFu2m33Rcz256ALzmddNtObbroY74ldK9NRD0OadsdQisHmdS8NRa8FSSDT0/A+s0aDWuG67tti3Lmic7Gjh+YLeCVhud2O0ok+dn0dt+SsSOZAH8zQ97Go76y2gUL+LB7JfhReOiKyVlOUljKkMb8CiLZvQPupLhXORUEaNTQqMJX1O1YS4IWw7E8/I2dGz7hBkDgxpYIgHTcn2QMJIqwm7aDmokbEOXt8lmqzRqOEnWBhrzVwN1c8kjFjqGMFPLyitH2UglFeBTuwITE4xNoJ3DaPTjZXSnNOAv8m7hsxIsDOtTSboRcBDk1I4jg8k4ZaZUJHytuQw39GlKDkquiGpF+DqIlM1fk1XhV5ww2t3tR+CNgX6FwCpfvpCMjqq/Iz/KxiAaDkiaoQ2oBLLLVBV4eCZB45Tv6VflV29LV38WmnVioYinPGEyU7BP1/lKPiTC0MflkBSR7+VCQMUdcbHmflx0T4rGUTVxWjZuwRmUpymDaSFjYF/HqYRtswic0K+AawLPBC0T+CZom6CjAOYQik5Vn6OiaTLuJ8b7xLRUAZqM/4lph9cfmI5iJoTBFCiMu6eEtm0Q3kdCH9QgtGGDaH8kOmW30DsCJToMvvfG339yG/0bv+HZDWe7tJ12U77JQmpK5Pb/pYoJFaoqhYyVfRCT3T6l2DiiHA+aQhmd87t894ir8Bsx8pjS7luiq7oszCMRjV4ybCrg7lf7BUlzKH0YtDcwgn3f71y3HU95EEu+j17QoVIH2sM44dzEttQ98KJ6KMQ5rAID0X8vvHggiYzpirN1oeMd9P4LWVHRG1hAKewPzLJWWe1GMxWvIvR+cc/Sw4itSlhUB6rQYnYlE30QqtxuKf2jWWVM4OwEj2wFdKgw3qUfszw9uqA9NpnfEsIf+XOiQ2GwDNkSQ0XBVQN7tRMeULqremQfdrRiuOlgTGRqhpXOwfTXclUM6NfbH6dcP9kkEi6yHedyaxxG8ePpoMdzSC8GHIeiun50EDaMC4VLc1AqsYQL9kjAcJZkQt5gAecM5DAq7r/3i6EAveuEbY4MTF3+Gu8pXRcOVgnV4en9XpnK5T6Xx60a6vtD1XqPpqkuua6gBKYa5BJ+jhv6lGWJPISd5jUiCGsKMd+ELkLVAig1i3Q+8X9OYb67GIYYfGOh2z5WcJXeIZVKrnRTr6szHbkZhxjBuTXr6XvyP14ZoyzDJgbpss+1xinJs6ptC46nRJRivcMqpZma5n36RPJURkUnKgCX3hWYHLEnHhSXTH3XvbSvumhN5muKMHDx9rjCd0hCUuNdhbfKlXqOGCROnSt98QW+DY+xXDyRFbUw7oFVffBOK6JvsuqDbJyfPVB40MhPa5YLa2itfvvjsoZ+1ruXtS8JyeqLyxqmvg7T4bL27ef6/XbXXO3+/guBiYb9WiRETTURPPHY2iqmafYP5yTa5ZoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.24942302703857	1.01282E+01	5.21122E-04	1.03117E-03	1.15537E-03	63.1892	2
7.90604E+02	20	3.24950838088989	1.72573E+01	4.64672E-04	8.50685E-04	9.69322E-04	61.3552	2
6.25055E+02	20	3.24948120117188	2.45625E+01	4.08366E-04	7.04063E-04	8.13921E-04	59.8857	2
4.94171E+02	20	3.24940896034241	3.20686E+01	3.62975E-04	5.87832E-04	6.90867E-04	58.3055	2
3.90694E+02	20	3.24937629699707	3.97962E+01	3.44727E-04	4.88107E-04	5.97566E-04	54.7683	2
3.08884E+02	20	3.24949550628662	4.78334E+01	3.10367E-04	4.18571E-04	5.21085E-04	53.4434	2
2.44205E+02	20	3.24941468238831	5.84534E+01	2.88997E-04	3.52238E-04	4.55622E-04	50.6325	2
1.93070E+02	20	3.24925351142883	6.69355E+01	2.66504E-04	2.96554E-04	3.98708E-04	48.055	2
1.52642E+02	20	3.24934530258179	7.59891E+01	2.43773E-04	2.42432E-04	3.43801E-04	44.842	2
1.20679E+02	20	3.24935364723206	8.45361E+01	2.28962E-04	2.06226E-04	3.08144E-04	42.0093	2
9.54095E+01	20	3.24925565719604	9.03348E+01	2.16453E-04	1.70392E-04	2.75473E-04	38.21	2
7.54312E+01	20	3.24933433532715	9.63731E+01	2.04572E-04	1.42199E-04	2.49139E-04	34.8034	2
5.96362E+01	20	3.24940633773804	1.02158E+02	1.96933E-04	1.16999E-04	2.29067E-04	30.7148	2
4.71487E+01	20	3.24940061569214	1.08289E+02	1.88529E-04	8.75611E-05	2.07870E-04	24.9122	2
3.72759E+01	20	3.24943947792053	1.14667E+02	1.85718E-04	7.31501E-05	1.99605E-04	21.4984	2
2.94705E+01	20	3.24946165084839	1.21311E+02	1.82792E-04	5.33404E-05	1.90416E-04	16.2677	2
2.32995E+01	20	3.24948048591614	1.27911E+02	1.81419E-04	4.31343E-05	1.86476E-04	13.3744	2
1.84207E+01	20	3.24948239326477	1.33914E+02	1.81414E-04	3.24387E-05	1.84292E-04	10.1379	2
1.45635E+01	20	3.24950098991394	1.40271E+02	1.80148E-04	2.24272E-05	1.81539E-04	7.09641	2
1.15140E+01	20	3.24951100349426	1.47023E+02	1.81138E-04	1.55005E-05	1.81800E-04	4.89105	2
9.10298E+00	20	3.24952387809753	1.53077E+02	1.81478E-04	1.20674E-05	1.81879E-04	3.80429	2
7.19686E+00	20	3.24952697753906	1.59439E+02	1.83274E-04	6.23365E-06	1.83380E-04	1.94803	2
5.68987E+00	20	3.24953985214233	1.66205E+02	1.83701E-04	2.03053E-06	1.83713E-04	0.633289	2
4.49843E+00	20	3.24954462051392	1.72268E+02	1.84203E-04	-2.35862E-07	1.84203E-04	-0.0733643	2
3.55648E+00	20	3.24955534934998	1.78569E+02	1.86732E-04	-4.07233E-06	1.86777E-04	-1.24933	2
2.81177E+00	20	3.24959087371826	1.85112E+02	1.86948E-04	-5.06433E-06	1.87017E-04	-1.55173	2
2.22300E+00	20	3.24957060813904	1.92055E+02	1.88737E-04	-8.48163E-06	1.88928E-04	-2.57307	2
1.75751E+00	20	3.24959111213684	1.99476E+02	1.90439E-04	-1.06088E-05	1.90734E-04	-3.18847	2
1.38950E+00	20	3.24967980384827	2.07463E+02	1.91512E-04	-1.36340E-05	1.91997E-04	-4.0721	2
1.09854E+00	20	3.24971222877502	2.16246E+02	1.94238E-04	-1.53928E-05	1.94847E-04	-4.53104	2
8.68511E-01	20	3.24963808059692	2.23735E+02	1.95464E-04	-1.73787E-05	1.96235E-04	-5.0808	2
6.86649E-01	20	3.24970269203186	2.31834E+02	1.97522E-04	-1.97429E-05	1.98506E-04	-5.70791	2
5.42867E-01	20	3.24988484382629	2.40721E+02	1.99602E-04	-2.31778E-05	2.00943E-04	-6.62354	2
4.29193E-01	20	3.25008702278137	2.48248E+02	2.02163E-04	-2.88563E-05	2.04213E-04	-8.12338	2
3.39322E-01	20	3.25021648406982	2.56387E+02	2.05027E-04	-3.39468E-05	2.07819E-04	-9.40129	2
2.68270E-01	20	3.25031304359436	2.65417E+02	2.10588E-04	-3.88124E-05	2.14134E-04	-10.4427	2
2.12095E-01	20	3.25035977363586	2.75537E+02	2.16324E-04	-4.41714E-05	2.20788E-04	-11.5406	2
1.67683E-01	20	3.2503023147583	2.86928E+02	2.22386E-04	-5.03966E-05	2.28025E-04	-12.7686	2
1.32571E-01	20	3.2501916885376	2.99874E+02	2.29104E-04	-5.68873E-05	2.36061E-04	-13.9447	2
1.04811E-01	20	3.25005269050598	3.14825E+02	2.36375E-04	-6.40001E-05	2.44886E-04	-15.15	2
8.28642E-02	20	3.24987316131592	3.32487E+02	2.44481E-04	-7.25316E-05	2.55014E-04	-16.5243	2
6.55128E-02	20	3.24969053268433	3.53363E+02	2.53702E-04	-8.25316E-05	2.66789E-04	-18.0201	2
5.17947E-02	20	3.24948024749756	3.78262E+02	2.64208E-04	-9.41213E-05	2.80472E-04	-19.6079	2
4.09491E-02	20	3.24922919273376	4.08288E+02	2.76536E-04	-1.07710E-04	2.96772E-04	-21.2808	2
3.23746E-02	20	3.24894380569458	4.44802E+02	2.90684E-04	-1.23165E-04	3.15701E-04	-22.9628	2
2.55955E-02	20	3.24864721298218	4.89473E+02	3.07607E-04	-1.40485E-04	3.38169E-04	-24.5463	2
2.02359E-02	20	3.24830937385559	5.44503E+02	3.27137E-04	-1.60008E-04	3.64172E-04	-26.0639	2
1.59986E-02	20	3.24791359901428	6.12621E+02	3.50475E-04	-1.82566E-04	3.95175E-04	-27.5155	2
1.26485E-02	20	3.24752736091614	6.97294E+02	3.76981E-04	-2.06199E-04	4.29689E-04	-28.6776	2
1.00000E-02	20	3.24714016914368	8.03622E+02	4.09157E-04	-2.31408E-04	4.70064E-04	-29.4913	2
