CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBcubaT84ECg6EDLEpbuHh0JueBCdhObOk5bjvpU+wj7ZDtjJ8S0u5tf+T6PZ8Zzs7917AdrQCSxhnFCfWtJRRZzZjlN5/ysz4VY0ExaT1xYDzHb8NfMt6I7qx95jj11Hbvt3TiWtew0203H9eymB8BrXjfdlmO7HuqIXindW0NBn3PK1gff6nMmBU+sJU8k2dLzM7BO/VbjuuHabseyrEWcUt/xfK/t2zY6kaaUyfOz8G0/IyIlmQ9/i8OeBuPBKhxHy2g4/2V00bjoSUlZTpKIysAGPM7COf2DrmWwEDlVxPiU0GjKN1RtWAjCVkPxvLoNHNs+YSbAoAYWS8C0XB/GjCSKsJu2gxoJ29LVbbzdKY0aTuONgSb81UC9XPKQBY4hzNSy8spRNhJJBfjUqcDUBBMTaOcwGoNoFd4pDfiLvFv4rAQLw/pUkm4FHAQ5tePIYDJOmRkVMd9oLsMNA5qQg5IroloRbR1Eyhav8brwK4oZ7aX7MXhjoF8hsMqXLySj4+rvyI+zCYgGQ5JkaAMqgaSZqgIPzyRolPA9/ar86u/o+s9Cs04sFPGMx0xmCg7oJl/Lh1gY+rgckSLy/VwIqLgjLtbcj4vuSdE4qiZOy8YtOIPyNGUwLWQM3NZxKmHHLAInaFfANYFngpYJ2ibomKCrAOYQik5Vn6OiaTLuJ8b7xLRUAZpM+xPTCa4/MF3FTAmDKVAYd08JbdsgvI+EPqhBaMMG0flIdMtuoXcESnTkf+9Pvv/kNgY37YZnN5zdynbaTfkmC6kZkbv/lyomVKCqFDJW9kFE0n1CsXFEOR40hTI653d5+oir8Bsy8pjQ3lusq7oszCMRjl8ybCrg7tf7JUlyKP2m22m1una723W9m5sb5UEk+T58QYdKHWgP44RzE9tS98CL6qEA57AKDET/vfDigcQyomvONoWOd9D7L2RFhW9gAaWwPzDLWmW1G81UvIrQ+8U9Sw5jti5hUR2oQovZlUz4Qahyu6X0j+eVMYGzEzyyFdChwniXfszz5OiC9thkfosJf+TPsQ6FwTJkSwwVBVcN7NVOeEDpruqTfdDViuGmgzGRqRlWOgfTX8tVMaBfb3+ccoN4G0u4yFLO5c44jOIns2Gf55BeDDgORXX96CBsGRcKl+agVCIJF+yRgOEsyZS8wQLOGchhWNx/7xcjAXo3MdseGZi6/DXaU7opHKwSqsPT/70ylct9Lo9bNdT3h6r1Pk0SXXI9QQlMNcgl/Bw3DCjLYnkIus1rRBDWBGK+DVyEqgVQah7qfOL/gsJ8dzEMEfjGArdzrOAqvSMqlVzppl5XZzpycw4xgnNr1tP35H+8MsZZhk0M0mWfa40zkmdV2xYcT4goxfqHdUIzNc0H9InkiQyLTlQALr0rMDlmT9wvLpl62ru0r3poTeYbitB38fa4wndITBLjXYW3ypV6jhgkTp0rffH5bXhLRbl4ImtqYdx9q/rgnVZE32TVB9k4P3ug8KCRn9YsF9bQWv32x2UN/az3LmtfYpLVl5c1TH0dpsNl7dvP9ftd2lynf/+FwESjQS0UoqaaCJ54bGMV0zT7Bz55kPCaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.26450276374817	1.01072E+01	5.29126E-04	1.03607E-03	1.16336E-03	62.9464	2
7.90604E+02	20	3.26461243629456	1.72388E+01	4.72885E-04	8.53110E-04	9.75406E-04	61.0001	2
6.25055E+02	20	3.26455807685852	2.45452E+01	4.22541E-04	7.17141E-04	8.32365E-04	59.4933	2
4.94171E+02	20	3.26468014717102	3.20465E+01	3.71314E-04	5.85687E-04	6.93472E-04	57.6261	2
3.90694E+02	20	3.26456379890442	3.97876E+01	3.46260E-04	4.99573E-04	6.07840E-04	55.2737	2
3.08884E+02	20	3.26468467712402	4.78111E+01	3.11589E-04	4.13334E-04	5.17623E-04	52.9894	2
2.44205E+02	20	3.2645092010498	5.84477E+01	2.93741E-04	3.54962E-04	4.60741E-04	50.3913	2
1.93070E+02	20	3.26456928253174	6.69142E+01	2.70653E-04	3.00308E-04	4.04275E-04	47.9733	2
1.52642E+02	20	3.26469731330872	7.59509E+01	2.47847E-04	2.45636E-04	3.48949E-04	44.7433	2
1.20679E+02	20	3.26471781730652	8.45107E+01	2.31546E-04	2.09887E-04	3.12516E-04	42.191	2
9.54095E+01	20	3.26475071907043	9.03051E+01	2.18373E-04	1.73561E-04	2.78945E-04	38.4774	2
7.54312E+01	20	3.26472401618958	9.63611E+01	2.07838E-04	1.44504E-04	2.53136E-04	34.8097	2
5.96362E+01	20	3.26468253135681	1.02142E+02	1.98481E-04	1.19248E-04	2.31549E-04	30.9977	2
4.71487E+01	20	3.26472401618958	1.08279E+02	1.89800E-04	8.86827E-05	2.09496E-04	25.044	2
3.72759E+01	20	3.26468420028687	1.14654E+02	1.86772E-04	7.39136E-05	2.00865E-04	21.5908	2
2.94705E+01	20	3.2646758556366	1.21297E+02	1.83683E-04	5.42848E-05	1.91536E-04	16.4643	2
2.32995E+01	20	3.26472449302673	1.27888E+02	1.82299E-04	4.47161E-05	1.87703E-04	13.782	2
1.84207E+01	20	3.26473689079285	1.33872E+02	1.82998E-04	3.33214E-05	1.86007E-04	10.3197	2
1.45635E+01	20	3.26471161842346	1.40219E+02	1.81502E-04	2.32745E-05	1.82988E-04	7.30731	2
1.15140E+01	20	3.26472020149231	1.46964E+02	1.81369E-04	1.60361E-05	1.82076E-04	5.05279	2
9.10298E+00	20	3.2647500038147	1.53019E+02	1.82075E-04	1.18256E-05	1.82459E-04	3.71607	2
7.19686E+00	20	3.26478099822998	1.59379E+02	1.83350E-04	6.69881E-06	1.83472E-04	2.09241	2
5.68987E+00	20	3.26472115516663	1.66144E+02	1.84399E-04	2.83152E-06	1.84421E-04	0.879732	2
4.49843E+00	20	3.2647762298584	1.72204E+02	1.84814E-04	-9.49071E-07	1.84816E-04	-0.294228	2
3.55648E+00	20	3.26474952697754	1.78513E+02	1.85817E-04	-3.92524E-06	1.85858E-04	-1.21015	2
2.81177E+00	20	3.26477789878845	1.85054E+02	1.87314E-04	-6.04549E-06	1.87411E-04	-1.84856	2
2.22300E+00	20	3.26480460166931	1.91999E+02	1.89146E-04	-8.29373E-06	1.89328E-04	-2.51071	2
1.75751E+00	20	3.26479983329773	1.99430E+02	1.90615E-04	-1.08094E-05	1.90921E-04	-3.24565	2
1.38950E+00	20	3.26485872268677	2.07417E+02	1.92146E-04	-1.26135E-05	1.92560E-04	-3.7558	2
1.09854E+00	20	3.26487374305725	2.16204E+02	1.94234E-04	-1.47749E-05	1.94795E-04	-4.34997	2
8.68511E-01	20	3.26480937004089	2.23685E+02	1.95956E-04	-1.66912E-05	1.96665E-04	-4.86861	2
6.86649E-01	20	3.26483821868896	2.31774E+02	1.97675E-04	-1.93358E-05	1.98618E-04	-5.58669	2
5.42867E-01	20	3.26502966880798	2.40654E+02	1.99675E-04	-2.32465E-05	2.01023E-04	-6.64058	2
4.29193E-01	20	3.26516485214233	2.48178E+02	2.02207E-04	-2.74704E-05	2.04065E-04	-7.73643	2
3.39322E-01	20	3.26535725593567	2.56325E+02	2.05940E-04	-3.35042E-05	2.08647E-04	-9.24046	2
2.68270E-01	20	3.2654504776001	2.65364E+02	2.10795E-04	-3.78959E-05	2.14174E-04	-10.1915	2
2.12095E-01	20	3.26551151275635	2.75474E+02	2.16316E-04	-4.32613E-05	2.20599E-04	-11.3094	2
