CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQPEhi6+ZAXowWvLibB24lqu0y4WMLg2Y6uVSIeikniRr+on9Ms6Q0oWnbTVk87hcGY4N/Jrz36wRkQSa5yk1LeWVOQJZ5bTds7PhlyIBc2l9ciF9ZCwDX/JfSu+s4ax59hT17G73ifHspa9drftuJ7d9gB47eu223Fs10Md8Qule2ss6FNB2frgW0POpOCpteSpJFt6fgbWqd9pXbdc2+1ZlrVIMuo7rm93fcdDJ7KMMnl+Fr7uZ0RkJPfhb3HY0yAarcIoXsbj+S83F62LgZSUFSSNqQxswFEezukfdC2DhSioIqJTQqMp31C1YSEIW43F0+o2cGz7hJkAgxpYIgHTan2cMJIqwm7bDmokbEtXt8l2pzRqOE02BprwFwMNCslDFjiGMFPLyitH2UglFeBTrwZTE0xMoJ3DaIziVXinNOAv8m7psxIsDetTSboVcBDk1I4jg8k4ZWZUJHyjuRw3jGhKDkqujGpNdHUQKVu8JOvSrzhhdJDtI/DGQL9CYJUvn0lOo/rvyEf5BESDMUlztAGVQLJcVYGHZxI0TvmeflF+DXd0/WepWScWinjGEyZzBUd0U6zlQyIMfVzekDLyw0IIqLgjLtfc94vuSdE4qiZOy8YtOYPyNGUwHWQM3NVxqmDPLAIn6NbANYFngo4JuibomaCvAOYQik5Vn6OiaTLuB8b7wHRUAZpM9wPTC67fMX3FTAmDKVAad08JbdsgvPeEPqhBaMMG0XtP9KtuoXcESvTG/zacfPvJbY0+dVue3XJ2K9vptOWrLKVmRO7+X6qcUIGqUshY1QcxyfYpxcYR1XjQFMronN8V2Xdchd+Qke8pHbwmuqqrwjwSYfScY1MBd7/eL0laQOm33Wu33+v0+p7rebanPIgl34fP6FClA+1hnHBuYlvqHnhWPRTgHFaBgei/lV48kETGdM3ZptTxBnr/hayp8BUsoBT2B2ZZq6x3o5maVxF6u7hn6SFi6wqW1YEqtJhdy4TvhGq3O0p/NK+NCZyd4JGtgA4VxrvyY16kRxe0xybzW0L4d/6U6FAYLEO2wlBRcNXAXu2EB5TuqiHZB32tGG46GBO5mmGVczD9tVwdA/rl9scpN0q2iYSLLONc7ozDKH4yGw95AenFgONQVNePDsKWcaFwZQ5KJZZwwR4JGM6STMkrLOCcgRyG5f33dnEjQO8mYdsjA1OXv8R7Sjelg3VCdXiGv9emCrkv5HGrhvr+ULU+pGmqS24gKIGpBrmEn+OGEWV5Ig9Bv32NCMKaQsy3gYtQtQBKzUOdT/xfUJjvLoYhBt9Y4PaOFVyn94ZKJVe5qdfVmY7cnEOM4Nya9fQ9+R+vjCjPsYlBuupzrXFGirxu25LjKRGV2PCwTmmupvmIPpIilWHZiQrApXcFJiP2yP3ykmlmg0v7aoDWZLGhCH0Xb48rfIckJDXeVXirXKnniEHi1LnSF5/fteExVohHsqYWxt236g/eaWX0TVZ9kI3zswcKDxr5Yc1yYQ2tNW9/XDbQz+bgsvE5IXlzednA1DdhOlw2vv7cvN9l7XX2918ITHQzaoRCNFQTwROPbaxymub/ACRKJ4OaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28283071517944	1.01152E+01	4.99565E-04	1.01408E-03	1.13045E-03	63.7738	2
7.90604E+02	20	3.28285908699036	1.72467E+01	4.55480E-04	8.43559E-04	9.58673E-04	61.6331	2
6.25055E+02	20	3.28275084495544	2.45426E+01	4.14758E-04	6.98342E-04	8.12223E-04	59.2932	2
4.94171E+02	20	3.28271770477295	3.20485E+01	3.74300E-04	5.92419E-04	7.00757E-04	57.7146	2
3.90694E+02	20	3.28270959854126	3.97813E+01	3.39620E-04	4.87947E-04	5.94503E-04	55.1614	2
3.08884E+02	20	3.2826976776123	4.78093E+01	3.14284E-04	4.15418E-04	5.20910E-04	52.8908	2
2.44205E+02	20	3.28284311294556	5.84474E+01	2.89197E-04	3.50905E-04	4.54719E-04	50.5065	2
1.93070E+02	20	3.28287148475647	6.69107E+01	2.66787E-04	2.96207E-04	3.98640E-04	47.9913	2
1.52642E+02	20	3.2828049659729	7.59763E+01	2.44264E-04	2.42158E-04	3.43955E-04	44.752	2
1.20679E+02	20	3.28297090530396	8.45263E+01	2.29955E-04	2.05771E-04	3.08579E-04	41.8232	2
9.54095E+01	20	3.28279447555542	9.03216E+01	2.16971E-04	1.69199E-04	2.75145E-04	37.9478	2
7.54312E+01	20	3.28287482261658	9.63617E+01	2.04935E-04	1.41422E-04	2.48995E-04	34.6089	2
5.96362E+01	20	3.28278541564941	1.02151E+02	1.97713E-04	1.16959E-04	2.29717E-04	30.6069	2
4.71487E+01	20	3.28282809257507	1.08282E+02	1.89793E-04	8.66878E-05	2.08653E-04	24.5485	2
3.72759E+01	20	3.28282523155212	1.14657E+02	1.87914E-04	7.27429E-05	2.01502E-04	21.1618	2
2.94705E+01	20	3.28286457061768	1.21303E+02	1.84551E-04	5.23353E-05	1.91828E-04	15.8324	2
2.32995E+01	20	3.28285980224609	1.27886E+02	1.82074E-04	4.33906E-05	1.87173E-04	13.4043	2
1.84207E+01	20	3.28285217285156	1.33882E+02	1.82131E-04	3.27599E-05	1.85054E-04	10.1968	2
1.45635E+01	20	3.28287267684937	1.40232E+02	1.82663E-04	2.17310E-05	1.83951E-04	6.78447	2
1.15140E+01	20	3.28290843963623	1.46972E+02	1.81977E-04	1.53332E-05	1.82622E-04	4.81631	2
9.10298E+00	20	3.28288674354553	1.53028E+02	1.82865E-04	1.18431E-05	1.83248E-04	3.70554	2
7.19686E+00	20	3.28292202949524	1.59389E+02	1.84386E-04	6.52812E-06	1.84502E-04	2.02769	2
5.68987E+00	20	3.28290247917175	1.66160E+02	1.85268E-04	1.96571E-06	1.85279E-04	0.607888	2
4.49843E+00	20	3.28289937973022	1.72228E+02	1.86651E-04	-2.36431E-06	1.86666E-04	-0.725729	2
3.55648E+00	20	3.282963514328	1.78533E+02	1.87922E-04	-3.47525E-06	1.87954E-04	-1.05945	2
2.81177E+00	20	3.28296756744385	1.85073E+02	1.88396E-04	-5.46683E-06	1.88475E-04	-1.66213	2
2.22300E+00	20	3.28299736976624	1.92015E+02	1.89817E-04	-7.22303E-06	1.89954E-04	-2.17921	2
1.75751E+00	20	3.28298330307007	1.99444E+02	1.91320E-04	-9.80416E-06	1.91571E-04	-2.93355	2
