CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQPEhi6+rQA9eG3ZMdZOXMt12sUCBtdmbLUS6VBUEi/yVf2EfllnSMmik7Z60jkczgznRn7t2A/WkEhijeKE+taKiizmzHKazuXFgAuxpJm0HrmwHmK25S+Zb0V31iDyHHvmOnbb++RY1qrTbDcd17ObHgCv2Wu6Lcd2PdQRvVB6sEaCPuWUbY6+NeBMCp5YK55IsqOXF2Cd+q1Gr+HabseyrGWcUt+xfa/tux10Ik0pk5cX4ethTkRKMh/+lscDDSbDdTiJVtFo8cv4qnHVl5KynCQRlYENeJKFC/oH3chgKXKqiMk5odGMb6nasBSErUfiaX0bOLZ9xkyBQQ0sloBpuT6KGUkUYTdtBzUStqPr23i3Vxo1nMVbA035i4H6ueQhCxxDmKll5ZWjbCSSCvCpU4GZCaYm0M5hNIbROrxTGvAXebfwWQkWhvWpJN0JOAhyaseJwWScM3MqYr7VXIYbhjQhRyVXRLUi2jqIlC1f4k3hVxQz2k8PE/DGQL9CYJUvn0lGJ9XfiZ9kUxANRiTJ0AZUAkkzVQUenknQKOEH+kX5NdjTzZ+FZp1YKOI5j5nMFBzSbb6RD7Ew9HE5JkXkB7kQUHEnXKy57xfds6JxVE2cl41bcAblacpgWsgYuK3jVMKOWQRO0K6AawLPBC0TtE3QMUFXAcwhFJ2qPkdF02TcD4z3gWmpAjSZ9gemE/TeMV3FzAiDKVAYd88JbdsgvPeEPqhBaMMG0XlPdMtuoXcESnTsfxtMv/3kNoaf2g3Pbjj7te14TfkqC6k5kfv/lyomVKCqFDJW9kFE0kNCsXFEOR40hTI653d5+h1X4Tdk5HtC+6+xruqyME9EOHnOsKmAu98cViTJofSbbq/r4Bzuth3b6ykPIskP4TM6VOpAexgnnJvYlroHnlUPBTiHVWAg+m+FFw8klhHdcLYtdLyB3n8hKyp8BQsohf2BWdYqq91opuJVhN6u7llynLBNCYvqQBVazK5kwndCldstpX+yqIwJnJ3gka2ADhXGu/RjkScnF7THJvNbTPh3/hTrUBgsQ7bEUFFw1cBe7YQHlO6qATkEXa0YbjoYE5maYaVzMP21XBUD+uX2xzk3jHexhIss5VzujcMofjofDXgO6cWA41BU148Owo5xoXBpDkolknDBnggYzpLMyCss4JyBHIbF/fd2NRagdxuz3YmBqctfogOl28LBKqE6PIPfK1O5POTytFVDfX+oWh/QJNEl1xeUwFSDXMLPacOQsiyWx6Db7CGCsCYQ813gIlQtgFKLUOcT/5cU5ruLYYjANxa4nVMFV+kdU6nkSjf1ujrTiVtwiBGcW7Oevif/45UxyTJsYpAu+1xrnJM8q9q24HhCRCk2OG4SmqlpPqSPJE9kWHSiAnDp3YDJCXvkfnHJ1NP+tX3TR2sy31KEvou3xw2+Q2KSGO8qvFVu1HPEIHHq3OiLz2/b8BjLxSPZUAvj7lvVB++0Ivomqz7IxuXFA4UHjfywZrmwhtbqtz+ua+hnvX9d+xyTrL66rmHq6zAdrmtff67f79PmJv37LwQmGg9roRA11UTwxGNbq5im2T/Td/rlmgoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28717160224915	1.01394E+01	5.08767E-04	1.02201E-03	1.14164E-03	63.5354	2
7.90604E+02	20	3.28715324401855	1.72589E+01	4.49892E-04	8.48899E-04	9.60745E-04	62.0777	2
6.25055E+02	20	3.2872154712677	2.45601E+01	4.10908E-04	6.99825E-04	8.11542E-04	59.5803	2
4.94171E+02	20	3.28711128234863	3.20664E+01	3.77743E-04	5.89597E-04	7.00224E-04	57.3531	2
3.90694E+02	20	3.28707671165466	3.97959E+01	3.44930E-04	4.90978E-04	6.00030E-04	54.9105	2
3.08884E+02	20	3.28720784187317	4.78241E+01	3.10369E-04	4.09787E-04	5.14057E-04	52.86	2
2.44205E+02	20	3.28728055953979	5.84482E+01	2.89866E-04	3.50567E-04	4.54884E-04	50.4144	2
1.93070E+02	20	3.2871572971344	6.69179E+01	2.68189E-04	2.96333E-04	3.99674E-04	47.8541	2
1.52642E+02	20	3.28715968132019	7.59657E+01	2.45775E-04	2.41587E-04	3.44630E-04	44.5077	2
1.20679E+02	20	3.28731536865234	8.45151E+01	2.30701E-04	2.05713E-04	3.09097E-04	41.723	2
9.54095E+01	20	3.28735423088074	9.03056E+01	2.18626E-04	1.69435E-04	2.76596E-04	37.7756	2
7.54312E+01	20	3.28734874725342	9.63492E+01	2.05668E-04	1.42179E-04	2.50028E-04	34.6563	2
5.96362E+01	20	3.2873272895813	1.02142E+02	1.98856E-04	1.16810E-04	2.30626E-04	30.4305	2
4.71487E+01	20	3.28734111785889	1.08277E+02	1.89734E-04	8.71112E-05	2.08776E-04	24.661	2
3.72759E+01	20	3.28732991218567	1.14660E+02	1.87055E-04	7.28154E-05	2.00728E-04	21.2696	2
2.94705E+01	20	3.28733539581299	1.21312E+02	1.83919E-04	5.31217E-05	1.91437E-04	16.1104	2
2.32995E+01	20	3.28732585906982	1.27894E+02	1.84300E-04	4.34375E-05	1.89350E-04	13.262	2
1.84207E+01	20	3.28736543655396	1.33894E+02	1.82079E-04	3.43244E-05	1.85286E-04	10.6758	2
1.45635E+01	20	3.28736138343811	1.40234E+02	1.82277E-04	2.22319E-05	1.83628E-04	6.95386	2
1.15140E+01	20	3.28742861747742	1.46993E+02	1.83085E-04	1.50787E-05	1.83705E-04	4.7082	2
9.10298E+00	20	3.28740453720093	1.53044E+02	1.83326E-04	1.20263E-05	1.83720E-04	3.75328	2
7.19686E+00	20	3.28741526603699	1.59411E+02	1.84431E-04	6.63658E-06	1.84550E-04	2.06085	2
5.68987E+00	20	3.28739094734192	1.66183E+02	1.85070E-04	3.31652E-06	1.85100E-04	1.02665	2
4.49843E+00	20	3.2874231338501	1.72252E+02	1.85298E-04	-1.11228E-06	1.85301E-04	-0.343923	2
3.55648E+00	20	3.28740572929382	1.78551E+02	1.87112E-04	-4.21721E-06	1.87160E-04	-1.29114	2
2.81177E+00	20	3.28740978240967	1.85094E+02	1.88148E-04	-5.35836E-06	1.88224E-04	-1.63131	2
2.22300E+00	20	3.28744435310364	1.92043E+02	1.89419E-04	-8.38938E-06	1.89604E-04	-2.53598	2
1.75751E+00	20	3.28741002082825	1.99487E+02	1.91205E-04	-9.87363E-06	1.91460E-04	-2.95606	2
