CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB9CIVIuOBAoOtCyhKW7R0dCLrg0u8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G9t+94aEEmsYZLSwFpSkSWcWU7TOT/rcyEWNJPWIxfWfcI2/DULrPjW6seeY09dx/a9rmNZy3bTbzquZzc9AF6z03Rbju16qCN+pXRvDQV9zilbHwKrz5kUPLWWPJVkS8/PwDoNWo1Ow7XdtmVZi2RHA7sb2H7gddGJ3Y4yeX4Wve1nROxIFsDf4rCn4XiwisbxMh7OfxldNC56UlKWkzSmMrQBj7NoTv+gaxkuRE4VMT4lNJryDVUbFoKw1VA8r25Cx7ZPmAkwqIElEjAt14cJI6ki7KbtoEbCtnR1k2yflEYNp8nGQBP+aqBeLnnEQscQZmpZeeUoG6mkAnxqV2BqgokJtHMYjUG8im6VBvxF3i18VoKFYX0qSbcCDoKc2nFkMBmnzIyKhG80l+GGAU3JQckVUa0IXweRssVrsi78ihNGe7v9GLwx0K8QWOXLF5LRcfV35MfZBETDIUkztAGVQHaZqgIPzyRonPI9/ar86j/R9Z+FZp1YKOIZT5jMFBzQTb6W94kw9HE5IkXk+7kQUHFHXKy5Hxfdk6JxVE2clo1bcAblacpgWsgY2NdxKmHbLAIn9CvgmsAzQcsEvgnaJrhWAHMIRaeqz1HRNBn3E+N9YlqqAE3G/8S0w84H5loxU8JgChTG3VNC2zYI7yOhD2oQ2rBBtD8S12W30FsCJToKvvcn339yG4Ou3/DshvO0sh23Kd9kITUj8un/pYoJFaoqhYyVfRCT3T6l2DiiHA+aQhmd89t894Cr8Bsx8pDS3luiq7oszCMRjV8ybCrg7tb7JUlzKP2m27nuer7rt7t+x9Y9GUu+j17QoVIH2sM44dzEttQ98KJ6KMQ5rAID0X8vvLgniYzpmrNNoeMd9P4LWVHRG1hAKewPzLJWWe1GMxWvIvR+ccfSw5itS1hUB6rQYnYlE30QqtxuKf3jeWVM4OwEj2wFdKgw3qUf8zw9uqA9NpnfEsIf+HOiQ2GwDNkSQ0XBVQN7tRMeULqr+mQfXmvFcNPBmMjUDCudg+mv5aoY0K83P065QbJNJFxkO87lk3EYxU9mwz7PIb0YcByK6vrRQdgyLhQuzUGpxBIu2CMBw1mSKXmDBZwzkMOouP/eL0YC9G4Stj0yMHX5a7yndFM4WCVUh6f/e2Uql/tcHrdqqO8PVet9mqa65HqCEphqkEv4OW4YUJYl8hBeNzuIIKwpxHwbughVC6DUPNL5xP8FhfnuYhhi8I2FbvtYwVV6R1QqudJNva7OdOTmHGIE59asp+/J/3hljLMMmxikyz7XGmckz6q2LTieElGK9Q/rlGZqmg/oI8lTGRWdqABceldgcsweeVBcMvVd79K+6qE1mW8owsDF2+MK3yEJSY13Fd4qV+o5YpA4da70xRf4NjzGcvFI1tTCuAdW9cE7rYi+yaoPsnF+dk/hQSM/rVkurKG1+s2Pyxr6We9d1r4kJKsvL2uY+jpMh8vat5/rd0+75nr3918ITDQa1CIhaqqJ4InHNlYxTbN/AE92m+maCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28799438476563	1.01139E+01	4.98695E-04	1.01613E-03	1.13191E-03	63.8593	2
7.90604E+02	20	3.28798580169678	1.72396E+01	4.46779E-04	8.42879E-04	9.53969E-04	62.0736	2
6.25055E+02	20	3.28789186477661	2.45384E+01	4.14988E-04	6.96536E-04	8.10788E-04	59.214	2
4.94171E+02	20	3.28792142868042	3.20383E+01	3.67222E-04	5.80049E-04	6.86520E-04	57.6626	2
3.90694E+02	20	3.28800749778748	3.97711E+01	3.41717E-04	4.82962E-04	5.91627E-04	54.7189	2
3.08884E+02	20	3.28792452812195	4.78028E+01	3.05994E-04	4.02545E-04	5.05643E-04	52.7598	2
2.44205E+02	20	3.28789591789246	5.84246E+01	2.86623E-04	3.45688E-04	4.49058E-04	50.3366	2
1.93070E+02	20	3.28785586357117	6.69120E+01	2.65011E-04	2.91437E-04	3.93912E-04	47.7189	2
1.52642E+02	20	3.28788018226624	7.59521E+01	2.43119E-04	2.37187E-04	3.39653E-04	44.2924	2
1.20679E+02	20	3.28782796859741	8.45008E+01	2.29433E-04	2.01376E-04	3.05273E-04	41.2738	2
9.54095E+01	20	3.28799676895142	9.03118E+01	2.16247E-04	1.66483E-04	2.72910E-04	37.5918	2
7.54312E+01	20	3.28790187835693	9.63484E+01	2.04610E-04	1.38582E-04	2.47124E-04	34.1098	2
5.96362E+01	20	3.2879593372345	1.02137E+02	1.96656E-04	1.14090E-04	2.27355E-04	30.1201	2
4.71487E+01	20	3.28795051574707	1.08269E+02	1.90371E-04	8.43809E-05	2.08233E-04	23.9051	2
3.72759E+01	20	3.28798866271973	1.14643E+02	1.86854E-04	6.99391E-05	1.99514E-04	20.5208	2
2.94705E+01	20	3.28798890113831	1.21294E+02	1.84429E-04	5.22199E-05	1.91679E-04	15.8092	2
2.32995E+01	20	3.28798484802246	1.27876E+02	1.83355E-04	4.22127E-05	1.88151E-04	12.965	2
1.84207E+01	20	3.2880322933197	1.33880E+02	1.81665E-04	3.30209E-05	1.84642E-04	10.3021	2
1.45635E+01	20	3.28802633285522	1.40231E+02	1.82804E-04	2.15493E-05	1.84069E-04	6.72311	2
1.15140E+01	20	3.28805184364319	1.46974E+02	1.83142E-04	1.53961E-05	1.83788E-04	4.80536	2
9.10298E+00	20	3.28804802894592	1.53038E+02	1.84312E-04	1.18736E-05	1.84694E-04	3.68596	2
7.19686E+00	20	3.28802299499512	1.59396E+02	1.84025E-04	6.08936E-06	1.84125E-04	1.89522	2
5.68987E+00	20	3.28805184364319	1.66163E+02	1.84794E-04	2.57006E-06	1.84811E-04	0.796802	2
4.49843E+00	20	3.28805541992188	1.72225E+02	1.85965E-04	1.89545E-08	1.85965E-04	0.00583989	2
3.55648E+00	20	3.28804445266724	1.78530E+02	1.87069E-04	-3.64010E-06	1.87105E-04	-1.11475	2
2.81177E+00	20	3.28806972503662	1.85083E+02	1.88539E-04	-4.97125E-06	1.88605E-04	-1.51038	2
2.22300E+00	20	3.28809475898743	1.92031E+02	1.89423E-04	-7.96696E-06	1.89591E-04	-2.40838	2
1.75751E+00	20	3.28814697265625	1.99449E+02	1.90991E-04	-9.57376E-06	1.91230E-04	-2.86965	2
