CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7iOBS+plLfIdJKXSoVlB8CTKRcMBAoGmhZwtLd0UjIAy5kN9jUcdoy6lPtI+yT7Tl2Qky7u7nK9/n4nOPzZ39t2w/WgEhiDZOUBtaSiizhzHKazuVFnwuxoJm0HrmwHhK24S9ZYMV3Vj/2HHvqOrbvfXIsa9lu+k3H9eymB8Brdptuy7FdD3XEL5QerKGgTzll62Ng9TmTgqfWkqeSbOnlBVinQavRbbi227Ysa5HsaWB3As8PfBed2O8pk5cX0ethRsSeZAH8LY4HGo4Hq2gcL+Ph/JfRVeOqJyVlOUljKkMb8DiL5vQPupbhQuRUEeNzQqMp31C1YSEIWw3F0+o2dGz7jJkAgxpYIgHTcn2YMJIqwm7aDmokbEtXt8l2pzRqOE02BprwFwP1cskjFjqGMFPLyitH2UglFeBTuwJTE0xMoJ3DaAziVXSnNOAv8m7hsxIsDOtTSboVcBDk1I4Tg8k4Z2ZUJHyjuQw3DGhKjkquiGpF+DqIlC1eknXhV5ww2tsfxuCNgX6FwCpfPpOMjqu/Ez/OJiAaDkmaoQ2oBLLPVBV4eCZB45Qf6BflV39H138WmnVioYhnPGEyU3BAN/laPiTC0MfliBSR7+dCQMWdcLHmvl90z4rGUTVxXjZuwRmUpymDaSFjYF/HqYRtswic0K+AawLPBC0T+CZom6CjAOYQik5Vn6OiaTLuB8b7wLRUAZqM/4Fph913TEcxU8JgChTG3XNC2zYI7z2hD2oQ2rBBtN8TnbJb6B2BEh0F3/qTbz+5jcEnv+HZDWe3sh2nKV9lITUjcvf/UsWEClWVQsbKPojJ/pBSbBxRjgdNoYzO+V2+/46r8Bsx8j2lvddEV3VZmCciGj9n2FTA3a8PS5LmUPpNt9ttdzqu4/udttNRHsSSH6JndKjUgfYwTjg3sS11DzyrHgpxDqvAQPTfCi8eSCJjuuZsU+h4A73/QlZU9AoWUAr7A7OsVVa70UzFqwi9Xd2z9Dhm6xIW1YEqtJhdyUTvhCq3W0r/eF4ZEzg7wSNbAR0qjHfpxzxPTy5oj03mt4Tw7/wp0aEwWIZsiaGi4KqBvdoJDyjdVX1yCDtaMdx0MCYyNcNK52D6a7kqBvTL7Y9zbpBsEwkX2Z5zuTMOo/jJbNjnOaQXA45DUV0/OghbxoXCpTkolVjCBXsiYDhLMiWvsIBzBnIYFfff29VIgN5NwrYnBqYuf4kPlG4KB6uE6vD0f69M5fKQy9NWDfX9oWq9T9NUl1xPUAJTDXIJP6cNA8qyRB7DTrOLCMKaQsy3oYtQtQBKzSOdT/xfUJjvLoYhBt9Y6LZPFVyld0Slkivd1OvqTCduziFGcG7Nevqe/I9XxjjLsIlBuuxzrXFG8qxq24LjKRGlWP+4TmmmpvmAPpI8lVHRiQrApXcDJsfskQfFJVPf967tmx5ak/mGIgxcvD1u8B2SkNR4V+GtcqOeIwaJU+dGX3yBb8NjLBePZE0tjHtgVR+804rom6z6IBuXFw8UHjTyw5rlwhpaq9/+uK6hn/Xede1zQrL68rqGqa/DdLiuff25fr/bN9f7v/9CYKLRoBYJUVNNBE88trGKaZr9A0GYpj6aCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28871941566467	1.01122E+01	5.16813E-04	1.02137E-03	1.14468E-03	63.1606	2
7.90604E+02	20	3.28873801231384	1.72376E+01	4.66778E-04	8.55180E-04	9.74277E-04	61.3732	2
6.25055E+02	20	3.28879451751709	2.45481E+01	4.16748E-04	7.07693E-04	8.21285E-04	59.5069	2
4.94171E+02	20	3.28866243362427	3.20543E+01	3.90033E-04	5.75814E-04	6.95477E-04	55.8879	2
3.90694E+02	20	3.28859782218933	3.97931E+01	3.42266E-04	4.90760E-04	5.98324E-04	55.1073	2
3.08884E+02	20	3.28876900672913	4.78332E+01	3.09900E-04	4.09636E-04	5.13653E-04	52.8916	2
2.44205E+02	20	3.28883075714111	5.84589E+01	2.92485E-04	3.52921E-04	4.58368E-04	50.3496	2
1.93070E+02	20	3.28839254379272	6.69299E+01	2.69736E-04	2.97801E-04	4.01799E-04	47.831	2
1.52642E+02	20	3.28872060775757	7.59750E+01	2.47180E-04	2.42632E-04	3.46364E-04	44.468	2
1.20679E+02	20	3.28871846199036	8.45192E+01	2.32731E-04	2.06463E-04	3.11112E-04	41.5772	2
9.54095E+01	20	3.28883004188538	9.03160E+01	2.18419E-04	1.72465E-04	2.78300E-04	38.295	2
7.54312E+01	20	3.2888011932373	9.63547E+01	2.07754E-04	1.42084E-04	2.51693E-04	34.3685	2
5.96362E+01	20	3.28878855705261	1.02140E+02	1.99060E-04	1.16853E-04	2.30823E-04	30.4139	2
4.71487E+01	20	3.28878688812256	1.08275E+02	1.91609E-04	8.65738E-05	2.10259E-04	24.3147	2
3.72759E+01	20	3.28880715370178	1.14651E+02	1.89010E-04	7.32014E-05	2.02690E-04	21.1708	2
2.94705E+01	20	3.28877234458923	1.21301E+02	1.85302E-04	5.38047E-05	1.92956E-04	16.1913	2
2.32995E+01	20	3.28880620002747	1.27887E+02	1.83272E-04	4.43670E-05	1.88565E-04	13.6085	2
1.84207E+01	20	3.28881168365479	1.33881E+02	1.82093E-04	3.47374E-05	1.85376E-04	10.8004	2
1.45635E+01	20	3.28879070281982	1.40228E+02	1.82846E-04	2.33986E-05	1.84337E-04	7.29244	2
1.15140E+01	20	3.28879904747009	1.46963E+02	1.82718E-04	1.57326E-05	1.83394E-04	4.92122	2
9.10298E+00	20	3.288813829422	1.53017E+02	1.83354E-04	1.21189E-05	1.83754E-04	3.78151	2
7.19686E+00	20	3.28880453109741	1.59384E+02	1.83762E-04	7.48820E-06	1.83915E-04	2.33347	2
5.68987E+00	20	3.28884983062744	1.66150E+02	1.85705E-04	2.57137E-06	1.85723E-04	0.793297	2
4.49843E+00	20	3.28882312774658	1.72207E+02	1.85949E-04	-7.16969E-07	1.85950E-04	-0.220916	2
3.55648E+00	20	3.2888240814209	1.78515E+02	1.87495E-04	-2.64884E-06	1.87513E-04	-0.809396	2
2.81177E+00	20	3.28888368606567	1.85055E+02	1.89216E-04	-4.37007E-06	1.89266E-04	-1.32305	2
2.22300E+00	20	3.28885722160339	1.92005E+02	1.89939E-04	-7.58927E-06	1.90090E-04	-2.28812	2
1.75751E+00	20	3.28884673118591	1.99426E+02	1.91159E-04	-9.03788E-06	1.91372E-04	-2.7069	2
1.38950E+00	20	3.28893971443176	2.07409E+02	1.92599E-04	-1.16896E-05	1.92953E-04	-3.47326	2
