CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB+ggJQLDoQ2OtCyhKW7R0dCLriQ3cSmjtOWoz7VPsI+2c7YCTHt7iIu8n0ez4znz/7WsR+sEZHEGscJ7VtLKrKYM8tpOudnQy7EgmbSeuLCeojZhr9mfSu6s4aR59hT17HbXs+xrGWn2W46rmc3PQBes9t0W47teqgjeqV0b40Ffc4pWx/61pAzKXhiLXkiyZaen4F12m81ug3XdjuWZS3ilPbtjvq30Yk0pUyenwVv+xkRKcn68LU47KkfjlZBGC2j8fyXm4vGxUBKynKSRFT6NuAwC+b0D7qW/kLkVBHhKaHRlG+o2rAQhK3G4nl16zu2fcJMgEENLJaAabk+jhlJFGE3bQc1Eralq9t4u1MaNZzGGwNN+KuBBrnkAfMdQ5ipZeWVo2wkkgrwqVOBqQkmJtDOYTRG0Sq4UxrwE3m38FkJFob1qSTdCjgIcmrHkcFknDIzKmK+0VyGG0Y0IQclV0S1Ito6iJQtXuN14VcUMzpI9yF4Y6BfIbDKly8ko2H1deTDbAKi/pgkGdqASiBppqrAwzMJGiV8T78qv4Y7uv6z0KwTC0U84zGTmYIjusnX8iEWhj4ub0gR+WEuBFTcERdr7sdF96RoHFUTp2XjFpxBeZoymBYyBm7rOJWwYxaB47cr4JrAM0HLBG0TdExwrQDmEIpOVZ+jomky7ifG+8S0VAGaTPsT0/G7H5hrxUwJgylQGHdPCW3bILyPhD6oQWjDBtH5SFyX3ULvCJToTf/7cPL9J7cx6rUbnt1wdivbsZvyTRZSMyJ3/y9VTChfVSlkrOyDiKT7hGLjiHI8aApldM7v8vQRV+EzYOQxoYO3WFd1WZhHIghfMmwq4O7X+yVJcij9ptvtdWy312v1nG7XVR5Eku+DF3So1IH2ME44N7EtdQ+8qB7ycQ6rwED03wsvHkgsI7rmbFPoeAe9/0JWVPAGFlAK+wOzrFVWu9FMxasIvV/cs+QQsnUJi+pAFVrMrmSCD0KV2y2lP5xXxgTOTvDIVkCHCuNd+jHPk6ML2mOT+S0m/JE/xzoUBsuQLTFUFFw1sFc74QGlu2pI9v61Vgw3HYyJTM2w0jmY/lquigH9evvjlBvF21jCRZZyLnfGYRQ/mY2HPIf0YsBxKKrrRwdhy7hQuDQHpRJJuGCPBAxnSabkDRZwzkAOg+L+e7+4EaB3E7PtkYGpy1+jPaWbwsEqoTo8w98rU7nc5/K4VUN9f6haH9Ik0SU3EJTAVINcwsdxw4iyLJYH/7rZRQRhTSDmW99FqFoApeaBzid+LyjMdxfDEIFvzHc7xwqu0ntDpZIr3dTr6kxHbs4hRnBuzXr6nvyPV0aYZdjEIF32udY4I3lWtW3B8YSIUmx4WCc0U9N8RJ9Insig6EQF4NK7ApMhe+L94pKpp4NL+2qA1mS+oQj7Lt4eV/gOiUlivKvwVrlSzxGDxKlzpS++ftuGx1gunsiaWhj3vlX94J1WRN9k1Q+ycX72QOFBIz+tWS6sobX67Y/LGvpZH1zWvsQkqy8va5j6OkyHy9q3n+v3u7S5Tv/+C4GJbka1QIiaaiJ44rGNVUzT7B/IAMycmgoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28962063789368	1.01119E+01	5.32359E-04	1.03257E-03	1.16173E-03	62.7259	2
7.90604E+02	20	3.28963327407837	1.72463E+01	4.66811E-04	8.56615E-04	9.75552E-04	61.4119	2
6.25055E+02	20	3.28967142105103	2.45502E+01	4.11365E-04	7.21210E-04	8.30280E-04	60.3004	2
4.94171E+02	20	3.28958320617676	3.20492E+01	3.75690E-04	5.78310E-04	6.89627E-04	56.9909	2
3.90694E+02	20	3.28967642784119	3.97773E+01	3.43468E-04	4.94387E-04	6.01987E-04	55.2109	2
3.08884E+02	20	3.28974342346191	4.78022E+01	3.13733E-04	4.14228E-04	5.19628E-04	52.86	2
2.44205E+02	20	3.28975367546082	5.84314E+01	2.94285E-04	3.55170E-04	4.61248E-04	50.3557	2
1.93070E+02	20	3.28963351249695	6.68979E+01	2.71601E-04	3.00134E-04	4.04781E-04	47.8571	2
1.52642E+02	20	3.28961968421936	7.59374E+01	2.48513E-04	2.44902E-04	3.48907E-04	44.5807	2
1.20679E+02	20	3.28951501846313	8.45008E+01	2.33079E-04	2.08567E-04	3.12771E-04	41.8232	2
9.54095E+01	20	3.28961658477783	9.02976E+01	2.19817E-04	1.72891E-04	2.79662E-04	38.1859	2
7.54312E+01	20	3.28965210914612	9.63376E+01	2.07106E-04	1.43869E-04	2.52173E-04	34.7864	2
5.96362E+01	20	3.28968715667725	1.02126E+02	1.98861E-04	1.19725E-04	2.32120E-04	31.0502	2
4.71487E+01	20	3.28972625732422	1.08261E+02	1.90717E-04	8.72153E-05	2.09713E-04	24.5747	2
3.72759E+01	20	3.28971767425537	1.14631E+02	1.87472E-04	7.37618E-05	2.01461E-04	21.4774	2
2.94705E+01	20	3.28969287872314	1.21275E+02	1.84438E-04	5.46044E-05	1.92351E-04	16.4919	2
2.32995E+01	20	3.28968024253845	1.27866E+02	1.83752E-04	4.44837E-05	1.89060E-04	13.6087	2
1.84207E+01	20	3.28975462913513	1.33869E+02	1.82789E-04	3.45119E-05	1.86019E-04	10.692	2
1.45635E+01	20	3.28974437713623	1.40226E+02	1.81493E-04	2.37950E-05	1.83046E-04	7.46928	2
1.15140E+01	20	3.28974580764771	1.46970E+02	1.82239E-04	1.60856E-05	1.82947E-04	5.04422	2
9.10298E+00	20	3.28977298736572	1.53021E+02	1.83016E-04	1.25891E-05	1.83449E-04	3.93499	2
7.19686E+00	20	3.28974461555481	1.59385E+02	1.84507E-04	8.37296E-06	1.84697E-04	2.59831	2
5.68987E+00	20	3.28973698616028	1.66147E+02	1.84795E-04	3.38280E-06	1.84826E-04	1.04872	2
4.49843E+00	20	3.28976511955261	1.72212E+02	1.85984E-04	3.75622E-08	1.85984E-04	0.0115717	2
3.55648E+00	20	3.28977727890015	1.78518E+02	1.86049E-04	-2.21599E-06	1.86062E-04	-0.682408	2
2.81177E+00	20	3.28984355926514	1.85062E+02	1.87435E-04	-4.67418E-06	1.87493E-04	-1.42852	2
2.22300E+00	20	3.28982639312744	1.92001E+02	1.88847E-04	-7.20588E-06	1.88984E-04	-2.18519	2
1.75751E+00	20	3.28979802131653	1.99429E+02	1.90558E-04	-9.53811E-06	1.90797E-04	-2.86547	2
