CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBcuJVJ+cCC06EDLEpbuHh0JueBCdhObOk5bjvpU+wj7ZDtjJ8S0u5tf+T6PZ8Zzs7917AdrSCSxRnFCfWtJRRZzZjlN5/xswIVY0ExaT1xYDzHb8NfMt6I7axB5jj11Hbvt9RzLWnaa7abjenbTA+A1r5tuy7FdD3VEr5TurZGgzzll64NvDTiTgifWkieSbOn5GVinfqtx3XBtt2NZ1iJOqW+3fK/jO9foRJpSJs/Pwrf9jIiUZD78LQ57GoyHq3AcLaPR/Jebi8ZFX0rKcpJEVAY24HEWzukfdC2DhcipIsanhEZTvqFqw0IQthqJ59Vt4Nj2CTMBBjWwWAKm5fooZiRRhN20HdRI2JaubuPtTmnUcBpvDDThrwbq55KHLHAMYaaWlVeOspFIKsCnTgWmJpiYQDuH0RhGq/BOacBf5N3CZyVYGNanknQr4CDIqR1HBpNxysyoiPlGcxluGNKEHJRcEdWKaOsgUrZ4jdeFX1HMaD/dj8EbA/0KgVW+fCEZHVd/R36cTUA0GJEkQxtQCSTNVBV4eCZBo4Tv6Vfl12BH138WmnVioYhnPGYyU3BIN/laPsTC0MflDSkiP8iFgIo74mLN/bjonhSNo2ritGzcgjMoT1MG00LGwG0dpxJ2zCJwgnYFXBN4JmiZoG2Cjgm6CmAOoehU9TkqmibjfmK8T0xLFaDJtD8xneD6A9NVzJQwmAKFcfeU0LYNwvtI6IMahDZsEJ2PRLfsFnpHoERv/O+Dyfef3Maw1254dsPZrWy715RvspCaEbn7f6liQgWqSiFjZR9EJN0nFBtHlONBUyijc36Xp4+4Cr8hI48J7b/FuqrLwjwS4fglw6YC7n69X5Ikh9Jvuj2n3e51eh2n123rnowk34cv6FCpA+1hnHBuYlvqHnhRPRTgHFaBgei/F148kFhGdM3ZptDxDnr/hayo8A0soBT2B2ZZq6x2o5mKVxF6v7hnyWHM1iUsqgNVaDG7kgk/CFVut5T+8bwyJnB2gke2AjpUGO/Sj3meHF3QHpvMbzHhj/w51qEwWIZsiaGi4KqBvdoJDyjdVQOyD7paMdx0MCYyNcNK52D6a7kqBvTr7Y9TbhhvYwkXWcq53BmHUfxkNhrwHNKLAcehqK4fHYQt40Lh0hyUSiThgj0SMJwlmZI3WMA5AzkMi/vv/eJGgN5NzLZHBqYuf432lG4KB6uE6vAMfq9M5XKfy+NWDfX9oWp9QJNEl1xfUAJTDXIJP8cNQ8qyWB6CbvMaEYQ1gZhvAxehagGUmoc6n/i/oDDfXQxDBL6xwO0cK7hK7w2VSq50U6+rMx25OYcYwbk16+l78j9eGeMswyYG6bLPtcYZybOqbQuOJ0SUYoPDOqGZmuZD+kTyRIZFJyoAl94VmByzJ+4Xl0w97V/aV320JvMNRei7eHtc4TskJonxrsJb5Uo9RwwSp86Vvvj8tg2PsVw8kTW1MO6+VX3wTiuib7Lqg2ycnz1QeNDIT2uWC2torX7747KGftb7l7UvMcnqy8sapr4O0+Gy9u3n+v0uba7Tv/9CYKKbYS0UoqaaCJ54bGMV0zT7B0U2NJ2aCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.29164338111877	1.01145E+01	5.13961E-04	1.04877E-03	1.16794E-03	63.8924	2
7.90604E+02	20	3.29164862632751	1.72470E+01	4.59630E-04	8.45777E-04	9.62600E-04	61.4785	2
6.25055E+02	20	3.29156136512756	2.45434E+01	4.07436E-04	7.05686E-04	8.14860E-04	59.9995	2
4.94171E+02	20	3.29154491424561	3.20508E+01	3.72756E-04	5.88373E-04	6.96513E-04	57.6442	2
3.90694E+02	20	3.29154849052429	3.97802E+01	3.35706E-04	4.94901E-04	5.98017E-04	55.8498	2
3.08884E+02	20	3.29146647453308	4.78066E+01	3.15218E-04	4.09061E-04	5.16423E-04	52.3826	2
2.44205E+02	20	3.29164266586304	5.84357E+01	2.89273E-04	3.51192E-04	4.54988E-04	50.5221	2
1.93070E+02	20	3.29177331924438	6.69067E+01	2.66599E-04	2.95802E-04	3.98213E-04	47.9724	2
1.52642E+02	20	3.29163765907288	7.59615E+01	2.44300E-04	2.39716E-04	3.42267E-04	44.4573	2
1.20679E+02	20	3.29174137115479	8.45148E+01	2.29175E-04	2.04839E-04	3.07377E-04	41.7907	2
9.54095E+01	20	3.29173350334167	9.03121E+01	2.15352E-04	1.71330E-04	2.75192E-04	38.505	2
7.54312E+01	20	3.29175329208374	9.63480E+01	2.05378E-04	1.40184E-04	2.48660E-04	34.3161	2
5.96362E+01	20	3.29174733161926	1.02138E+02	1.97300E-04	1.15523E-04	2.28632E-04	30.3498	2
4.71487E+01	20	3.29178404808044	1.08265E+02	1.89488E-04	8.51747E-05	2.07751E-04	24.2039	2
3.72759E+01	20	3.29180884361267	1.14638E+02	1.86260E-04	7.27066E-05	1.99948E-04	21.3231	2
2.94705E+01	20	3.29179501533508	1.21288E+02	1.83337E-04	5.30042E-05	1.90845E-04	16.125	2
2.32995E+01	20	3.29179072380066	1.27879E+02	1.82180E-04	4.38337E-05	1.87379E-04	13.5286	2
1.84207E+01	20	3.29177856445313	1.33870E+02	1.82264E-04	3.29603E-05	1.85220E-04	10.2505	2
1.45635E+01	20	3.29177570343018	1.40217E+02	1.81312E-04	2.34769E-05	1.82826E-04	7.37781	2
1.15140E+01	20	3.29179668426514	1.46957E+02	1.81937E-04	1.62631E-05	1.82663E-04	5.10802	2
9.10298E+00	20	3.29179358482361	1.53009E+02	1.82793E-04	1.40161E-05	1.83330E-04	4.38469	2
7.19686E+00	20	3.29180669784546	1.59377E+02	1.82835E-04	8.04483E-06	1.83012E-04	2.51942	2
5.68987E+00	20	3.29180121421814	1.66150E+02	1.83205E-04	3.16552E-06	1.83232E-04	0.989892	2
4.49843E+00	20	3.29181790351868	1.72214E+02	1.84621E-04	5.03516E-07	1.84621E-04	0.156262	2
3.55648E+00	20	3.29180455207825	1.78517E+02	1.85557E-04	-2.56786E-06	1.85575E-04	-0.792847	2
2.81177E+00	20	3.29187774658203	1.85058E+02	1.86723E-04	-4.08744E-06	1.86768E-04	-1.25403	2
2.22300E+00	20	3.29186582565308	1.92003E+02	1.87797E-04	-6.80956E-06	1.87920E-04	-2.07665	2
1.75751E+00	20	3.29181432723999	1.99425E+02	1.89425E-04	-8.24657E-06	1.89604E-04	-2.49278	2
