CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBdujZQfHAgtOtCyhKW7R0dCLriQ3cSmjtOWoz7VPsI+2c7YCTHt7uZXvs/jmfHc7G8d+8EaEkmsUZxQ31pSkcWcWU7TOT8bcCEWNJPWExfWQ8w2/DXzrejOGkSeY09dx257145lLTvNdtNxPbvpAfCavabbcmzXQx3RK6V7ayToc07Z+uBbA86k4Im15IkkW3p+Btap32r0Gq7tdizLWsQp9W3Ptzu+p5xIU8rk+Vn4tp8RkZLMh7/FYU+D8XAVjqNlNJr/cnPRuOhLSVlOkojKwAY8zsI5/YOuZbAQOVXE+JTQaMo3VG1YCMJWI/G8ug0c2z5hJsCgBhZLwLRcH8WMJIqwm7aDGgnb0tVtvN0pjRpO442BJvzVQP1c8pAFjiHM1LLyylE2EkkF+NSpwNQEExNo5zAaw2gV3ikN+Iu8W/isBAvD+lSSbgUcBDm148hgMk6ZGRUx32guww1DmpCDkiuiWhFtHUTKFq/xuvArihntp/sxeGOgXyGwypcvJKPj6u/Ij7MJiAYjkmRoAyqBpJmqAg/PJGiU8D39qvwa7Oj6z0KzTiwU8YzHTGYKDukmX8uHWBj6uLwhReQHuRBQcUdcrLkfF92TonFUTZyWjVtwBuVpymBayBi4reNUwo5ZBE7QroBrAs8ELRO0TdAxQVcBzCEUnao+R0XTZNxPjPeJaakCNJn2J6YT9D4wXcVMCYMpUBh3Twlt2yC8j4Q+qEFowwbR+Uh0y26hdwRK9Mb/Pph8/8ltDK/bDc9uOLuVbfea8k0WUjMid/8vVUyoQFUpZKzsg4ik+4Ri44hyPGgKZXTO7/L0EVfhN2TkMaH9t1hXdVmYRyIcv2TYVMDdr/dLkuRQ+k3P7nWdTrfrXfc6PVd5EEm+D1/QoVIH2sM44dzEttQ98KJ6KMA5rAID0X8vvHggsYzomrNNoeMd9P4LWVHhG1hAKewPzLJWWe1GMxWvIvR+cc+Sw5itS1hUB6rQYnYlE34QqtxuKf3jeWVM4OwEj2wFdKgw3qUf8zw5uqA9NpnfYsIf+XOsQ2GwDNkSQ0XBVQN7tRMeULqrBmQfdLViuOlgTGRqhpXOwfTXclUM6NfbH6fcMN7GEi6ylHO5Mw6j+MlsNOA5pBcDjkNRXT86CFvGhcKlOSiVSMIFeyRgOEsyJW+wgHMGchgW99/7xY0AvZuYbY8MTF3+Gu0p3RQOVgnV4Rn8XpnK5T6Xx60a6vtD1fqAJokuub6gBKYa5BJ+jhuGlGWxPATdZg8RhDWBmG8DF6FqAZSahzqf+L+gMN9dDEMEvrHA7RwruErvDZVKrnRTr6szHbk5hxjBuTXr6XvyP14Z4yzDJgbpss+1xhnJs6ptC44nRJRig8M6oZma5kP6RPJEhkUnKgCX3hWYHLMn7heXTD3tX9pXfbQm8w1F6Lt4e1zhOyQmifGuwlvlSj1HDBKnzpW++Py2DY+xXDyRNbUw7r5VffDMKqJvsuqDbJyfPVB40MhPa5YLa2itfvvjsoZ+1vuXtS8xyerLyxqmvg7T4bL27ef6/S5trtO//0JgopthLRSippoInnhsYxXTNPsHung8dpoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.30877828598022	1.01148E+01	5.28557E-04	1.04099E-03	1.16749E-03	63.081	2
7.90604E+02	20	3.30880618095398	1.72452E+01	4.65921E-04	8.55980E-04	9.74569E-04	61.44	2
6.25055E+02	20	3.30873560905457	2.45428E+01	4.16235E-04	6.95608E-04	8.10630E-04	59.1047	2
4.94171E+02	20	3.30869388580322	3.20277E+01	3.80080E-04	5.87894E-04	7.00057E-04	57.1169	2
3.90694E+02	20	3.30883550643921	3.97613E+01	3.37566E-04	4.81353E-04	5.87922E-04	54.9586	2
3.08884E+02	20	3.30889344215393	4.77859E+01	3.11439E-04	4.09619E-04	5.14570E-04	52.7538	2
2.44205E+02	20	3.30896091461182	5.84129E+01	2.90422E-04	3.51461E-04	4.55928E-04	50.4321	2
1.93070E+02	20	3.30882930755615	6.68826E+01	2.68626E-04	2.96844E-04	4.00345E-04	47.8567	2
1.52642E+02	20	3.30887603759766	7.59304E+01	2.45658E-04	2.42455E-04	3.45156E-04	44.624	2
1.20679E+02	20	3.30878591537476	8.44771E+01	2.30748E-04	2.06622E-04	3.09737E-04	41.8426	2
9.54095E+01	20	3.30887794494629	9.02748E+01	2.17885E-04	1.70198E-04	2.76480E-04	37.9947	2
7.54312E+01	20	3.30886960029602	9.63087E+01	2.06272E-04	1.41476E-04	2.50127E-04	34.4451	2
5.96362E+01	20	3.30879616737366	1.02108E+02	1.98668E-04	1.18138E-04	2.31140E-04	30.7379	2
4.71487E+01	20	3.30879211425781	1.08242E+02	1.89803E-04	8.79775E-05	2.09202E-04	24.8686	2
3.72759E+01	20	3.30883431434631	1.14622E+02	1.86554E-04	7.28712E-05	2.00281E-04	21.3365	2
2.94705E+01	20	3.30883860588074	1.21270E+02	1.83787E-04	5.38452E-05	1.91512E-04	16.3294	2
2.32995E+01	20	3.30882358551025	1.27857E+02	1.82381E-04	4.43090E-05	1.87686E-04	13.6553	2
1.84207E+01	20	3.30883860588074	1.33855E+02	1.81221E-04	3.39476E-05	1.84374E-04	10.6101	2
1.45635E+01	20	3.30881977081299	1.40196E+02	1.80840E-04	2.33716E-05	1.82344E-04	7.36403	2
1.15140E+01	20	3.30885243415833	1.46949E+02	1.82157E-04	1.56078E-05	1.82825E-04	4.89731	2
9.10298E+00	20	3.30886650085449	1.53000E+02	1.82490E-04	1.35934E-05	1.82995E-04	4.26001	2
7.19686E+00	20	3.3088595867157	1.59368E+02	1.82811E-04	8.06401E-06	1.82988E-04	2.52576	2
5.68987E+00	20	3.30886507034302	1.66133E+02	1.83767E-04	3.60440E-06	1.83803E-04	1.12365	2
4.49843E+00	20	3.30889010429382	1.72204E+02	1.83440E-04	3.19887E-07	1.83440E-04	0.0999137	2
3.55648E+00	20	3.30893301963806	1.78506E+02	1.85641E-04	-2.50293E-06	1.85658E-04	-0.77245	2
2.81177E+00	20	3.30891966819763	1.85046E+02	1.86146E-04	-3.88246E-06	1.86186E-04	-1.19485	2
2.22300E+00	20	3.30892658233643	1.91991E+02	1.87649E-04	-7.21614E-06	1.87788E-04	-2.20225	2
1.75751E+00	20	3.30893087387085	1.99436E+02	1.88665E-04	-8.48069E-06	1.88856E-04	-2.57377	2
1.38950E+00	20	3.30902171134949	2.07419E+02	1.90147E-04	-1.11248E-05	1.90472E-04	-3.34836	2
1.09854E+00	20	3.30898976325989	2.16204E+02	1.92524E-04	-1.27388E-05	1.92945E-04	-3.78559	2
8.68511E-01	20	3.30893898010254	2.23688E+02	1.93231E-04	-1.43614E-05	1.93763E-04	-4.25056	2
6.86649E-01	20	3.30900263786316	2.31776E+02	1.95204E-04	-1.80025E-05	1.96033E-04	-5.26915	2
5.42867E-01	20	3.30912017822266	2.40654E+02	1.96420E-04	-2.07206E-05	1.97510E-04	-6.02192	2
4.29193E-01	20	3.30928325653076	2.48182E+02	1.99188E-04	-2.47445E-05	2.00720E-04	-7.08139	2
