CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQPEhi6+ZAXowWvLibB24lqu0y4WMLg2Y6uVSIeikniRr+on9Ms6Q0oWnbTVk87hcGY4N/Jrz36wRkQSa5yk1LeWVOQJZ5bTds7PhlyIBc2l9ciF9ZCwDX/JfSu+s4ax59hT17G73ifHspa9drftuJ7d9gB47eu223Fs10Md8Qule2ss6FNB2frgW0POpOCpteSpJFt6fgbWqd9pXbdc2+1ZlrVIMurbju/1/E4HncgyyuT5Wfi6nxGRkdyHv8VhT4NotAqjeBmP57/cXLQuBlJSVpA0pjKwAUd5OKd/0LUMFqKgiohOCY2mfEPVhoUgbDUWT6vbwLHtE2YCDGpgiQRMq/VxwkiqCLttO6iRsC1d3SbbndKo4TTZGGjCXww0KCQPWeAYwkwtK68cZSOVVIBPvRpMTTAxgXYOozGKV+Gd0oC/yLulz0qwNKxPJelWwEGQUzuODCbjlJlRkfCN5nLcMKIpOSi5Mqo10dVBpGzxkqxLv+KE0UG2j8AbA/0KgVW+fCY5jeq/Ix/lExANxiTN0QZUAslyVQUenknQOOV7+kX5NdzR9Z+lZp1YKOIZT5jMFRzRTbGWD4kw9HF5Q8rIDwshoOKOuFxz3y+6J0XjqJo4LRu35AzK05TBdJAxcFfHqYI9swicoFsD1wSeCTom6JqgZ4K+AphDKDpVfY6Kpsm4HxjvA9NRBWgy3Q9ML7h+x/QVMyUMpkBp3D0ltG2D8N4T+qAGoQ0bRO890a+6hd4RKNEb/9tw8u0ntzX61G15dsvZrWy735avspSaEbn7f6lyQgWqSiFjVR/EJNunFBtHVONBUyijc35XZN9xFX5DRr6ndPCa6KquCvNIhNFzjk0F3P16vyRpAaXf9ty+03G6ruf1HFf3ZCz5PnxGhyodaA/jhHMT21L3wLPqoQDnsAoMRP+t9OKBJDKma842pY430PsvZE2Fr2ABpbA/MMtaZb0bzdS8itDbxT1LDxFbV7CsDlShxexaJnwnVLvdUfqjeW1M4OwEj2wFdKgw3pUf8yI9uqA9NpnfEsK/86dEh8JgGbIVhoqCqwb2aic8oHRXDck+6GvFcNPBmMjVDKucg+mv5eoY0C+3P065UbJNJFxkGedyZxxG8ZPZeMgLSC8GHIeiun50ELaMC4Urc1AqsYQL9kjAcJZkSl5hAecM5DAs77+3ixsBejcJ2x4ZmLr8Jd5TuikdrBOqwzP8vTZVyH0hj1s11PeHqvUhTVNdcgNBCUw1yCX8HDeMKMsTeQj67WtEENYUYr4NXISqBVBqHup84v+Cwnx3MQwx+MYCt3es4Dq9N1QqucpNva7OdOTmHGIE59asp+/J/3hlRHmOTQzSVZ9rjTNS5HXblhxPiajEhod1SnM1zUf0kRSpDMtOVAAuvSswGbFH7peXTDMbXNpXA7Qmiw1F6Lt4e1zhOyQhqfGuwlvlSj1HDBKnzpW++PyuDY+xQjySNbUw7r5Vf/BOK6NvsuqDbJyfPVB40MgPa5YLa2itefvjsoF+NgeXjc8JyZvLywamvgnT4bLx9efm/S5rr7O//0JgoptRIxSioZoInnhsY5XTNP8Hx1TT4poKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.3271906375885	1.01225E+01	5.12407E-04	1.01664E-03	1.13847E-03	63.251	2
7.90604E+02	20	3.32717752456665	1.72489E+01	4.66303E-04	8.52657E-04	9.71834E-04	61.3265	2
6.25055E+02	20	3.32712411880493	2.45459E+01	4.14642E-04	7.03684E-04	8.16761E-04	59.4915	2
4.94171E+02	20	3.32705879211426	3.20680E+01	3.78721E-04	5.96152E-04	7.06277E-04	57.5732	2
3.90694E+02	20	3.32706570625305	3.97925E+01	3.38766E-04	4.97117E-04	6.01571E-04	55.7271	2
3.08884E+02	20	3.32707190513611	4.78236E+01	3.18727E-04	4.18816E-04	5.26302E-04	52.7282	2
2.44205E+02	20	3.32706093788147	5.84497E+01	2.92815E-04	3.54709E-04	4.59956E-04	50.4601	2
1.93070E+02	20	3.32704138755798	6.69347E+01	2.70991E-04	2.99622E-04	4.03992E-04	47.8725	2
1.52642E+02	20	3.32713556289673	7.59727E+01	2.47975E-04	2.44783E-04	3.48440E-04	44.6288	2
1.20679E+02	20	3.32689881324768	8.45303E+01	2.32640E-04	2.08597E-04	3.12465E-04	41.881	2
9.54095E+01	20	3.32718229293823	9.03360E+01	2.19080E-04	1.72836E-04	2.79049E-04	38.2705	2
7.54312E+01	20	3.32714867591858	9.63754E+01	2.07198E-04	1.42393E-04	2.51410E-04	34.498	2
5.96362E+01	20	3.32721376419067	1.02166E+02	1.99033E-04	1.19829E-04	2.32321E-04	31.0504	2
4.71487E+01	20	3.32721567153931	1.08294E+02	1.90108E-04	8.96436E-05	2.10183E-04	25.2457	2
3.72759E+01	20	3.32716178894043	1.14667E+02	1.86927E-04	7.56301E-05	2.01648E-04	22.0281	2
2.94705E+01	20	3.32719779014587	1.21311E+02	1.82656E-04	5.45987E-05	1.90641E-04	16.6423	2
2.32995E+01	20	3.32719445228577	1.27903E+02	1.82209E-04	4.57198E-05	1.87857E-04	14.0858	2
1.84207E+01	20	3.32721257209778	1.33898E+02	1.81284E-04	3.52635E-05	1.84682E-04	11.0078	2
1.45635E+01	20	3.32726407051086	1.40241E+02	1.80758E-04	2.40690E-05	1.82354E-04	7.58464	2
1.15140E+01	20	3.32722616195679	1.46988E+02	1.81093E-04	1.67371E-05	1.81865E-04	5.28043	2
9.10298E+00	20	3.32725620269775	1.53052E+02	1.81604E-04	1.38628E-05	1.82132E-04	4.36523	2
7.19686E+00	20	3.32723879814148	1.59430E+02	1.81827E-04	8.69488E-06	1.82035E-04	2.73777	2
5.68987E+00	20	3.32722926139832	1.66193E+02	1.82654E-04	3.25624E-06	1.82683E-04	1.02133	2
4.49843E+00	20	3.32728338241577	1.72255E+02	1.84181E-04	6.85872E-07	1.84182E-04	0.213363	2
3.55648E+00	20	3.32729029655457	1.78557E+02	1.84474E-04	-2.18797E-06	1.84487E-04	-0.679531	2
2.81177E+00	20	3.32728505134583	1.85111E+02	1.85853E-04	-4.10682E-06	1.85898E-04	-1.26587	2
2.22300E+00	20	3.32734107971191	1.92053E+02	1.87037E-04	-7.12866E-06	1.87173E-04	-2.1827	2
1.75751E+00	20	3.32729625701904	1.99483E+02	1.88031E-04	-8.82119E-06	1.88238E-04	-2.68597	2
