CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W227jNhB9doD8g4ACqQPEhi6+ZAXowWvLibB24lqu0y4WMLg2Y6uVSIeikniRr+on9Ms6Q0oWnbTVk87hcGY4N/Jrz36wRkQSa5yk1LeWVOQJZ5bTds7PhlyIBc2l9ciF9ZCwDX/JfSu+s4ax59hT17G73ifHspa9drftuJ7d9gB47eu223Fs10Md8Qule2ss6FNB2frgW0POpOCpteSpJFt6fgbWqd9pXbdc2+1ZlrVIMurbtm/3/G4fncgyyuT5Wfi6nxGRkdyHv8VhT4NotAqjeBmP57/cXLQuBlJSVpA0pjKwAUd5OKd/0LUMFqKgiohOCY2mfEPVhoUgbDUWT6vbwLHtE2YCDGpgiQRMq/VxwkiqCLttO6iRsC1d3SbbndKo4TTZGGjCXww0KCQPWeAYwkwtK68cZSOVVIBPvRpMTTAxgXYOozGKV+Gd0oC/yLulz0qwNKxPJelWwEGQUzuODCbjlJlRkfCN5nLcMKIpOSi5Mqo10dVBpGzxkqxLv+KE0UG2j8AbA/0KgVW+fCY5jeq/Ix/lExANxiTN0QZUAslyVQUenknQOOV7+kX5NdzR9Z+lZp1YKOIZT5jMFRzRTbGWD4kw9HF5Q8rIDwshoOKOuFxz3y+6J0XjqJo4LRu35AzK05TBdJAxcFfHqYI9swicoFsD1wSeCTom6JqgZ4K+AphDKDpVfY6Kpsm4HxjvA9NRBWgy3Q9ML7h+x/QVMyUMpkBp3D0ltG2D8N4T+qAGoQ0bRO890a+6hd4RKNEb/9tw8u0ntzX61G15dsvZrWy715avspSaEbn7f6lyQgWqSiFjVR/EJNunFBtHVONBUyijc35XZN9xFX5DRr6ndPCa6KquCvNIhNFzjk0F3P16vyRpAaXf9ty+2+/2u57tOm5HeRBLvg+f0aFKB9rDOOHcxLbUPfCseijAOawCA9F/K714IImM6ZqzTanjDfT+C1lT4StYQCnsD8yyVlnvRjM1ryL0dnHP0kPE1hUsqwNVaDG7lgnfCdVud5T+aF4bEzg7wSNbAR0qjHflx7xIjy5oj03mt4Tw7/wp0aEwWIZshaGi4KqBvdoJDyjdVUOyD/paMdx0MCZyNcMq52D6a7k6BvTL7Y9TbpRsEwkXWca53BmHUfxkNh7yAtKLAcehqK4fHYQt40LhyhyUSizhgj0SMJwlmZJXWMA5AzkMy/vv7eJGgN5NwrZHBqYuf4n3lG5KB+uE6vAMf69NFXJfyONWDfX9oWp9SNNUl9xAUAJTDXIJP8cNI8ryRB6CfvsaEYQ1hZhvAxehagGUmoc6n/i/oDDfXQxDDL6xwO0dK7hO7w2VSq5yU6+rMx25OYcYwbk16+l78j9eGVGeYxODdNXnWuOMFHndtiXHUyIqseFhndJcTfMRfSRFKsOyExWAS+8KTEbskfvlJdPMBpf21QCtyWJDEfou3h5X+A5JSGq8q/BWuVLPEYPEqXOlLz6/a8NjrBCPZE0tjLtv1R+808rom6z6IBvnZw8UHjTyw5rlwhpaa97+uGygn83BZeNzQvLm8rKBqW/CdLhsfP25eb/L2uvs778QmOhm1AiFaKgmgice21jlNM3/AejtzYeaCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32733559608459	1.01119E+01	5.13783E-04	1.02181E-03	1.14371E-03	63.3059	2
7.90604E+02	20	3.32740020751953	1.72420E+01	4.62309E-04	8.56053E-04	9.72911E-04	61.6289	2
6.25055E+02	20	3.32741189002991	2.45493E+01	4.17959E-04	6.97871E-04	8.13458E-04	59.0823	2
4.94171E+02	20	3.32741951942444	3.20595E+01	3.75099E-04	5.83293E-04	6.93491E-04	57.2561	2
3.90694E+02	20	3.32730555534363	3.97830E+01	3.37894E-04	4.90770E-04	5.95841E-04	55.4527	2
3.08884E+02	20	3.32742643356323	4.78199E+01	3.10840E-04	4.03240E-04	5.09140E-04	52.373	2
2.44205E+02	20	3.32731914520264	5.84502E+01	2.89816E-04	3.51141E-04	4.55295E-04	50.4652	2
1.93070E+02	20	3.32723307609558	6.69364E+01	2.68671E-04	2.97114E-04	4.00575E-04	47.878	2
1.52642E+02	20	3.32720851898193	7.59835E+01	2.46193E-04	2.42322E-04	3.45443E-04	44.5461	2
1.20679E+02	20	3.3273983001709	8.45284E+01	2.30996E-04	2.06976E-04	3.10158E-04	41.8608	2
9.54095E+01	20	3.32748126983643	9.03173E+01	2.17313E-04	1.70550E-04	2.76246E-04	38.1253	2
7.54312E+01	20	3.32743811607361	9.63594E+01	2.05398E-04	1.42478E-04	2.49976E-04	34.7478	2
5.96362E+01	20	3.32742309570313	1.02148E+02	1.98104E-04	1.18110E-04	2.30641E-04	30.8033	2
4.71487E+01	20	3.3274199962616	1.08278E+02	1.90303E-04	8.71943E-05	2.09327E-04	24.6167	2
3.72759E+01	20	3.32741451263428	1.14653E+02	1.85856E-04	7.38776E-05	2.00001E-04	21.6778	2
2.94705E+01	20	3.32745599746704	1.21297E+02	1.83533E-04	5.38363E-05	1.91266E-04	16.3481	2
2.32995E+01	20	3.32743501663208	1.27896E+02	1.81844E-04	4.42648E-05	1.87154E-04	13.6809	2
1.84207E+01	20	3.32744932174683	1.33904E+02	1.81094E-04	3.40665E-05	1.84270E-04	10.6537	2
1.45635E+01	20	3.32741522789001	1.40247E+02	1.81020E-04	2.39257E-05	1.82595E-04	7.52922	2
1.15140E+01	20	3.32744669914246	1.46991E+02	1.81291E-04	1.60871E-05	1.82003E-04	5.07094	2
9.10298E+00	20	3.32749629020691	1.53042E+02	1.81819E-04	1.28167E-05	1.82271E-04	4.03219	2
7.19686E+00	20	3.32748103141785	1.59410E+02	1.81967E-04	7.23481E-06	1.82111E-04	2.27682	2
5.68987E+00	20	3.32745432853699	1.66167E+02	1.82099E-04	4.03996E-06	1.82144E-04	1.27093	2
4.49843E+00	20	3.32747840881348	1.72230E+02	1.84100E-04	5.57084E-07	1.84101E-04	0.173376	2
3.55648E+00	20	3.3274941444397	1.78537E+02	1.83872E-04	-2.14922E-06	1.83885E-04	-0.669679	2
2.81177E+00	20	3.32752084732056	1.85080E+02	1.85319E-04	-3.97938E-06	1.85362E-04	-1.23013	2
2.22300E+00	20	3.32752680778503	1.92021E+02	1.87279E-04	-6.70872E-06	1.87399E-04	-2.05158	2
1.75751E+00	20	3.3275203704834	1.99448E+02	1.88021E-04	-8.56699E-06	1.88216E-04	-2.60882	2
1.38950E+00	20	3.32760143280029	2.07430E+02	1.89314E-04	-1.07652E-05	1.89620E-04	-3.25459	2
1.09854E+00	20	3.32759666442871	2.16214E+02	1.90889E-04	-1.22526E-05	1.91282E-04	-3.6726	2
8.68511E-01	20	3.32755374908447	2.23699E+02	1.92427E-04	-1.41693E-05	1.92948E-04	-4.21135	2
6.86649E-01	20	3.32758259773254	2.31802E+02	1.93792E-04	-1.69005E-05	1.94528E-04	-4.98411	2
5.42867E-01	20	3.32770395278931	2.40689E+02	1.95611E-04	-2.03641E-05	1.96668E-04	-5.9434	2
4.29193E-01	20	3.32785701751709	2.48210E+02	1.97668E-04	-2.33697E-05	1.99044E-04	-6.74261	2
3.39322E-01	20	3.32796669006348	2.56359E+02	2.01032E-04	-2.86181E-05	2.03059E-04	-8.10196	2
2.68270E-01	20	3.32804203033447	2.65381E+02	2.05200E-04	-3.30129E-05	2.07839E-04	-9.13949	2
2.12095E-01	20	3.32807493209839	2.75510E+02	2.09987E-04	-3.74281E-05	2.13297E-04	-10.1063	2
1.67683E-01	20	3.32801723480225	2.86897E+02	2.15600E-04	-4.25755E-05	2.19764E-04	-11.1707	2
1.32571E-01	20	3.32793855667114	2.99847E+02	2.21420E-04	-4.77705E-05	2.26514E-04	-12.1747	2
1.04811E-01	20	3.32779502868652	3.14793E+02	2.27720E-04	-5.35237E-05	2.33925E-04	-13.2268	2
8.28642E-02	20	3.32768940925598	3.32457E+02	2.34619E-04	-6.00771E-05	2.42188E-04	-14.3627	2
6.55128E-02	20	3.3274974822998	3.53324E+02	2.42843E-04	-6.76812E-05	2.52098E-04	-15.5733	2
5.17947E-02	20	3.32736563682556	3.78232E+02	2.52408E-04	-7.70758E-05	2.63913E-04	-16.9807	2
4.09491E-02	20	3.32715487480164	4.08257E+02	2.62793E-04	-8.72298E-05	2.76892E-04	-18.3627	2
3.23746E-02	20	3.32696080207825	4.44766E+02	2.75371E-04	-9.84589E-05	2.92444E-04	-19.6745	2
2.55955E-02	20	3.32672262191772	4.89436E+02	2.89532E-04	-1.11042E-04	3.10095E-04	-20.9829	2
2.02359E-02	20	3.32647252082825	5.44466E+02	3.06206E-04	-1.25183E-04	3.30807E-04	-22.2357	2
1.59986E-02	20	3.32619762420654	6.12588E+02	3.25320E-04	-1.40458E-04	3.54346E-04	-23.3524	2
1.26485E-02	20	3.32587289810181	6.97266E+02	3.47788E-04	-1.56473E-04	3.81366E-04	-24.2235	2
1.00000E-02	20	3.32550597190857	8.03587E+02	3.73010E-04	-1.72984E-04	4.11169E-04	-24.8795	2
