CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBcubaT84ECg6EDLEpbuHh0JueBCdhObOk5bjvpU+wj7ZDtjJ8S0u5tf+T6PZ8Zzs7917AdrQCSxhnFCfWtJRRZzZjlN5/ysz4VY0ExaT1xYDzHb8NfMt6I7qx95jj11Hbvt3TiWtew0203H9eymB8BrXjfdlmO7HuqIXindW0NBn3PK1gff6nMmBU+sJU8k2dLzM7BO/Vaj23Btt2NZ1iJOqe+6vtf1HRudSFPK5PlZ+LafEZGSzIe/xWFPg/FgFY6jZTSc/zK6aFz0pKQsJ0lEZWADHmfhnP5B1zJYiJwqYnxKaDTlG6o2LARhq6F4Xt0Gjm2fMBNgUAOLJWBarg9jRhJF2E3bQY2EbenqNt7ulEYNp/HGQBP+aqBeLnnIAscQZmpZeeUoG4mkAnzqVGBqgokJtHMYjUG0Cu+UBvxF3i18VoKFYX0qSbcCDoKc2nFkMBmnzIyKmG80l+GGAU3IQckVUa2Itg4iZYvXeF34FcWM9tL9GLwx0K8QWOXLF5LRcfV35MfZBESDIUkytAGVQNJMVYGHZxI0SvieflV+9Xd0/WehWScWinjGYyYzBQd0k6/lQywMfVyOSBH5fi4EVNwRF2vux0X3pGgcVROnZeMWnEF5mjKYFjIGbus4lbBjFoETtCvgmsAzQcsEbRN0TNBVAHMIRaeqz1HRNBn3E+N9YlqqAE2m/YnpBNcfmK5ipoTBFCiMu6eEtm0Q3kdCH9QgtGGD6HwkumW30DsCJTryv/cn339yG4ObdsOzG85uZdvtpnyThdSMyN3/SxUTKlBVChkr+yAi6T6h2DiiHA+aQhmd87s8fcRV+A0ZeUxo7y3WVV0W5pEIxy8ZNhVw9+v9kiQ5lH7Tc7sdz+s4N5593eoqDyLJ9+ELOlTqQHsYJ5yb2Ja6B15UDwU4h1VgIPrvhRcPJJYRXXO2KXS8g95/ISsqfAMLKIX9gVnWKqvdaKbiVYTeL+5ZchizdQmL6kAVWsyuZMIPQpXbLaV/PK+MCZyd4JGtgA4Vxrv0Y54nRxe0xybzW0z4I3+OdSgMliFbYqgouGpgr3bCA0p3VZ/sg65WDDcdjIlMzbDSOZj+Wq6KAf16++OUG8TbWMJFlnIud8ZhFD+ZDfs8h/RiwHEoqutHB2HLuFC4NAelEkm4YI8EDGdJpuQNFnDOQA7D4v57vxgJ0LuJ2fbIwNTlr9Ge0k3hYJVQHZ7+75WpXO5zedyqob4/VK33aZLokusJSmCqQS7h57hhQFkWy0PQbV4jgrAmEPNt4CJULYBS81DnE/8XFOa7i2GIwDcWuJ1jBVfpHVGp5Eo39bo605Gbc4gRnFuznr4n/+OVMc4ybGKQLvtca5yRPKvatuB4QkQp1j+sE5qpaT6gTyRPZFh0ogJw6V2ByTF74n5xydTT3qV91UNrMt9QhL6Lt8cVvkNikhjvKrxVrtRzxCBx6lzpi89vw1sqysUTWVML4+5b1QfvtCL6Jqs+yMb52QOFB438tGa5sIbW6rc/LmvoZ713WfsSk6y+vKxh6uswHS5r336u3+/S5jr9+y8EJhoNaqEQNdVE8MRjG6uYptk/P4BMUpoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32767271995544	1.01121E+01	5.25578E-04	1.03006E-03	1.15640E-03	62.9675	2
7.90604E+02	20	3.32767200469971	1.72403E+01	4.72192E-04	8.53326E-04	9.75260E-04	61.0418	2
6.25055E+02	20	3.32758259773254	2.45492E+01	4.20563E-04	7.10291E-04	8.25461E-04	59.3702	2
4.94171E+02	20	3.32760620117188	3.20657E+01	3.71088E-04	5.90184E-04	6.97154E-04	57.8397	2
3.90694E+02	20	3.32757806777954	3.98077E+01	3.44147E-04	4.94029E-04	6.02081E-04	55.1384	2
3.08884E+02	20	3.32756900787354	4.78377E+01	3.15913E-04	4.14474E-04	5.21143E-04	52.6853	2
2.44205E+02	20	3.32757353782654	5.84689E+01	2.94851E-04	3.54974E-04	4.61458E-04	50.2861	2
1.93070E+02	20	3.32764887809753	6.69338E+01	2.72025E-04	2.99554E-04	4.04636E-04	47.7574	2
1.52642E+02	20	3.3277907371521	7.59711E+01	2.49000E-04	2.45362E-04	3.49576E-04	44.5784	2
1.20679E+02	20	3.32785725593567	8.45350E+01	2.33940E-04	2.08656E-04	3.13473E-04	41.7303	2
9.54095E+01	20	3.32778239250183	9.03371E+01	2.20846E-04	1.73068E-04	2.80581E-04	38.0843	2
7.54312E+01	20	3.32783317565918	9.63757E+01	2.07979E-04	1.44412E-04	2.53200E-04	34.7746	2
5.96362E+01	20	3.32776522636414	1.02163E+02	1.99259E-04	1.20028E-04	2.32618E-04	31.0636	2
4.71487E+01	20	3.32772374153137	1.08298E+02	1.90505E-04	8.93367E-05	2.10412E-04	25.124	2
3.72759E+01	20	3.32774758338928	1.14668E+02	1.88225E-04	7.55548E-05	2.02823E-04	21.8708	2
2.94705E+01	20	3.32774043083191	1.21318E+02	1.83334E-04	5.55340E-05	1.91560E-04	16.8521	2
2.32995E+01	20	3.32774806022644	1.27903E+02	1.82807E-04	4.49875E-05	1.88261E-04	13.8253	2
1.84207E+01	20	3.3277599811554	1.33900E+02	1.82228E-04	3.63919E-05	1.85827E-04	11.2937	2
1.45635E+01	20	3.32777857780457	1.40237E+02	1.81535E-04	2.49371E-05	1.83239E-04	7.82167	2
1.15140E+01	20	3.32778716087341	1.46984E+02	1.81491E-04	1.71193E-05	1.82297E-04	5.38852	2
9.10298E+00	20	3.32778573036194	1.53041E+02	1.80925E-04	1.35563E-05	1.81432E-04	4.28503	2
7.19686E+00	20	3.32778072357178	1.59400E+02	1.82084E-04	9.00499E-06	1.82306E-04	2.83127	2
5.68987E+00	20	3.32780051231384	1.66168E+02	1.84101E-04	4.47557E-06	1.84155E-04	1.39261	2
4.49843E+00	20	3.32778167724609	1.72226E+02	1.83203E-04	9.79708E-07	1.83206E-04	0.306395	2
3.55648E+00	20	3.3277895450592	1.78534E+02	1.84186E-04	-3.22119E-06	1.84214E-04	-1.00193	2
2.81177E+00	20	3.32783174514771	1.85073E+02	1.86371E-04	-3.30382E-06	1.86400E-04	-1.01558	2
2.22300E+00	20	3.32781457901001	1.92017E+02	1.86051E-04	-6.38576E-06	1.86160E-04	-1.96577	2
1.75751E+00	20	3.3278341293335	1.99451E+02	1.88304E-04	-7.99992E-06	1.88474E-04	-2.43269	2
1.38950E+00	20	3.32792520523071	2.07436E+02	1.89239E-04	-9.58714E-06	1.89481E-04	-2.90022	2
