CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBcubaT84ECg6EDLEpbuHh0JueBCdhObOk5bjvpU+wj7ZDtjJ8S0u5tf+T6PZ8Zzs7917AdrQCSxhnFCfWtJRRZzZjlN5/ysz4VY0ExaT1xYDzHb8NfMt6I7qx95jj11Hbvt3TiWtew0203H9eymB8BrXjfdlmO7HuqIXindW0NBn3PK1gff6nMmBU+sJU8k2dLzM7BO/Vaj23Btt2NZ1iJOqe86vt31XQ+dSFPK5PlZ+LafEZGSzIe/xWFPg/FgFY6jZTSc/zK6aFz0pKQsJ0lEZWADHmfhnP5B1zJYiJwqYnxKaDTlG6o2LARhq6F4Xt0Gjm2fMBNgUAOLJWBarg9jRhJF2E3bQY2EbenqNt7ulEYNp/HGQBP+aqBeLnnIAscQZmpZeeUoG4mkAnzqVGBqgokJtHMYjUG0Cu+UBvxF3i18VoKFYX0qSbcCDoKc2nFkMBmnzIyKmG80l+GGAU3IQckVUa2Itg4iZYvXeF34FcWM9tL9GLwx0K8QWOXLF5LRcfV35MfZBESDIUkytAGVQNJMVYGHZxI0SvieflV+9Xd0/WehWScWinjGYyYzBQd0k6/lQywMfVyOSBH5fi4EVNwRF2vux0X3pGgcVROnZeMWnEF5mjKYFjIGbus4lbBjFoETtCvgmsAzQcsEbRN0TNBVAHMIRaeqz1HRNBn3E+N9YlqqAE2m/YnpBNcfmK5ipoTBFCiMu6eEtm0Q3kdCH9QgtGGD6HwkumW30DsCJTryv/cn339yG4ObdsOzG85uZdutpnyThdSMyN3/SxUTKlBVChkr+yAi6T6h2DiiHA+aQhmd87s8fcRV+A0ZeUxo7y3WVV0W5pEIxy8ZNhVw9+v9kiQ5lH7Tc6/tdtu7drrd1o1yIJJ8H76gP6UKNIdhwrGJXalb4EW1UIBjWMUFgv9eOPFAYhnRNWebQsc76P0XsqLCN7CAUtgemGStstqNZipeBej94p4lhzFbl7AoDlShxexKJvwgVLndUvrH88qYwNEJHtkK6EhhuEs/5nlydEF7bDK/xYQ/8udYh8JgGbIlhoKCmwb2aic8oHRT9ck+6GrFcNHBlMjUCCudg+Gv5aoY0K+3P065QbyNJdxjKedyZxxG8ZPZsM9zSC8GHGeiun10ELaMC4VLc1ApkYT79UjAbJZkSt5gAccM5DAsrr/3i5EAvZuYbY8MDF3+Gu0p3RQOVgnV4en/XpnK5T6Xx60a6utDlXqfJokuuZ6gBIYa5BJ+jhsGlGWxPATd5jUiCGsCMd8GLkLVASg1D3U+8X9BYby7GIYIfGOB2zlWcJXeEZVKrnRTr6szHbk5hxjBuTXr6WvyPx4Z4yzDHgbpss21xhnJs6prC44nRJRi/cM6oZka5gP6RPJEhkUnKgB33hWYHLMn7hd3TD3tXdpXPbQm8w1F6Lt4eVzhMyQmifGswkvlSr1GDBKHzpW+9/y2DW+xXDyRNbUw7r5VffBMK6JvsuqDbJyfPVB4z8hPa5YLa2itfvvjsoZ+1nuXtS8xyerLyxqmvg7T4bL27ef6/S5trtO//0JgotGgFgpRU00ELzy2sYphmv0D8w4lE5kKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32811594009399	1.01180E+01	5.13268E-04	1.02668E-03	1.14783E-03	63.4382	2
7.90604E+02	20	3.32810521125793	1.72473E+01	4.59409E-04	8.50059E-04	9.66259E-04	61.6113	2
6.25055E+02	20	3.3281261920929	2.45430E+01	4.12905E-04	7.04694E-04	8.16752E-04	59.6325	2
4.94171E+02	20	3.32801914215088	3.20297E+01	3.60692E-04	5.82666E-04	6.85273E-04	58.241	2
3.90694E+02	20	3.32815194129944	3.97601E+01	3.43646E-04	4.88933E-04	5.97618E-04	54.8986	2
3.08884E+02	20	3.32818460464478	4.77880E+01	3.10340E-04	4.20823E-04	5.22879E-04	53.5928	2
2.44205E+02	20	3.32820701599121	5.84313E+01	2.89369E-04	3.52559E-04	4.56106E-04	50.6219	2
1.93070E+02	20	3.32812404632568	6.68978E+01	2.69093E-04	2.96959E-04	4.00743E-04	47.8183	2
1.52642E+02	20	3.32821846008301	7.56673E+01	2.44948E-04	2.42393E-04	3.44607E-04	44.6996	2
1.20679E+02	20	3.32832884788513	8.45206E+01	2.31781E-04	2.06162E-04	3.10201E-04	41.6521	2
9.54095E+01	20	3.32805395126343	9.03142E+01	2.18687E-04	1.71156E-04	2.77702E-04	38.0486	2
7.54312E+01	20	3.32812523841858	9.63575E+01	2.06627E-04	1.42228E-04	2.50846E-04	34.541	2
5.96362E+01	20	3.32814240455627	1.02144E+02	1.97992E-04	1.19153E-04	2.31081E-04	31.0399	2
4.71487E+01	20	3.32813501358032	1.08271E+02	1.90322E-04	8.73576E-05	2.09413E-04	24.6551	2
3.72759E+01	20	3.32810235023499	1.14655E+02	1.86336E-04	7.42298E-05	2.00577E-04	21.7206	2
2.94705E+01	20	3.3281672000885	1.21302E+02	1.82389E-04	5.51251E-05	1.90538E-04	16.8168	2
2.32995E+01	20	3.32815766334534	1.27889E+02	1.82589E-04	4.49896E-05	1.88050E-04	13.8418	2
1.84207E+01	20	3.328200340271	1.33882E+02	1.81734E-04	3.45747E-05	1.84994E-04	10.7717	2
1.45635E+01	20	3.32816648483276	1.40231E+02	1.80749E-04	2.53805E-05	1.82523E-04	7.99312	2
1.15140E+01	20	3.32818031311035	1.46971E+02	1.82211E-04	1.65067E-05	1.82957E-04	5.17636	2
9.10298E+00	20	3.32817482948303	1.53019E+02	1.81731E-04	1.28090E-05	1.82182E-04	4.03172	2
7.19686E+00	20	3.32818937301636	1.59387E+02	1.81687E-04	9.56358E-06	1.81938E-04	3.01314	2
5.68987E+00	20	3.32815074920654	1.66163E+02	1.83753E-04	4.45677E-06	1.83807E-04	1.38939	2
4.49843E+00	20	3.32817411422729	1.72223E+02	1.82306E-04	2.34126E-07	1.82306E-04	0.073582	2
3.55648E+00	20	3.32820892333984	1.78525E+02	1.84795E-04	-2.14589E-06	1.84808E-04	-0.665303	2
2.81177E+00	20	3.32818484306335	1.85071E+02	1.85486E-04	-3.49709E-06	1.85519E-04	-1.08011	2
2.22300E+00	20	3.32823204994202	1.92018E+02	1.86442E-04	-5.49829E-06	1.86523E-04	-1.6892	2
1.75751E+00	20	3.32823657989502	1.99437E+02	1.87840E-04	-7.46115E-06	1.87988E-04	-2.27464	2
