CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBcubaT84ECg6EDLEpbuHh0JueBCdhObOk5bjvpU+wj7ZDtjJ8S0u5tf+T6PZ8Zzs7917AdrQCSxhnFCfWtJRRZzZjlN5/ysz4VY0ExaT1xYDzHb8NfMt6I7qx95jj11Hbvt3TiWtew0203H9eymB8BrXjfdlmO7HuqIXindW0NBn3PK1gff6nMmBU+sJU8k2dLzM7BO/Vaj23Btt2NZ1iJOqe/c+F7X9zroRJpSJs/Pwrf9jIiUZD78LQ57GowHq3AcLaPh/JfRReOiJyVlOUkiKgMb8DgL5/QPupbBQuRUEeNTQqMp31C1YSEIWw3F8+o2cGz7hJkAgxpYLAHTcn0YM5Iowm7aDmokbEtXt/F2pzRqOI03BprwVwP1cslDFjiGMFPLyitH2UgkFeBTpwJTE0xMoJ3DaAyiVXinNOAv8m7hsxIsDOtTSboVcBDk1I4jg8k4ZWZUxHyjuQw3DGhCDkquiGpFtHUQKVu8xuvCryhmtJfux+CNgX6FwCpfvpCMjqu/Iz/OJiAaDEmSoQ2oBJJmqgo8PJOgUcL39Kvyq7+j6z8LzTqxUMQzHjOZKTigm3wtH2Jh6ONyRIrI93MhoOKOuFhzPy66J0XjqJo4LRu34AzK05TBtJAxcFvHqYQdswicoF0B1wSeCVomaJugY4KuAphDKDpVfY6Kpsm4nxjvE9NSBWgy7U9MJ7j+wHQVMyUMpkBh3D0ltG2D8D4S+qAGoQ0bROcj0S27hd4RKNGR/70/+f6T2xjctBue3XB2K9v2mvJNFlIzInf/L1VMqEBVKWSs7IOIpPuEYuOIcjxoCmV0zu/y9BFX4Tdk5DGhvbdYV3VZmEciHL9k2FTA3a/3S5LkUPpNz71uda89r+N5LddTHkSS78MXdKjUgfYwTjg3sS11D7yoHgpwDqvAQPTfCy8eSCwjuuZsU+h4B73/QlZU+AYWUAr7A7OsVVa70UzFqwi9X9yz5DBm6xIW1YEqtJhdyYQfhCq3W0r/eF4ZEzg7wSNbAR0qjHfpxzxPji5oj03mt5jwR/4c61AYLEO2xFBRcNXAXu2EB5Tuqj7ZB12tGG46GBOZmmGlczD9tVwVA/r19scpN4i3sYSLLOVc7ozDKH4yG/Z5DunFgONQVNePDsKWcaFwaQ5KJZJwwR4JGM6STMkbLOCcgRyGxf33fjESoHcTs+2RganLX6M9pZvCwSqhOjz93ytTudzn8rhVQ31/qFrv0yTRJdcTlMBUg1zCz3HDgLIsloeg27xGBGFNIObbwEWoWgCl5qHOJ/4vKMx3F8MQgW8scDvHCq7SO6JSyZVu6nV1piM35xAjOLdmPX1P/scrY5xl2MQgXfa51jgjeVa1bcHxhIhSrH9YJzRT03xAn0ieyLDoRAXg0rsCk2P2xP3ikqmnvUv7qofWZL6hCH0Xb48rfIfEJDHeVXirXKnniEHi1LnSF5/ftuExlosnsqYWxt23qg/eaUX0TVZ9kI3zswcKDxr5ac1yYQ2t1W9/XNbQz3rvsvYlJll9eVnD1NdhOlzWvv1cv9+lzXX6918ITDQa1EIhaqqJ4InHNlYxTbN/ANICTU2aCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32850646972656	1.01296E+01	5.23475E-04	1.02729E-03	1.15298E-03	62.9981	2
7.90604E+02	20	3.32848024368286	1.72581E+01	4.66748E-04	8.54446E-04	9.73618E-04	61.3541	2
6.25055E+02	20	3.32844734191895	2.45542E+01	4.22816E-04	7.10143E-04	8.26484E-04	59.2306	2
4.94171E+02	20	3.32844471931458	3.20502E+01	3.78195E-04	5.83866E-04	6.95651E-04	57.0671	2
3.90694E+02	20	3.32849431037903	3.97715E+01	3.46572E-04	4.96974E-04	6.05884E-04	55.1094	2
3.08884E+02	20	3.32844352722168	4.78034E+01	3.11847E-04	4.11591E-04	5.16387E-04	52.8501	2
2.44205E+02	20	3.32850623130798	5.84363E+01	2.93602E-04	3.53747E-04	4.59716E-04	50.3081	2
1.93070E+02	20	3.32848477363586	6.68976E+01	2.71185E-04	2.99066E-04	4.03710E-04	47.7991	2
1.52642E+02	20	3.32850027084351	7.59487E+01	2.48327E-04	2.44024E-04	3.48158E-04	44.4993	2
1.20679E+02	20	3.3284375667572	8.45094E+01	2.32954E-04	2.08759E-04	3.12806E-04	41.8647	2
9.54095E+01	20	3.32844233512878	9.03075E+01	2.18473E-04	1.74198E-04	2.79420E-04	38.5668	2
7.54312E+01	20	3.32852697372437	9.63463E+01	2.06365E-04	1.45329E-04	2.52403E-04	35.1544	2
5.96362E+01	20	3.32852053642273	1.02145E+02	1.99264E-04	1.20379E-04	2.32803E-04	31.1369	2
4.71487E+01	20	3.32850313186646	1.08277E+02	1.91202E-04	9.01921E-05	2.11407E-04	25.2537	2
3.72759E+01	20	3.32850885391235	1.14661E+02	1.88404E-04	7.57206E-05	2.03051E-04	21.8955	2
2.94705E+01	20	3.3285231590271	1.21304E+02	1.83244E-04	5.54961E-05	1.91463E-04	16.8491	2
2.32995E+01	20	3.32852816581726	1.27894E+02	1.81665E-04	4.55790E-05	1.87295E-04	14.0846	2
1.84207E+01	20	3.32853269577026	1.33887E+02	1.81104E-04	3.59681E-05	1.84641E-04	11.233	2
1.45635E+01	20	3.32854819297791	1.40235E+02	1.79853E-04	2.54133E-05	1.81640E-04	8.04264	2
1.15140E+01	20	3.32855296134949	1.46993E+02	1.81308E-04	1.76099E-05	1.82161E-04	5.54757	2
9.10298E+00	20	3.32856273651123	1.53043E+02	1.80047E-04	1.46070E-05	1.80639E-04	4.63816	2
7.19686E+00	20	3.32860422134399	1.59412E+02	1.81003E-04	8.73386E-06	1.81214E-04	2.76252	2
5.68987E+00	20	3.32857871055603	1.66169E+02	1.82421E-04	5.35198E-06	1.82500E-04	1.6805	2
4.49843E+00	20	3.32857370376587	1.72243E+02	1.82447E-04	1.81231E-06	1.82456E-04	0.569121	2
3.55648E+00	20	3.32858729362488	1.78538E+02	1.83407E-04	-1.19801E-06	1.83411E-04	-0.374249	2
2.81177E+00	20	3.3285870552063	1.85083E+02	1.84072E-04	-2.98788E-06	1.84097E-04	-0.92995	2
2.22300E+00	20	3.3286292552948	1.92038E+02	1.86014E-04	-5.15613E-06	1.86086E-04	-1.58778	2
1.75751E+00	20	3.32863855361938	1.99483E+02	1.86448E-04	-7.14559E-06	1.86585E-04	-2.19478	2
