CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W627qOBD+TaW+Q6SVulQqKBdujZQfHAgtOtCyhKW7R0dCLriQ3cSmjtOWoz7VPsI+2c7YCTHt7uZXvs/jmfHc7G8d+8EaEkmsUZxQ31pSkcWcWU7TOT8bcCEWNJPWExfWQ8w2/DXzrejOGkSeY09dx257145lLTvNdtNxPbvpAfCavabbcmzXQx3RK6V7ayToc07Z+uBbA86k4Im15IkkW3p+Btap32p0G67tdizLWsQp9Z2eb3f91jU6kaaUyfOz8G0/IyIlmQ9/i8OeBuPhKhxHy2g0/+XmonHRl5KynCQRlYENeJyFc/oHXctgIXKqiPEpodGUb6jasBCErUbieXUbOLZ9wkyAQQ0sloBpuT6KGUkUYTdtBzUStqWr23i7Uxo1nMYbA034q4H6ueQhCxxDmKll5ZWjbCSSCvCpU4GpCSYm0M5hNIbRKrxTGvAXebfwWQkWhvWpJN0KOAhyaseRwWScMjMqYr7RXIYbhjQhByVXRLUi2jqIlC1e43XhVxQz2k/3Y/DGQL9CYJUvX0hGx9XfkR9nExANRiTJ0AZUAkkzVQUenknQKOF7+lX5NdjR9Z+FZp1YKOIZj5nMFBzSTb6WD7Ew9HF5Q4rID3IhoOKOuFhzPy66J0XjqJo4LRu34AzK05TBtJAxcFvHqYQdswicoF0B1wSeCVomaJugY4KuAphDKDpVfY6Kpsm4nxjvE9NSBWgy7U9MJ+h9YLqKmRIGU6Aw7p4S2rZBeB8JfVCD0IYNovOR6JbdQu8IlOiN/30w+f6T2xhetxue3XB2K9t2m/JNFlIzInf/L1VMqEBVKWSs7IOIpPuEYuOIcjxoCmV0zu/y9BFX4Tdk5DGh/bdYV3VZmEciHL9k2FTA3a/3S5LkUPpNz+113I533XK7Tq+tPIgk34cv6FCpA+3hGs5NbEvdAy+qhwKcwyowEP33wosHEsuIrjnbFDreQe+/kBUVvoEFlML+wCxrldVuNFPxKkLvF/csOYzZuoRFdaAKLWZXMuEHocrtltI/nlfGBM5O8MhWQIcK4136Mc+TowvaY5P5LSb8kT/HOhQGy5AtMVQUXDWwVzvhAaW7akD2QVcrhpsOxkSmZljpHEx/LVfFgH69/XHKDeNtLOEiSzmXO+Mwip/MRgOeQ3ox4DgU1fWjg7BlXChcmoNSiSRcsEcChrMkU/IGCzhnIIdhcf+9X9wI0LuJ2fbIwNTlr9Ge0k3hYJVQHZ7B75WpXO5zedyqob4/VK0PaJLokusLSmCqQS7h57hhSFkWy0PQbfYQQVgTiPk2cBGqFkCpeajzif8LCvPdxTBE4BsL3M6xgqv03lCp5Eo39bo605Gbc4gRnFuznr4n/+OVMc4ybGKQLvtca5yRPKvatuB4QkQpNjisE5qpaT6kTyRPZFh0ogJw6V2ByTF74n5xydTT/qV91UdrMt9QhL6Lt8cVvkNikhjvKrxVrtRzxCBx6lzpi89v2/AYy8UTWVML4+5b1QfvtCL6Jqs+yMb52QOFB438tGa5sIbW6rc/LmvoZ71/WfsSk6y+vKxh6uswHS5r336u3+/S5jr9+y8EJroZ1kIhaqqJ4InHNlYxTbN/AAe/uv2aCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32867217063904	1.01110E+01	5.21235E-04	1.02207E-03	1.14731E-03	62.9793	2
7.90604E+02	20	3.32862949371338	1.72378E+01	4.59732E-04	8.40606E-04	9.58108E-04	61.3255	2
6.25055E+02	20	3.32865476608276	2.45374E+01	4.19821E-04	7.02433E-04	8.18328E-04	59.1346	2
4.94171E+02	20	3.32867527008057	3.20241E+01	3.69930E-04	5.92649E-04	6.98628E-04	58.0277	2
3.90694E+02	20	3.32868432998657	3.97591E+01	3.35743E-04	4.87903E-04	5.92261E-04	55.4668	2
3.08884E+02	20	3.32876062393188	4.77918E+01	3.17494E-04	4.11343E-04	5.19620E-04	52.3374	2
2.44205E+02	20	3.32866144180298	5.84199E+01	2.91394E-04	3.50931E-04	4.56140E-04	50.2956	2
1.93070E+02	20	3.32852292060852	6.69052E+01	2.69181E-04	2.96936E-04	4.00786E-04	47.8067	2
1.52642E+02	20	3.32858061790466	7.59532E+01	2.47289E-04	2.42746E-04	3.46522E-04	44.4689	2
1.20679E+02	20	3.32855153083801	8.44934E+01	2.32702E-04	2.06716E-04	3.11259E-04	41.6156	2
9.54095E+01	20	3.3287525177002	9.03013E+01	2.19702E-04	1.71241E-04	2.78554E-04	37.9337	2
7.54312E+01	20	3.32866644859314	9.63467E+01	2.08717E-04	1.41781E-04	2.52318E-04	34.1881	2
5.96362E+01	20	3.32868552207947	1.02135E+02	1.99778E-04	1.18332E-04	2.32193E-04	30.6389	2
4.71487E+01	20	3.32867097854614	1.08265E+02	1.90904E-04	8.83666E-05	2.10364E-04	24.8386	2
3.72759E+01	20	3.32865118980408	1.14635E+02	1.87162E-04	7.47915E-05	2.01552E-04	21.7821	2
2.94705E+01	20	3.32864451408386	1.21283E+02	1.84311E-04	5.50357E-05	1.92353E-04	16.6257	2
2.32995E+01	20	3.32869529724121	1.27869E+02	1.81924E-04	4.70828E-05	1.87918E-04	14.5101	2
1.84207E+01	20	3.32867670059204	1.33864E+02	1.81082E-04	3.59428E-05	1.84615E-04	11.2267	2
1.45635E+01	20	3.32869243621826	1.40219E+02	1.80874E-04	2.51994E-05	1.82621E-04	7.9314	2
1.15140E+01	20	3.32868504524231	1.46965E+02	1.80088E-04	1.71257E-05	1.80900E-04	5.4323	2
9.10298E+00	20	3.3287045955658	1.53024E+02	1.79687E-04	1.44959E-05	1.80271E-04	4.61222	2
7.19686E+00	20	3.32867527008057	1.59390E+02	1.81258E-04	8.43901E-06	1.81454E-04	2.66565	2
5.68987E+00	20	3.32871389389038	1.66153E+02	1.82039E-04	5.47848E-06	1.82121E-04	1.7238	2
4.49843E+00	20	3.32870078086853	1.72211E+02	1.82423E-04	2.43362E-06	1.82439E-04	0.764311	2
3.55648E+00	20	3.32872986793518	1.78519E+02	1.82223E-04	-8.73948E-07	1.82225E-04	-0.27479	2
2.81177E+00	20	3.32875180244446	1.85062E+02	1.85046E-04	-2.06490E-06	1.85058E-04	-0.639328	2
2.22300E+00	20	3.32869863510132	1.92008E+02	1.85616E-04	-4.13446E-06	1.85662E-04	-1.27601	2
1.75751E+00	20	3.32874941825867	1.99428E+02	1.85708E-04	-7.14985E-06	1.85845E-04	-2.20483	2
