CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAH1W3W7qOBC+plLfIdJKXSoVlB8IbaRccCBQdKBlCUt3j46EXHAhu8GmjtOWoz7VPsI+2c7YCTHt7uYq3+fxzHj+7G++/WD1iSTWIElpYC2oyBLOLKfpnJ/1uBBzmknriQvrIWFr/poFVnxn9WLPsSeuY7e9G8eyFn6z3XRcz256ALzmddNtObbroY74ldK9NRD0OadsdQisHmdS8NRa8FSSDT0/A+s0aDU6Ddd2fcuy5smOBo4feNeB7aETux1l8vwsettPidiRLIC/+WFPw1F/GY3iRTyY/TK8aFx0paQsJ2lMZWgDHmXRjP5BVzKci5wqYnRKaDTha6o2zAVhy4F4Xt6Gjm2fMGNgUANLJGBarg8SRlJF2E3bQY2EbejyNtlslUYNJ8naQGP+aqBuLnnEQscQZmpZeeUoG6mkAnzyKzAxwdgE2jmMRj9eRndKA/4i7xY+K8HCsD6VpBsBB0FO7TgymIxTZkpFwteay3BDn6bkoOSKqFZEWweRsvlrsir8ihNGu7v9CLwx0K8QWOXLF5LRUfV35EfZGETDAUkztAGVQHaZqgIPzyRonPI9/ar86m3p6s9Cs04sFPGUJ0xmCvbpOl/Jh0QY+rgckiLyvVwIqLgjLtbcj4vuSdE4qiZOy8YtOIPyNGUwLWQM3NZxKqFvFoETtivgmsAzQcsEbRP4JugogDmEolPV56homoz7ifE+MS1VgCbT/sT44fUHpqOYCWEwBQrj7imhbRuE95HQBzUIbdgg/I9Ep+wWekegRIfB9974+09uo3/Tbnh2w9kubdtpyjdZSE2J3P6/VDGhQlWlkLGyD2Ky26cUG0eU40FTKKNzfpfvHnEVfiNGHlPafUt0VZeFeSSi0UuGTQXc/Wq/IGkOpd/03GvHu7F937/xnY7yIJZ8H72gQ6UOtIdxwrmJbal74EX1UIhzWAUGov9eePFAEhnTFWfrQsc76P0XsqKiN7CAUtgfmGWtstqNZipeRej94p6lhxFblbCoDlShxexKJvogVLndUvpHs8qYwNkJHtkK6FBhvEs/Znl6dEF7bDK/JYQ/8udEh8JgGbIlhoqCqwb2aic8oHRX9cg+7GjFcNPBmMjUDCudg+mv5aoY0K+3P065frJJJFxkO87l1jiM4sfTQY/nkF4MOA5Fdf3oIGwYFwqX5qBUYgkX7JGA4SzJhLzBAs4ZyGFU3H/vF0MBetcJ2xwZmLr8Nd5Tui4crBKqw9P7vTKVy30uj1s11PeHqvUeTVNdcl1BCUw1yCX8HDf0KcsSeQg7zWtEENYUYr4JXYSqBVBqFul84v+cwnx3MQwx+MZC1z9WcJXeIZVKrnRTr6szHbkZhxjBuTXr6XvyP14ZoyzDJgbpss+1xinJs6ptC46nRJRivcMqpZma5n36RPJURkUnKgCX3hWYHLEnHhSXTH3XvbSvumhN5muKMHDx9rjCd0hCUuNdhbfKlXqOGCROnSt98QVtGx5juXgiK2ph3AOr+uCdVkTfZNUH2Tg/e6DwoJGf1iwX1tBa/fbHZQ39rHcva18SktUXlzVMfR2mw2Xt28/1++2uudr9/RcCEw37tUiImmoieOKxtVVM0+wfejheLJoKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32824993133545	1.01104E+01	5.33544E-04	1.03151E-03	1.16133E-03	62.65	2
7.90604E+02	20	3.32821583747864	1.72370E+01	4.81101E-04	8.55159E-04	9.81201E-04	60.6385	2
6.25055E+02	20	3.32822728157043	2.45458E+01	4.26469E-04	7.02799E-04	8.22072E-04	58.75	2
4.94171E+02	20	3.3282642364502	3.20551E+01	3.92099E-04	5.90995E-04	7.09237E-04	56.4375	2
3.90694E+02	20	3.32816791534424	3.97837E+01	3.59353E-04	4.85265E-04	6.03835E-04	53.479	2
3.08884E+02	20	3.32831048965454	4.78116E+01	3.29276E-04	4.13791E-04	5.28815E-04	51.4889	2
2.44205E+02	20	3.32836270332336	5.84425E+01	3.04092E-04	3.56395E-04	4.68497E-04	49.5277	2
1.93070E+02	20	3.32865762710571	6.69013E+01	2.81186E-04	3.01278E-04	4.12109E-04	46.9757	2
1.52642E+02	20	3.32829165458679	7.59498E+01	2.57068E-04	2.48052E-04	3.57231E-04	43.9775	2
1.20679E+02	20	3.32825469970703	8.44962E+01	2.41583E-04	2.11668E-04	3.21194E-04	41.2239	2
9.54095E+01	20	3.32833576202393	9.03002E+01	2.27298E-04	1.76038E-04	2.87496E-04	37.757	2
7.54312E+01	20	3.32834601402283	9.63420E+01	2.14646E-04	1.47858E-04	2.60643E-04	34.5609	2
5.96362E+01	20	3.32834076881409	1.02129E+02	2.05428E-04	1.23914E-04	2.39907E-04	31.0984	2
4.71487E+01	20	3.32831239700317	1.08262E+02	1.95818E-04	9.38927E-05	2.17164E-04	25.6173	2
3.72759E+01	20	3.32836079597473	1.14641E+02	1.92692E-04	7.98450E-05	2.08580E-04	22.5074	2
2.94705E+01	20	3.328369140625	1.21283E+02	1.86885E-04	5.92803E-05	1.96061E-04	17.5992	2
2.32995E+01	20	3.32835483551025	1.27869E+02	1.85410E-04	4.88732E-05	1.91743E-04	14.767	2
1.84207E+01	20	3.32835364341736	1.33871E+02	1.83379E-04	3.92499E-05	1.87532E-04	12.0812	2
1.45635E+01	20	3.32834601402283	1.40207E+02	1.82767E-04	2.72851E-05	1.84793E-04	8.49091	2
1.15140E+01	20	3.32837057113647	1.46951E+02	1.82525E-04	1.94195E-05	1.83555E-04	6.07305	2
9.10298E+00	20	3.32835078239441	1.53006E+02	1.82242E-04	1.64424E-05	1.82982E-04	5.15543	2
7.19686E+00	20	3.32834339141846	1.59366E+02	1.83547E-04	1.05184E-05	1.83848E-04	3.27982	2
5.68987E+00	20	3.32834911346436	1.66129E+02	1.83071E-04	5.36702E-06	1.83149E-04	1.67924	2
4.49843E+00	20	3.32834935188293	1.72194E+02	1.84534E-04	2.30025E-06	1.84548E-04	0.714166	2
3.55648E+00	20	3.32838153839111	1.78497E+02	1.83520E-04	-8.08517E-07	1.83522E-04	-0.252421	2
2.81177E+00	20	3.32837557792664	1.85045E+02	1.86064E-04	-1.91455E-06	1.86073E-04	-0.589539	2
2.22300E+00	20	3.32839894294739	1.92004E+02	1.87275E-04	-4.34446E-06	1.87326E-04	-1.32892	2
1.75751E+00	20	3.32834076881409	1.99426E+02	1.87737E-04	-5.77922E-06	1.87826E-04	-1.76322	2
