CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW3W7qOBC+plLfIdJKXSq1KD8Q2ki54ITQogMtS1i6e3Qk5IIL2Q02dZy2HPWp9hH2yXbGTohpd7W5yvd5PDOeP/ubbz9YfSKJNUgzGlhzKvKUM8tpOacnERdiRnNpPXFhPaRsxV/zwErurCjxHHvsOnbHu3Ysa+63Oi3H9eyWB8BrXbXctmO7HupIXindWQNBnwvKlvvAijiTgmfWnGeSrOnpCVinQfvS6Vy6tutbljVLtzRw3KBjB46PXmy3lMnTk/htNyFiS/IA/mb7HQ2H/UU8TObJYPrLzdnlWU9KygqSJVSGNuBhHk/pH3Qpw5koqCKGx4RGY76iasNMELYYiOfFbejY9hEzAgY1sFQCptX6IGUkU4Tdsh3USNiaLm7T9UZp1HCcrgw04q8G6hWSxyx0DGGmlpVXjrKRSSrAJ78GYxOMTKCdw2j0k0V8pzTgL/Ju6bMSLA3rU0m6FnAQ5NSOA4PJOGYmVKR8pbkcN/RpRvZKroxqTXR0ECmbvabL0q8kZbS33Q3BGwP9CoFVvnwhOR3Wfwd+mI9ANByQLEcbUAlkm6sq8PBMgiYZ39Gvyq9oQ5d/lpp1YqGKJzxlMlewT1fFUj6kwtDH5Q0pIx8VQkDFHXC55n5cdI+KxlE1cVw2bskZlKcpg2kjY+COjlMFfbMInLBTA9cEngnaJuiYwDdBVwHMIRSdqj5HRdNk3E+M94lpqwI0mc4nxg+vPjBdxYwJgzFQGnePCW3bILyPhD6oQWjDBuF/JLpVt9A7AiV6E3yPRt9/ci/70XUHp5CzWdiO35JvshSbELn5H7FyRoWqTiFnVSckZLvLKLaOqAaEplBGZ/2u2D7iKvzGjDxmtPeW6rquSvNAxMOXHNsKuPvlbk6yAoofZu11u9v1rvx2t+3rrkwk38Uv6FClA+1hpHByYmPqLnhRXRTiKFahgfi/l148kFQmdMnZqtTxDnr/hayp+A0soBR2COZZq6x3o5maVxF6P7tn2X7IlhUs6wNVaDG7lok/CNVut5X+4bQ2JnB6gke2AjpUGO/Kj2mRHVzQHpvMbynhj/w51aEwWIZshaGm4LKBvdoJDyjdVxHZhV2tGC47GBS5mmKVczD/tVwdA/r19scx10/XqYSrbMu53BiHUfxoMoh4AenFgONYVBeQDsKacaFwZQ5KJZFwxx4IGM+SjMkbLOCkgRzG5Q34fnYjQO8qZesDA3OXvyY7Slelg3VCdXii32tThdwV8rBVQ32DqFqPaJbpkusJSmCuQS7h57ChT1meyn3YbV0hgrBmEPN16CJULYBS01jnE/9nFCa8i2FIwDcWuv6hguv03lCp5Co39bo604GbcogRnFuznr4p/+OdMcxzbGKQrvpca5yQIq/btuR4RkQlFu2XGc3VPO/TJ1JkMi47UQG49i7A5JA98aC8Zprb3rl90UNrslhRhIGL98cFvkRSkhlPK7xXLtSDxCBx6lzoqw8eVPAeK8QTWVIL4x5Y9QdPtTL6Jqs+yMbpyQOFJ438tGa5sIbWmrc/zhvoZ7N33viSkrw5P29g6pswHc4b335u3m+2reX2778QmOim34iFaKgmgkceW1nlNM3/AackW5SdCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.24955129623413	1.01111E+01	5.11376E-04	1.00350E-03	1.12629E-03	62.997	2
7.90604E+02	20	3.24961733818054	1.72499E+01	4.53551E-04	8.28235E-04	9.44289E-04	61.2944	2
6.25055E+02	20	3.24942660331726	2.45492E+01	4.03970E-04	6.86100E-04	7.96194E-04	59.5108	2
4.94171E+02	20	3.24951577186584	3.20537E+01	3.67347E-04	5.61763E-04	6.71209E-04	56.8186	2
3.90694E+02	20	3.24941730499268	3.97962E+01	3.37158E-04	4.64497E-04	5.73962E-04	54.0258	2
3.08884E+02	20	3.24940085411072	4.78235E+01	3.15137E-04	3.88812E-04	5.00486E-04	50.9748	2
2.44205E+02	20	3.24964022636414	5.84509E+01	2.93774E-04	3.29187E-04	4.41212E-04	48.2536	2
1.93070E+02	20	3.24918937683105	6.69198E+01	2.74897E-04	2.73369E-04	3.87684E-04	44.8403	2
1.52642E+02	20	3.24939727783203	7.59607E+01	2.56552E-04	2.17318E-04	3.36224E-04	40.2669	2
1.20679E+02	20	3.24926090240479	8.45176E+01	2.45131E-04	1.78799E-04	3.03411E-04	36.1071	2
9.54095E+01	20	3.24946022033691	9.03138E+01	2.36430E-04	1.42366E-04	2.75984E-04	31.0541	2
7.54312E+01	20	3.24950385093689	9.63525E+01	2.30399E-04	1.12040E-04	2.56197E-04	25.933	2
5.96362E+01	20	3.24951267242432	1.02134E+02	2.27302E-04	8.79362E-05	2.43719E-04	21.1499	2
4.71487E+01	20	3.24951577186584	1.08275E+02	2.26751E-04	5.65930E-05	2.33707E-04	14.0137	2
3.72759E+01	20	3.249507188797	1.14651E+02	2.27669E-04	4.34926E-05	2.31786E-04	10.8152	2
2.94705E+01	20	3.2495756149292	1.21301E+02	2.30106E-04	2.51424E-05	2.31475E-04	6.23567	2
2.32995E+01	20	3.24955177307129	1.27884E+02	2.33133E-04	1.62448E-05	2.33698E-04	3.98594	2
1.84207E+01	20	3.24961161613464	1.33880E+02	2.35852E-04	6.63168E-06	2.35945E-04	1.61062	2
1.45635E+01	20	3.24961113929749	1.40235E+02	2.40870E-04	-1.20261E-06	2.40873E-04	-0.286063	2
1.15140E+01	20	3.24962759017944	1.46974E+02	2.44397E-04	-6.43466E-06	2.44482E-04	-1.50818	2
9.10298E+00	20	3.24964809417725	1.53034E+02	2.47424E-04	-9.40913E-06	2.47603E-04	-2.17781	2
7.19686E+00	20	3.24967122077942	1.59397E+02	2.51633E-04	-1.28025E-05	2.51958E-04	-2.91256	2
5.68987E+00	20	3.24961709976196	1.66173E+02	2.55175E-04	-1.56932E-05	2.55658E-04	-3.51923	2
4.49843E+00	20	3.24973940849304	1.72234E+02	2.58477E-04	-1.71034E-05	2.59042E-04	-3.78572	2
3.55648E+00	20	3.24973702430725	1.78536E+02	2.62314E-04	-1.96475E-05	2.63049E-04	-4.28349	2
2.81177E+00	20	3.24975562095642	1.85081E+02	2.63133E-04	-2.05108E-05	2.63931E-04	-4.45711	2
2.22300E+00	20	3.24976420402527	1.92028E+02	2.67663E-04	-2.37141E-05	2.68711E-04	-5.063	2
1.75751E+00	20	3.249751329422	1.99448E+02	2.70630E-04	-2.63490E-05	2.71910E-04	-5.5609	2
