CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW3W7qOBC+plLfIdJKXSq1KD8kbSPlggOBogMtS1i6e3Qk5IIL2Q02dZy2HPWp9hH2yXbGTohpd7W5yvd5PDOeP/tbYD9YPSKJ1U8zGlpzKvKUM8tpOacnXS7EjObSeuLCekjZir/moZXcWd3Ec+yx69i+d+NY1jxo+S3H9eyWB8BrXbfctmO7HupIXindWX1BnwvKlvvQ6nImBc+sOc8kWdPTE7BOw/al41+6thtYljVLtzR0nNC1Q/cGvdhuKZOnJ/HbbkLEluQh/M32OxoNe4t4mMyT/vSXwdnlWUdKygqSJVRGNuBhHk/pH3Qpo5koqCKGx4RGY76iasNMELboi+fFbeTY9hEzAgY1sFQCptV6P2UkU4Tdsh3USNiaLm7T9UZp1HCcrgw04q8G6hSSxyxyDGGmlpVXjrKRSSrAp6AGYxOMTKCdw2j0kkV8pzTgL/Ju6bMSLA3rU0m6FnAQ5NSOA4PJOGYmVKR8pbkcN/RoRvZKroxqTfg6iJTNXtNl6VeSMtrZ7obgjYF+hcAqX76QnA7rvwM/zEcgGvVJlqMNqASyzVUVeHgmQZOM7+hX5Vd3Q5d/lpp1YqGKJzxlMlewR1fFUj6kwtDH5YCUke8WQkDFHXC55n5cdI+KxlE1cVw2bskZlKcpg2kjY2Bfx6mCgVkETuTXwDWBZ4K2CXwTBCa4UgBzCEWnqs9R0TQZ9xPjfWLaqgBNxv/EBNH1B+ZKMWPCYAyUxt1jQts2CO8joQ9qENqwQQQfiauqW+gdgRIdhN+7o+8/uZe97o2PU8jZLGzHb8k3WYpNiNz8j1g5oyJVp5CzqhMSst1lFFtHVANCUyijs35XbB9xFX5jRh4z2nlLdV1XpXkg4uFLjm0F3P1yNydZAcXfcoPAuwnsth9ct691VyaS7+IXdKjSgfYwUjg5sTF1F7yoLopwFKvQQPzfSy8eSCoTuuRsVep4B73/QtZU/AYWUAo7BPOsVda70UzNqwi9n92zbD9kywqW9YEqtJhdy8QfhGq320r/cFobEzg9wSNbAR0qjHflx7TIDi5oj03mt5TwR/6c6lAYLEO2wlBTcNnAXu2EB5Tuqy7ZRVdaMVx2MChyNcUq52D+a7k6BvTr7Y9jrpeuUwlX2ZZzuTEOo/jRpN/lBaQXA45jUV1AOghrxoXClTkolUTCHXsgYDxLMiZvsICTBnIYlzfg+9lAgN5VytYHBuYuf012lK5KB+uE6vB0f69NFXJXyMNWDfUNomq9S7NMl1xHUAJzDXIJP4cNPcryVO6jq9Y1IghrBjFfRy5C1QIoNY11PvF/RmHCuxiGBHxjkRscKrhO74BKJVe5qdfVmQ7clEOM4Nya9fRN+R/vjGGeYxODdNXnWuOEFHndtiXHMyIqse5+mdFczfMefSJFJuOyExWAa+8CTA7ZEw/La6a57ZzbFx20JosVRQjvIvgu8CWSksx4WuG9cqEeJAaJU+dCX32hb8N7rBBPZEktjHto1R881crom6z6IBunJw8UnjTy05rlwhpaa97+OG+gn83OeeNLSvLm/LyBqW/CdDhvfPu5eb/Ztpbbv/9CYKJBrxEL0VBNBI88trLKaZr/A8V5GqqdCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.26641607284546	1.01123E+01	5.13330E-04	1.02276E-03	1.14435E-03	63.3475	2
7.90604E+02	20	3.26650047302246	1.72417E+01	4.63098E-04	8.41013E-04	9.60084E-04	61.1609	2
6.25055E+02	20	3.2665843963623	2.45397E+01	4.10372E-04	6.86358E-04	7.99683E-04	59.1249	2
4.94171E+02	20	3.26638126373291	3.20457E+01	3.73831E-04	5.64330E-04	6.76918E-04	56.4782	2
3.90694E+02	20	3.26633763313293	3.97724E+01	3.41103E-04	4.78228E-04	5.87413E-04	54.5011	2
3.08884E+02	20	3.26627326011658	4.78016E+01	3.10486E-04	3.92621E-04	5.00552E-04	51.6629	2
2.44205E+02	20	3.2663106918335	5.84282E+01	2.99229E-04	3.35345E-04	4.49438E-04	48.2574	2
1.93070E+02	20	3.26618123054504	6.69226E+01	2.78971E-04	2.77770E-04	3.93676E-04	44.8765	2
1.52642E+02	20	3.26621317863464	7.59609E+01	2.60290E-04	2.21273E-04	3.41632E-04	40.3679	2
1.20679E+02	20	3.26648163795471	8.45128E+01	2.49321E-04	1.83169E-04	3.09374E-04	36.3037	2
9.54095E+01	20	3.26655006408691	9.03107E+01	2.39500E-04	1.46873E-04	2.80948E-04	31.5187	2
7.54312E+01	20	3.26653099060059	9.63527E+01	2.32012E-04	1.14948E-04	2.58926E-04	26.3558	2
5.96362E+01	20	3.26656365394592	1.02150E+02	2.28209E-04	8.91042E-05	2.44988E-04	21.3281	2
4.71487E+01	20	3.26657795906067	1.08277E+02	2.26406E-04	5.93971E-05	2.34068E-04	14.7001	2
3.72759E+01	20	3.26654481887817	1.14655E+02	2.28254E-04	4.57933E-05	2.32802E-04	11.3443	2
2.94705E+01	20	3.26655912399292	1.21299E+02	2.31847E-04	2.74301E-05	2.33464E-04	6.74738	2
2.32995E+01	20	3.26656794548035	1.27892E+02	2.33510E-04	1.69383E-05	2.34123E-04	4.14886	2
1.84207E+01	20	3.26658868789673	1.33885E+02	2.38257E-04	7.85923E-06	2.38387E-04	1.88929	2
1.45635E+01	20	3.26662373542786	1.40223E+02	2.42297E-04	-4.84091E-07	2.42298E-04	-0.114472	2
1.15140E+01	20	3.26655673980713	1.46979E+02	2.45651E-04	-6.15863E-06	2.45728E-04	-1.43614	2
9.10298E+00	20	3.2666654586792	1.53042E+02	2.47259E-04	-8.24867E-06	2.47397E-04	-1.9107	2
7.19686E+00	20	3.26662254333496	1.59406E+02	2.51742E-04	-1.22314E-05	2.52039E-04	-2.78165	2
5.68987E+00	20	3.26667356491089	1.66171E+02	2.56047E-04	-1.52529E-05	2.56500E-04	-3.40913	2
4.49843E+00	20	3.266681432724	1.72231E+02	2.58770E-04	-1.72321E-05	2.59343E-04	-3.80985	2
3.55648E+00	20	3.26667475700378	1.78536E+02	2.63135E-04	-1.95968E-05	2.63864E-04	-4.25919	2
2.81177E+00	20	3.26676297187805	1.85077E+02	2.65861E-04	-2.19034E-05	2.66761E-04	-4.70978	2
2.22300E+00	20	3.26677703857422	1.92020E+02	2.67611E-04	-2.35394E-05	2.68644E-04	-5.02688	2
1.75751E+00	20	3.2667510509491	1.99449E+02	2.71271E-04	-2.57826E-05	2.72493E-04	-5.4293	2
1.38950E+00	20	3.26688480377197	2.07429E+02	2.75270E-04	-2.88125E-05	2.76774E-04	-5.97538	2
1.09854E+00	20	3.26691746711731	2.16218E+02	2.79588E-04	-3.10313E-05	2.81304E-04	-6.33332	2
8.68511E-01	20	3.26684021949768	2.23697E+02	2.83335E-04	-3.43305E-05	2.85408E-04	-6.9086	2
6.86649E-01	20	3.2668981552124	2.31781E+02	2.86916E-04	-3.73717E-05	2.89340E-04	-7.42117	2
5.42867E-01	20	3.26711344718933	2.40666E+02	2.90597E-04	-4.37676E-05	2.93874E-04	-8.5651	2
4.29193E-01	20	3.26738858222961	2.48190E+02	2.95355E-04	-5.05261E-05	2.99646E-04	-9.70756	2
3.39322E-01	20	3.26758289337158	2.56342E+02	3.02478E-04	-5.90715E-05	3.08192E-04	-11.0503	2
2.68270E-01	20	3.26778125762939	2.65358E+02	3.11511E-04	-6.52003E-05	3.18261E-04	-11.8215	2
2.12095E-01	20	3.26775908470154	2.75467E+02	3.21259E-04	-7.28785E-05	3.29422E-04	-12.7814	2
1.67683E-01	20	3.26773381233215	2.86830E+02	3.31531E-04	-8.07673E-05	3.41227E-04	-13.6917	2
1.32571E-01	20	3.26759362220764	2.99780E+02	3.42893E-04	-8.94006E-05	3.54356E-04	-14.6131	2
1.04811E-01	20	3.26738858222961	3.14724E+02	3.54850E-04	-9.91667E-05	3.68446E-04	-15.6136	2
8.28642E-02	20	3.26715087890625	3.32388E+02	3.67768E-04	-1.10244E-04	3.83937E-04	-16.6869	2
6.55128E-02	20	3.26687002182007	3.53305E+02	3.82274E-04	-1.23685E-04	4.01785E-04	-17.929	2
5.17947E-02	20	3.26658415794373	3.78217E+02	3.98550E-04	-1.38918E-04	4.22067E-04	-19.2164	2
4.09491E-02	20	3.26621556282043	4.08240E+02	4.16754E-04	-1.56099E-04	4.45030E-04	-20.5339	2
3.23746E-02	20	3.26579642295837	4.44749E+02	4.37996E-04	-1.76617E-04	4.72265E-04	-21.9612	2
2.55955E-02	20	3.26537179946899	4.89421E+02	4.62119E-04	-1.99429E-04	5.03315E-04	-23.3427	2
2.02359E-02	20	3.2649347782135	5.44453E+02	4.90237E-04	-2.24956E-04	5.39386E-04	-24.6491	2
1.59986E-02	20	3.26444220542908	6.12607E+02	5.22165E-04	-2.53696E-04	5.80533E-04	-25.913	2
1.26485E-02	20	3.26387095451355	6.97286E+02	5.59264E-04	-2.85093E-04	6.27738E-04	-27.0108	2
1.00000E-02	20	3.26329159736633	8.03597E+02	6.02325E-04	-3.18742E-04	6.81463E-04	-27.8872	2
