CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW227jNhB9doD8g4ACqQMkhi6+JAL04LXlRFg7cS3XaRcLGIzN2Gol0qGoJF7kq/oJ/bLOkJJFJy2qJ53D4cxwbuS3rv1gDYkk1ihJqW8tqMgTziyn5ZyeDLgQc5pL64kL6yFha/6a+1Z8Zw1iz7EnrmN3vGvHshbdVqfluJ7d8gB4rauW23Zs10Md8SulO2sk6HNB2WrvWwPOpOCpteCpJBt6egLWqd++dDqXru12LcuaJxn17Wu/Y/ttF73IMsrk6Un4tpsSkZHch7/5fkeDaLgMo3gRj2a/3JxdnvWlpKwgaUxlYAOO8nBG/6ArGcxFQRURHRMaTfiaqg1zQdhyJJ6Xt4Fj20fMGBjUwBIJmFbro4SRVBF2y3ZQI2EburxNNlulUcNJsjbQmL8aqF9IHrLAMYSZWlZeOcpGKqkAn7o1mJhgbALtHEZjGC/DO6UBf5F3S5+VYGlYn0rSjYCDIKd2HBhMxjEzpSLha83luGFIU7JXcmVUa6Kjg0jZ/DVZlX7FCaP9bBeBNwb6FQKrfPlCchrVfwc+yscgGoxImqMNqASS5aoKPDyToHHKd/Sr8muwpas/S806sVDFU54wmSs4pOtiJR8SYejj8oaUkR8UQkDFHXC55n5cdI+KxlE1cVw2bskZlKcpg2kjY+COjlMFu2YROEGnBq4JPBO0TdAxQdcEPQUwh1B0qvocFU2TcT8x3iemrQrQZDqfmG5w9YHpKWZCGIyB0rh7TGjbBuF9JPRBDUIbNojuR6JXdQu9I1CiN/73wfj7T+7lcHDdwSnkbJe2027JN1mKTYnc/o9YOaMCVaeQs6oTYpLtUoqtI6oBoSmU0Vm/K7JHXIXfkJHHlPbfEl3XVWkeiDB6ybGtgLtf7RYkLaD4W27vqt21OzA73XZHd2Us+S58QYcqHWgPI4WTExtTd8GL6qIAR7EKDcT/vfTigSQypivO1qWOd9D7L2RNhW9gAaWwQzDPWmW9G83UvIrQ+9k9S/cRW1WwrA9UocXsWib8IFS73Vb6o1ltTOD0BI9sBXSoMN6VH7MiPbigPTaZ3xLCH/lzokNhsAzZCkNNwWUDe7UTHlC6rwZkF/S0YrjsYFDkaopVzsH813J1DOjX2x/H3DDZJBKusoxzuTUOo/jxdDTgBaQXA45jUV1AOggbxoXClTkolVjCHXsgYDxLMiFvsICTBnIYljfg+9mNAL3rhG0ODMxd/hrvKF2XDtYJ1eEZ/F6bKuSukIetGuobRNX6gKapLrm+oATmGuQSfg4bhpTlidwHvdYVIghrCjHfBC5C1QIoNQt1PvF/TmHCuxiGGHxjgds9VHCd3hsqlVzlpl5XZzpwMw4xgnNr1tM35X+8M6I8xyYG6arPtcYpKfK6bUuOp0RUYoP9KqW5mudD+kSKVIZlJyoA194FmIzYE/fLa6aZ9c/tiz5ak8WaIvRdvD8u8CWSkNR4WuG9cqEeJAaJU+dCX33woIL3WCGeyIpaGHffqj94qpXRN1n1QTZOTx4oPGnkpzXLhTW01rz9cd5AP5v988aXhOTNxXkDU9+E6XDe+PZz836btVbZ338hMNHNsBEK0VBNBI88trbKaZr/A+qhq3ydCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.27854251861572	1.01165E+01	5.02444E-04	1.00021E-03	1.11932E-03	63.3279	2
7.90604E+02	20	3.2786340713501	1.72419E+01	4.53004E-04	8.34623E-04	9.49636E-04	61.5084	2
6.25055E+02	20	3.27866220474243	2.45532E+01	4.16366E-04	6.95340E-04	8.10468E-04	59.087	2
4.94171E+02	20	3.27866840362549	3.20636E+01	3.72812E-04	5.74084E-04	6.84516E-04	57.0002	2
3.90694E+02	20	3.27857112884521	3.97932E+01	3.43997E-04	4.78975E-04	5.89704E-04	54.3143	2
3.08884E+02	20	3.27843618392944	4.78323E+01	3.22335E-04	3.96280E-04	5.10821E-04	50.875	2
2.44205E+02	20	3.27861905097961	5.84597E+01	2.98336E-04	3.33022E-04	4.47111E-04	48.1446	2
1.93070E+02	20	3.27829217910767	6.69380E+01	2.78660E-04	2.76694E-04	3.92697E-04	44.7972	2
1.52642E+02	20	3.27864599227905	7.59932E+01	2.59783E-04	2.20765E-04	3.40917E-04	40.3581	2
1.20679E+02	20	3.27873349189758	8.45338E+01	2.48123E-04	1.81540E-04	3.07444E-04	36.1913	2
9.54095E+01	20	3.27878570556641	9.03289E+01	2.39532E-04	1.44795E-04	2.79895E-04	31.1526	2
7.54312E+01	20	3.27877926826477	9.63707E+01	2.32058E-04	1.13238E-04	2.58213E-04	26.011	2
5.96362E+01	20	3.27879762649536	1.02157E+02	2.29231E-04	8.93554E-05	2.46031E-04	21.2961	2
4.71487E+01	20	3.27874684333801	1.08289E+02	2.28395E-04	5.80475E-05	2.35656E-04	14.26	2
3.72759E+01	20	3.27878499031067	1.14664E+02	2.29294E-04	4.42863E-05	2.33532E-04	10.9316	2
2.94705E+01	20	3.27880072593689	1.21308E+02	2.32567E-04	2.58266E-05	2.33996E-04	6.33676	2
2.32995E+01	20	3.27876901626587	1.27911E+02	2.34559E-04	1.67742E-05	2.35158E-04	4.09046	2
1.84207E+01	20	3.27878785133362	1.33904E+02	2.37391E-04	7.02315E-06	2.37494E-04	1.69459	2
1.45635E+01	20	3.27880859375	1.40249E+02	2.42703E-04	5.05466E-07	2.42703E-04	0.119327	2
1.15140E+01	20	3.27879333496094	1.46993E+02	2.47410E-04	-6.26169E-06	2.47489E-04	-1.44979	2
9.10298E+00	20	3.27889037132263	1.53045E+02	2.48917E-04	-8.62365E-06	2.49066E-04	-1.9842	2
7.19686E+00	20	3.27887320518494	1.59406E+02	2.53747E-04	-1.28510E-05	2.54072E-04	-2.89927	2
5.68987E+00	20	3.27885580062866	1.66170E+02	2.57295E-04	-1.55988E-05	2.57768E-04	-3.46937	2
4.49843E+00	20	3.27886652946472	1.72234E+02	2.59600E-04	-1.70861E-05	2.60162E-04	-3.76561	2
3.55648E+00	20	3.27887630462646	1.78536E+02	2.63519E-04	-1.90334E-05	2.64206E-04	-4.13117	2
2.81177E+00	20	3.27892827987671	1.85079E+02	2.66420E-04	-2.03246E-05	2.67194E-04	-4.36253	2
2.22300E+00	20	3.27893829345703	1.92023E+02	2.69557E-04	-2.35147E-05	2.70581E-04	-4.98555	2
1.75751E+00	20	3.27893161773682	1.99450E+02	2.73257E-04	-2.57608E-05	2.74468E-04	-5.38554	2
