CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW3W7iOBS+plLfIdJKXSq1KD8EmEi5YEJo0UDLEpbujkZCHnAhu8GmjtOWUZ9qH2GfbM+xE2LaXW2u8n0+Puf4/NlfO/aDNSCSWMM0o4G1oCJPObOclnN+FnEh5jSX1iMX1kPK1vwlD6zkzooSz7EnrmP73ifHshadlt9yXM9ueQC8Vq/lth3b9VBH8kLp3hoK+lRQtjoEVsSZFDyzFjyTZEPPz8A6DdrXjn/t2m7Hsqx5uqOB3QtcO/B99GK3o0yen8Wv+ykRO5IH8Dc/7Gk4GizjUbJIhrNfbi6uL/pSUlaQLKEytAGP8nhG/6ArGc5FQRUxOiU0mvA1VRvmgrDlUDwtb0PHtk+YMTCogaUSMK3WhykjmSLslu2gRsI2dHmbbrZKo4aTdG2gMX8xUL+QPGahYwgztay8cpSNTFIBPnVqMDHB2ATaOYzGIFnGd0oD/iLvlj4rwdKwPpWkGwEHQU7tODKYjFNmSkXK15rLccOAZuSg5Mqo1oSvg0jZ/CVdlX4lKaP93X4E3hjoVwis8uUzyemo/jvyo3wMouGQZDnagEogu1xVgYdnEjTJ+J5+UX5FW7r6s9SsEwtVPOUpk7mCA7ouVvIhFYY+Lm9IGfmoEAIq7ojLNff9ontSNI6qidOycUvOoDxNGUwbGQP7Ok4V7JhF4IR+DVwTeCZom8A3QccEXQUwh1B0qvocFU2TcT8w3gemrQrQZPwPTCfsvWO6ipkQBmOgNO6eEtq2QXjvCX1Qg9CGDaLznuhW3ULvCJToTfAtGn/7yb0eRJ98nELOdmk7Xku+ylJsSuT2f8TKGRWqOoWcVZ2QkN0+o9g6ohoQmkIZnfW7YvcdV+E3ZuR7Rvuvqa7rqjSPRDx6zrGtgLtf7RckK6D4W27P9nsdt+12un63pzxIJN/Hz+hQpQPtYaRwcmJj6i54Vl0U4ihWoYH4v5VePJBUJnTF2brU8QZ6/4WsqfgVLKAUdgjmWausd6OZmlcReru4Z9lhxFYVLOsDVWgxu5aJ3wnVbreV/tGsNiZweoJHtgI6VBjvyo9ZkR1d0B6bzG8p4d/5U6pDYbAM2QpDTcFlA3u1Ex5Quq8isg+7WjFcdjAocjXFKudg/mu5Ogb0y+2PU26QblIJV9mOc7k1DqP48XQY8QLSiwHHsaguIB2EDeNC4coclEoi4Y49EjCeJZmQV1jASQM5jMsb8O3iRoDedco2RwbmLn9J9pSuSwfrhOrwRL/Xpgq5L+Rxq4b6BlG1HtEs0yXXF5TAXINcws9xw4CyPJWHsNvqIYKwZhDzTegiVC2AUrNY5xP/5xQmvIthSMA3FrqdYwXX6b2hUslVbup1daYjN+MQIzi3Zj19U/7HO2OU59jEIF31udY4JUVet23J8YyISiw6rDKaq3k+oI+kyGRcdqICcO1dgckRe+RBec00d/1L+6qP1mSxpgjhXQTfFb5EUpIZTyu8V67Ug8Qgcepc6asv8G14jxXikayohXEPrPqDp1oZfZNVH2Tj/OyBwpNGflizXFhDa83bH5cN9LPZv2x8TkneXFw2MPVNmA6Xja8/N++3u9Zq9/dfCEx0M2jEQjRUE8Ejj62tcprm/wB+voGfnQoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28066325187683	1.01232E+01	5.31035E-04	1.01891E-03	1.14899E-03	62.4724	2
7.90604E+02	20	3.28072428703308	1.72590E+01	4.67561E-04	8.50520E-04	9.70565E-04	61.2008	2
6.25055E+02	20	3.28075528144836	2.45559E+01	4.23297E-04	7.00488E-04	8.18452E-04	58.8559	2
4.94171E+02	20	3.28084897994995	3.20477E+01	3.72449E-04	5.81182E-04	6.90283E-04	57.3464	2
3.90694E+02	20	3.28079462051392	3.97884E+01	3.51762E-04	4.81240E-04	5.96094E-04	53.8351	2
3.08884E+02	20	3.28064322471619	4.78282E+01	3.16418E-04	3.99977E-04	5.10002E-04	51.6528	2
2.44205E+02	20	3.28081059455872	5.84588E+01	3.04466E-04	3.39941E-04	4.56354E-04	48.1509	2
1.93070E+02	20	3.28062224388123	6.69314E+01	2.85323E-04	2.82815E-04	4.01738E-04	44.7471	2
1.52642E+02	20	3.28067326545715	7.59789E+01	2.64036E-04	2.24841E-04	3.46798E-04	40.4162	2
1.20679E+02	20	3.28094816207886	8.45301E+01	2.51752E-04	1.87978E-04	3.14189E-04	36.748	2
9.54095E+01	20	3.28089761734009	9.03321E+01	2.42501E-04	1.50405E-04	2.85357E-04	31.8082	2
7.54312E+01	20	3.28083515167236	9.63789E+01	2.34455E-04	1.16945E-04	2.62002E-04	26.5099	2
5.96362E+01	20	3.28082251548767	1.02171E+02	2.30759E-04	9.21656E-05	2.48484E-04	21.7718	2
4.71487E+01	20	3.28083610534668	1.08315E+02	2.28473E-04	6.08459E-05	2.36437E-04	14.9126	2
3.72759E+01	20	3.28080224990845	1.14685E+02	2.29224E-04	4.73172E-05	2.34057E-04	11.6634	2
2.94705E+01	20	3.28086018562317	1.21346E+02	2.33373E-04	2.79042E-05	2.35035E-04	6.81846	2
2.32995E+01	20	3.28089928627014	1.27932E+02	2.35410E-04	1.89936E-05	2.36175E-04	4.61281	2
1.84207E+01	20	3.28087759017944	1.33928E+02	2.38000E-04	1.01844E-05	2.38218E-04	2.45029	2
1.45635E+01	20	3.28087282180786	1.40267E+02	2.43271E-04	5.20547E-07	2.43272E-04	0.1226	2
1.15140E+01	20	3.2808678150177	1.47012E+02	2.48208E-04	-6.08228E-06	2.48282E-04	-1.40374	2
9.10298E+00	20	3.28091835975647	1.53067E+02	2.49578E-04	-8.33232E-06	2.49717E-04	-1.91215	2
7.19686E+00	20	3.28088450431824	1.59427E+02	2.53449E-04	-1.12835E-05	2.53700E-04	-2.54911	2
5.68987E+00	20	3.28087973594666	1.66190E+02	2.56503E-04	-1.49212E-05	2.56936E-04	-3.32925	2
4.49843E+00	20	3.28092622756958	1.72269E+02	2.60470E-04	-1.79881E-05	2.61090E-04	-3.95058	2
3.55648E+00	20	3.28093075752258	1.78570E+02	2.63586E-04	-1.93838E-05	2.64298E-04	-4.2059	2
2.81177E+00	20	3.28097605705261	1.85113E+02	2.65657E-04	-2.13101E-05	2.66510E-04	-4.58626	2
2.22300E+00	20	3.28102517127991	1.92060E+02	2.70082E-04	-2.27844E-05	2.71042E-04	-4.82211	2
1.75751E+00	20	3.28099203109741	1.99490E+02	2.72549E-04	-2.52809E-05	2.73719E-04	-5.29944	2
1.38950E+00	20	3.28112268447876	2.07477E+02	2.76927E-04	-2.77059E-05	2.78309E-04	-5.7133	2
1.09854E+00	20	3.28115391731262	2.16262E+02	2.80657E-04	-3.01783E-05	2.82275E-04	-6.13727	2
8.68511E-01	20	3.28103709220886	2.23750E+02	2.84609E-04	-3.33536E-05	2.86557E-04	-6.68407	2
6.86649E-01	20	3.28110718727112	2.31830E+02	2.87412E-04	-3.64079E-05	2.89709E-04	-7.2195	2
5.42867E-01	20	3.28133940696716	2.40714E+02	2.92102E-04	-4.14165E-05	2.95024E-04	-8.07004	2
4.29193E-01	20	3.28161072731018	2.48240E+02	2.96865E-04	-4.90643E-05	3.00893E-04	-9.38471	2
3.39322E-01	20	3.28177952766418	2.56379E+02	3.03384E-04	-5.53599E-05	3.08393E-04	-10.3413	2
2.68270E-01	20	3.28190732002258	2.65428E+02	3.11958E-04	-6.27023E-05	3.18197E-04	-11.3648	2
2.12095E-01	20	3.28188800811768	2.75534E+02	3.21486E-04	-6.94030E-05	3.28892E-04	-12.1822	2
1.67683E-01	20	3.28182768821716	2.86902E+02	3.31894E-04	-7.69072E-05	3.40688E-04	-13.0464	2
1.32571E-01	20	3.2817063331604	2.99846E+02	3.42605E-04	-8.48359E-05	3.52952E-04	-13.9078	2
1.04811E-01	20	3.28151726722717	3.14788E+02	3.54326E-04	-9.38580E-05	3.66546E-04	-14.8364	2
8.28642E-02	20	3.28128027915955	3.32455E+02	3.66840E-04	-1.03950E-04	3.81284E-04	-15.8208	2
6.55128E-02	20	3.28101682662964	3.53327E+02	3.80882E-04	-1.15854E-04	3.98112E-04	-16.9184	2
5.17947E-02	20	3.28072381019592	3.78229E+02	3.96645E-04	-1.29584E-04	4.17276E-04	-18.0922	2
4.09491E-02	20	3.280353307724	4.08255E+02	4.14535E-04	-1.45351E-04	4.39279E-04	-19.3225	2
3.23746E-02	20	3.28003811836243	4.44770E+02	4.34402E-04	-1.63305E-04	4.64084E-04	-20.6028	2
2.55955E-02	20	3.27968406677246	4.89440E+02	4.57675E-04	-1.83296E-04	4.93015E-04	-21.8258	2
2.02359E-02	20	3.2792432308197	5.44476E+02	4.84517E-04	-2.05523E-04	5.26304E-04	-22.9857	2
1.59986E-02	20	3.27871608734131	6.12589E+02	5.13674E-04	-2.30666E-04	5.63088E-04	-24.1825	2
1.26485E-02	20	3.27824211120605	6.97265E+02	5.48114E-04	-2.57350E-04	6.05522E-04	-25.151	2
1.00000E-02	20	3.27774286270142	8.03576E+02	5.87996E-04	-2.85535E-04	6.53658E-04	-25.9015	2
