CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW3W7qOBC+plLfIdJKXSq1KD+E0ki54ITQogMtS1i6e3Qk5IIL2Q02dZy2HPWp9hH2yXbGTohpd7W5yvd5PDOeP/tbx36w+kQSa5BmNLDmVOQpZ5bTck5PIi7EjObSeuLCekjZir/mgZXcWVHiOfbYdWzfu3Ysa95p+S3H9eyWB8BrdVtu27FdD3Ukr5TurIGgzwVly31gRZxJwTNrzjNJ1vT0BKzToH3p+Jeu7XYsy5qlWxrYncB3AruLXmy3lMnTk/htNyFiS/IA/mb7HQ2H/UU8TObJYPrLzdnlWU9KygqSJVSGNuBhHk/pH3Qpw5koqCKGx4RGY76iasNMELYYiOfFbejY9hEzAgY1sFQCptX6IGUkU4Tdsh3USNiaLm7T9UZp1HCcrgw04q8G6hWSxyx0DGGmlpVXjrKRSSrAp04NxiYYmUA7h9HoJ4v4TmnAX+Td0mclWBrWp5J0LeAgyKkdBwaTccxMqEj5SnM5bujTjOyVXBnVmvB1ECmbvabL0q8kZbS33Q3BGwP9CoFVvnwhOR3Wfwd+mI9ANByQLEcbUAlkm6sq8PBMgiYZ39Gvyq9oQ5d/lpp1YqGKJzxlMlewT1fFUj6kwtDH5Q0pIx8VQkDFHXC55n5cdI+KxlE1cVw2bskZlKcpg2kjY2Bfx6mCHbMInNCvgWsCzwRtE/gm6JjgSgHMIRSdqj5HRdNk3E+M94lpqwI0Gf8T0wm7H5grxYwJgzFQGnePCW3bILyPhD6oQWjDBtH5SFxV3ULvCJToTfA9Gn3/yb3sR9c+TiFns7AdtyXfZCk2IXLzP2LljApVnULOqk5IyHaXUWwdUQ0ITaGMzvpdsX3EVfiNGXnMaO8t1XVdleaBiIcvObYVcPfL3ZxkBRR/y+063rXddrt+27OvlQeJ5Lv4BR2qdKA9jBROTmxM3QUvqotCHMUqNBD/99KLB5LKhC45W5U63kHvv5A1Fb+BBZTCDsE8a5X1bjRT8ypC72f3LNsP2bKCZX2gCi1m1zLxB6Ha7bbSP5zWxgROT/DIVkCHCuNd+TEtsoML2mOT+S0l/JE/pzoUBsuQrTDUFFw2sFc74QGl+yoiu/BKK4bLDgZFrqZY5RzMfy1Xx4B+vf1xzPXTdSrhKttyLjfGYRQ/mgwiXkB6MeA4FtUFpIOwZlwoXJmDUkkk3LEHAsazJGPyBgs4aSCHcXkDvp/dCNC7Stn6wMDc5a/JjtJV6WCdUB2e6PfaVCF3hTxs1VDfIKrWI5pluuR6ghKYa5BL+Dls6FOWp3IfXrW6iCCsGcR8HboIVQug1DTW+cT/GYUJ72IYEvCNhW7nUMF1em+oVHKVm3pdnenATTnECM6tWU/flP/xzhjmOTYxSFd9rjVOSJHXbVtyPCOiEov2y4zmap736RMpMhmXnagAXHsXYHLInnhQXjPNbe/cvuihNVmsKMLAxfvjAl8iKcmMpxXeKxfqQWKQOHUu9NUX+Da8xwrxRJbUwrgHVv3BU62MvsmqD7JxevJA4UkjP61ZLqyhtebtj/MG+tnsnTe+pCRvzs8bmPomTIfzxrefm/ebbWu5/fsvBCa66TdiIRqqieCRx1ZWOU3zfwCf1FCanQoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28144955635071	1.01177E+01	5.15919E-04	1.01647E-03	1.13991E-03	63.0895	2
7.90604E+02	20	3.28155636787415	1.72485E+01	4.54872E-04	8.31807E-04	9.48057E-04	61.328	2
6.25055E+02	20	3.28140377998352	2.45481E+01	4.08721E-04	7.02822E-04	8.13027E-04	59.8202	2
4.94171E+02	20	3.28155374526978	3.20381E+01	3.82859E-04	5.70863E-04	6.87361E-04	56.1516	2
3.90694E+02	20	3.28166055679321	3.97602E+01	3.36851E-04	4.64999E-04	5.74189E-04	54.08	2
3.08884E+02	20	3.28172159194946	4.77938E+01	3.13391E-04	3.89560E-04	4.99971E-04	51.1842	2
2.44205E+02	20	3.28173041343689	5.84318E+01	2.98978E-04	3.34581E-04	4.48701E-04	48.2164	2
1.93070E+02	20	3.28161525726318	6.69021E+01	2.79092E-04	2.77977E-04	3.93908E-04	44.8853	2
1.52642E+02	20	3.28170251846313	7.59609E+01	2.60325E-04	2.20564E-04	3.41200E-04	40.2734	2
1.20679E+02	20	3.28161382675171	8.45086E+01	2.48893E-04	1.83237E-04	3.09069E-04	36.3608	2
9.54095E+01	20	3.28165555000305	9.03016E+01	2.39609E-04	1.45702E-04	2.80431E-04	31.3031	2
7.54312E+01	20	3.28163599967957	9.63415E+01	2.31975E-04	1.15389E-04	2.59089E-04	26.4468	2
5.96362E+01	20	3.28165793418884	1.02132E+02	2.29263E-04	8.96518E-05	2.46168E-04	21.3577	2
4.71487E+01	20	3.28165984153748	1.08260E+02	2.28093E-04	5.95023E-05	2.35727E-04	14.6208	2
3.72759E+01	20	3.28164768218994	1.14630E+02	2.27646E-04	4.55725E-05	2.32162E-04	11.3204	2
2.94705E+01	20	3.28168702125549	1.21284E+02	2.31215E-04	2.65825E-05	2.32738E-04	6.55841	2
2.32995E+01	20	3.28165125846863	1.27872E+02	2.33643E-04	1.73891E-05	2.34289E-04	4.25646	2
1.84207E+01	20	3.28169703483582	1.33864E+02	2.37772E-04	8.77809E-06	2.37934E-04	2.11429	2
1.45635E+01	20	3.28170871734619	1.40205E+02	2.41949E-04	-2.50154E-08	2.41949E-04	-0.00592388	2
1.15140E+01	20	3.28169536590576	1.46949E+02	2.46586E-04	-6.22731E-06	2.46665E-04	-1.44665	2
9.10298E+00	20	3.28175592422485	1.53012E+02	2.48533E-04	-7.61135E-06	2.48650E-04	-1.75414	2
7.19686E+00	20	3.28170680999756	1.59376E+02	2.53773E-04	-1.22776E-05	2.54070E-04	-2.76981	2
5.68987E+00	20	3.28175044059753	1.66147E+02	2.56460E-04	-1.45188E-05	2.56871E-04	-3.24019	2
4.49843E+00	20	3.2817177772522	1.72208E+02	2.60133E-04	-1.73834E-05	2.60713E-04	-3.82311	2
3.55648E+00	20	3.28176331520081	1.78513E+02	2.63243E-04	-1.88074E-05	2.63914E-04	-4.08654	2
2.81177E+00	20	3.28178310394287	1.85053E+02	2.64980E-04	-2.06754E-05	2.65786E-04	-4.46153	2
2.22300E+00	20	3.28183650970459	1.92002E+02	2.68724E-04	-2.26091E-05	2.69674E-04	-4.80926	2
1.75751E+00	20	3.28178524971008	1.99424E+02	2.71136E-04	-2.52755E-05	2.72311E-04	-5.32578	2
1.38950E+00	20	3.28191828727722	2.07419E+02	2.75666E-04	-2.72827E-05	2.77013E-04	-5.65216	2
1.09854E+00	20	3.28194618225098	2.16207E+02	2.79803E-04	-3.01523E-05	2.81423E-04	-6.15061	2
8.68511E-01	20	3.28186440467834	2.23695E+02	2.83198E-04	-3.25429E-05	2.85062E-04	-6.55522	2
6.86649E-01	20	3.2819185256958	2.31776E+02	2.86201E-04	-3.56658E-05	2.88414E-04	-7.10347	2
5.42867E-01	20	3.28212213516235	2.40655E+02	2.90932E-04	-4.07569E-05	2.93773E-04	-7.97471	2
4.29193E-01	20	3.28235101699829	2.48182E+02	2.94714E-04	-4.70312E-05	2.98443E-04	-9.06696	2
3.39322E-01	20	3.28256583213806	2.56332E+02	3.01997E-04	-5.44403E-05	3.06865E-04	-10.2188	2
2.68270E-01	20	3.28271484375	2.65352E+02	3.10718E-04	-6.09580E-05	3.16641E-04	-11.0996	2
2.12095E-01	20	3.28264927864075	2.75459E+02	3.20075E-04	-6.78342E-05	3.27184E-04	-11.9658	2
1.67683E-01	20	3.2825973033905	2.86824E+02	3.30254E-04	-7.50279E-05	3.38670E-04	-12.7993	2
1.32571E-01	20	3.28245067596436	2.99784E+02	3.40748E-04	-8.25333E-05	3.50601E-04	-13.6155	2
1.04811E-01	20	3.28229427337646	3.14725E+02	3.52044E-04	-9.12775E-05	3.63685E-04	-14.5355	2
8.28642E-02	20	3.28207039833069	3.32444E+02	3.64145E-04	-1.00881E-04	3.77860E-04	-15.4846	2
6.55128E-02	20	3.28182554244995	3.53310E+02	3.78390E-04	-1.12353E-04	3.94718E-04	-16.5373	2
5.17947E-02	20	3.28150939941406	3.78220E+02	3.93355E-04	-1.25215E-04	4.12804E-04	-17.6576	2
4.09491E-02	20	3.28119945526123	4.08249E+02	4.10964E-04	-1.40266E-04	4.34241E-04	-18.8453	2
3.23746E-02	20	3.28086066246033	4.44757E+02	4.30519E-04	-1.57218E-04	4.58327E-04	-20.0613	2
2.55955E-02	20	3.28047919273376	4.89476E+02	4.53133E-04	-1.76215E-04	4.86191E-04	-21.2502	2
2.02359E-02	20	3.28007936477661	5.44512E+02	4.78766E-04	-1.97441E-04	5.17881E-04	-22.411	2
1.59986E-02	20	3.27955770492554	6.12626E+02	5.08152E-04	-2.20957E-04	5.54112E-04	-23.5006	2
1.26485E-02	20	3.27910280227661	6.97304E+02	5.41069E-04	-2.45769E-04	5.94271E-04	-24.4289	2
1.00000E-02	20	3.2786340713501	8.03613E+02	5.79997E-04	-2.72041E-04	6.40626E-04	-25.1284	2
