CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW627qOBD+TaW+Q6SVulRqUS5c2kj5wQmhRQdalrB09+hIyAUXspvY1HHactSn2kfYJ9sZOyGm3dUifuT7PJ4Zz83+1rUfrAGRxBomKfWtBRV5wpnltJzTk5ALMae5tJ64sB4StuavuW/Fd1YYe449cR274107lrXotjotx/XslgfAa1213LZjux7qiF8p3VlDQZ8LylZ73wo5k4Kn1oKnkmzo6QlYp3770ulcurbbtSxrnmTUtzu+68AfvcgyyuTpSfS2mxKRkdyHr/l+R4PRYBmN4kU8nP1yc3Z51peSsoKkMZWBDXiURzP6B13JYC4KqojRMaHRhK+p2jAXhC2H4nl5Gzi2fcSMgUENLJGAabU+TBhJFWG3bAc1Erahy9tks1UaNZwkawON+auB+oXkEQscQ5ipZeWVo2ykkgrwqVuDiQnGJtDOYTQG8TK6UxrwE3m39FkJlob1qSTdCDgIcmrHgcFkHDNTKhK+1lyOGwY0JXslV0a1Jjo6iJTNX5NV6VecMNrPdiPwxkC/QmCVL19ITkf114Ef5WMQDYYkzdEGVALJclUFHp5J0DjlO/pV+RVu6erPUrNOLFTxlCdM5goO6LpYyYdEGPq4vCFl5MNCCKi4Ay7X3I+L7lHROKomjsvGLTmD8jRlMG1kDNzRcapg1ywCJ+jUwDWBZ4K2CTom6JqgpwDmEIpOVZ+jomky7ifG+8S0VQGaTOcT0w2uPjA9xUwIgzFQGnePCW3bILyPhD6oQWjDBtH9SPSqbqF3BEr0xv8ejr//5F4OwusOTiFnu7QdpyXfZCk2JXL7P2LljApUnULOqk6ISbZLKbaOqAaEplBGZ/2uyB5xFT4jRh5T2n9LdF1XpXkgotFLjm0F3P1qtyBpAcXfcq9cp+N53d71ddd1lQex5LvoBR2qdKA9jBROTmxM3QUvqosCHMUqNBD/99KLB5LImK44W5c63kHvv5A1Fb2BBZTCDsE8a5X1bjRT8ypC72f3LN2P2KqCZX2gCi1m1zLRB6Ha7bbSP5rVxgROT/DIVkCHCuNd+TEr0oML2mOT+S0h/JE/JzoUBsuQrTDUFFw2sFc74QGl+yoku6CnFcNlB4MiV1Oscg7mv5arY0C/3v445gbJJpFwlWWcy61xGMWPp8OQF5BeDDiORXUB6SBsGBcKV+agVGIJd+yBgPEsyYS8wQJOGshhVN6A72c3AvSuE7Y5MDB3+Wu8o3RdOlgnVIcn/L02VchdIQ9bNdQ3iKr1kKapLrm+oATmGuQSPg4bBpTlidwHvdYVIghrCjHfBC5C1QIoNYt0PvF7TmHCuxiGGHxjgds9VHCd3hsqlVzlpl5XZzpwMw4xgnNr1tM35X+8M0Z5jk0M0lWfa41TUuR125YcT4moxML9KqW5mucD+kSKVEZlJyoA194FmByxJ+6X10wz65/bF320Jos1Rei7eH9c4EskIanxtMJ75UI9SAwSp86Fvvr8jg3vsUI8kRW1MO6+Vf/goVVG32TVD7JxevJA4UkjP61ZLqyhtebtj/MG+tnsnze+JCRvLs4bmPomTIfzxrefm/fbrLXK/v4LgYluBo1IiIZqInjksbVVTtP8H2RzD1idCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28218722343445	1.01396E+01	5.11902E-04	1.01238E-03	1.13444E-03	63.177	2
7.90604E+02	20	3.28233242034912	1.72720E+01	4.57394E-04	8.32487E-04	9.49865E-04	61.2143	2
6.25055E+02	20	3.28232860565186	2.45710E+01	4.12667E-04	6.90073E-04	8.04049E-04	59.1204	2
4.94171E+02	20	3.28222465515137	3.20556E+01	3.79183E-04	5.69845E-04	6.84473E-04	56.3596	2
3.90694E+02	20	3.28231287002563	3.97830E+01	3.46291E-04	4.76744E-04	5.89239E-04	54.0066	2
3.08884E+02	20	3.28216552734375	4.78272E+01	3.15295E-04	3.91843E-04	5.02943E-04	51.1782	2
2.44205E+02	20	3.28237342834473	5.84738E+01	2.98380E-04	3.33364E-04	4.47395E-04	48.1697	2
1.93070E+02	20	3.28246760368347	6.69393E+01	2.78746E-04	2.76972E-04	3.92954E-04	44.817	2
1.52642E+02	20	3.28225302696228	7.59860E+01	2.60757E-04	2.21021E-04	3.41825E-04	40.285	2
1.20679E+02	20	3.28226017951965	8.45491E+01	2.47040E-04	1.82570E-04	3.07181E-04	36.4655	2
9.54095E+01	20	3.28215146064758	9.03521E+01	2.39445E-04	1.45567E-04	2.80220E-04	31.2969	2
7.54312E+01	20	3.28225779533386	9.63912E+01	2.30483E-04	1.15117E-04	2.57632E-04	26.5403	2
5.96362E+01	20	3.28226661682129	1.02188E+02	2.28108E-04	8.89349E-05	2.44832E-04	21.2998	2
4.71487E+01	20	3.28228569030762	1.08330E+02	2.26564E-04	5.99065E-05	2.34350E-04	14.8108	2
3.72759E+01	20	3.28228640556335	1.14699E+02	2.28530E-04	4.48198E-05	2.32883E-04	11.0962	2
2.94705E+01	20	3.28232431411743	1.21339E+02	2.31282E-04	2.60458E-05	2.32744E-04	6.4253	2
2.32995E+01	20	3.28232574462891	1.27931E+02	2.33819E-04	1.73174E-05	2.34459E-04	4.23577	2
1.84207E+01	20	3.28233885765076	1.33924E+02	2.37751E-04	8.23400E-06	2.37894E-04	1.98352	2
1.45635E+01	20	3.28234434127808	1.40267E+02	2.42149E-04	-1.69554E-07	2.42149E-04	-0.0401187	2
1.15140E+01	20	3.28239846229553	1.47026E+02	2.46168E-04	-5.07935E-06	2.46220E-04	-1.18206	2
9.10298E+00	20	3.28243827819824	1.53078E+02	2.47842E-04	-9.03948E-06	2.48007E-04	-2.08881	2
7.19686E+00	20	3.28237080574036	1.59439E+02	2.52138E-04	-1.13827E-05	2.52395E-04	-2.58485	2
5.68987E+00	20	3.28236365318298	1.66203E+02	2.56566E-04	-1.44466E-05	2.56973E-04	-3.22277	2
4.49843E+00	20	3.28242301940918	1.72266E+02	2.60693E-04	-1.62596E-05	2.61200E-04	-3.56896	2
3.55648E+00	20	3.28242206573486	1.78571E+02	2.63090E-04	-2.01066E-05	2.63857E-04	-4.37032	2
2.81177E+00	20	3.28244209289551	1.85117E+02	2.65477E-04	-2.01298E-05	2.66239E-04	-4.33616	2
2.22300E+00	20	3.28254365921021	1.92059E+02	2.68505E-04	-2.24234E-05	2.69440E-04	-4.7738	2
1.75751E+00	20	3.28247499465942	1.99499E+02	2.71164E-04	-2.48360E-05	2.72299E-04	-5.23314	2
