CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW3W7qOBC+plLfIdJKXSq1KD+EtpFywQmBogMtS1i6e3Qk5IIL2Q02dZy2HPWp9hH2yXbGTohpd7W5yvd5PDOeP/tbx36wekQSq59mNLDmVOQpZ5bTck5PIi7EjObSeuLCekjZir/mgZXcWVHiOfbYdWzfu3Esa95p+S3H9eyWB8BrXbfctmO7HupIXindWX1BnwvKlvvAijiTgmfWnGeSrOnpCVinQfvS8S9d2+1YljVLtzSwvcB3Aq+NXmy3lMnTk/htNyFiS/IA/mb7HQ2HvUU8TOZJf/rL4OzyrCslZQXJEipDG/Awj6f0D7qU4UwUVBHDY0KjMV9RtWEmCFv0xfPiNnRs+4gZAYMaWCoB02q9nzKSKcJu2Q5qJGxNF7fpeqM0ajhOVwYa8VcDdQvJYxY6hjBTy8orR9nIJBXgU6cGYxOMTKCdw2j0kkV8pzTgL/Ju6bMSLA3rU0m6FnAQ5NSOA4PJOGYmVKR8pbkcN/RoRvZKroxqTfg6iJTNXtNl6VeSMtrd7obgjYF+hcAqX76QnA7rvwM/zEcgGvZJlqMNqASyzVUVeHgmQZOM7+hX5Ve0ocs/S806sVDFE54ymSvYo6tiKR9SYejjckDKyEeFEFBxB1yuuR8X3aOicVRNHJeNW3IG5WnKYNrIGNjXcapgxywCJ/Rr4JrAM0HbBL4JOia4UgBzCEWnqs9R0TQZ9xPjfWLaqgBNxv/EdMLrD8yVYsaEwRgojbvHhLZtEN5HQh/UILRhg+h8JK6qbqF3BEp0EHyPRt9/ci970Y2PU8jZLGzHbsk3WYpNiNz8j1g5o0JVp5CzqhMSst1lFFtHVANCUyijs35XbB9xFX5jRh4z2n1LdV1XpXkg4uFLjm0F3P1yNydZAcXfcq8996bd9m48x79WDiSS7+IX9KdSgeYwUDg4sS91E7yoJgpxEqvIQPjfSyceSCoTuuRsVep4B73/QtZU/AYWUAobBNOsVda70UzNqwC9n92zbD9kywqW5YEqtJhdy8QfhGq320r/cFobEzg8wSNbAR0pDHflx7TIDi5oj03mt5TwR/6c6lAYLEO2wlBScNfAXu2EB5Ruq4jswiutGO46mBO5GmKVczD+tVwdA/r19scx10vXqYSbbMu53BiHUfxo0o94AenFgONUVPePDsKacaFwZQ4qJZFwxR4ImM6SjMkbLOCggRzG5QX4fjYQoHeVsvWBgbHLX5MdpavSwTqhOjzR77WpQu4Kediqob5AVKlHNMt0yXUFJTDWIJfwc9jQoyxP5T68al0jgrBmEPN16CJUHYBS01jnE/9nFAa8i2FIwDcWup1DBdfpHVCp5Co39bo604GbcogRnFuznr4o/+OZMcxz7GGQrtpca5yQIq+7tuR4RkQlFu2XGc3VOO/RJ1JkMi47UQG49S7A5JA98aC8ZZrb7rl90UVrslhRhIGL18cFPkRSkhkvK7xWLtR7xCBx6Fzomy/wbXiOFeKJLKmFcQ+s+oOXWhl9k1UfZOP05IHCi0Z+WrNcWENrzdsf5w30s9k9b3xJSd6cnzcw9U2YDueNbz837zfb1nL7918ITDToNWIhGqqJ4I3HVlY5TPN/AMtp4PicCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.2833571434021	1.01263E+01	5.17016E-04	1.01096E-03	1.13549E-03	62.9143	2
7.90604E+02	20	3.28343272209167	1.72581E+01	4.69536E-04	8.43089E-04	9.65019E-04	60.8856	2
6.25055E+02	20	3.28349828720093	2.45514E+01	4.24268E-04	6.97829E-04	8.16681E-04	58.7011	2
4.94171E+02	20	3.28354120254517	3.20628E+01	3.87458E-04	5.76768E-04	6.94827E-04	56.1078	2
3.90694E+02	20	3.28330159187317	3.97869E+01	3.44463E-04	4.78867E-04	5.89888E-04	54.2715	2
3.08884E+02	20	3.28351736068726	4.78204E+01	3.17696E-04	4.01090E-04	5.11668E-04	51.6179	2
2.44205E+02	20	3.28357553482056	5.84478E+01	3.01520E-04	3.37437E-04	4.52524E-04	48.2173	2
1.93070E+02	20	3.28354120254517	6.69127E+01	2.81578E-04	2.81039E-04	3.97831E-04	44.9451	2
1.52642E+02	20	3.28343868255615	7.59596E+01	2.62316E-04	2.22882E-04	3.44218E-04	40.3536	2
1.20679E+02	20	3.28335285186768	8.45165E+01	2.49552E-04	1.85706E-04	3.11068E-04	36.6551	2
9.54095E+01	20	3.28349995613098	9.03053E+01	2.41491E-04	1.48249E-04	2.83365E-04	31.5453	2
7.54312E+01	20	3.28349590301514	9.63456E+01	2.34034E-04	1.16730E-04	2.61529E-04	26.5088	2
5.96362E+01	20	3.2834415435791	1.02132E+02	2.28839E-04	9.14378E-05	2.46431E-04	21.7803	2
4.71487E+01	20	3.28343677520752	1.08268E+02	2.28740E-04	6.06543E-05	2.36645E-04	14.8512	2
3.72759E+01	20	3.28345704078674	1.14637E+02	2.28296E-04	4.73506E-05	2.33155E-04	11.7175	2
2.94705E+01	20	3.28346490859985	1.21294E+02	2.31725E-04	2.76596E-05	2.33370E-04	6.80683	2
2.32995E+01	20	3.28348183631897	1.27894E+02	2.34455E-04	1.81309E-05	2.35155E-04	4.42199	2
1.84207E+01	20	3.28350305557251	1.33885E+02	2.36671E-04	9.56977E-06	2.36865E-04	2.31549	2
1.45635E+01	20	3.28347897529602	1.40227E+02	2.42044E-04	6.85308E-08	2.42044E-04	0.0162223	2
1.15140E+01	20	3.28348660469055	1.46968E+02	2.46113E-04	-5.61396E-06	2.46177E-04	-1.30672	2
9.10298E+00	20	3.28351163864136	1.53021E+02	2.46446E-04	-7.40327E-06	2.46557E-04	-1.72066	2
7.19686E+00	20	3.28352642059326	1.59386E+02	2.52837E-04	-1.18573E-05	2.53115E-04	-2.68503	2
5.68987E+00	20	3.28350400924683	1.66150E+02	2.56159E-04	-1.42385E-05	2.56555E-04	-3.18149	2
4.49843E+00	20	3.28352928161621	1.72219E+02	2.58425E-04	-1.76086E-05	2.59024E-04	-3.89801	2
3.55648E+00	20	3.28350758552551	1.78529E+02	2.61861E-04	-1.88965E-05	2.62542E-04	-4.12744	2
2.81177E+00	20	3.28358387947083	1.85066E+02	2.63871E-04	-2.01493E-05	2.64639E-04	-4.36665	2
2.22300E+00	20	3.28358674049377	1.92032E+02	2.67374E-04	-2.15783E-05	2.68244E-04	-4.61402	2
1.75751E+00	20	3.28357243537903	1.99457E+02	2.70657E-04	-2.41028E-05	2.71728E-04	-5.08892	2
