CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW627qOBD+TaW+Q6SVulRqUS7cGik/OBAoOtCyhKW7R0dCLriQ3cSmjtOWoz7VPsI+2c7YCTHtrja/8n0ez4znZn9r2w/WgEhiDeOE+taSiizmzHIazvlZnwuxoJm0nriwHmK24a+Zb0V3Vj/yHHvqOnbLu3Esa9lutBqO69kND4DX6DbcpmO7HuqIXindW0NBn3PK1gff6nMmBU+sJU8k2dLzM7BO/ea107p2bbdtWdYiTqlvu77r+M02epGmlMnzs/BtPyMiJZkPf4vDngbjwSocR8toOP9ldHF90ZOSspwkEZWBDXichXP6B13LYCFyqojxKaHRlG+o2rAQhK2G4nl1Gzi2fcJMgEENLJaAabk+jBlJFGE3bAc1Eralq9t4u1MaNZzGGwNN+KuBernkIQscQ5ipZeWVo2wkkgrwqV2BqQkmJtDOYTQG0Sq8UxrwF3m38FkJFob1qSTdCjgIcmrHkcFknDIzKmK+0VyGGwY0IQclV0S1Ilo6iJQtXuN14VcUM9pL92PwxkC/QmCVL19IRsfV35EfZxMQDYYkydAGVAJJM1UFHp5J0Cjhe/pV+dXf0fWfhWadWKjiGY+ZzBQc0E2+lg+xMPRxOSJF5Pu5EFBxR1ysuR8X3ZOicVRNnJaNW3AG5WnKYJrIGLil41TCtlkETtCqgGsCzwRNE7RM0DZBRwHMIRSdqj5HRdNk3E+M94lpqgI0mdYnph10PzAdxUwJgzFQGHdPCW3bILyPhD6oQWjDBtH+SHTKbqF3BEp05H/vT77/5F4P+jctnELObmXbNw35JguxGZG7/xErZlSg6hRyVnZCRNJ9QrF1RDkgNIUyOut3efqIq/AbMvKY0N5brOu6LM0jEY5fMmwr4O7X+yVJcij+htttdbudZuem03V1U0aS78MX9KdUgeYwUDg4sS91E7yoJgpwEqvIQPjfCyceSCwjuuZsU+h4B73/QlZU+AYWUAobBNOsVVa70UzFqwC9X9yz5DBm6xIW5YEqtJhdyYQfhCq3m0r/eF4ZEzg8wSNbAR0pDHfpxzxPji5oj03mt5jwR/4c61AYLEO2xFBScNfAXu2EB5Ruqz7ZBx2tGO46mBOZGmKlczD+tVwVA/r19scpN4i3sYSbLOVc7ozDKH4yG/Z5DunFgONUVPePDsKWcaFwaQ4qJZJwxR4JmM6STMkbLOCggRyGxQX4fjESoHcTs+2RgbHLX6M9pZvCwSqhOjz93ytTudzn8rhVQ32BqFLv0yTRJdcTlMBYg1zCz3HDgLIsloeg0+gigrAmEPNt4CJUHYBS81DnE/8XFAa8i2GIwDcWuO1jBVfpHVGp5Eo39bo605Gbc4gRnFuznr4o/+OZMc4y7GGQLttca5yRPKu6tuB4QkQp1j+sE5qpcT6gTyRPZFh0ogJw612ByTF74n5xy9TT3qV91UNrMt9QhL6L18cVPkRikhgvK7xWrtR7xCBx6Fzpm89v2fAcy8UTWVML4+5b1QcvtSL6Jqs+yMb52QOFF438tGa5sIbW6rc/LmvoZ713WfsSk6y+vKxh6uswHS5r336u3+/Sxjr9+y8EJhoNaqEQNdVE8MZjG6sYptk/3F+gsJwKAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.28600788116455	1.01446E+01	5.17179E-04	1.02062E-03	1.14417E-03	63.1272	2
7.90604E+02	20	3.28613495826721	1.72707E+01	4.74760E-04	8.44126E-04	9.68476E-04	60.6454	2
6.25055E+02	20	3.2861328125	2.45685E+01	4.10107E-04	6.90371E-04	8.02994E-04	59.2881	2
4.94171E+02	20	3.28594732284546	3.20727E+01	3.93200E-04	5.80192E-04	7.00877E-04	55.8742	2
3.90694E+02	20	3.28588938713074	3.98040E+01	3.52029E-04	4.81755E-04	5.96668E-04	53.8435	2
3.08884E+02	20	3.28583312034607	4.78318E+01	3.17193E-04	4.00265E-04	5.10709E-04	51.6047	2
2.44205E+02	20	3.28582310676575	5.84602E+01	3.03583E-04	3.39792E-04	4.55655E-04	48.2212	2
1.93070E+02	20	3.28573608398438	6.69316E+01	2.83770E-04	2.82662E-04	4.00529E-04	44.8879	2
1.52642E+02	20	3.28582000732422	7.59835E+01	2.63481E-04	2.24625E-04	3.46235E-04	40.4486	2
1.20679E+02	20	3.28590512275696	8.45424E+01	2.51720E-04	1.87538E-04	3.13900E-04	36.687	2
9.54095E+01	20	3.28590059280396	9.03374E+01	2.40372E-04	1.51312E-04	2.84032E-04	32.19	2
7.54312E+01	20	3.28589534759521	9.63734E+01	2.33745E-04	1.19382E-04	2.62467E-04	27.055	2
5.96362E+01	20	3.28603076934814	1.02174E+02	2.30190E-04	9.33212E-05	2.48387E-04	22.0681	2
4.71487E+01	20	3.28603935241699	1.08305E+02	2.28618E-04	6.17991E-05	2.36824E-04	15.1264	2
3.72759E+01	20	3.28607606887817	1.14683E+02	2.29449E-04	4.89922E-05	2.34621E-04	12.0528	2
2.94705E+01	20	3.28608083724976	1.21334E+02	2.30915E-04	2.88164E-05	2.32706E-04	7.11331	2
2.32995E+01	20	3.28608012199402	1.27915E+02	2.33182E-04	2.04760E-05	2.34079E-04	5.01833	2
1.84207E+01	20	3.28608679771423	1.33914E+02	2.36043E-04	1.08715E-05	2.36293E-04	2.63703	2
1.45635E+01	20	3.28608822822571	1.40256E+02	2.40721E-04	1.90495E-06	2.40729E-04	0.453402	2
1.15140E+01	20	3.28616642951965	1.47017E+02	2.44047E-04	-4.04355E-06	2.44080E-04	-0.949232	2
9.10298E+00	20	3.28614401817322	1.53066E+02	2.46643E-04	-7.48145E-06	2.46757E-04	-1.73743	2
7.19686E+00	20	3.28614568710327	1.59426E+02	2.50689E-04	-1.07443E-05	2.50919E-04	-2.45414	2
5.68987E+00	20	3.28615641593933	1.66192E+02	2.54459E-04	-1.35429E-05	2.54819E-04	-3.04653	2
4.49843E+00	20	3.28621888160706	1.72250E+02	2.56538E-04	-1.51678E-05	2.56986E-04	-3.38368	2
3.55648E+00	20	3.2862286567688	1.78559E+02	2.60724E-04	-1.75220E-05	2.61312E-04	-3.84479	2
2.81177E+00	20	3.28625178337097	1.85103E+02	2.63035E-04	-1.95660E-05	2.63761E-04	-4.25415	2
2.22300E+00	20	3.28626275062561	1.92056E+02	2.66511E-04	-2.19487E-05	2.67413E-04	-4.70802	2
1.75751E+00	20	3.28624200820923	1.99495E+02	2.68660E-04	-2.31305E-05	2.69654E-04	-4.92078	2
