CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW3W7qOBC+plLfIdJKXSq1KD9A20i54ECg0YGWJSzdPToScsGF7CY2dZy2HPWp9hH2yXbGTohpd7VcoHyfxzPj+bO/de0Ha0AksYZJSn1rQUWecGY5Lef0pM+FmNNcWk9cWA8JW/PX3LfiO6sfe449cR274904lrXotjotx/XslgfAa1233LZjux7qiF8p3VlDQZ8LylZ73+pzJgVPrQVPJdnQ0xOwTv32pdO5dG23a1nWPMmob9t+x4V/9CLLKJOnJ+HbbkpERnIfvub7HQ2iwTKM4kU8nP0yOrs860lJWUHSmMrABhzl4Yz+QVcymIuCKiI6JjSa8DVVG+aCsOVQPC9vA8e2j5gxMKiBJRIwrdaHCSOpIuyW7aBGwjZ0eZtstkqjhpNkbaAxfzVQr5A8ZIFjCDO1rLxylI1UUgE+dWswMcHYBNo5jMYgXoZ3SgN+Iu+WPivB0rA+laQbAQdBTu04MJiMY2ZKRcLXmstxw4CmZK/kyqjWREcHkbL5a7Iq/YoTRnvZLgJvDPQrBFb58oXkNKq/DnyUj0E0GJI0RxtQCSTLVRV4eCZB45Tv6FflV39LV3+WmnVioYqnPGEyV3BA18VKPiTC0MfliJSR7xdCQMUdcLnmflx0j4rGUTVxXDZuyRmUpymDaSNj4I6OUwW7ZhE4QacGrgk8E7RN0DFB1wRXCmAOoehU9TkqmibjfmK8T0xbFaDJdD4x3eD6A3OlmAlhMAZK4+4xoW0bhPeR0Ac1CG3YILofiauqW+gdgRId+d/74+8/uZeD/k0Hp5CzXdr2dUu+yVJsSuT2f8TKGRWoOoWcVZ0Qk2yXUmwdUQ0ITaGMzvpdkT3iKnyGjDymtPeW6LquSvNAhNFLjm0F3P1qtyBpAcXf8myv63rOzU27617fKA9iyXfhCzpU6UB7GCmcnNiYugteVBcFOIpVaCD+76UXDySRMV1xti51vIPefyFrKnwDCyiFHYJ51irr3Wim5lWE3s/uWbqP2KqCZX2gCi1m1zLhB6Ha7bbSH81qYwKnJ3hkK6BDhfGu/JgV6cEF7bHJ/JYQ/sifEx0Kg2XIVhhqCi4b2Kud8IDSfdUnu+BKK4bLDgZFrqZY5RzMfy1Xx4B+vf1xzA2STSLhKss4l1vjMIofT4d9XkB6MeA4FtUFpIOwYVwoXJmDUokl3LEHAsazJBPyBgs4aSCHYXkDvp+NBOhdJ2xzYGDu8td4R+m6dLBOqA5P//faVCF3hTxs1VDfIKrW+zRNdcn1BCUw1yCX8HHYMKAsT+Q+uGpdI4KwphDzTeAiVC2AUrNQ5xO/5xQmvIthiME3FrjdQwXX6R1RqeQqN/W6OtOBm3GIEZxbs56+Kf/jnRHlOTYxSFd9rjVOSZHXbVtyPCWiEuvvVynN1Twf0CdSpDIsO1EBuPYuwGTEnrhfXjPNrHduX/TQmizWFKHv4v1xgS+RhKTG0wrvlQv1IDFInDoX+urzO/CaigvxRFbUwrj7Vv2Dp1oZfZNVP8jG6ckDhSeN/LRmubCG1pq3P84b6Gezd974kpC8uThvYOqbMB3OG99+bt5vs9Yq+/svBCYaDRqhEA3VRPDIY2urnKb5PwOgGHKdCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.30368804931641	1.01159E+01	4.97237E-04	1.00075E-03	1.11747E-03	63.5789	2
7.90604E+02	20	3.30373358726501	1.72473E+01	4.55399E-04	8.30785E-04	9.47414E-04	61.2704	2
6.25055E+02	20	3.30365610122681	2.45398E+01	4.07595E-04	6.89658E-04	8.01100E-04	59.4164	2
4.94171E+02	20	3.30356693267822	3.20491E+01	3.62602E-04	5.62886E-04	6.69568E-04	57.211	2
3.90694E+02	20	3.3035843372345	3.97822E+01	3.34788E-04	4.67236E-04	5.74798E-04	54.3773	2
3.08884E+02	20	3.30380868911743	4.78052E+01	3.15389E-04	3.86493E-04	4.98846E-04	50.7846	2
2.44205E+02	20	3.30388331413269	5.84398E+01	2.98003E-04	3.27875E-04	4.43066E-04	47.7325	2
1.93070E+02	20	3.30366539955139	6.69270E+01	2.75057E-04	2.75418E-04	3.89244E-04	45.0376	2
1.52642E+02	20	3.30369997024536	7.59695E+01	2.58354E-04	2.18003E-04	3.38042E-04	40.1582	2
1.20679E+02	20	3.30388784408569	8.45140E+01	2.45383E-04	1.81932E-04	3.05470E-04	36.554	2
9.54095E+01	20	3.30398654937744	9.03135E+01	2.35296E-04	1.46075E-04	2.76952E-04	31.8326	2
7.54312E+01	20	3.30391216278076	9.63546E+01	2.29229E-04	1.14420E-04	2.56199E-04	26.5263	2
5.96362E+01	20	3.30390453338623	1.02152E+02	2.24459E-04	8.92653E-05	2.41557E-04	21.6873	2
4.71487E+01	20	3.30386662483215	1.08284E+02	2.24549E-04	5.90262E-05	2.32177E-04	14.7279	2
3.72759E+01	20	3.30388188362122	1.14652E+02	2.25551E-04	4.57092E-05	2.30136E-04	11.4562	2
2.94705E+01	20	3.30393242835999	1.21304E+02	2.27945E-04	2.72708E-05	2.29570E-04	6.82232	2
2.32995E+01	20	3.30394053459167	1.27888E+02	2.30427E-04	1.83255E-05	2.31155E-04	4.54707	2
1.84207E+01	20	3.30394673347473	1.33884E+02	2.33685E-04	1.02080E-05	2.33908E-04	2.50125	2
1.45635E+01	20	3.30393075942993	1.40226E+02	2.37909E-04	1.77364E-06	2.37916E-04	0.427138	2
1.15140E+01	20	3.30397725105286	1.46977E+02	2.42056E-04	-4.33094E-06	2.42095E-04	-1.02504	2
9.10298E+00	20	3.30397582054138	1.53039E+02	2.44439E-04	-7.12489E-06	2.44542E-04	-1.66958	2
7.19686E+00	20	3.30395841598511	1.59401E+02	2.48103E-04	-1.13737E-05	2.48363E-04	-2.62476	2
5.68987E+00	20	3.30400061607361	1.66164E+02	2.50671E-04	-1.38639E-05	2.51055E-04	-3.16563	2
4.49843E+00	20	3.30399680137634	1.72224E+02	2.52847E-04	-1.51620E-05	2.53301E-04	-3.43163	2
3.55648E+00	20	3.30406427383423	1.78529E+02	2.56968E-04	-1.72045E-05	2.57544E-04	-3.83034	2
2.81177E+00	20	3.30409383773804	1.85070E+02	2.59883E-04	-1.89363E-05	2.60572E-04	-4.16747	2
2.22300E+00	20	3.30409240722656	1.92013E+02	2.62965E-04	-2.17603E-05	2.63864E-04	-4.73043	2
1.75751E+00	20	3.30406808853149	1.99440E+02	2.66295E-04	-2.38666E-05	2.67363E-04	-5.12143	2
1.38950E+00	20	3.30417442321777	2.07420E+02	2.69050E-04	-2.63361E-05	2.70336E-04	-5.59062	2
1.09854E+00	20	3.30423498153687	2.16207E+02	2.72790E-04	-2.81082E-05	2.74234E-04	-5.88298	2
8.68511E-01	20	3.30412149429321	2.23690E+02	2.75923E-04	-3.07472E-05	2.77631E-04	-6.35846	2
6.86649E-01	20	3.30418300628662	2.31779E+02	2.79610E-04	-3.44252E-05	2.81721E-04	-7.01885	2
5.42867E-01	20	3.30440306663513	2.40663E+02	2.83388E-04	-3.90060E-05	2.86060E-04	-7.83705	2
4.29193E-01	20	3.30460572242737	2.48190E+02	2.87531E-04	-4.50107E-05	2.91033E-04	-8.897	2
3.39322E-01	20	3.30484008789063	2.56333E+02	2.94949E-04	-5.14296E-05	2.99399E-04	-9.8911	2
2.68270E-01	20	3.30494832992554	2.65353E+02	3.03052E-04	-5.83652E-05	3.08621E-04	-10.9012	2
2.12095E-01	20	3.30496120452881	2.75460E+02	3.11864E-04	-6.50459E-05	3.18575E-04	-11.7814	2
1.67683E-01	20	3.30486607551575	2.86830E+02	3.21575E-04	-7.16926E-05	3.29469E-04	-12.5681	2
1.32571E-01	20	3.30474710464478	2.99770E+02	3.31853E-04	-7.89021E-05	3.41104E-04	-13.3744	2
1.04811E-01	20	3.30461239814758	3.14720E+02	3.43068E-04	-8.73610E-05	3.54017E-04	-14.2865	2
8.28642E-02	20	3.30441904067993	3.32382E+02	3.54862E-04	-9.65117E-05	3.67752E-04	-15.2147	2
6.55128E-02	20	3.30420470237732	3.53303E+02	3.67744E-04	-1.07575E-04	3.83155E-04	-16.3057	2
5.17947E-02	20	3.30388879776001	3.78209E+02	3.82731E-04	-1.20077E-04	4.01126E-04	-17.4185	2
4.09491E-02	20	3.30359077453613	4.08234E+02	3.99318E-04	-1.34431E-04	4.21339E-04	-18.6059	2
3.23746E-02	20	3.30323886871338	4.44745E+02	4.17732E-04	-1.50606E-04	4.44052E-04	-19.8259	2
2.55955E-02	20	3.30295419692993	4.89419E+02	4.39464E-04	-1.68920E-04	4.70811E-04	-21.0256	2
2.02359E-02	20	3.30253958702087	5.44448E+02	4.63019E-04	-1.89464E-04	5.00283E-04	-22.2541	2
1.59986E-02	20	3.30215382575989	6.12604E+02	4.90700E-04	-2.12101E-04	5.34578E-04	-23.3761	2
1.26485E-02	20	3.30174040794373	6.97278E+02	5.22061E-04	-2.37256E-04	5.73444E-04	-24.4399	2
1.00000E-02	20	3.30128240585327	8.03589E+02	5.58337E-04	-2.63473E-04	6.17380E-04	-25.2621	2
