CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW3W7qOBC+plLfIdJKXSq1KHH4aSPlggOhRQdalrB09+hIyAUXshts6jhtOepT7SPsk+2MnRDT7moRF/k+j2fG82d/a7sPTp8q6gySlAXOnMksEdzxGt7pSU9IOWOZcp6EdB4SvhKvWeDEd04v9j13TDy35V97jjNvN1oNj/huwwfgN64apOm5xEcd8StjO2cg2XPO+HIfOD3BlRSpMxepomt2egLWWdC89JqXxCVtx3FmyZYFxA8ICTwfvdhuGVenJ9HbbkLllmYBfM32OxYO+4toGM/jwfSXm7PLs65SjOc0jZkKXcDDLJqyP9hShTOZM00MjwmDxmLF9IaZpHwxkM+L29Bz3SNmBAxq4IkCzMr1QcJpqgm34XqokfI1W9wm643WaOA4WVloJF4t1M2ViHjoWcJcL2uvPG0jVUyCT+0KjG0wsoFxDqPRjxfRndaAn8iTwmctWBg2p1JsLeEgyOkdBwaTccxMmEzEynAZbuizlO61XBHVimiZIDI+e02WhV9xwll3uxuCNxb6FQKrfflCMzasvg78MBuBaDigaYY2oBLoNtNV4OOZJItTsWNftV+9DVv+WWg2iYUqnoiEq0zDPlvlS/WQSEufUDe0iHwvlxIq7oCLNfJxkRwVjadr4rhsSMFZlG8oi2kiY+GWiVMJ23YReGGrAsQGvg2aNmjZoG2DjgaYQyg6XX2ejqbNkE+M/4lp6gK0mdYnph1efWA6mhlTDmOgME6OCWPbIvyPhDmoRRjDFtH+SHTKbmF3FEr0JvjeG33/iVz2e9etSw/+m4XrdhrqTRViE6o2/yNWzKhQ1ynkrOyEmG53KcPWkeWAMBTKmKzf5dtHXIXPiNPHlHXfElPXZWkeiGj4kmFbAXe/3M1pmkPxN3xCOs0OTN8Wue5caw9iJXbRCzpU6kB7GCmcnNiYpgtedBeFOIp1aCD+74UXDzRRMVsKvip0vIPefyErKnoDCyiFHYJ5Niqr3Wim4nWE3s/uebof8mUJi/pAFUbMrWSiD0KV202tfzitjEmcnuCRq4EJFca79GOapwcXjMc281tCxaN4TkwoLJYjW2KoKbhsYK9xwgfK9FWP7sKOUQyXHQyKTE+x0jmY/0auigH7evvjmOsn60TBVbYVQm2sw2h+NBn0RA7pxYDjWNQXkAnCmgupcWkOSiVWcMceCBjPio7pGyzgpIEcRsUN+H52I0HvKuHrAwNzV7zGO8ZWhYNVQk14er9XpnK1y9Vhq4HmBtG13mNpakquKxmFuQa5hI/Dhj7jWaL2YadxhQjCmkLM1yFBqFsApaaRySd+zxhMeIJhiME3HpL2oYKr9N4wpeVKN826PtOBmwqIEZzbsL65Kf/jnTHMMmxikC773Gic0Dyr2rbgREplKdbbL1OW6XneZ080T1VUdKIGcO1dgMkhfxJBcc3Ut91z96KL1lS+YggDgvfHBb5EEppaTyu8Vy70g8QicepcmKsvaLnwHsvlE10yB+MeONUPnmpF9G1W/yAbpycPDJ406tOaQ2ANrdVvf5zX0M9697z2JaFZfX5ew9TXYTqc1779XL/fbBvL7d9/IbDRTb8WSVnTTQSPPL5yimma/QNfp3ydnQoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32283329963684	1.01193E+01	5.23978E-04	1.02067E-03	1.14731E-03	62.8256	2
7.90604E+02	20	3.32290840148926	1.72442E+01	4.64920E-04	8.38163E-04	9.58472E-04	60.9833	2
6.25055E+02	20	3.32290887832642	2.45517E+01	4.27414E-04	7.12024E-04	8.30458E-04	59.0245	2
4.94171E+02	20	3.32296061515808	3.20601E+01	3.77563E-04	5.83058E-04	6.94629E-04	57.0746	2
3.90694E+02	20	3.32284235954285	3.97929E+01	3.55151E-04	4.74428E-04	5.92633E-04	53.182	2
3.08884E+02	20	3.32277464866638	4.78213E+01	3.21980E-04	3.95065E-04	5.09655E-04	50.8198	2
2.44205E+02	20	3.32296323776245	5.84478E+01	3.03611E-04	3.39875E-04	4.55735E-04	48.2255	2
1.93070E+02	20	3.32289409637451	6.69310E+01	2.83751E-04	2.83589E-04	4.01170E-04	44.9837	2
1.52642E+02	20	3.32281136512756	7.59796E+01	2.64863E-04	2.25897E-04	3.48112E-04	40.4604	2
1.20679E+02	20	3.32285380363464	8.45281E+01	2.51135E-04	1.88597E-04	3.14066E-04	36.9058	2
9.54095E+01	20	3.32288384437561	9.03269E+01	2.40762E-04	1.51056E-04	2.84225E-04	32.1044	2
7.54312E+01	20	3.32294988632202	9.63623E+01	2.32826E-04	1.20991E-04	2.62387E-04	27.4593	2
5.96362E+01	20	3.32296013832092	1.02148E+02	2.29202E-04	9.57828E-05	2.48411E-04	22.6799	2
4.71487E+01	20	3.32297205924988	1.08283E+02	2.26914E-04	6.28742E-05	2.35464E-04	15.4872	2
3.72759E+01	20	3.32296657562256	1.14656E+02	2.26025E-04	4.97943E-05	2.31445E-04	12.4241	2
2.94705E+01	20	3.3229923248291	1.21305E+02	2.27713E-04	3.17731E-05	2.29919E-04	7.94328	2
2.32995E+01	20	3.32298898696899	1.27905E+02	2.29262E-04	2.27851E-05	2.30392E-04	5.67567	2
1.84207E+01	20	3.32301473617554	1.33906E+02	2.33431E-04	1.20870E-05	2.33743E-04	2.96412	2
1.45635E+01	20	3.3230185508728	1.40256E+02	2.37666E-04	3.96834E-06	2.37699E-04	0.956587	2
1.15140E+01	20	3.32305502891541	1.47002E+02	2.40672E-04	-2.68685E-06	2.40687E-04	-0.639621	2
9.10298E+00	20	3.32307195663452	1.53055E+02	2.42382E-04	-5.50678E-06	2.42445E-04	-1.3015	2
7.19686E+00	20	3.32304811477661	1.59419E+02	2.45135E-04	-9.24290E-06	2.45309E-04	-2.15934	2
5.68987E+00	20	3.32308268547058	1.66181E+02	2.49106E-04	-1.20427E-05	2.49397E-04	-2.76773	2
4.49843E+00	20	3.32310724258423	1.72238E+02	2.51617E-04	-1.46499E-05	2.52043E-04	-3.33217	2
3.55648E+00	20	3.32312774658203	1.78549E+02	2.56181E-04	-1.75146E-05	2.56779E-04	-3.91111	2
2.81177E+00	20	3.32312536239624	1.85088E+02	2.58201E-04	-1.85567E-05	2.58867E-04	-4.11075	2
2.22300E+00	20	3.32317495346069	1.92032E+02	2.60944E-04	-2.09644E-05	2.61785E-04	-4.59331	2
1.75751E+00	20	3.3231246471405	1.99454E+02	2.63697E-04	-2.34171E-05	2.64734E-04	-5.07473	2
