CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW3W7qOBC+plLfIdJKXSq1KD+EtpFywQmBogMtS1i6e3Qk5IIL2Q02dZy2HPWp9hH2yXbGTohpd7WIi3yfxzPj+bO/dewHq0cksfppRgNrTkWecmY5Lef0JOJCzGgurScurIeUrfhrHljJnRUlnmOPXcf2vRvHsuadlt9yXM9ueQC81nXLbTu266GO5JXSndUX9LmgbLkPrIgzKXhmzXkmyZqenoB1GrQvnfala7sdy7Jm6ZYGrhP4buB20IvtljJ5ehK/7SZEbEkewNdsv6PhsLeIh8k86U9/GZxdnnWlpKwgWUJlaAMe5vGU/kGXMpyJgipieExoNOYrqjbMBGGLvnhe3IaObR8xI2BQA0slYFqt91NGMkXYLdtBjYSt6eI2XW+URg3H6cpAI/5qoG4hecxCxxBmall55SgbmaQCfOrUYGyCkQm0cxiNXrKI75QG/ETeLX1WgqVhfSpJ1wIOgpzacWAwGcfMhIqUrzSX44YezcheyZVRrQlfB5Gy2Wu6LP1KUka7290QvDHQrxBY5csXktNh/XXgh/kIRMM+yXK0AZVAtrmqAg/PJGiS8R39qvyKNnT5Z6lZJxaqeMJTJnMFe3RVLOVDKgx9XA5IGfmoEAIq7oDLNffjontUNI6qieOycUvOoDxNGUwbGQP7Ok4V7JhF4IR+DVwTeCZom8A3QccEVwpgDqHoVPU5Kpom435ivE9MWxWgyfifmE54/YG5UsyYMBgDpXH3mNC2DcL7SOiDGoQ2bBCdj8RV1S30jkCJDoLv0ej7T+5lL7rxLx34bxa23WnJN1mKTYjc/I9YOaNCVaeQs6oTErLdZRRbR1QDQlMoo7N+V2wfcRU+Y0YeM9p9S3VdV6V5IOLhS45tBdz9cjcnWQHF3/Jcz3fbN75z47WvdVcmku/iF3So0oH2MFI4ObExdRe8qC4KcRSr0ED830svHkgqE7rkbFXqeAe9/0LWVPwGFlAKOwTzrFXWu9FMzasIvZ/ds2w/ZMsKlvWBKrSYXcvEH4Rqt9tK/3BaGxM4PcEjWwEdKox35ce0yA4uaI9N5reU8Ef+nOpQGCxDtsJQU3DZwF7thAeU7quI7MIrrRguOxgUuZpilXMw/7VcHQP69fbHMddL16mEq2zLudwYh1H8aNKPeAHpxYDjWFQXkA7CmnGhcGUOSiWRcMceCBjPkozJGyzgpIEcxuUN+H42EKB3lbL1gYG5y1+THaWr0sE6oTo80e+1qULuCnnYqqG+QVStRzTLdMl1BSUw1yCX8HHY0KMsT+U+vGpdI4KwZhDzdegiVC2AUtNY5xO/ZxQmvIthSMA3FrqdQwXX6R1QqeQqN/W6OtOBm3KIEZxbs56+Kf/jnTHMc2xikK76XGuckCKv27bkeEZEJRbtlxnN1Tzv0SdSZDIuO1EBuPYuwOSQPfGgvGaa2+65fdFFa7JYUYSBi/fHBb5EUpIZTyu8Vy7Ug8Qgcepc6Ksv8G14jxXiiSyphXEPrPoHT7Uy+iarfpCN05MHCk8a+WnNcmENrTVvf5w30M9m97zxJSV5c37ewNQ3YTqcN7793LzfbFvL7d9/ITDRoNeIhWioJoJHHltZ5TTN/wH/q5OUnQoAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32365727424622	1.01162E+01	5.02673E-04	1.00332E-03	1.12220E-03	63.3888	2
7.90604E+02	20	3.3236780166626	1.72512E+01	4.45704E-04	8.28796E-04	9.41039E-04	61.7298	2
6.25055E+02	20	3.3237464427948	2.45568E+01	4.02769E-04	6.88862E-04	7.97968E-04	59.6857	2
4.94171E+02	20	3.32379603385925	3.20721E+01	3.58458E-04	5.53733E-04	6.59630E-04	57.083	2
3.90694E+02	20	3.32363867759705	3.98092E+01	3.44974E-04	4.71908E-04	5.84555E-04	53.8325	2
3.08884E+02	20	3.32381319999695	4.78364E+01	3.11875E-04	3.87276E-04	4.97241E-04	51.1553	2
2.44205E+02	20	3.32363891601563	5.84692E+01	2.95305E-04	3.30901E-04	4.43509E-04	48.2534	2
1.93070E+02	20	3.32359743118286	6.69408E+01	2.76166E-04	2.74927E-04	3.89683E-04	44.8711	2
1.52642E+02	20	3.32379031181335	7.59761E+01	2.56383E-04	2.17741E-04	3.36368E-04	40.3406	2
1.20679E+02	20	3.32365202903748	8.45460E+01	2.45902E-04	1.81991E-04	3.05923E-04	36.5049	2
9.54095E+01	20	3.32377314567566	9.03432E+01	2.36446E-04	1.45360E-04	2.77554E-04	31.582	2
7.54312E+01	20	3.32379388809204	9.63789E+01	2.29745E-04	1.15180E-04	2.57000E-04	26.6263	2
5.96362E+01	20	3.32369518280029	1.02168E+02	2.26899E-04	9.06697E-05	2.44344E-04	21.7819	2
4.71487E+01	20	3.32369995117188	1.08297E+02	2.23589E-04	6.11774E-05	2.31807E-04	15.3025	2
3.72759E+01	20	3.32374501228333	1.14671E+02	2.25236E-04	4.66526E-05	2.30017E-04	11.7021	2
2.94705E+01	20	3.32372760772705	1.21320E+02	2.27505E-04	2.77815E-05	2.29195E-04	6.96213	2
2.32995E+01	20	3.32371544837952	1.27905E+02	2.29287E-04	1.94844E-05	2.30113E-04	4.85724	2
1.84207E+01	20	3.32376766204834	1.33902E+02	2.33485E-04	1.01890E-05	2.33707E-04	2.49873	2
1.45635E+01	20	3.3237464427948	1.40244E+02	2.36327E-04	2.28410E-06	2.36339E-04	0.553744	2
1.15140E+01	20	3.32378935813904	1.46986E+02	2.39356E-04	-3.54324E-06	2.39382E-04	-0.8481	2
9.10298E+00	20	3.3237624168396	1.53041E+02	2.43264E-04	-6.06943E-06	2.43339E-04	-1.42923	2
7.19686E+00	20	3.32377076148987	1.59403E+02	2.45223E-04	-9.02348E-06	2.45389E-04	-2.10737	2
5.68987E+00	20	3.3237841129303	1.66179E+02	2.49523E-04	-1.29076E-05	2.49857E-04	-2.96122	2
4.49843E+00	20	3.3238320350647	1.72240E+02	2.52282E-04	-1.44291E-05	2.52694E-04	-3.27344	2
3.55648E+00	20	3.32382345199585	1.78547E+02	2.54712E-04	-1.76773E-05	2.55325E-04	-3.97003	2
2.81177E+00	20	3.32384371757507	1.85093E+02	2.57255E-04	-1.82634E-05	2.57902E-04	-4.0608	2
2.22300E+00	20	3.32391786575317	1.92036E+02	2.60526E-04	-2.08718E-05	2.61360E-04	-4.58043	2
1.75751E+00	20	3.32384610176086	1.99469E+02	2.63709E-04	-2.27117E-05	2.64685E-04	-4.92242	2
1.38950E+00	20	3.32396078109741	2.07457E+02	2.66547E-04	-2.50899E-05	2.67725E-04	-5.37738	2
1.09854E+00	20	3.32397031784058	2.16240E+02	2.70280E-04	-2.75606E-05	2.71682E-04	-5.82236	2
8.68511E-01	20	3.32389855384827	2.23720E+02	2.73203E-04	-2.89940E-05	2.74738E-04	-6.05789	2
6.86649E-01	20	3.32396125793457	2.31805E+02	2.76713E-04	-3.24086E-05	2.78605E-04	-6.68004	2
5.42867E-01	20	3.32414031028748	2.40697E+02	2.80209E-04	-3.68023E-05	2.82615E-04	-7.48235	2
4.29193E-01	20	3.32435369491577	2.48217E+02	2.85362E-04	-4.32753E-05	2.88624E-04	-8.62324	2
3.39322E-01	20	3.32451987266541	2.56363E+02	2.91216E-04	-4.93469E-05	2.95367E-04	-9.6175	2
2.68270E-01	20	3.32463049888611	2.65387E+02	2.98492E-04	-5.53033E-05	3.03572E-04	-10.4965	2
2.12095E-01	20	3.32462430000305	2.75486E+02	3.07086E-04	-6.14688E-05	3.13178E-04	-11.3192	2
1.67683E-01	20	3.32456207275391	2.86856E+02	3.16221E-04	-6.77281E-05	3.23392E-04	-12.089	2
1.32571E-01	20	3.32447838783264	2.99798E+02	3.25957E-04	-7.47085E-05	3.34409E-04	-12.9091	2
1.04811E-01	20	3.32425594329834	3.14749E+02	3.36266E-04	-8.20869E-05	3.46140E-04	-13.7184	2
8.28642E-02	20	3.32406306266785	3.32419E+02	3.47768E-04	-9.09532E-05	3.59465E-04	-14.6565	2
6.55128E-02	20	3.32387733459473	3.53280E+02	3.60272E-04	-1.00861E-04	3.74124E-04	-15.6399	2
5.17947E-02	20	3.32359647750854	3.78187E+02	3.74167E-04	-1.12488E-04	3.90710E-04	-16.7327	2
4.09491E-02	20	3.32334542274475	4.08216E+02	3.89735E-04	-1.25784E-04	4.09530E-04	-17.8871	2
3.23746E-02	20	3.32299160957336	4.44723E+02	4.07669E-04	-1.40600E-04	4.31234E-04	-19.0287	2
2.55955E-02	20	3.32264280319214	4.89393E+02	4.28059E-04	-1.57173E-04	4.56002E-04	-20.162	2
2.02359E-02	20	3.32228851318359	5.44423E+02	4.51069E-04	-1.75461E-04	4.83993E-04	-21.2555	2
1.59986E-02	20	3.32191014289856	6.12545E+02	4.77240E-04	-1.95741E-04	5.15823E-04	-22.3011	2
1.26485E-02	20	3.32149505615234	6.97226E+02	5.07275E-04	-2.17160E-04	5.51803E-04	-23.1754	2
1.00000E-02	20	3.32111144065857	8.03536E+02	5.41518E-04	-2.39593E-04	5.92154E-04	-23.8669	2
