CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW627qOBD+TaW+Q6SVulRqUS5c2kj5wQmhRQdalrB09+hIyAUXspvY1HHactSn2kfYJ9sZOyGm3dUifuT7PJ4Zz83+1rUfrAGRxBomKfWtBRV5wpnltJzTk5ALMae5tJ64sB4StuavuW/Fd1YYe449cR274107lrXotjotx/XslgfAa1213LZjux7qiF8p3VlDQZ8LylZ73wo5k4Kn1oKnkmzo6QlYp3770mlfurbbtSxrnmTUd23fdX3vGr3IMsrk6Un0tpsSkZHch6/5fkeD0WAZjeJFPJz9cnN2edaXkrKCpDGVgQ14lEcz+gddyWAuCqqI0TGh0YSvqdowF4Qth+J5eRs4tn3EjIFBDSyRgGm1PkwYSRVht2wHNRK2ocvbZLNVGjWcJGsDjfmrgfqF5BELHEOYqWXllaNspJIK8Klbg4kJxibQzmE0BvEyulMa8BN5t/RZCZaG9akk3Qg4CHJqx4HBZBwzUyoSvtZcjhsGNCV7JVdGtSY6OoiUzV+TVelXnDDaz3Yj8MZAv0JglS9fSE5H9deBH+VjEA2GJM3RBlQCyXJVBR6eSdA45Tv6VfkVbunqz1KzTixU8ZQnTOYKDui6WMmHRBj6uLwhZeTDQgiouAMu19yPi+5R0TiqJo7Lxi05g/I0ZTBtZAzc0XGqYNcsAifo1MA1gWeCtgk6JuiaoKcA5hCKTlWfo6JpMu4nxvvEtFUBmkznE9MNrj4wPcVMCIMxUBp3jwlt2yC8j4Q+qEFowwbR/Uj0qm6hdwRK9Mb/Ho6//+ReDsLrzqUD/+3Stjst+SZLsSmR2/8RK2dUoOoUclZ1QkyyXUqxdUQ1IDSFMjrrd0X2iKvwGTHymNL+W6LruirNAxGNXnJsK+DuV7sFSQso/pbnet32Vbvj9jpXvWvlQSz5LnpBhyodaA8jhZMTG1N3wYvqogBHsQoNxP+99OKBJDKmK87WpY530PsvZE1Fb2ABpbBDMM9aZb0bzdS8itD72T1L9yO2qmBZH6hCi9m1TPRBqHa7rfSPZrUxgdMTPLIV0KHCeFd+zIr04IL22GR+Swh/5M+JDoXBMmQrDDUFlw3s1U54QOm+Csku6GnFcNnBoMjVFKucg/mv5eoY0K+3P465QbJJJFxlGedyaxxG8ePpMOQFpBcDjmNRXUA6CBvGhcKVOSiVWMIdeyBgPEsyIW+wgJMGchiVN+D72Y0AveuEbQ4MzF3+Gu8oXZcO1gnV4Ql/r00VclfIw1YN9Q2iaj2kaapLri8ogbkGuYSPw4YBZXki90GvdYUIwppCzDeBi1C1AErNIp1P/J5TmPAuhiEG31jgdg8VXKf3hkolV7mp19WZDtyMQ4zg3Jr19E35H++MUZ5jE4N01eda45QUed22JcdTIiqxcL9Kaa7m+YA+kSKVUdmJCsC1dwEmR+yJ++U108z65/ZFH63JYk0RwtMIfhf4EklIajyt8F65UA8Sg8Spc6GvPr9jw3usEE9kRS2Mu2/VP3iqldE3WfWDbJyePFB40shPa5YLa2itefvjvIF+NvvnjS8JyZuL8wamvgnT4bzx7efm/TZrrbK//0JgoptBIxKioZoIHnlsbZXTNP8H4ZMdeZ0KAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32371759414673	1.01190E+01	5.10239E-04	1.01519E-03	1.13620E-03	63.3156	2
7.90604E+02	20	3.32382130622864	1.72505E+01	4.57133E-04	8.30730E-04	9.48200E-04	61.177	2
6.25055E+02	20	3.32385110855103	2.45466E+01	4.06110E-04	6.82654E-04	7.94319E-04	59.2517	2
4.94171E+02	20	3.3239574432373	3.20499E+01	3.80868E-04	5.65755E-04	6.82012E-04	56.0514	2
3.90694E+02	20	3.32371044158936	3.97843E+01	3.46806E-04	4.75370E-04	5.88431E-04	53.8874	2
3.08884E+02	20	3.32384562492371	4.78109E+01	3.17742E-04	3.83910E-04	4.98344E-04	50.3873	2
2.44205E+02	20	3.32390236854553	5.84452E+01	2.97471E-04	3.32621E-04	4.46235E-04	48.1929	2
1.93070E+02	20	3.32384014129639	6.69117E+01	2.78122E-04	2.76809E-04	3.92396E-04	44.8645	2
1.52642E+02	20	3.32398676872253	7.59644E+01	2.58582E-04	2.19641E-04	3.39274E-04	40.3449	2
1.20679E+02	20	3.32386875152588	8.45126E+01	2.47523E-04	1.83271E-04	3.07987E-04	36.517	2
9.54095E+01	20	3.3240270614624	9.03071E+01	2.37738E-04	1.47811E-04	2.79941E-04	31.8708	2
7.54312E+01	20	3.32394766807556	9.63496E+01	2.30389E-04	1.17248E-04	2.58507E-04	26.9722	2
5.96362E+01	20	3.32393980026245	1.02136E+02	2.27184E-04	9.21314E-05	2.45155E-04	22.0743	2
4.71487E+01	20	3.32389163970947	1.08266E+02	2.25247E-04	6.06601E-05	2.33272E-04	15.0724	2
3.72759E+01	20	3.3239324092865	1.14639E+02	2.24842E-04	4.82182E-05	2.29955E-04	12.1039	2
2.94705E+01	20	3.32389140129089	1.21284E+02	2.27584E-04	2.98295E-05	2.29530E-04	7.46721	2
2.32995E+01	20	3.32389140129089	1.27869E+02	2.28862E-04	2.03721E-05	2.29766E-04	5.08677	2
1.84207E+01	20	3.3239529132843	1.33867E+02	2.32392E-04	1.14561E-05	2.32675E-04	2.82218	2
1.45635E+01	20	3.3239278793335	1.40213E+02	2.36736E-04	3.14363E-06	2.36757E-04	0.76079	2
1.15140E+01	20	3.32397103309631	1.46950E+02	2.39341E-04	-2.78386E-06	2.39357E-04	-0.666398	2
9.10298E+00	20	3.3239312171936	1.53009E+02	2.41817E-04	-5.08806E-06	2.41870E-04	-1.20538	2
7.19686E+00	20	3.32393860816956	1.59372E+02	2.46422E-04	-8.45861E-06	2.46567E-04	-1.96594	2
5.68987E+00	20	3.32394337654114	1.66149E+02	2.48129E-04	-1.18348E-05	2.48411E-04	-2.73072	2
4.49843E+00	20	3.32395029067993	1.72214E+02	2.50673E-04	-1.41173E-05	2.51070E-04	-3.22337	2
3.55648E+00	20	3.32395529747009	1.78517E+02	2.54466E-04	-1.65016E-05	2.55001E-04	-3.71031	2
2.81177E+00	20	3.32399392127991	1.85055E+02	2.56768E-04	-1.80127E-05	2.57399E-04	-4.01282	2
2.22300E+00	20	3.32400727272034	1.92000E+02	2.59900E-04	-1.96977E-05	2.60645E-04	-4.33414	2
1.75751E+00	20	3.32400608062744	1.99428E+02	2.62938E-04	-2.17561E-05	2.63836E-04	-4.73001	2
1.38950E+00	20	3.32409238815308	2.07407E+02	2.65205E-04	-2.37369E-05	2.66265E-04	-5.11456	2
1.09854E+00	20	3.32409739494324	2.16199E+02	2.68811E-04	-2.60928E-05	2.70075E-04	-5.54419	2
8.68511E-01	20	3.32397985458374	2.23680E+02	2.72079E-04	-2.84594E-05	2.73564E-04	-5.97141	2
6.86649E-01	20	3.32407093048096	2.31762E+02	2.75673E-04	-3.10239E-05	2.77413E-04	-6.42098	2
5.42867E-01	20	3.32426786422729	2.40645E+02	2.79053E-04	-3.51318E-05	2.81256E-04	-7.17558	2
4.29193E-01	20	3.32444620132446	2.48171E+02	2.82842E-04	-4.20005E-05	2.85943E-04	-8.4464	2
3.39322E-01	20	3.32460689544678	2.56316E+02	2.89127E-04	-4.74910E-05	2.93001E-04	-9.32793	2
2.68270E-01	20	3.32470512390137	2.65341E+02	2.96369E-04	-5.31615E-05	3.01100E-04	-10.1693	2
2.12095E-01	20	3.32469487190247	2.75444E+02	3.04802E-04	-5.91153E-05	3.10481E-04	-10.9761	2
1.67683E-01	20	3.32460308074951	2.86812E+02	3.13595E-04	-6.52079E-05	3.20303E-04	-11.7465	2
1.32571E-01	20	3.32452726364136	2.99769E+02	3.22766E-04	-7.19142E-05	3.30681E-04	-12.5607	2
1.04811E-01	20	3.32436656951904	3.14718E+02	3.33014E-04	-7.92484E-05	3.42314E-04	-13.3859	2
8.28642E-02	20	3.32417941093445	3.32432E+02	3.43697E-04	-8.76348E-05	3.54693E-04	-14.3043	2
6.55128E-02	20	3.32395577430725	3.53303E+02	3.56140E-04	-9.75195E-05	3.69251E-04	-15.3135	2
5.17947E-02	20	3.32366800308228	3.78209E+02	3.69298E-04	-1.08412E-04	3.84882E-04	-16.3603	2
4.09491E-02	20	3.32338523864746	4.08237E+02	3.85095E-04	-1.21264E-04	4.03736E-04	-17.4789	2
3.23746E-02	20	3.32310175895691	4.44735E+02	4.01952E-04	-1.35600E-04	4.24208E-04	-18.642	2
2.55955E-02	20	3.32280850410461	4.89465E+02	4.22211E-04	-1.51790E-04	4.48667E-04	-19.7742	2
2.02359E-02	20	3.32243633270264	5.44499E+02	4.44253E-04	-1.69094E-04	4.75346E-04	-20.8381	2
1.59986E-02	20	3.32202816009521	6.12612E+02	4.69351E-04	-1.88350E-04	5.05733E-04	-21.8656	2
1.26485E-02	20	3.32172203063965	6.97289E+02	4.99214E-04	-2.09134E-04	5.41250E-04	-22.7302	2
1.00000E-02	20	3.3212878704071	8.03604E+02	5.34156E-04	-2.30432E-04	5.81740E-04	-23.3351	2
