CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW227jNhB9doD8g4ACqQMkhi6+ZAXowWvLjrB24lqu0y4WMLg2Y6uVSIeikniRr+on9Ms6Q0oWnbSo4Qedw+HMcG7k1679YA2JJNYoSalvLanIE84sp+Wcnw24EAuaS+uRC+shYRv+kvtWfGcNYs+xp65jd7xPjmUtu61Oy3E9u+UB8Fo3Lbft2K6HOuIXSvfWSNCngrL1wbcGnEnBU2vJU0m29PwMrFO/fe20r13b7VqWtUgy6js3fseFP3qRZZTJ87PwdT8jIiO5D1+Lw54G0XAVRvEyHs1/GV9cX/SlpKwgaUxlYAOO8nBO/6BrGSxEQRURnRIaTfmGqg0LQdhqJJ5Wt4Fj2yfMBBjUwBIJmFbro4SRVBF2y3ZQI2FburpNtjulUcNpsjHQhL8YqF9IHrLAMYSZWlZeOcpGKqkAn7o1mJpgYgLtHEZjGK/CO6UBP5F3S5+VYGlYn0rSrYCDIKd2HBlMxikzoyLhG83luGFIU3JQcmVUa6Kjg0jZ4iVZl37FCaP9bB+BNwb6FQKrfPlMchrVX0c+yicgGoxImqMNqASS5aoKPDyToHHK9/SL8muwo+s/S806sVDFM54wmSs4pJtiLR8SYejjckzKyA8KIaDijrhcc98vuidF46iaOC0bt+QMytOUwbSRMXBHx6mCXbMInKBTA9cEngnaJuiYoGuCngKYQyg6VX2OiqbJuB8Y7wPTVgVoMp0PTDe4ecf0FDMlDMZAadw9JbRtg/DeE/qgBqENG0T3PdGruoXeESjRsf9tMPn2k3s9HHzqXDvw361su92Sr7IUmxG5+x+xckYFqk4hZ1UnxCTbpxRbR1QDQlMoo7N+V2TfcRU+Q0a+p7T/mui6rkrzSITRc45tBdz9er8kaQHF3/Jcr+e6XtftODee7spY8n34jA5VOtAeRgonJzam7oJn1UUBjmIVGoj/W+nFA0lkTNecbUodb6D3X8iaCl/BAkphh2Cetcp6N5qpeRWht4t7lh4itq5gWR+oQovZtUz4Tqh2u630R/PamMDpCR7ZCuhQYbwrP+ZFenRBe2wyvyWEf+dPiQ6FwTJkKww1BZcN7NVOeEDpvhqQfdDTiuGyg0GRqylWOQfzX8vVMaBfbn+ccsNkm0i4yjLO5c44jOIns9GAF5BeDDiORXUB6SBsGRcKV+agVGIJd+yRgPEsyZS8wgJOGshhWN6AbxdjAXo3CdseGZi7/CXeU7opHawTqsMz+L02Vch9IY9bNdQ3iKr1AU1TXXJ9QQnMNcglfBw3DCnLE3kIeq0bRBDWFGK+DVyEqgVQah7qfOL3gsKEdzEMMfjGArd7rOA6vWMqlVzlpl5XZzpycw4xgnNr1tM35X+8M6I8xyYG6arPtcYZKfK6bUuOp0RUYoPDOqW5mudD+kiKVIZlJyoA194VmIzYI/fLa6aZ9S/tqz5ak8WGIvRdvD+u8CWSkNR4WuG9cqUeJAaJU+dKX31+x4b3WCEeyZpaGHffqn/wVCujb7LqB9k4P3ug8KSRH9YsF9bQWvP2x2UD/Wz2LxufE5I3l5cNTH0TpsNl4+vPzftd1lpnf/+FwETjYSMUoqGaCB55bGOV0zT/B619my6dCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32386255264282	1.01185E+01	5.11139E-04	1.01995E-03	1.14086E-03	63.3827	2
7.90604E+02	20	3.32383322715759	1.72471E+01	4.60455E-04	8.41117E-04	9.58904E-04	61.3023	2
6.25055E+02	20	3.32384610176086	2.45449E+01	4.20001E-04	6.93500E-04	8.10767E-04	58.7999	2
4.94171E+02	20	3.32371664047241	3.20560E+01	3.79344E-04	5.67714E-04	6.82790E-04	56.2493	2
3.90694E+02	20	3.32372808456421	3.97870E+01	3.47838E-04	4.78050E-04	5.91205E-04	53.9597	2
3.08884E+02	20	3.32382941246033	4.78199E+01	3.21478E-04	3.92187E-04	5.07108E-04	50.6584	2
2.44205E+02	20	3.32391834259033	5.84403E+01	3.01262E-04	3.36128E-04	4.51377E-04	48.1311	2
1.93070E+02	20	3.32377934455872	6.69056E+01	2.81193E-04	2.79485E-04	3.96461E-04	44.8254	2
1.52642E+02	20	3.32383847236633	7.59505E+01	2.62167E-04	2.22972E-04	3.44163E-04	40.381	2
1.20679E+02	20	3.32356905937195	8.45013E+01	2.50037E-04	1.85476E-04	3.11320E-04	36.5678	2
9.54095E+01	20	3.32394742965698	9.02948E+01	2.39941E-04	1.49127E-04	2.82507E-04	31.8617	2
7.54312E+01	20	3.32389903068542	9.63300E+01	2.32264E-04	1.19378E-04	2.61147E-04	27.202	2
5.96362E+01	20	3.32389426231384	1.02128E+02	2.28418E-04	9.36081E-05	2.46855E-04	22.2843	2
4.71487E+01	20	3.32384347915649	1.08265E+02	2.26042E-04	6.30428E-05	2.34669E-04	15.5837	2
3.72759E+01	20	3.32389712333679	1.14647E+02	2.27319E-04	5.01582E-05	2.32787E-04	12.443	2
2.94705E+01	20	3.32386469841003	1.21290E+02	2.28432E-04	3.10962E-05	2.30539E-04	7.75198	2
2.32995E+01	20	3.32393503189087	1.27878E+02	2.30640E-04	2.08516E-05	2.31581E-04	5.16591	2
1.84207E+01	20	3.32393646240234	1.33872E+02	2.33229E-04	1.25239E-05	2.33565E-04	3.07372	2
1.45635E+01	20	3.32393670082092	1.40215E+02	2.37916E-04	4.09081E-06	2.37951E-04	0.985066	2
1.15140E+01	20	3.32395052909851	1.46958E+02	2.40157E-04	-1.89834E-06	2.40165E-04	-0.452889	2
9.10298E+00	20	3.32395505905151	1.53015E+02	2.41022E-04	-4.20343E-06	2.41059E-04	-0.999138	2
7.19686E+00	20	3.32396125793457	1.59383E+02	2.44779E-04	-8.52274E-06	2.44927E-04	-1.99413	2
5.68987E+00	20	3.32395315170288	1.66151E+02	2.47668E-04	-1.15123E-05	2.47936E-04	-2.66136	2
4.49843E+00	20	3.32400584220886	1.72220E+02	2.51421E-04	-1.36600E-05	2.51792E-04	-3.1099	2
3.55648E+00	20	3.32397651672363	1.78520E+02	2.54501E-04	-1.59191E-05	2.54998E-04	-3.57921	2
2.81177E+00	20	3.32400512695313	1.85060E+02	2.55494E-04	-1.72514E-05	2.56076E-04	-3.86286	2
2.22300E+00	20	3.32399940490723	1.92011E+02	2.58628E-04	-1.85513E-05	2.59292E-04	-4.10278	2
1.75751E+00	20	3.32401823997498	1.99448E+02	2.61379E-04	-2.04832E-05	2.62180E-04	-4.48088	2
1.38950E+00	20	3.32412481307983	2.07435E+02	2.65067E-04	-2.25227E-05	2.66022E-04	-4.85674	2
1.09854E+00	20	3.32412648200989	2.16219E+02	2.68538E-04	-2.46444E-05	2.69666E-04	-5.24349	2
8.68511E-01	20	3.32401371002197	2.23704E+02	2.71596E-04	-2.72521E-05	2.72960E-04	-5.7299	2
6.86649E-01	20	3.32413077354431	2.31789E+02	2.73844E-04	-2.93880E-05	2.75416E-04	-6.12535	2
5.42867E-01	20	3.32428503036499	2.40675E+02	2.77495E-04	-3.39214E-05	2.79561E-04	-6.96934	2
4.29193E-01	20	3.32446074485779	2.48199E+02	2.80969E-04	-3.92187E-05	2.83693E-04	-7.94621	2
3.39322E-01	20	3.32465505599976	2.56341E+02	2.87176E-04	-4.51042E-05	2.90696E-04	-8.92603	2
2.68270E-01	20	3.32471799850464	2.65367E+02	2.94363E-04	-5.09521E-05	2.98740E-04	-9.82019	2
2.12095E-01	20	3.32464933395386	2.75465E+02	3.02150E-04	-5.62494E-05	3.07342E-04	-10.5457	2
1.67683E-01	20	3.32462406158447	2.86850E+02	3.10740E-04	-6.25149E-05	3.16966E-04	-11.375	2
1.32571E-01	20	3.32452487945557	2.99794E+02	3.19465E-04	-6.88174E-05	3.26793E-04	-12.1566	2
1.04811E-01	20	3.32439732551575	3.14764E+02	3.28951E-04	-7.59395E-05	3.37602E-04	-12.9992	2
8.28642E-02	20	3.32419514656067	3.32424E+02	3.39558E-04	-8.40542E-05	3.49806E-04	-13.9035	2
6.55128E-02	20	3.32401132583618	3.53294E+02	3.51243E-04	-9.33888E-05	3.63446E-04	-14.8894	2
5.17947E-02	20	3.323725938797	3.78200E+02	3.64093E-04	-1.04217E-04	3.78715E-04	-15.9732	2
4.09491E-02	20	3.32349395751953	4.08225E+02	3.78792E-04	-1.16473E-04	3.96295E-04	-17.0919	2
3.23746E-02	20	3.3232102394104	4.44734E+02	3.95521E-04	-1.30458E-04	4.16481E-04	-18.2545	2
2.55955E-02	20	3.32287693023682	4.89405E+02	4.14850E-04	-1.45817E-04	4.39730E-04	-19.3662	2
2.02359E-02	20	3.322505235672	5.44438E+02	4.36658E-04	-1.62974E-04	4.66080E-04	-20.4671	2
1.59986E-02	20	3.3221218585968	6.12551E+02	4.60852E-04	-1.81297E-04	4.95230E-04	-21.4745	2
