CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW627qOBD+TaW+Q6SVulRqUS5c2kj5wYHQRgdalrB09+hIyAUXspvY1HHactSn2kfYJ9sZOyGm3dUifuT7PJ4Zz83+1rUfrCGRxBolKfWtBRV5wpnltJzTkwEXYk5zaT1xYT0kbM1fc9+K76xB7Dn2xHXsjnftWNai2+q0HNezWx4Ar3XVctuO7XqoI36ldGeNBH0uKFvtfWvAmRQ8tRY8lWRDT0/AOvXbl0770rXdrmVZ8ySjvtPzXc+3O+hFllEmT0/Ct92UiIzkPnzN9zsaRMNlGMWLeDT75ebs8qwvJWUFSWMqAxtwlIcz+gddyWAuCqqI6JjQaMLXVG2YC8KWI/G8vA0c2z5ixsCgBpZIwLRaHyWMpIqwW7aDGgnb0OVtstkqjRpOkrWBxvzVQP1C8pAFjiHM1LLyylE2UkkF+NStwcQEYxNo5zAaw3gZ3ikN+Im8W/qsBEvD+lSSbgQcBDm148BgMo6ZKRUJX2suxw1DmpK9kiujWhMdHUTK5q/JqvQrThjtZ7sIvDHQrxBY5csXktOo/jrwUT4G0WBE0hxtQCWQLFdV4OGZBI1TvqNflV+DLV39WWrWiYUqnvKEyVzBIV0XK/mQCEMflzekjPygEAIq7oDLNffjontUNI6qieOycUvOoDxNGUwbGQN3dJwq2DWLwAk6NXBN4JmgbYKOCbom6CmAOYSiU9XnqGiajPuJ8T4xbVWAJtP5xHSDqw9MTzETwmAMlMbdY0LbNgjvI6EPahDasEF0PxK9qlvoHYESvfG/D8bff3Ivh4PrzqUD/+3Str2WfJOl2JTI7f+IlTMqUHUKOas6ISbZLqXYOqIaEJpCGZ31uyJ7xFX4DBl5TGn/LdF1XZXmgQijlxzbCrj71W5B0gKKv+W5Xu/62us5Pefa6yoPYsl34Qs6VOlAexgpnJzYmLoLXlQXBTiKVWgg/u+lFw8kkTFdcbYudbyD3n8hayp8AwsohR2CedYq691opuZVhN7P7lm6j9iqgmV9oAotZtcy4Qeh2u220h/NamMCpyd4ZCugQ4XxrvyYFenBBe2xyfyWEP7InxMdCoNlyFYYagouG9irnfCA0n01ILugpxXDZQeDIldTrHIO5r+Wq2NAv97+OOaGySaRcJVlnMutcRjFj6ejAS8gvRhwHIvqAtJB2DAuFK7MQanEEu7YAwHjWZIJeYMFnDSQw7C8Ad/PbgToXSdsc2Bg7vLXeEfpunSwTqgOz+D32lQhd4U8bNVQ3yCq1gc0TXXJ9QUlMNcgl/Bx2DCkLE/kPui1rhBBWFOI+SZwEaoWQKlZqPOJ33MKE97FMMTgGwvc7qGC6/TeUKnkKjf1ujrTgZtxiBGcW7Oevin/450R5Tk2MUhXfa41TkmR121bcjwlohIb7FcpzdU8H9InUqQyLDtRAbj2LsBkxJ64X14zzax/bl/00Zos1hSh7+L9cYEvkYSkxtMK75UL9SAxSJw6F/rq8zs2vMcK8URW1MK4+1b9g6daGX2TVT/IxunJA4Unjfy0Zrmwhtaatz/OG+hns3/e+JKQvLk4b2DqmzAdzhvffm7eb7PWKvv7LwQmuhk2QiEaqongkcfWVjlN838AbZjMqZ0KAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32385444641113	1.01234E+01	4.98294E-04	1.00046E-03	1.11768E-03	63.5236	2
7.90604E+02	20	3.32393312454224	1.72484E+01	4.49666E-04	8.27609E-04	9.41879E-04	61.4834	2
6.25055E+02	20	3.32395100593567	2.45496E+01	4.12455E-04	6.81086E-04	7.96239E-04	58.8015	2
4.94171E+02	20	3.32381582260132	3.20666E+01	3.65839E-04	5.64137E-04	6.72375E-04	57.0368	2
3.90694E+02	20	3.32377910614014	3.97951E+01	3.44828E-04	4.68973E-04	5.82102E-04	53.6736	2
3.08884E+02	20	3.32392978668213	4.78298E+01	3.16915E-04	3.87805E-04	5.00827E-04	50.7442	2
2.44205E+02	20	3.32383251190186	5.84572E+01	2.97748E-04	3.31215E-04	4.45373E-04	48.0458	2
1.93070E+02	20	3.32387256622314	6.69470E+01	2.79076E-04	2.75838E-04	3.92390E-04	44.6657	2
1.52642E+02	20	3.32380771636963	7.59876E+01	2.59930E-04	2.19482E-04	3.40200E-04	40.1774	2
1.20679E+02	20	3.32373571395874	8.45330E+01	2.48285E-04	1.82489E-04	3.08136E-04	36.3159	2
9.54095E+01	20	3.32390165328979	9.03463E+01	2.39038E-04	1.47692E-04	2.80984E-04	31.7103	2
7.54312E+01	20	3.32390284538269	9.63843E+01	2.31588E-04	1.16279E-04	2.59141E-04	26.661	2
5.96362E+01	20	3.32392334938049	1.02168E+02	2.26001E-04	9.26589E-05	2.44259E-04	22.2933	2
4.71487E+01	20	3.32391595840454	1.08300E+02	2.25500E-04	6.22002E-05	2.33921E-04	15.4206	2
3.72759E+01	20	3.32393336296082	1.14679E+02	2.25076E-04	4.87971E-05	2.30305E-04	12.2326	2
2.94705E+01	20	3.32389688491821	1.21323E+02	2.26557E-04	3.05150E-05	2.28603E-04	7.671	2
2.32995E+01	20	3.32393932342529	1.27908E+02	2.28198E-04	2.17029E-05	2.29228E-04	5.43281	2
1.84207E+01	20	3.32394218444824	1.33907E+02	2.31947E-04	1.33073E-05	2.32328E-04	3.28359	2
1.45635E+01	20	3.32393312454224	1.40245E+02	2.35020E-04	4.10802E-06	2.35055E-04	1.0014	2
1.15140E+01	20	3.32396936416626	1.46989E+02	2.38327E-04	-1.72036E-06	2.38333E-04	-0.413583	2
9.10298E+00	20	3.32397246360779	1.53054E+02	2.40088E-04	-3.41991E-06	2.40113E-04	-0.816088	2
7.19686E+00	20	3.32396054267883	1.59415E+02	2.43775E-04	-8.41433E-06	2.43920E-04	-1.97688	2
5.68987E+00	20	3.32395076751709	1.66177E+02	2.48132E-04	-1.02581E-05	2.48344E-04	-2.36733	2
4.49843E+00	20	3.32399654388428	1.72244E+02	2.49487E-04	-1.30428E-05	2.49828E-04	-2.99261	2
3.55648E+00	20	3.32402610778809	1.78546E+02	2.52902E-04	-1.51489E-05	2.53356E-04	-3.42794	2
2.81177E+00	20	3.32400035858154	1.85103E+02	2.53395E-04	-1.62702E-05	2.53917E-04	-3.67386	2
2.22300E+00	20	3.3240704536438	1.92047E+02	2.57868E-04	-1.74954E-05	2.58460E-04	-3.88136	2
1.75751E+00	20	3.32402992248535	1.99468E+02	2.60545E-04	-1.96215E-05	2.61283E-04	-4.30677	2
1.38950E+00	20	3.32411289215088	2.07457E+02	2.63329E-04	-2.12426E-05	2.64184E-04	-4.61203	2
1.09854E+00	20	3.32411170005798	2.16237E+02	2.66598E-04	-2.31828E-05	2.67604E-04	-4.96982	2
8.68511E-01	20	3.32406544685364	2.23720E+02	2.68602E-04	-2.60443E-05	2.69862E-04	-5.53823	2
6.86649E-01	20	3.32411599159241	2.31808E+02	2.71989E-04	-2.78090E-05	2.73407E-04	-5.83782	2
5.42867E-01	20	3.32429146766663	2.40689E+02	2.74395E-04	-3.20265E-05	2.76257E-04	-6.65727	2
