CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVWbW/qNhT+TKX+h0iTOiq1KC8E2kj5wIXQogstI4xuV1dCLriQLbGp47Tlqr9qP2G/bOfYCTHtpqFWyvP4+Jzj82Z/69gP1oBIYg2TlAbWgoo84cxyWs7pSZ8LMae5tJ64sB4StuaveWDFd1Y/9hx74jq27107lrXotPyW43p2ywPgta5abtuxXQ91xK+U7qyhoM8FZat9YPU5k4Kn1oKnkmzo6QlYp0H70mlfurbbsSxrnmQ0cPzA9wLnCr3IMsrk6Un0tpsSkZE8gK/5fkfD0WAZjeJFPJz9cnN2edaTkrKCpDGVoQ14lEcz+gddyXAuCqqI0TGh0YSvqdowF4Qth+J5eRs6tn3EjIFBDSyRgGm1PkwYSRVht2wHNRK2ocvbZLNVGjWcJGsDjfmrgXqF5BELHUOYqWXllaNspJIK8KlTg4kJxibQzmE0BvEyulMa8BN5t/RZCZaG9akk3Qg4CHJqx4HBZBwzUyoSvtZcjhsGNCV7JVdGtSZ8HUTK5q/JqvQrThjtZbsReGOgXyGwypcvJKej+uvAj/IxiIZDkuZoAyqBZLmqAg/PJGic8h39qvzqb+nqz1KzTixU8ZQnTOYKDui6WMmHRBj6uLwhZeT7hRBQcQdcrrkfF92jonFUTRyXjVtyBuVpymDayBjY13GqYMcsAif0a+CawDNB2wS+CTom6CqAOYSiU9XnqGiajPuJ8T4xbVWAJuN/Yjrh1Qemq5gJYTAGSuPuMaFtG4T3kdAHNQht2CA6H4lu1S30jkCJ3gTf++PvP7mXg/61f+nA33Zp225LvslSbErk9n/EyhkVqjqFnFWdEJNsl1JsHVENCE2hjM76XZE94ip8Row8prT3lui6rkrzQESjlxzbCrj71W5B0gKKv+W5Xtf3/Gv4d52u8iCWfBe9oEOVDrSHkcLJiY2pu+BFdVGIo1iFBuL/XnrxQBIZ0xVn61LHO+j9F7KmojewgFLYIZhnrbLejWZqXkXo/eyepfsRW1WwrA9UocXsWib6IFS73Vb6R7PamMDpCR7ZCuhQYbwrP2ZFenBBe2wyvyWEP/LnRIfCYBmyFYaagssG9monPKB0X/XJLuxqxXDZwaDI1RSrnIP5r+XqGNCvtz+OuUGySSRcZRnncmscRvHj6bDPC0gvBhzHorqAdBA2jAuFK3NQKrGEO/ZAwHiWZELeYAEnDeQwKm/A97MbAXrXCdscGJi7/DXeUbouHawTqsPT/702VchdIQ9bNdQ3iKr1Pk1TXXI9QQnMNcglfBw2DCjLE7kPu60rRBDWFGK+CV2EqgVQahbpfOL3nMKEdzEMMfjGQrdzqOA6vTdUKrnKTb2uznTgZhxiBOfWrKdvyv94Z4zyHJsYpKs+1xqnpMjrti05nhJRifX3q5Tmap4P6BMpUhmVnagAXHsXYHLEnnhQXjPNrHduX/TQmizWFGHg4v1xgS+RhKTG0wrvlQv1IDFInDoX+uoLfBveY4V4IitqYdwDq/7BU62MvsmqH2Tj9OSBwpNGflqzXFhDa83bH+cN9LPZO298SUjeXJw3MPVNmA7njW8/N++3WWuV/f0XAhPdDBqREA3VRPDIY2urnKb5P3uoQwidCgAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32386493682861	1.01255E+01	5.03116E-04	1.01209E-03	1.13024E-03	63.5677	2
7.90604E+02	20	3.32393789291382	1.72531E+01	4.54135E-04	8.39742E-04	9.54675E-04	61.5953	2
6.25055E+02	20	3.32388973236084	2.45566E+01	4.05060E-04	6.89278E-04	7.99486E-04	59.559	2
4.94171E+02	20	3.32387971878052	3.20607E+01	3.67093E-04	5.73042E-04	6.80540E-04	57.3562	2
3.90694E+02	20	3.32382202148438	3.97983E+01	3.41882E-04	4.69657E-04	5.80914E-04	53.9476	2
3.08884E+02	20	3.32370567321777	4.78205E+01	3.21454E-04	3.90379E-04	5.05696E-04	50.5306	2
2.44205E+02	20	3.32387900352478	5.84455E+01	3.00402E-04	3.35554E-04	4.50375E-04	48.1637	2
1.93070E+02	20	3.32374286651611	6.69220E+01	2.80489E-04	2.79254E-04	3.95799E-04	44.8736	2
1.52642E+02	20	3.32367181777954	7.59667E+01	2.61483E-04	2.22746E-04	3.43496E-04	40.4262	2
1.20679E+02	20	3.32374262809753	8.45269E+01	2.49414E-04	1.85510E-04	3.10840E-04	36.6413	2
9.54095E+01	20	3.32380032539368	9.03220E+01	2.39553E-04	1.48506E-04	2.81850E-04	31.7959	2
7.54312E+01	20	3.32382559776306	9.63624E+01	2.33001E-04	1.18435E-04	2.61374E-04	26.9444	2
5.96362E+01	20	3.32388854026794	1.02147E+02	2.26865E-04	9.46798E-05	2.45829E-04	22.6527	2
4.71487E+01	20	3.32386207580566	1.08284E+02	2.25980E-04	6.46026E-05	2.35033E-04	15.954	2
3.72759E+01	20	3.32386469841003	1.14653E+02	2.25236E-04	5.08540E-05	2.30905E-04	12.723	2
2.94705E+01	20	3.32386255264282	1.21297E+02	2.27551E-04	3.24604E-05	2.29855E-04	8.11853	2
2.32995E+01	20	3.3238697052002	1.27896E+02	2.28867E-04	2.38641E-05	2.30108E-04	5.95276	2
1.84207E+01	20	3.3238730430603	1.33901E+02	2.32168E-04	1.41531E-05	2.32599E-04	3.48846	2
1.45635E+01	20	3.32389855384827	1.40255E+02	2.34868E-04	5.74156E-06	2.34938E-04	1.40037	2
1.15140E+01	20	3.3239312171936	1.46998E+02	2.37445E-04	-5.01742E-07	2.37445E-04	-0.121071	2
9.10298E+00	20	3.32392525672913	1.53054E+02	2.39164E-04	-1.07660E-06	2.39167E-04	-0.257915	2
7.19686E+00	20	3.32393574714661	1.59416E+02	2.41834E-04	-6.50351E-06	2.41922E-04	-1.54045	2
5.68987E+00	20	3.32393550872803	1.66181E+02	2.46073E-04	-9.29475E-06	2.46249E-04	-2.16316	2
4.49843E+00	20	3.32397603988647	1.72252E+02	2.47663E-04	-1.14211E-05	2.47926E-04	-2.64035	2
3.55648E+00	20	3.32393407821655	1.78554E+02	2.50753E-04	-1.39477E-05	2.51141E-04	-3.18369	2
2.81177E+00	20	3.32400298118591	1.85092E+02	2.52373E-04	-1.43132E-05	2.52778E-04	-3.24602	2
2.22300E+00	20	3.32399678230286	1.92038E+02	2.55014E-04	-1.64955E-05	2.55546E-04	-3.70102	2
1.75751E+00	20	3.32401275634766	1.99463E+02	2.57119E-04	-1.75002E-05	2.57714E-04	-3.89371	2
