CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAIVW627qOBD+TaW+Q6SVulRqUS5c2kj5wYHQRgdalrB09+hIyAUXspvY1HHactSn2kfYJ9sZOyGm3dUifuT7PJ4Zz83+1rUfrCGRxBolKfWtBRV5wpnltJzTkwEXYk5zaT1xYT0kbM1fc9+K76xB7Dn2xHXsjnftWNai2+q0HNezWx4Ar3XVctuO7XqoI36ldGeNBH0uKFvtfWvAmRQ8tRY8lWRDT0/AOvXbl0770rXdrmVZ8ySjvtP2Xc93r9CLLKNMnp6Eb7spERnJffia73c0iIbLMIoX8Wj2y83Z5VlfSsoKksZUBjbgKA9n9A+6ksFcFFQR0TGh0YSvqdowF4QtR+J5eRs4tn3EjIFBDSyRgGm1PkoYSRVht2wHNRK2ocvbZLNVGjWcJGsDjfmrgfqF5CELHEOYqWXllaNspJIK8Klbg4kJxibQzmE0hvEyvFMa8BN5t/RZCZaG9akk3Qg4CHJqx4HBZBwzUyoSvtZcjhuGNCV7JVdGtSY6OoiUzV+TVelXnDDaz3YReGOgXyGwypcvJKdR/XXgo3wMosGIpDnagEogWa6qwMMzCRqnfEe/Kr8GW7r6s9SsEwtVPOUJk7mCQ7ouVvIhEYY+Lm9IGflBIQRU3AGXa+7HRfeoaBxVE8dl45acQXmaMpg2Mgbu6DhVsGsWgRN0auCawDNB2wQdE3RN0FMAcwhFp6rPUdE0GfcT431i2qoATabziekGVx+YnmImhMEYKI27x4S2bRDeR0If1CC0YYPofiR6VbfQOwIleuN/H4y//+ReDgfXnUsH/tulbTst+SZLsSmR2/8RK2dUoOoUclZ1QkyyXUqxdUQ1IDSFMjrrd0X2iKvwGTLymNL+W6LruirNAxFGLzm2FXD3q92CpAUUf8tz226n07PbV73rXld5EEu+C1/QoUoH2sNI4eTExtRd8KK6KMBRrEID8X8vvXggiYzpirN1qeMd9P4LWVPhG1hAKewQzLNWWe9GMzWvIvR+ds/SfcRWFSzrA1VoMbuWCT8I1W63lf5oVhsTOD3BI1sBHSqMd+XHrEgPLmiPTea3hPBH/pzoUBgsQ7bCUFNw2cBe7YQHlO6rAdkFPa0YLjsYFLmaYpVzMP+1XB0D+vX2xzE3TDaJhKss41xujcMofjwdDXgB6cWA41hUF5AOwoZxoXBlDkollnDHHggYz5JMyBss4KSBHIblDfh+diNA7zphmwMDc5e/xjtK16WDdUJ1eAa/16YKuSvkYauG+gZRtT6gaapLri8ogbkGuYSPw4YhZXki90GvdYUIwppCzDeBi1C1AErNQp1P/J5TmPAuhiEG31jgdg8VXKf3hkolV7mp19WZDtyMQ4zg3Jr19E35H++MKM+xiUG66nOtcUqKvG7bkuMpEZXYYL9Kaa7m+ZA+kSKVYdmJCsC1dwEmI/bE/fKaaWb9c/uij9ZksaYIfRfvjwt8iSQkNZ5WeK9cqAeJQeLUudBXn9+x4T1WiCeyohbG3bfqHzzVyuibrPpBNk5PHig8aeSnNQtfaGitefvjvIF+NvvnjS8JyZuL8wamvgnT4bzx7efm/TZrrbK//0JgopthIxSioZoIHnlsbZXTNP8HD9V/Np0KAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+03	20	3.32433724403381	1.25341E+01	5.11222E-04	1.01171E-03	1.13354E-03	63.1923	2
7.90604E+02	20	3.32445502281189	1.96682E+01	4.60944E-04	8.41435E-04	9.59418E-04	61.2858	2
6.25055E+02	20	3.32441735267639	2.69638E+01	4.07254E-04	6.93494E-04	8.04232E-04	59.5765	2
4.94171E+02	20	3.32447457313538	3.44721E+01	3.74974E-04	5.72036E-04	6.83982E-04	56.7548	2
3.90694E+02	20	3.32429027557373	4.22092E+01	3.38564E-04	4.75256E-04	5.83518E-04	54.5346	2
3.08884E+02	20	3.32423329353333	5.02373E+01	3.05716E-04	3.92809E-04	4.97756E-04	52.107	2
2.44205E+02	20	3.32424569129944	6.08738E+01	3.01450E-04	3.38203E-04	4.53049E-04	48.2885	2
1.93070E+02	20	3.32429265975952	6.93502E+01	2.81298E-04	2.81902E-04	3.98243E-04	45.0614	2
1.52642E+02	20	3.32429218292236	7.83871E+01	2.61636E-04	2.24318E-04	3.44633E-04	40.6086	2
1.20679E+02	20	3.32421016693115	8.69393E+01	2.58427E-04	1.76071E-04	3.12707E-04	34.2674	2
9.54095E+01	20	3.32445883750916	9.27490E+01	2.39595E-04	1.52172E-04	2.83834E-04	32.4205	2
7.54312E+01	20	3.32444143295288	9.87815E+01	2.30144E-04	1.22048E-04	2.60503E-04	27.9375	2
5.96362E+01	20	3.32439613342285	1.04575E+02	2.26048E-04	9.85231E-05	2.46586E-04	23.55	2
4.71487E+01	20	3.324467420578	1.10718E+02	2.24286E-04	6.81174E-05	2.34402E-04	16.894	2
3.72759E+01	20	3.32438850402832	1.17087E+02	2.22390E-04	5.46333E-05	2.29002E-04	13.8022	2
2.94705E+01	20	3.32442808151245	1.23742E+02	2.23493E-04	3.45429E-05	2.26146E-04	8.78607	2
2.32995E+01	20	3.3244457244873	1.30334E+02	2.25228E-04	2.63899E-05	2.26769E-04	6.68286	2
1.84207E+01	20	3.32444310188293	1.36322E+02	2.26788E-04	1.84880E-05	2.27540E-04	4.66051	2
1.45635E+01	20	3.32445621490479	1.42665E+02	2.31121E-04	7.32314E-06	2.31237E-04	1.81483	2
1.15140E+01	20	3.32447814941406	1.49417E+02	2.32105E-04	2.51705E-06	2.32119E-04	0.621317	2
9.10298E+00	20	3.32449865341187	1.55475E+02	2.34745E-04	4.53461E-07	2.34745E-04	0.110679	2
7.19686E+00	20	3.32447028160095	1.61839E+02	2.35838E-04	-3.14008E-06	2.35859E-04	-0.762824	2
5.68987E+00	20	3.32443690299988	1.68597E+02	2.38861E-04	-7.24248E-06	2.38971E-04	-1.73672	2
4.49843E+00	20	3.32452726364136	1.74673E+02	2.41329E-04	-1.02490E-05	2.41546E-04	-2.43184	2
3.55648E+00	20	3.32447385787964	1.80980E+02	2.42771E-04	-1.02713E-05	2.42988E-04	-2.42267	2
2.81177E+00	20	3.32453370094299	1.87527E+02	2.44780E-04	-1.15300E-05	2.45051E-04	-2.69685	2
2.22300E+00	20	3.32454895973206	1.94467E+02	2.48598E-04	-1.37765E-05	2.48980E-04	-3.17191	2
1.75751E+00	20	3.32448387145996	2.01894E+02	2.49099E-04	-1.53199E-05	2.49569E-04	-3.51934	2
